@relation 'data/M_multi_metrics_JDT.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-14,17-21,23-30,32-39,41-43,46-47,49-55,57-61'

@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute WCHU_noc numeric
@attribute LDHH_noc numeric
@attribute WCHU_lcom numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute LDHH_dit numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute class {buggy,clean}

@data
0,0,0,0,0,0,2,0,10,clean
0,1,0,0,1.18,3,0,0,78,buggy
1,0,0,0,0,0,1,0,0,clean
7,1,1.01,0,25.26,0,0,0.001409,20,clean
0,3,0,0,0,0,0,0,45,buggy
1,0,0,0,0,0,0,0.001409,79,clean
0,0,0,0,0,0,2,0,31,clean
0,0,0,0,0,0,3,0,73,clean
4,0,0,0,0,0,0,0,16,clean
2,0,0,0,1.04,0,0,0,102,clean
0,0,0,0,0,0,0,0,8,clean
1,0,1.03,0.000798,3.35,0,1,0.001409,95,clean
1,0,0,0,0,0,1,0.001409,47,clean
312,0,0,0,0,1,1,0,0,buggy
0,0,0,0,0,1,12,0,32,clean
1,0,0,0,3.25,3,1,0,17,buggy
0,0,0,0,0,0,3,0,73,clean
0,0,0,0,0,0,4,0,73,clean
24,0,0,0,17.83,9,2,0,9,buggy
0,0,0,0,5.98,0,1,0,8,clean
0,0,0,0,0,1,0,0,45,clean
0,0,0,0,0,0,0,0,33,clean
10,0,0,0,12.55,1,11,0,8,buggy
0,0,0,0,1.05,0,3,0,41,clean
1,0,0,0,0,0,0,0.001409,79,clean
0,0,0,0,1.85,0,3,0,8,clean
0,0,0,0,0,0,2,0,73,clean
7,0,0,0,3.17,0,0,0.001409,8,clean
1,4,1.01,0.002375,12.75,1,3,0,8,clean
0,4,0,0,0,0,0,0,118,clean
2,0,0,0,0,0,0,0.001409,38,clean
17,1,0,0,19.86,3,1,0.001409,8,buggy
36,0,0,0,0,1,3,0,8,clean
6,0,0,0,3.04,0,2,0,8,clean
0,0,0,0,0,0,0,0,19,clean
10,0,0,0,2.33,0,6,0,40,clean
0,3,0,0,1.05,0,0,0,8,clean
0,0,0,0,0,1,1,0,138,clean
0,0,0,0,0,0,0,0.001409,31,clean
5,0,0,0,2.51,0,40,0,8,clean
0,1,0,0,6.72,2,0,0,227,clean
1,1,0,0,3.27,0,3,0,49,buggy
2,1,0,0,1.03,0,1,0,8,buggy
0,0,0,0,0,1,0,0,84,clean
0,0,0,0,0,0,0,0,194,clean
17,0,0,0,6.95,1,0,0,41,clean
1,0,0,0,0,0,0,0,40,clean
0,1,0,0,0,0,0,0.001409,78,clean
0,0,0,0,1.18,0,6,0,73,clean
7,0,0,0,1.69,2,0,0,129,buggy
0,0,0,0,0,0,5,0,73,clean
2,4,0,0,1.07,1,0,0.001409,87,clean
3,1,0,0,0,0,0,0.001409,69,clean
2,0,0,0,0,2,0,0,11,clean
0,0,0,0,1.08,0,0,0,91,clean
2,0,0,0,0,0,0,0,8,clean
2,0,0,0,0,0,1,0,8,clean
0,1,1.01,0,2.59,0,0,0,8,clean
0,0,0,0,0,0,3,0,73,clean
0,0,0,0,1.12,2,0,0,37,buggy
4,2,0,0,1.1,1,0,0.001409,38,buggy
0,0,0,0,1.11,0,1,0,41,clean
0,6,4.06,0.001667,0,0,1,0,8,clean
0,0,0,0,0,0,2,0,64,clean
0,1,0,0,0,0,0,0,84,clean
0,2,0,0,0,0,0,0,68,clean
1,0,0,0,0,0,0,0,13,buggy
0,0,0,0,2.12,0,0,0,25,clean
3,0,0,0,7,0,0,0,37,buggy
4,0,0,0,0,0,0,0,8,clean
1,0,0,0,0,0,0,0,33,clean
5,1,0,0,0,1,1,0,23,clean
0,0,0,0,0,0,3,0,73,clean
2,2,1.02,0.001203,0,0,0,0.001409,115,clean
0,0,0,0,5.95,2,8,0,30,clean
0,0,0,0,0,1,2,0,33,clean
0,0,0,0,0,0,3,0,79,clean
0,3,0,0,4.7,1,4,0,8,clean
2,0,0,0,1.13,0,0,0,102,clean
1,0,0,0,3.43,0,0,0,8,buggy
6,0,0,0,0,1,2,0,8,clean
0,0,0,0,0,0,2,0,73,clean
9,0,0,0,3.05,3,0,0,30,clean
0,0,1.01,0.001086,0,0,1,0,18,clean
1,0,0,0,0,1,0,0,62,clean
0,0,0,0,0,0,3,0,73,clean
0,0,0,0,0,0,3,0,34,clean
0,0,0,0,0,0,0,0,62,clean
0,0,0,0,1.41,0,0,0,8,clean
0,0,0,0,0,0,0,0.001409,87,clean
2,0,0,0,3.47,1,1,0,67,buggy
2,4,3.04,0.006412,3.9,3,4,0,46,buggy
5,0,0,0,359.48,0,1,0,310,buggy
3,0,0,0,0,0,1,0,23,clean
0,0,0,0,0,0,2,0,68,clean
0,1,1.01,0,0,0,0,0,25,clean
10,0,0,0,11.58,0,0,0.001409,148,buggy
0,0,0,0,1.2,1,0,0,21,clean
0,0,0,0,0,0,1,0.004395,47,clean
16,0,0,0,2.37,1,0,0,8,clean
0,3,0,0,0,1,0,0,62,clean
2,0,0,0,0,0,0,0,8,clean
0,0,0,0,0,0,2,0,8,clean
1,14,0,0,4.61,3,0,0,8,clean
2,0,0,0,0,0,0,0,85,clean
0,0,0,0,0,0,3,0,31,clean
1,2,0,0,0,0,0,0,73,clean
3,1,0,0,3.71,1,0,0.001409,8,buggy
4,0,0,0,0,0,0,0,16,clean
4,1,0,0,1.04,0,0,0,8,buggy
0,0,0,0,0,0,3,0,76,clean
0,0,0,0,2.27,0,7,0,23,clean
2,0,0,0,0,2,0,0,62,clean
1,2,0,0,0,0,0,0.001409,95,clean
0,0,0,0,0,0,2,0,16,clean
1,0,0,0,0,0,1,0,41,clean
2,0,0,0,0,0,0,0,15,clean
0,0,0,0,0,0,2,0,15,buggy
3,4,1.01,0.001086,2.82,0,0,0.001409,94,clean
2,0,0,0,0,1,3,0,41,clean
0,2,0,0,1.18,0,3,0,8,clean
3,0,0,0,0,0,0,0,16,clean
2,3,1.01,0.000798,0,0,0,0.001409,76,clean
0,0,0,0,0,0,0,0.001409,107,clean
3,0,0,0,2.11,0,0,0,67,clean
2,0,0,0,4.54,0,1,0,8,clean
2,0,0,0,0,0,0,0.001409,94,buggy
2,0,0,0,0,0,0,0.001409,93,buggy
0,0,0,0,0,0,3,0,68,clean
8,0,0,0,0,2,0,0,8,clean
3,0,0,0,0,0,0,0,45,buggy
4,0,0,0,1.17,0,0,0,8,clean
3,0,0,0,0,1,0,0,19,clean
0,0,0,0,0,0,3,0,8,buggy
50,0,0,0,95.61,6,25,0,19,buggy
3,1,0,0,26.66,0,1,0.001409,8,clean
2,0,0,0,0,0,0,0.001409,66,clean
4,0,0,0,0,0,0,0,8,clean
0,0,0,0,1.03,0,0,0,62,clean
0,0,0,0,0,0,0,0,82,clean
0,0,0,0,0,0,0,0.001409,66,clean
0,0,0,0,9.6,3,0,0,161,clean
0,0,0,0,0,0,0,0,37,clean
7,0,0,0,1.07,0,0,0,35,clean
0,0,0,0,1.04,0,1,0,267,clean
0,0,0,0,1.12,0,1,0,8,clean
1,0,0,0,0,0,0,0,35,clean
0,0,0,0,0,1,0,0,25,buggy
1,3,0,0,1.12,0,0,0,75,clean
0,0,0,0,0,0,0,0.001409,94,clean
0,0,0,0,0,0,14,0,31,clean
0,0,0,0,0,0,11,0,30,clean
12,0,0,0,0,0,0,0,8,clean
0,0,0,0,1.11,0,1,0,41,clean
0,3,0,0,0,1,0,0,25,clean
4,0,0,0,1.09,0,0,0,12,clean
13,0,0,0,7.76,1,0,0,0,clean
2,0,0,0,0,0,0,0.001409,115,buggy
1,2,0,0,8.75,1,1,0,10,buggy
4,0,0,0,0,0,1,0,23,clean
0,0,0,0,0,0,2,0,73,clean
3,6,0,0,1.19,2,0,0.001409,8,buggy
6,0,0,0,7.51,1,0,0,55,clean
21,0,0,0,7.66,0,3,0,8,buggy
3,0,0,0,1.65,8,1,0,8,buggy
3,0,0,0,0,0,0,0,8,clean
0,0,0,0,1.59,0,7,0,67,clean
0,0,0,0,1.06,1,0,0,68,clean
1,0,0,0,1.33,1,12,0,18,clean
36,0,0,0,15.16,3,6,0,8,buggy
0,0,0,0,0,0,2,0,13,clean
23,0,0,0,132.62,8,1,0.001409,96,buggy
16,3,1.01,0.000367,5.75,1,0,0,9,buggy
4,0,0,0,1.08,0,0,0,117,clean
7,5,1.01,0.002037,0,1,0,0.001409,27,clean
0,0,0,0,3,1,11,0,84,clean
0,0,0,0,0,1,3,0,11,clean
0,0,0,0,0,0,0,0,31,clean
0,0,0,0,0,0,3,0,73,clean
20,0,0,0,32.08,4,19,0,8,buggy
3,0,0,0,0,0,0,0,19,clean
0,22,0,0,0,0,1,0,68,clean
0,0,0,0,1.9,0,2,0,8,clean
1,2,0,0,1.21,1,0,0,8,clean
1,0,0,0,0,0,0,0,33,clean
0,0,0,0,0,0,3,0,76,clean
0,2,0,0,2.07,0,0,0,8,clean
0,1,0,0,0,0,3,0,38,clean
0,0,0,0,0,0,0,0,37,buggy
0,0,0,0,0,0,2,0,76,clean
3,0,0,0,3.51,0,1,0,8,clean
1,0,0,0,0,0,0,0,10,clean
5,0,0,0,0,0,0,0,21,clean
0,0,2.02,0.000842,0,0,0,0,12,clean
0,0,0,0,0,0,0,0,33,clean
0,0,0,0,0,0,3,0,31,clean
0,0,0,0,0,0,2,0,0,clean
0,0,0,0,1.03,0,0,0.001409,64,clean
0,0,0,0,0,0,7,0,26,clean
0,0,0,0,0,0,0,0,78,clean
0,0,0,0,0,0,3,0,73,clean
3,5,1.01,0.000828,1.46,1,0,0.001409,8,clean
8,0,0,0,0,0,3,0,16,clean
2,0,0,0,0,0,0,0.001409,75,clean
0,0,0,0,0,1,0,0,33,buggy
0,0,0,0,0,0,2,0,10,clean
17,0,0,0,1.1,0,0,0,8,clean
1,2,0,0,7.5,0,0,0,8,clean
2,4,0,0,0,1,0,0.001409,58,buggy
0,1,0,0,6.75,1,0,0,229,buggy
0,0,0,0,0,0,1,0,8,clean
0,0,0,0,0,0,0,0,116,clean
0,0,0,0,0,0,0,0,11,clean
0,0,0,0,0,0,1,0,100,clean
0,0,0,0,0,0,0,0,33,clean
2,0,0,0,1.15,1,8,0,9,clean
1,0,0,0,1.09,0,0,0,9,clean
0,26,0,0,1.09,0,0,0,68,clean
0,0,0,0,0,0,1,0,41,clean
0,0,0,0,0,0,4,0,73,clean
0,0,0,0,1.02,1,0,0,8,clean
3,0,0,0,7.95,0,10,0,8,clean
9,0,0,0,1.12,2,0,0,8,clean
2,0,0,0,0,0,1,0,23,clean
0,1,0,0,1.09,1,0,0,8,clean
1,0,0,0,7.24,4,1,0,33,buggy
1,0,0,0,0,0,0,0,41,clean
2,3,0,0,10.43,3,0,0.001409,8,buggy
1,1,0,0,0,0,0,0.001409,79,clean
0,2,0,0,1.11,0,0,0,5,clean
0,0,0,0,0,2,0,0,78,clean
0,0,0,0,1.06,0,0,0,82,clean
2,0,0,0,1.07,0,0,0.001409,57,clean
0,0,0,0,2.14,1,1,0.008262,38,buggy
9,2,0,0,0,1,0,0.001409,46,buggy
1,0,0,0,1.11,0,0,0,41,clean
0,0,0,0,0,0,0,0,189,clean
1,0,0,0,0,0,0,0,19,clean
0,2,0,0,0,0,0,0,14,clean
0,0,0,0,0,0,3,0,73,clean
6,0,0,0,0,2,0,0.001409,38,clean
9,0,0,0,1.27,1,0,0,33,clean
0,0,0,0,0,0,1,0,0,clean
0,0,0,0,16.93,0,0,0,44,buggy
4,0,0,0,0,0,0,0,8,clean
0,0,0,0,0,0,0,0,8,clean
13,0,0,0,0,0,0,0,8,clean
12,0,0,0,0,0,0,0,8,clean
0,0,0,0,0,0,3,0,84,clean
7,4,0,0,4.81,0,0,0.001409,85,buggy
0,0,0,0,0,0,3,0,31,clean
0,0,0,0,0,0,3,0,73,clean
0,1,0,0,1.05,0,0,0.001409,72,clean
0,1,1.01,0.01184,7.2,3,0,0,36,buggy
0,1,1.01,0.01184,1.04,1,1,0,255,clean
0,0,0,0,1.03,0,1,0,23,clean
0,1,1.01,0.01184,1.11,1,0,0,199,clean
8,0,0,0,2.55,1,5,0.001409,80,buggy
0,0,0,0,0,0,14,0,8,clean
0,0,0,0,0,1,2,0,279,clean
0,1,0,0,4.12,0,0,0,16,clean
0,0,0,0,0,0,3,0,73,clean
5,0,0,0,2.59,2,0,0,30,clean
0,0,0,0,0,0,3,0,31,clean
1,0,0,0,0,0,0,0,19,clean
2,0,0,0,0,0,0,0.001409,69,clean
0,0,0,0,0,0,5,0,73,clean
34,1,0,0,84.29,2,0,0.001409,8,buggy
0,1,0,0,1.08,0,1,0,78,clean
4,0,0,0,2.08,0,0,0,8,clean
1,0,0,0,1.11,0,15,0,41,clean
4,0,0,0,0,0,0,0,8,clean
4,0,0,0,0,0,0,0,31,clean
0,0,0,0,1.06,0,0,0,33,buggy
0,0,0,0,0,0,2,0,31,clean
0,0,0,0,2.39,0,15,0,8,buggy
2,2,0,0,0,0,0,0,35,clean
0,0,0,0,3.11,2,3,0.008262,38,buggy
0,0,0,0,0,0,0,0.001409,115,clean
4,0,0,0,1.09,0,0,0,16,clean
0,0,0,0,0,0,1,0,60,clean
0,9,2.05,0.00108,3.47,2,11,0,8,clean
0,1,0,0,0,0,0,0,8,clean
0,0,0,0,0,0,2,0,73,clean
0,0,0,0,0,0,0,0.001409,103,buggy
0,0,0,0,0,0,1,0,13,clean
8,1,0,0,15.21,0,2,0.001409,151,buggy
1,3,0,0,2.63,0,0,0.001409,24,buggy
17,0,0,0,1.5,0,11,0.001409,46,buggy
1,0,0,0,14.98,3,12,0,67,buggy
0,0,0,0,0,1,0,0.001409,48,clean
0,0,0,0,7.77,1,23,0,37,clean
4,2,1.01,0.000409,0,0,0,0.001409,27,clean
0,0,0,0,0,0,1,0,17,clean
0,1,1.01,0.001086,0,0,0,0,12,clean
1,5,0,0,0,0,0,0.001409,76,clean
1,0,0,0,1.04,0,0,0.001409,47,clean
0,0,0,0,0,0,2,0,68,clean
0,0,0,0,0,0,4,0,84,clean
0,0,0,0,0,0,1,0,22,clean
0,0,0,0,0,0,0,0,33,clean
1,0,0,0,0,0,0,0,33,clean
2,0,0,0,1.09,0,2,0,8,clean
0,4,0,0,1.17,0,0,0,82,buggy
0,0,0,0,0,0,2,0,76,clean
0,0,0,0,0,0,2,0,73,clean
0,0,0,0,0,0,6,0,23,clean
0,1,0,0,1.08,0,0,0,13,clean
3,3,0,0,2.24,1,1,0.001409,69,buggy
0,1,1.01,0.000564,13.85,8,2,0,177,buggy
7,1,0,0,13.98,0,8,0.001409,148,buggy
0,0,0,0,0,0,0,0.001409,41,clean
1,0,0,0,2.41,0,0,0.001409,87,clean
0,0,0,0,0,0,3,0,73,clean
0,0,0,0,0,0,2,0,13,clean
0,1,0,0,1.06,0,1,0,19,clean
0,0,0,0,0,0,0,0.001409,107,clean
6,0,0,0,2.74,0,0,0.001409,8,buggy
0,0,0,0,2.3,0,0,0,33,buggy
0,0,0,0,3.2,0,1,0,42,clean
0,4,0,0,1.08,0,0,0.001409,69,buggy
3,1,0,0,1.05,1,0,0,8,clean
2,0,0,0,3.31,1,0,0,11,clean
0,0,0,0,0,0,0,0,15,clean
0,1,0,0,0,0,0,0,8,clean
2,0,0,0,6.23,1,8,0,10,clean
6,0,0,0,2.66,0,0,0,67,clean
2,2,0,0,0,0,0,0.001409,93,buggy
0,1,0,0,0,1,0,0,17,clean
1,0,0,0,0,0,0,0.001409,107,clean
0,2,1.01,0.01184,0,1,0,0,128,buggy
7,0,0,0,0,0,0,0.001409,72,buggy
0,0,0,0,0,0,4,0,68,clean
3,0,0,0,1.09,0,0,0,16,clean
2,19,0,0,1.6,1,7,0,8,clean
0,0,0,0,0,0,5,0,73,clean
0,0,0,0,4.45,0,4,0.00026,18,clean
0,0,0,0,0,0,1,0,22,clean
1,1,1.01,0.000409,1.04,0,0,0.001409,78,clean
0,0,0,0,0,0,2,0,73,clean
0,0,0,0,1.05,0,0,0,91,clean
0,0,0,0,1.06,0,0,0,82,clean
0,0,0,0,0,1,0,0,8,clean
0,0,0,0,0,1,2,0,210,clean
0,0,0,0,2.29,1,3,0,24,buggy
0,0,0,0,0,0,4,0,21,clean
0,0,0,0,0,0,0,0,176,clean
2,0,0,0,0,1,5,0,13,clean
3,0,1.03,0.000798,3.4,0,1,0.001409,95,clean
8,8,1.01,0.00108,31.02,0,3,0.001409,72,buggy
0,0,0,0,0,0,0,0,33,clean
1,0,0,0,4.9,0,0,0,37,buggy
1,0,0,0,0,0,1,0,19,clean
0,0,0,0,1.11,0,2,0,41,clean
0,1,1.01,0,5.44,0,0,0.001409,148,buggy
0,0,0,0,2.62,0,15,0,8,clean
0,6,0,0,1.07,1,0,0.001409,8,clean
5,0,0,0,0,0,0,0,8,clean
1,0,0,0,1.06,0,1,0,120,buggy
3,0,0,0,2.14,0,0,0,67,clean
0,0,0,0,0,0,0,0,8,clean
0,0,0,0,1.05,1,0,0.004395,33,clean
5,0,0,0,3.89,0,0,0.001409,71,clean
0,0,0,0,1.13,0,0,0,18,clean
3,0,0,0,0,0,2,0.001409,38,clean
2,0,0,0,0,1,0,0.001409,58,buggy
1,0,0,0,0,0,1,0,23,clean
0,0,0,0,0,0,0,0,19,clean
4,15,1.01,0.01184,5.29,0,0,0.001409,38,clean
1,0,0,0,0,0,0,0,8,clean
2,0,0,0,1.13,0,0,0,100,clean
8,0,0,0,1.1,3,0,0,8,buggy
0,0,0,0,0,0,2,0,27,clean
0,0,0,0,0,1,1,0,143,clean
0,0,0,0,0,0,7,0,26,clean
2,1,0,0,0,0,0,0.001409,91,clean
0,0,0,0,0,0,3,0,31,clean
0,0,0,0,1.29,0,9,0,82,clean
2,3,0,0,0,0,0,0,84,clean
6,0,0,0,1.58,1,1,0,16,clean
0,0,0,0,0,0,0,0.001409,66,clean
0,0,0,0,0,0,1,0,73,clean
0,0,0,0,0,0,1,0,22,clean
0,0,0,0,1.02,0,2,0,8,buggy
0,0,0,0,1.14,0,3,0,68,clean
0,0,0,0,0,0,7,0,36,clean
0,1,0,0,9.67,2,0,0,250,clean
0,0,0,0,0,0,0,0,33,clean
0,0,0,0,0,0,0,0,25,clean
0,0,0,0,0,0,4,0,16,clean
0,1,0,0,1.05,0,0,0,20,clean
0,0,0,0,2.54,1,3,0,8,clean
0,0,0,0,0,0,0,0.001409,61,clean
0,0,0,0,0,0,0,0.001409,95,clean
0,0,0,0,0,0,0,0.001409,48,buggy
0,0,0,0,1.81,0,12,0,8,buggy
1,0,0,0,25.26,1,0,0.000461,279,clean
0,0,0,0,0,0,1,0,59,clean
2,0,0,0,7.59,2,0,0,157,buggy
0,0,0,0,0,0,3,0,32,clean
0,2,0,0,13.41,3,4,0,18,buggy
4,0,0,0,0,0,0,0,8,clean
4,0,0,0,0,0,0,0,19,clean
0,2,1.01,0.000564,0,1,0,0,13,clean
4,0,0,0,0,0,0,0,8,clean
0,6,0,0,2.99,5,0,0,83,clean
0,0,0,0,0,0,1,0,30,clean
0,0,0,0,5.26,0,0,0,8,clean
26,2,0,0,1.26,1,0,0.001409,42,buggy
44,4,1.01,0.000564,16.7,4,2,0,8,buggy
0,0,0,0,2.15,0,0,0,91,clean
0,1,0,0,0,0,0,0.001409,97,buggy
1,0,0,0,0,0,0,0.001409,66,clean
2,0,0,0,1.07,0,0,0.001409,95,clean
0,16,2.03,0.001626,0,0,0,0,8,clean
0,1,0,0,0,0,0,0,85,clean
9,0,0,0,0,1,2,0.001409,38,clean
0,0,0,0,0,0,0,0,8,clean
