@relation data/M_multi_metrics_PDE.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R47-weka.filters.unsupervised.attribute.Remove-R47-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R39-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R50-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R3

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute LDHH_fanIn numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute CvsEntropy numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute WCHU_numberOfPrivateMethods numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute ck_oo_wmc numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPrivateAttributes numeric
@attribute CvsLogEntropy numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_fanOut numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute ck_oo_fanIn numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute ck_oo_lcom numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute LDHH_numberOfAttributes numeric
@attribute LDHH_numberOfLinesOfCode numeric
@attribute WCHU_fanOut numeric
@attribute ck_oo_numberOfAttributes numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute WCHU_numberOfPublicMethods numeric
@attribute LDHH_dit numeric
@attribute WCHU_numberOfMethodsInherited numeric
@attribute LDHH_fanOut numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute CvsExpEntropy numeric
@attribute LDHH_numberOfMethods numeric
@attribute class {buggy,clean}

@data
0,0,0.001048,0,0,1.76682,0,0,0,0,17,0,0,0.061715,0,0,1,0,1,0,0,0,10,0,0,0.004997,0,3,0,2,0,0,0,0,0,0,5,0.033928,0,clean
0,0.000986,0.015136,0.001814,0.002273,12.6847,0,0,0,0,5,0,2.02,0.324998,0,0.000762,2,0,1,2,0,1.01,10,1.01,0.002354,0.00659,3.03,1,0,1,0,2.04,0,2.05,0.003516,6,5,0.039889,0.001888,clean
4,0,0.025564,0,0.000752,8.67717,0,1.01,0,0,24,0.000784,1.01,0.231637,0,0.001986,13,0,3,1,0,0,91,1.01,0.001659,0.008038,2.02,2,1,2,1,0,0,3.04,0.002692,21,10,0.042604,0.000779,clean
2,0,0.066557,0,0,12.4038,0,0,2,0,127,0,0,0.317891,0,0.001986,19,2,5,3,0,0,465,1.01,0,0.007311,1.01,7,0,1,0,0,0,5.37,0.002006,73,11,0.040021,0,clean
1,0,0.015777,0,0.001228,10.5501,0,0,0,0,7,0,1.01,0.28857,0,0,4,0,1,1,0,0,10,0,0.002387,0.007887,1.01,1,0,1,0,0,0,0,0.002051,0,4,0.068374,0,clean
0,0,0.00425,0,0,3.10682,0,0,0,0,1,0,0,0.101533,0,0,1,0,1,1,0,0,0,0,0,0.007219,0,0,0,0,0,0,0,0,0,0,1,0.042149,0,buggy
0,0.001237,0.007106,0.000619,0,5.82082,0,0,0,0,7,0,0,0.156835,0,0,0,0,1,5,0,0,15,0,0,0,0,4,0,4,0,1.02,0,1.01,0,6,2,0.034363,0,clean
4,0.000933,0.012703,0,0,6.41569,0,0,0,0,20,0,0,0.169334,0,0,4,0,3,0,0,0,36,0,0,0,0,4,0,4,0,0,0,1.01,0,23,5,0.034357,0,clean
1,0,0.000224,0,0,1.76682,0,0,0,0,3,0,0,0.061715,0,0,2,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0.033928,0,clean
1,0,0.002606,0,0,3.17095,0,0,0,0,23,0,0,0.098286,0,0,2,0,1,1,0,0,45,0,0,0,0,7,0,5,0,0,0,0,0,6,9,0.035415,0,clean
0,0.002993,0.022224,0.001685,0,11.9584,0,0,0,0,17,0,0,0.331568,0,0.001986,6,1,5,3,0,0,66,1.01,0,0.006895,2.02,4,0,4,0,1.01,0,5.11,0.003362,78,12,0.083518,0.001757,buggy
0,0,0.012041,0.0007,0.001306,11.3834,0,0,0,0,7,0,2.02,0.294949,0,0,3,0,3,1,0,0,10,0,0.001364,0.00239,3.05,2,0,2,0,1.01,0,4.1,0.003824,32,5,0.039796,0.000779,buggy
0,0,0.033663,0,0,4.43166,0,0,0,0,16,0,0,0.125048,0,0,5,11,3,1,0,0,10,0,0,0.004997,3.03,0,0,0,0,0,0,1.01,0.007826,23,2,0.034296,0,buggy
0,0,0.014477,0,0,5.2122,0,0,2,0,13,0,0,0.169698,0,0,7,2,2,0,0,0,6,0,0,0.007921,1.01,0,0,0,0,0,0,0,0.003322,7,0,0.074601,0,clean
0,0.007307,0.003693,0,0,7.47927,0,0,1,0,8,0,0,0.194515,0,0,0,0,1,6,0,0,15,0,0,0,0,1,0,1,0,0,0,1.01,0,6,3,0.034528,0,clean
0,0.010463,0.040737,0.002033,0,10.9347,0,0,2,0,16,0,0,0.29316,0,0,5,4,3,15,0,0,21,0,0,0.004525,1.02,2,0,2,0,1.01,0,4.1,0.00094,44,7,0.042728,0.00211,clean
1,0,0.007237,0,0,6.44121,0,0,0,0,3,0,0,0.172314,0,0,1,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1.01,0,6,2,0.034547,0,clean
0,0,0.008546,0,0,3.05459,0,0,1,0,8,0,0,0.103073,0,0,4,0,1,1,0,0,1,0,0,0.007423,1.01,0,0,0,1,0,0,0,0.002348,6,2,0.048942,0,clean
0,0,0.002622,0,0,6.41569,0,0,1,0,3,0,0,0.169334,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1.01,0,9,2,0.034357,0,clean
0,0,0.012155,0,0,10.2202,0,0,0,0,5,0,0,0.254429,0,0,4,0,2,1,0,0,6,0,0,0,0,3,0,2,0,0,0,0,0,8,4,0.034434,0,clean
4,0,0.068733,0,0,12.7504,0,2.03,0,0,26,0.000556,0,0.320106,0,0.001203,8,7,5,0,0,1.01,28,1.01,0,0.007067,0,0,0,0,1,0,0.000752,3.04,0,40,1,0.03607,0.001223,clean
13,0.003829,0.086592,0,0.005152,11.2422,0,2.02,0,0,36,0.001809,4.04,0.351129,0,0.039267,3,25,1,5,0,0,120,12.18,0.005879,0.021669,2.04,18,0,18,1,0,0,0,0.002681,0,1,0.140146,0.00887,clean
0,0,0.033261,0.000828,0,20.1475,0,0,0,0,10,0,0,0.513333,0,0,8,0,2,1,0,0,6,0,0,0.004102,3.06,3,0,2,0,1.01,0,8.18,0.003824,28,2,0.053717,0.002353,clean
0,0,0.026071,0,0.002011,11.8601,0,1.02,0,0,2,0.000451,2.02,0.307225,0,0,4,0,1,1,0,0,1,0,0.002053,0.001981,2.05,2,0,2,0,0,0,0,0.001534,0,2,0.04351,0.000549,clean
7,0,0.083804,0.001685,0.000775,13.1504,0,4.06,0,0,24,0.004526,1.01,0.354994,0,0.001986,14,0,3,1,0,0,120,1.01,0.000565,0.01565,3.04,7,0,7,0,1.02,0,3.04,0.004393,21,7,0.052516,0.004849,clean
1,0,0.004537,0,0,2.97312,0,0,0,0,7,0,0,0.09279,0,0,3,0,1,1,0,0,10,0,0,0.000854,0,2,0,2,0,0,0,0,0,0,4,0.034972,0,clean
0,0,0.101182,0.000954,0.0007,10.5825,0,0,0,0,26,0,1.01,0.286375,0,0.007109,10,2,2,1,0,1.01,36,1.01,0.000752,0.004415,2.02,3,0,2,1,1.02,0.000752,5.14,0.003516,47,4,0.045787,0.003435,clean
4,0,0.022392,0.000848,0,4.46612,0,1.01,0,0,32,0.001005,0,0.137024,0,0,9,0,1,1,0,0,66,0,0,0.006112,1.03,3,0,3,0,1.01,0,0,0.000918,6,8,0.044007,0.00109,clean
15,0.003017,0.231115,0.002333,0.00145,23.5046,0,5.05,0,0,131,0.004306,2.04,0.666988,0,0,30,3,2,1,0,0,136,0,0.001449,0.022459,4.09,4,0,4,0,2.02,0,1.01,0.005512,13,2,0.16107,0.00313,clean
0,0,0.050222,0,0,12.9005,0,0,0,0,5,0,0,0.400366,0,0,2,0,1,2,0,0,10,0,0,0.013058,1.01,3,0,3,0,0,0,0,0.000841,0,1,0.180073,0.013536,clean
0,0,0.021928,0.002103,0,4.41258,0,0,0,0,27,0,0,0.138856,0,0.00374,15,0,4,1,0,0,105,1.01,0,0.006755,1.08,0,0,0,0,1.03,0,3.03,0.002203,70,9,0.046384,0.002453,clean
0,0,0.006921,0,0,3.15995,0,0,0,0,8,0,0,0.098123,0,0,2,13,5,1,0,0,28,0,0,0,0,3,0,0,0,0,0,2.04,0,80,7,0.0309,0,clean
0,0.000727,0.009938,0.000558,0.000451,11.6831,0,0,0,0,23,0,1.01,0.308426,0,0.00239,6,26,5,3,0,0,36,2.02,0.000473,0.008105,1.01,3,0,3,0,1.01,0,11.21,0.002143,181,8,0.049298,0.00065,clean
3,0.00094,0.061121,0.000702,0.000754,13.1737,0,0,0,0,28,0,1.05,0.320958,0,0.001577,6,7,2,1,0,0,105,2.22,0.000366,0.007193,4.06,5,0,5,1,1.02,0,2.08,0.002965,20,3,0.034569,0.000822,buggy
0,0,0.001222,0,0,1.76682,0,0,0,0,26,0,0,0.061715,0,0,4,0,1,1,0,0,36,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0.033928,0,clean
1,0,0.017182,0,0,10.2628,0,1.01,0,0,8,0.000451,0,0.259347,0,0,7,0,2,0,0,0,21,0,0,0.00057,0,0,0,0,0,0,0,0,0,7,2,0.035301,0.000549,clean
0,0.000943,0.02544,0.000828,0,8.45639,0,0,3,0,9,0,0,0.237405,1.01,0,1,0,1,3,0.000731,0,21,0,0,0.001797,2.03,2,0,0,0,1.01,0,0,0.004231,0,3,0.051808,0.001973,clean
9,0.001402,0.008195,0.000583,0,4.18914,0,1.01,0,0,47,0.00064,0,0.11457,0,0,5,0,1,2,0,0,253,0,0,0.000636,1.01,5,0,4,0,1.01,0,1.01,0.000989,8,13,0.030987,0.000664,clean
1,0,0.00282,0,0,7.72196,0,0,0,0,5,0,0,0.198359,0,0,7,0,1,1,0,0,6,0,0.000904,0.004997,0,2,0,2,0,0,0,0,0,0,3,0.034375,0,clean
1,0.001561,0.012406,0,0,10.5804,0,1.01,0,0,11,0.000511,0,0.2631,0,0.001237,5,1,5,14,0,0,21,1.01,0,0.000529,1.01,2,0,2,0,0,0,3.03,0.000877,37,4,0.034462,0.000606,clean
0,0,0.132699,0,0,5.44491,0,2.05,0,0,2,0.005118,0,0.178602,0,0,3,0,1,0,0,0,0,0,0,0.006121,1.04,0,0,0,0,0,0,0,0.002656,0,1,0.074379,0.005387,clean
1,0,0.003867,0,0,4.87697,0,0,0,0,9,0,0,0.147296,0,0,8,5,3,0,0,0,6,0,0,0.00146,1.05,1,0,1,0,0,0,0,0.002006,14,2,0.042282,0,clean
2,0,0.000863,0,0,3.19695,0,0,3,0,16,0,0,0.09499,0,0,3,0,1,3,0,0,28,0,0,0.004532,0,1,0,1,0,0,0,0,0,0,3,0.0312,0,clean
1,0,0.000249,0,0,1.76682,0,0,0,0,3,0,0,0.061715,0,0,1,0,3,1,0,0,3,0,0,0,0,5,0,5,0,0,0,1.01,0,23,2,0.033928,0,clean
0,0.004361,0.00074,0,0,1.77712,0,0,0,0,2,0,0,0.06092,0,0,1,4,9,0,0,0,1,0,0,0,0,2,0,2,0,0,0,2.05,0,175,2,0.030953,0,clean
0,0,0.000234,0,0,1.77712,0,0,0,0,3,0,0,0.06092,0,0,0,0,1,0,0,0,3,0,0,0.004532,0,0,0,0,0,0,0,0,0,0,1,0.030953,0,clean
1,0,0.005587,0,0.000549,9.5123,0,0,0,0,27,0,1.03,0.237287,0,0.000762,4,8,3,2,0,0,66,1.01,0.000547,0.00513,2.02,4,0,4,0,0,0,3.09,0.002775,57,10,0.031428,0,clean
0,0,0.037127,0.00126,0.003147,7.96788,0,1.01,0,0,33,0.00132,2.03,0.252799,0,0,8,0,2,1,0,0,21,0,0.004132,0.015459,1.01,3,0,3,0,1.02,0,1.01,0.002006,9,6,0.099588,0.004861,clean
2,0,0.001147,0,0,1.76682,0,0,0,0,22,0,0,0.061715,0,0,3,1,2,1,0,0,91,0,0,0,0,2,0,2,0,0,0,1.01,0,23,12,0.033928,0,clean
0,0.007298,0.005539,0,0,3.30831,0,0,0,0,5,0,0,0.096281,0,0,0,5,7,5,0,0,10,0,0,0,0,0,0,0,0,0,0,7.14,0,157,5,0.031038,0,clean
0,0,0.000665,0,0,1.56044,0,0,0,0,2,0,0,0.052586,0,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0.024708,0,clean
0,0,0.031087,0,0,1.39536,0,0,0,0,9,0,0,0.065265,0,0,2,0,1,0,0,0,21,0,0,0.008872,0,5,0,5,0,0,0,0,0,0,4,0.06599,0.00887,clean
0,0.000941,0.005856,0,0.000835,9.36692,0,0,0,0,2,0,1.01,0.235736,0,0,1,0,1,4,0,0,1,0,0.000904,0,1.01,2,0,2,0,0,0,0,0.000877,0,2,0.034427,0,clean
4,0,0.09423,0,0.023449,15.5993,0,1.01,0,0,29,0.014356,1.01,0.460971,0,0.001986,9,0,3,1,0,0,91,1.01,0.023311,0.022688,2.02,3,0,3,0,0,0,3.04,0.002692,21,10,0.132967,0.012931,clean
2,0.00145,0.002616,0,0,5.98276,0,0,0,0,14,0,0,0.159804,0,0,3,0,1,2,0,0,6,0,0,0.004997,0,0,0,0,0,0,0,1.01,0,6,2,0.034432,0,clean
0,0.000833,0.003397,0,0,3.30831,0,0,0,0,3,0,0,0.096281,0,0,1,4,5,3,0,0,3,0,0,0,0,1,0,1,0,0,0,3.07,0,64,3,0.031038,0,clean
6,0,0.255267,0.001422,0.02922,25.5219,0,4.05,0,0,41,0.016617,4.09,0.784625,0,0,10,0,1,2,0,0,153,0,0.030752,0.027675,7.09,20,0,11,0,2.05,0,0,0.027761,0,7,0.275399,0.018515,buggy
0,0,0.004113,0,0,3.96663,0,0,0,0,14,0,0,0.10933,0,0,4,0,1,0,0,0,0,0,0,0.00057,1.01,0,0,0,0,0,0,1.01,0.000545,7,1,0.030977,0,clean
0,0,0.032041,0,0,18.6755,0,0,0,0,7,0,0,0.472019,0,0.003121,11,1,2,0,0,0,1,3.11,0,0.003653,6.07,1,0,1,0,0,0,3.03,0.005167,14,0,0.053428,0,clean
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,2,0,0,clean
1,0,0.008813,0,0,1.56044,0,0,0,0,13,0,0,0.052586,0,0,11,13,5,1,0,0,55,0,0,0.003115,0,3,0,0,0,0,0,2.04,0,80,8,0.024708,0,clean
0,0,0.015287,0,0,10.1348,0,1.01,0,0,19,0.000784,0,0.271462,0,0,8,0,1,2,0,0,6,0,0,0.009736,2.03,5,0,5,0,0,0,0,0.001615,0,4,0.045184,0.000779,clean
0,0.003986,0.011621,0,0.002713,11.5039,0,0,6,0,12,0,1.01,0.305795,0,0,6,2,2,19,0,0,45,0,0.001748,0.006002,2.03,4,0,3,1,0,0,1.01,0.001457,12,10,0.051913,0,clean
4,0,0.01403,0,0,7.21846,0,0,0,0,19,0,0,0.213975,0,0,12,13,5,1,0,0,91,0,0,0,0,2,0,0,0,0,0,2.04,0,80,9,0.051013,0,clean
2,0,0.001596,0,0,1.76682,0,0,0,0,7,0,0,0.061715,0,0,7,0,1,2,0,0,6,0,0,0.004997,0,3,0,3,0,0,0,0,0,0,2,0.033928,0,clean
0,0,0.000219,0,0,3.01668,0,0,0,0,5,0,0,0.09829,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.040488,0,clean
16,0.001776,0.222613,0.003041,0.003266,27.4268,0,7.14,0,0,92,0.006036,4.04,0.691779,0,0.001986,27,2,5,2,0,0,528,1.01,0.00317,0.020425,9.31,3,0,2,1,3.03,0,5.37,0.009181,73,9,0.061541,0.005694,clean
16,0,0.017908,0,0,9.04795,0,0,0,0,137,0,0,0.251191,0,0.00199,13,5,3,1,0,0,171,2.03,0,0.007094,0,3,0,1,0,0,0,3.08,0,65,2,0.042007,0,buggy
1,0,0.011871,0,0,12.307,0,0,0,0,13,0,0,0.302588,0,0,4,0,1,0,0,0,10,0,0,0.006347,1.01,1,0,1,0,0,0,1.01,0.00063,6,4,0.03461,0,clean
5,0.03288,0.092344,0.003918,0.00272,18.7155,0,0,1,0,54,0,3.04,0.473389,1.01,0,2,0,1,66,0.000682,0,153,0,0.003877,0.008705,3.03,8,0,6,0,4.13,0,3.11,0.003618,6,13,0.047615,0.004491,clean
0,0.000806,0.006626,0.000526,0,8.96317,0,0,0,0,11,0,0,0.226889,0,0,4,0,1,2,0,0,28,0,0,0.000658,3.04,2,0,2,0,1.02,0,0,0.001874,0,8,0.034476,0.000562,clean
2,0,0.04321,0,0.001571,10.8049,0,3.04,0,0,12,0.002921,1.02,0.306018,0,0,7,0,1,1,0,2.02,10,0,0.001292,0.013002,4.06,3,0,3,0,0,0.002205,2.06,0.006738,0,3,0.054315,0.003851,clean
0,0,0.000156,0,0,1.77712,0,0,0,0,8,0,0,0.06092,0,0,7,0,1,1,0,0,28,0,0,0,0,1,0,1,0,0,0,0,0,13,8,0.030953,0,clean
0,0,0.127435,0.006397,0.002294,14.5398,0,0,0,0,12,0,2.02,0.402685,0,0.000669,8,0,4,1,0,0,28,1.01,0.001557,0.0188,5.08,5,0,5,0,4.04,0,7.21,0.00843,32,8,0.057045,0.006538,clean
0,0.015694,0.14763,0.011842,0.023449,2.57507,0,0,0,1,23,0,1.01,0.154779,0,0,7,0,1,3,0,0,6,0,0.023311,0.014019,1.02,3,0,3,2,1.01,0,0,0.022649,6,3,0.145018,0.012931,clean
0,0,0.008271,0.001613,0,6.61569,0,0,0,0,10,0,0,0.175221,0,0,9,0,1,1,0,0,45,0,0,0.001912,3.08,1,0,1,0,3.08,0,4.09,0.002393,15,10,0.031518,0.001989,clean
0,0.00086,0.006377,0.000807,0.00085,4.50329,0,0,0,0,9,0,1.01,0.126056,0,0,4,0,3,2,0,0,21,0,0.000736,0.000824,1.01,3,0,3,0,1.02,0,2.04,0.000989,34,7,0.031378,0.000854,clean
1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,clean
0,0.005409,0.003131,0,0.000835,7.72196,0,0,9,0,7,0,1.01,0.198359,3.03,0,0,0,1,9,0.001169,0,15,0,0.000904,0.004997,1.01,3,0,3,0,0,0,0,0.000877,2,6,0.034375,0,clean
0,0.001587,0.003752,0.000503,0,7.4204,0,0,11,0,0,0,0,0.193055,7.08,0,0,0,2,2,0.007253,0,0,0,0,0,0,0,0,0,0,1.01,0,1.01,0,9,1,0.034516,0.000549,clean
2,0.005917,0.120521,0.004887,0.006695,15.2441,0,2.03,0,0,13,0.006133,2.02,0.474406,0,0,2,0,1,0,0,0,36,0,0.006481,0.025741,3.05,4,0,4,0,1.02,0,0,0.005303,0,4,0.191705,0.007389,clean
6,0,0.090617,0.002385,0.001438,20.0741,0,4.1,0,0,19,0.004545,1.01,0.516704,0,0.001986,18,0,3,1,0,0,91,1.01,0.00145,0.017801,4.22,3,0,3,0,2.06,0,3.04,0.004687,21,7,0.061821,0.004788,clean
0,0.005016,0.027254,0.000828,0.004065,12.5339,0,0,11,0,10,0,3.03,0.32952,6.09,0,4,0,2,9,0.003534,0,28,0,0.002967,0.001566,2.03,2,0,2,0,1.01,0,3.03,0.001377,11,5,0.051992,0.001462,clean
7,0,0.089486,0.00443,0,5.8145,0,1.02,0,0,80,0.003473,0,0.328955,0,0,9,0,1,1,0,0,105,0,0,0.037125,1.03,2,0,0,1,1.01,0,0,0.006834,6,3,0.256859,0.005735,clean
3,0.001037,0.095102,0.003458,0.002361,12.6913,0,1.03,0,0,83,0.000761,2.08,0.333497,0,0.001447,5,5,3,2,0,0,231,2.04,0.003534,0.009696,6.08,18,0,10,0,3.14,0,5.17,0.011946,44,19,0.044621,0.003852,clean
4,0,0.204454,0.002863,0,28.2413,0,3.04,0,0,49,0.003462,0,0.790734,0,0.001986,27,2,5,2,0,0,171,1.01,0.000904,0.028931,8.24,1,0,1,0,2.02,0,5.37,0.011084,72,7,0.177829,0.011815,clean
0,0,0.002715,0,0,4.49802,0,0,0,0,4,0,0,0.126917,0,0,9,3,2,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,7,1,0.034345,0,clean
0,0,0.004133,0,0,8.04434,0,0,0,0,6,0,0,0.205054,0,0,0,0,2,2,0,0,21,0,0,0,0,3,0,3,0,0,0,6.13,0,57,7,0.03437,0,clean
2,0.012589,0.030283,0.001558,0,12.2832,0,2.02,0,0,21,0.001436,0,0.330444,0,0.005129,2,28,1,7,0,0,36,4.18,0,0.006044,2.02,3,0,3,0,3.03,0,2.02,0.004292,9,7,0.069952,0.00054,clean
1,0.005788,0.005741,0,0,9.57359,0,0,0,2,16,0,0,0.255362,0,0,7,0,1,14,0,0,10,0,0,0.004532,0,3,1,1,2,0,0,1.01,0,6,4,0.040017,0,buggy
0,0,0.029397,0.002009,0,4.41258,0,0,0,0,9,0,0,0.138856,0,0.00651,2,110,6,1,0,1.01,36,3.25,0,0.004641,1.02,1,0,1,0,1.07,0.0023,5.9,0.002417,412,9,0.046384,0.002356,clean
0,0,0.024348,0,0,11.9634,0,0,0,0,8,0,0,0.336504,0,0,5,0,1,0,0,0,1,0,0,0.006341,2.02,0,0,0,3,0,0,0,0.003847,0,0,0.05497,0,buggy
0,0.013775,0.011106,0,0,10.912,0,0,0,2,25,0,0,0.276409,0,0.000966,8,3,6,4,0,1.01,120,1.01,0,0.006165,1.01,4,1,4,2,0,0.000983,3.06,0.001255,86,14,0.032841,0,buggy
0,0.00094,0.034489,0.000702,0.000754,9.9241,0,0,0,0,13,0,1.02,0.248526,0,0.001577,3,7,2,1,0,0,36,2.22,0.00127,0.001366,3.03,2,0,2,1,1.01,0,2.08,0.00216,20,2,0.034509,0.000822,buggy
0,0.003557,0.007541,0,0,4.68802,0,0,0,0,6,0,0,0.13759,0,0,4,0,1,11,0,0,15,0,0,0,0,2,0,2,0,0,0,0,0,0,6,0.037315,0,clean
1,0,0.000249,0,0,1.76682,0,0,0,0,9,0,0,0.061715,0,0,5,0,1,1,0,0,15,0,0,0,0,3,0,2,0,0,0,0,0,0,4,0.033928,0,clean
1,0,0.009322,0,0,3.22666,0,0,0,0,6,0,0,0.1026,0,0,3,0,1,0,0,0,1,0,0,0.004997,0,0,0,0,0,0,0,0,0,6,1,0.038552,0,clean
5,0,0.002938,0,0,3.36633,0,0,0,0,18,0,0,0.107253,0,0,14,0,3,2,0,0,78,0,0,0.004997,0,1,0,1,0,0,0,1.02,0,21,7,0.040121,0,clean
0,0,0.001164,0,0,1.56044,0,0,0,0,3,0,0,0.052586,0,0,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0.024708,0,clean
0,0,0.000665,0,0,1.56044,0,0,0,0,2,0,0,0.052586,0,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0.024708,0,clean
0,0,0.00005,0,0,1.76682,0,0,3,0,2,0,0,0.061715,0,0,0,0,3,3,0,0,1,0,0,0,0,1,0,1,0,0,0,1.02,0,14,2,0.033928,0,clean
1,0,0.068983,0,0,5.47181,0,0,0,0,5,0,0,0.159603,0,0,2,0,3,1,0,1.01,1,0,0,0,0,1,0,1,0,0,0.000752,2.03,0,16,1,0.043405,0,clean
2,0,0.001197,0,0,1.76682,0,0,0,0,13,0,0,0.061715,0,0,5,0,1,1,0,0,10,0,0,0.004997,0,3,0,3,0,0,0,0,0,6,3,0.033928,0,clean
7,0,0.162237,0,0,17.2944,0,3.04,0,0,28,0.002249,0,0.431978,0,0,11,0,1,1,0,0,45,0,0.000904,0.009077,3.09,9,0,6,1,0,0,0,0.004048,0,3,0.043447,0.002671,clean
1,0.002316,0.042745,0.000828,0,11.9189,0,1.01,4,0,23,0.000393,0,0.324421,1.02,0,5,0,1,2,0.000731,0,45,0,0,0.011139,5.07,2,0,0,0,1.01,0,0,0.006653,0,3,0.07072,0.001973,clean
0,0,0.002805,0,0.000835,4.75414,0,0,0,0,1,0,1.02,0.127787,0,0.001986,0,0,4,1,0,0,0,1.01,0.000904,0.004997,1.01,0,0,0,0,0,0,3.04,0.000877,36,1,0.033962,0,clean
0,0.001237,0.013088,0,0,6.30121,0,0,0,0,10,0,0,0.168658,0,0,2,0,1,4,0,0,21,0,0,0.004997,0,3,0,3,0,0,0,1.01,0,6,7,0.034507,0,clean
0,0,0.087866,0,0.007526,11.4044,0,0,0,0,10,0,5.1,0.325439,0,0.002649,2,0,1,0,0,0,15,3.11,0.010513,0.010903,0,4,0,4,0,0,0,0,0,0,4,0.109312,0,buggy
0,0,0.006817,0,0,1.56044,0,0,0,0,8,0,0,0.052586,0,0,2,13,5,1,0,0,28,0,0,0.003115,0,2,0,0,0,0,0,2.04,0,80,7,0.024708,0,clean
0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,4,1,0,0,28,0,0,0,0,4,0,4,0,0,0,0,0,34,6,0,0,clean
1,0,0.053021,0,0,4.43166,0,0,2,0,25,0,0,0.125048,0,0,6,1,2,5,0,0,55,0,0,0.004997,0,10,0,0,0,0,0,1.01,0,13,2,0.034296,0,buggy
0,0,0.000078,0,0,1.77712,0,0,0,0,3,0,0,0.06092,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,6,1,0.030953,0,clean
0,0,0.001663,0,0,1.56044,0,0,0,0,3,0,0,0.052586,0,0,2,0,6,0,0,0,3,0,0,0.003115,0,0,0,0,0,0,0,0,0,20,3,0.024708,0,clean
1,0,0.007316,0,0,8.3733,0,0,0,0,6,0,0,0.248802,0,0,4,0,1,0,0,0,15,0,0,0.001886,0,3,0,3,0,0,0,0,0,0,3,0.059708,0,buggy
13,0.00235,0.066565,0,0,4.41258,0,2.02,0,0,60,0.003964,0,0.138856,0,0,17,0,2,1,0,1.01,378,0,0,0.004641,2.02,1,0,1,0,0,0.000538,1.09,0.00462,28,14,0.046384,0.004809,clean
1,0,0.024391,0,0,4.44773,0,0,0,0,15,0,0,0.139481,0,0,12,13,5,0,0,0,66,0,0,0.003115,0,7,0,1,0,0,0,2.04,0,80,9,0.045914,0,clean
0,0,0.027617,0.003192,0,10.2283,0,0,0,0,24,0,0,0.293581,0,0,11,1,4,0,0,2.02,171,0,0,0.013705,4.06,0,0,0,0,2.04,0.00396,7.17,0.005977,73,9,0.058411,0.00715,clean
