@relation 'bugzilla-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Remove-R1-3,12-14'

@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute pd numeric
@attribute npt numeric
@attribute bug {1,0}

@data
0.614948,0.086444,0.061559,381.75,0,6,47,1,1
0,0.002577,0.002577,388,0,6,3,1,0
0.918296,0.002247,0.002247,667.5,1,6,19,1,1
0,0.005391,0.005391,371,0,6,7,1,0
0,0.005391,0.005391,371,1,6,9,1,0
0,0.002695,0.002695,371,1,6,3,1,0
0,0.002695,0,371,0,6,0,1,0
0,0.002825,0.002825,354,1,6,0,1,1
0.811278,0.005618,0.005618,356,1,6,46,1,1
0,0.003003,0,333,0,5,53,1,0
0,0.003311,0.003311,302,1,4,0,1,0
0,0.027491,0.003436,291,1,3,0,1,1
0,0.003497,0.003497,286,1,3,19,1,1
0.863121,0.133117,0.003247,308,1,3,27,1,1
0,0.037313,0.003731,268,1,3,0,1,1
0,0.218391,0.007663,261,0,3,1,1,1
0,0.020833,0.004167,240,1,3,13,1,0
0,0.004525,0,221,0,2,1,1,1
0.847998,0.130318,0.015078,168.818182,0,3,601,0.636364,1
0,1.018293,0.583333,492,0,10,62,1,0
0,0.002392,0.002392,418,1,19,286,1,0
0,0.004785,0.002392,418,1,17,119,1,0
0,0.105516,0.009592,417,1,17,101,1,0
0.813915,0.425968,0.085421,439,0,19,281,1,0
0,0,0,0,0,22,1564,1,0
0.697726,0.646055,0.604478,469,0,24,2560,1,0
0.752705,0.046662,0.028467,524.230769,1,23,510,0.923077,0
1,0.003663,0.003663,273,1,24,1738,0.666667,0
0.970323,0.00456,0.008469,383.75,1,22,333,0.75,0
0,0.021739,0.01087,184,1,20,61,1,0
0,0.021978,0,182,1,20,59,1,0
1,0.004673,0.004673,214,1,23,136,1,0
0.661025,0.004049,0.011338,771.75,1,24,422,0.875,0
0.740766,0.019864,0.009409,765.2,0,24,261,1,0
0.570925,0.009309,0.005546,721.285714,1,24,319,0.857143,0
0.787278,0.058115,0.037452,580.75,1,23,133,1,0
0.908963,0.034337,0.031515,531.5,1,24,115,1,0
0,0.005,0,200,0,21,21,1,0
0.90019,0.02345,0.035812,687.625,0,24,395,0.875,0
0.608836,0.026011,0.011595,638.2,0,24,139,1,0
0,0.005263,0.015789,190,1,21,20,1,0
0,0,0,0,1,1,0,1,0
0,1.132948,0,173,0,1,0,1,0
0.96023,0.001488,0.000992,672,1,21,32,1,1
0.946395,0.002664,0.001598,625.666667,1,12,115,1,1
0,0,0,406,1,1,0,1,1
0,0.00315,0.001575,635,1,36,30,1,0
0,0.017657,0.004815,623,1,36,14,1,0
0,0.00161,0.00161,621,1,36,8,1,0
0.825405,0.043395,0.007651,836.5,1,44,84,0.7,1
0.696212,0.030303,0.013774,363,1,36,13,1,1
0,0.001727,0.001727,579,1,34,78,1,0
0,0.001718,0.001718,582,1,33,25,1,0
0,0.005155,0.001718,582,1,33,0,1,0
0.485461,0.017143,0.01,350,1,34,77,1,0
0,0.00519,0.00519,578,1,33,22,1,0
0,0.008651,0.00519,578,1,33,7,1,0
0,0.01209,0.001727,579,1,33,1,1,0
0,0.029668,0.012216,573,1,33,32,1,1
0,0.005245,0,572,1,33,5,1,0
0,0.001751,0.001751,571,1,33,5,1,0
0.258019,0.009328,0.004975,804,1,34,21,1,1
0.531488,0.024237,0.022506,577.625,1,37,128,0.875,1
0,0.009025,0.001805,554,1,33,12,1,0
0,0.001855,0,539,1,33,5,1,1
0,0.011152,0.020446,538,1,33,1,1,0
0.888468,0.007298,0.007298,446.592593,1,39,0,0.037037,1
0.888468,0.007298,0.007298,446.592593,1,39,1186,0.740741,1
0.99403,0.009728,0.00454,771,1,34,17,1,1
0.896038,0.019417,0.006472,309,1,32,0,0.5,0
0.863121,0.009288,0.001548,323,1,33,11,1,0
0,0.001876,0,533,1,32,0,1,0
0.854587,0.00288,0.00288,893,1,37,258,0.857143,1
0,0.00188,0.00188,532,1,32,38,1,0
0,0.00188,0.00188,532,1,32,4,1,0
0,0.082707,0.071429,532,1,32,4,1,1
0,0.051625,0.043977,523,1,31,6,1,1
0,0.001277,0,391.5,1,31,4,1,1
0,0.001931,0,518,1,31,2,1,0
0,0.001934,0.001934,517,1,31,1,1,0
0.985228,0.008219,0.006164,730,1,30,35,1,1
0,0.215953,0.169261,514,1,30,9,1,1
0.588758,0.077241,0.010345,725,1,30,2,1,1
0.512709,0.05814,0.05814,301,1,30,91,1,1
0,0.00994,0,503,1,29,10,1,0
0.997772,0.03662,0.014085,355,1,30,234,1,1
0,0.002,0,500,1,29,6,1,0
0,0.038076,0.02004,499,1,29,11,1,1
0,0.01626,0,492,1,29,1,1,1
0,0.010225,0.002045,489,1,29,22,1,0
0,0.022634,0.006173,486,1,28,1,1,0
0,0.026971,0.026971,482,1,28,10,1,1
0.749595,0.009658,0.000743,673,1,31,24,1,1
0,0.043659,0.008316,481,1,28,5,1,0
0,0.008493,0.002123,471,1,28,0,1,0
0.612196,0.081197,0.054701,585,1,28,53,1,1
0,0.017582,0.002198,455,1,28,5,1,0
0,0.002212,0.002212,452,1,28,5,1,0
0,0.018391,0.004598,435,1,28,16,1,0
0,0.016241,0.00232,431,1,28,14,1,0
0,0.016432,0.016432,426,1,28,5,1,0
0.85817,0.065934,0.050824,145.6,1,29,633,1,1
0,0.002347,0.002347,426,1,28,12,1,0
0,0.023148,0,432,1,28,7,1,1
0,0.002326,0.002326,430,1,28,48,1,1
0,0.01171,0.01171,427,1,27,5,1,0
0.881559,0.01684,0.00401,311.75,1,29,196,1,1
0,0.007042,0.004695,426,1,26,26,1,1
0,0.002347,0.002347,426,0,26,0,1,1
0,0.016432,0.007042,426,1,26,12,1,0
0.479832,0.018182,0.040404,247.5,1,26,8,0.5,0
0.860121,0.024708,0.014008,284.12,1,31,1668,0.34,1
0,0.002392,0.002392,418,1,26,3,1,1
0,0,0.043062,418,1,25,0,1,0
0,0.083333,0.037037,432,1,25,0,1,1
0,0.016787,0.014388,417,1,23,7,1,1
0,0.002404,0.002404,416,1,22,1,1,1
0.579082,0.014839,0.003028,825.5,1,27,16,1,1
0,0.004808,0.014423,416,1,22,27,1,1
0,0.002404,0.002404,416,1,22,11,1,0
0.577849,0.028445,0.02086,527.333333,1,25,56,1,1
0,0.02445,0.01467,409,1,22,0,1,0
0,0.051724,0.036946,406,1,22,2,1,1
0,0.037221,0.012407,403,1,22,1,1,0
0.791956,0.041748,0.01696,511,1,24,10,1,1
0.895754,0.01108,0.003693,361,1,22,26,1,1
0,0.005208,0.005208,384,1,21,6,1,0
0,0.002618,0.002618,382,1,21,6,1,0
0,0,0.005236,382,1,21,3,1,0
0.391244,0.005654,0.004847,619,1,23,4,0.5,1
0,0.007732,0.002577,388,1,21,5,1,1
0,0.015424,0,389,1,21,2,1,1
0,0.005181,0.010363,386,1,21,16,1,1
0,0.023026,0.925439,456,1,21,0,1,1
0,0.001117,0.001117,895,1,21,1,1,0
0,0.001117,0.001117,895,1,21,13,1,0
0.923528,0.01678,0.022911,774.75,1,25,129,1,1
0,0.015385,0,910,1,21,14,1,0
0,0.024499,0,898,1,20,1,1,1
0.943189,0,0.006579,557.333333,1,21,27,0.666667,0
0,0.001133,0.001133,883,1,19,1,1,0
0,0.011325,0,883,1,19,1,1,1
0,0.003421,0.004561,877,1,19,5,1,0
0,0.006834,0.004556,878,1,19,4,1,0
0,0.001139,0.001139,878,1,19,9,1,0
0,0.001139,0.001139,878,1,19,15,1,1
0,0.001139,0.001139,878,1,19,1,1,1
0,0.001139,0,878,1,19,1,1,0
0,0.001152,0,868,1,19,8,1,0
0,0.002307,0.004614,867,1,19,2,1,0
0,0.006889,0.002296,871,1,19,2,1,0
0,0.029851,0.012629,871,1,19,0,1,1
0,0.00814,0.004651,860,1,19,0,1,1
0,0.05711,0.018648,858,1,19,3,1,0
0,0.001182,0.003546,846,1,19,3,1,0
0,0.003546,0,846,1,19,10,1,1
0,0.021371,0,1123,1,18,43,1,0
0,0.002708,0.000903,1108,1,18,10,1,0
0,0.007227,0.003613,1107,1,17,15,1,0
0,0.013514,0.001802,1110,1,17,0,1,0
0,0.020928,0.006369,1099,1,16,2,1,1
0.806235,0.038242,0.038242,570.05,1,19,766,0.75,1
0.906406,0.007593,0.007009,428,1,19,914,0.875,1
0.468996,0.005602,0,892.5,1,17,30,1,1
0,0.002768,0.002768,1084,1,16,0,1,0
0,0.01845,0.010148,1084,1,16,6,1,0
0,0.000928,0.000928,1078,1,16,20,1,0
0,0.009276,0.003711,1078,1,16,5,1,0
0.672295,0.005972,0.003257,921,1,16,15,1,0
0,0.001887,0.001887,1060,1,14,25,1,0
0,0.001887,0.001887,1060,1,14,1,1,0
0,0.000943,0,1060,1,14,0,1,0
0,0.043437,0.01983,1059,1,14,1,1,0
0,0.000973,0,1028,1,14,0,1,0
0,0.005842,0,1027,1,14,2,1,0
0,0.000989,0.001978,1011,1,13,27,1,0
0,0.002964,0.006917,1012,0,12,4,1,1
0,0.104331,0.008858,1016,1,12,12,1,1
0,0.008973,0.004985,1003,1,12,2,1,0
0,0.003003,0.001001,999,1,12,5,1,0
1,0.007366,0.004911,814.5,1,13,50,1,0
0,0.021106,0.021106,995,1,12,0,1,0
0,0.01608,0.00201,995,1,12,129,1,1
0,0.001015,0.008122,985,1,12,0,1,0
0,0.007078,0.001011,989,1,12,3,1,0
0,0,0.00203,985,0,12,0,1,0
0,0.001015,0.001015,985,1,12,2,1,0
0,0.001015,0.001015,985,1,12,5,1,0
0.985057,0.003704,0.001235,540,1,13,149,1,1
0,0.001027,0.001027,974,0,10,0,1,0
0.813652,0.00561,0.002338,713,0,11,31,1,0
0,0.001026,0,975,1,10,29,1,0
0,0.002053,0.002053,974,0,9,6,1,0
0,0.007187,0.004107,974,1,9,37,1,1
0,0.010277,0.002055,973,1,7,20,1,1
0,0.018614,0.013444,967,0,6,2,1,0
0,0.010384,0.001038,963,0,6,6,1,0
0,0.001043,0.001043,959,1,6,1,1,0
0,0,0.001043,959,0,6,5,1,0
0,0.001042,0.001042,960,0,6,2,1,0
0,0.014614,0,958,1,6,8,1,1
0,0.002112,0.002112,947,0,6,0,1,0
0,0.001059,0.001059,944,1,6,10,1,0
0.995727,0.007037,0.002111,710.5,1,6,0,1,0
0.918296,0.00254,0.00254,590.5,1,7,0,0.5,0
0,0.001067,0,937,1,6,5,1,0
0.849751,0.049456,0.007913,505.5,1,6,20,1,1
0,0.002176,0.002176,919,0,6,3,1,0
0.532835,0.019839,0.00062,806.5,0,6,3,1,1
0,0.001114,0.001114,898,1,6,0,1,0
0,0.004454,0.002227,898,0,6,1,1,0
0.983939,0.025932,0.012156,617,1,7,2,0.5,1
0.998364,0.04523,0.006579,608,1,7,2,1,1
0.524189,0.094014,0.049417,497.8,0,7,4,1,1
0,0.001475,0.001475,678,1,6,0,1,0
0.887976,0.028881,0.00361,554,1,7,0,1,1
0,0.002994,0.002994,668,0,6,0,1,0
0,0.008982,0.002994,668,0,6,0,1,0
0.573021,0.093023,0.009767,430,1,6,16,0.6,1
0.995727,0.008108,0.003604,555,0,6,4,1,0
0,0.001597,0.023962,626,1,6,3,1,1
0.453716,0.062874,0.031437,334,0,6,74,1,1
0,0.006734,0.001684,594,1,6,2,1,1
0,0.003384,0.003384,591,0,6,4,1,0
0,0.003384,0.003384,591,0,6,0,1,0
0.75509,0.067294,0.005579,358.5,1,7,188,0.875,1
0,0.00531,0,565,1,6,33,1,0
0,0.005329,0.001776,563,1,5,5,1,0
0,0.001783,0.001783,561,0,5,3,1,0
0,0,0.001783,561,1,5,0,1,0
0,0.005338,0.003559,562,0,5,0,1,1
0,0.003565,0,561,0,5,0,1,0
0,0.001783,0.001783,561,1,5,0,1,1
0.976021,0.041451,0.004145,482.5,0,6,15,1,0
0,0.003676,0.003676,544,1,5,1,1,0
0,0.001838,0.001838,544,0,5,0,1,0
0.89564,0.014729,0.005426,430,1,7,20,0.666667,1
0,0.001845,0.001845,542,0,5,2,1,0
0,0.001845,0.001845,542,1,5,3,1,0
0,0.001845,0.001845,542,1,5,1,1,1
0,0.001845,0.001845,542,1,5,25,1,0
0,0.097606,0.119705,543,1,5,15,1,1
0,0.021898,0,548,0,5,0,1,0
0.821858,0.012346,0.01466,324,1,6,78,1,1
0,0.00365,0.001825,548,0,4,21,1,0
0,0.001835,0.001835,545,0,4,3,1,0
0.954434,0.010959,0,365,0,5,6,1,1
0,0.018416,0.009208,543,0,4,0,1,1
0,0.001901,0.001901,526,0,3,36,1,0
0,0.004202,0.002101,476,1,2,0,1,0
0,0.004211,0.006316,475,0,2,22,1,0
0,0.002101,0,476,0,2,7,1,1
0,0.004211,0.002105,475,1,2,0,1,0
0,0.006667,0,450,0,2,6,1,0
0,0.008929,0.006696,448,0,2,0,1,0
0.918296,0.004405,0,340.5,0,3,1,1,0
0.991076,0.011844,0.003384,295.5,0,3,73,1,1
0,0.002439,0.002439,410,1,2,1,1,0
0,0.002439,0.002439,410,1,2,5,1,0
0,0.012195,0.004878,410,1,2,20,1,0
0,0.058824,0.02451,408,0,1,5,1,1
0,0.009975,0.009975,401,1,1,9,1,0
0.811278,0.010889,0.00363,275.5,1,1,1,1,0
0,0.002558,0.002558,391,1,1,1,1,0
0,0.043478,0.035806,391,1,1,3,1,0
0.459607,0.054863,0.057357,200.5,1,1,3,1,0
0,0.028986,0.002415,414,0,1,0,1,1
0,0.788571,1.258571,700,0,8,51,1,0
0,0.001837,0.001837,1089,1,19,316,1,0
0,0.015611,0.001837,1089,1,19,295,1,0
0,0.022305,0,1076,1,18,136,1,0
0,0.00754,0.00377,1061,1,18,93,1,0
0.831614,0.008572,0.006895,670.75,1,19,615,0.875,0
0.617714,0.084229,0.013428,682.666667,0,19,203,0.833333,0
0.766855,0.022902,0.031529,531.25,0,22,1385,0.666667,0
0.560927,0.027104,0.034058,801.142857,0,20,681,0.857143,0
0.992112,0.04883,0.053408,983,1,19,87,1,0
0.748045,0.007224,0.01375,613,1,19,182,0.857143,0
0.969509,0.036831,0.014632,283.142857,1,19,2130,0.857143,0
0.940002,0.069234,0.025176,900.333333,1,20,239,0.666667,0
0.663197,0.01382,0.000494,1013,0,19,152,0.5,0
0.852423,0.008935,0.004124,970,1,18,27,0.333333,0
0,0.004499,0.00225,889,1,28,795,1,0
0,0.004515,0.003386,886,1,28,587,1,0
0,0.00113,0.00113,885,1,19,43,1,0
0,0.011299,0,885,1,19,42,1,0
0.76026,0.007131,0.004803,312.318182,1,22,2107,0.636364,0
0,0.003413,0.004551,879,1,19,36,1,0
0,0.006818,0.004545,880,1,19,31,1,0
0,0.007955,0,880,1,19,31,1,0
0,0.001139,0.001139,878,1,19,27,1,0
0,0.001139,0.001139,878,1,19,18,1,0
0,0.001139,0.001139,878,1,19,3,1,0
0,0.001139,0,878,1,19,2,1,0
0,0.002597,0.002597,385,0,21,75,1,0
0.918296,0.000429,0.006006,1165.5,0,25,131,1,0
0.95282,0.005714,0.004082,612.5,0,25,318,1,0
0.995727,0.006356,0.007415,472,0,21,91,1,0
0.899744,0.011653,0.008475,472,0,21,89,1,0
0.836641,0.010616,0.005308,471,1,21,89,1,0
0.86317,0.01495,0.013704,481.6,1,34,2373,1,0
0.99403,0.011783,0.005499,636.5,1,34,790,1,0
0.636096,0.0625,0.028846,208,1,33,2228,1,0
0.512709,0.059222,0.059222,295.5,1,30,511,1,0
0,0.010163,0,492,1,29,179,1,0
0,0.016393,0,488,1,29,67,1,0
0,0.010309,0.002062,485,1,29,66,1,0
0,0.02268,0.006186,485,1,28,16,1,0
0.522559,0.016369,0.008929,336,1,34,468,1,0
0,0.005425,0.005425,553,1,33,196,1,0
0,0.007233,0.005425,553,1,33,174,1,0
0,0.012635,0.001805,554,1,33,167,1,0
0,0.001828,0.001828,547,1,33,120,1,0
0,0.038391,0,547,1,33,80,1,0
0.941348,0.013703,0.012789,656.8,1,34,474,1,0
0.99403,0.009817,0.004581,764,1,34,24,1,0
0,0.0189,0.005155,582,1,36,201,1,0
0,0.001724,0.001724,580,1,36,187,1,0
0,0.001724,0.001724,580,1,34,151,1,0
0,0.00271,0.00271,369,1,7,11,1,0
0,0.001215,0.001215,823,1,23,7,1,0
0,0.004975,0.004975,804,1,22,4,1,1
0.720757,0.031987,0.073112,519.75,1,24,282,0.75,1
0,0,0,292,1,1,0,1,1
0.617359,0.108258,0.079152,399.631579,0,21,3658,0.842105,0
0,0,0,0,1,12,91,1,0
0,0.026786,0.008929,112,0,6,0,1,0
0,0.01087,0,92,0,5,9,1,0
0.840241,0.037215,0.010804,208.25,1,5,296,0.75,1
0.782991,0.014528,0.043584,137.666667,0,5,245,1,1
0,0.012658,0.012658,79,0,4,0,1,0
0,0,0.068182,44,0,1,28,1,0
0,0.071429,0.071429,14,0,10,745,1,0
0.957787,0.005169,0.002115,709.333333,1,35,90,0.666667,1
0,0.039474,0.039474,152,1,3,64,1,0
0,0.013158,0.006579,152,1,3,5,1,1
0.472189,0.342105,0.309211,152,1,1,190,1,1
0,0.006494,0.006494,154,1,1,5,1,0
0.749595,0.027933,0.011173,179,1,22,721,1,0
0,0.039474,0.039474,152,1,4,72,1,0
0.14739,0.140212,0.150265,472.5,1,38,98,1,1
0.71253,0.056325,0.048015,722,1,38,7,1,0
0.935068,0.2751,0.439759,249,1,38,9,1,1
0.934913,0.012108,0.009972,351,1,37,77,1,1
0.679022,0.020177,0.020177,599.7,1,38,135,0.7,1
0.72222,0.064998,0.058539,825.666667,1,37,3,0.666667,1
0.654113,0.219315,0.182763,866.333333,1,37,0,0.666667,1
0.046813,0.010779,1.748756,603,1,37,1,1,0
0.952609,0.005599,0.016365,1161,1,37,374,1,0
0.942163,0.017059,0.008936,1231,1,37,0,1,0
0,0.006648,0.00095,2106,1,37,0,1,0
0,0.021438,0,2239,1,37,0,1,0
0.546114,0.043922,0.022222,956.25,1,36,43,1,1
0,0.008903,0.151356,2471,1,36,1,1,1
0,0.013303,0.007222,2631,1,36,0,1,0
0,0.006857,0.014857,2625,1,36,0,1,1
0,0.004564,0.003423,2629,1,36,0,1,1
0,0.065449,0.04414,2628,1,36,0,1,1
0.985228,0.016801,0.00035,1428.5,1,36,4,1,1
0,0.000759,0.000759,2636,1,36,0,1,0
0.973265,0.023363,0.011681,1412.5,1,36,0,0.5,1
0.918296,0.007153,0.006795,1398,1,36,2,1,1
0,0,0.00076,2633,1,36,0,1,0
0.782779,0.00748,0.00087,958.166667,1,41,279,1,1
0,0.001144,0.060259,2622,1,36,0,1,0
0,0.000368,0.000368,2717,0,36,2,1,0
0,0.000736,0.000368,2717,1,36,0,1,0
0.768483,0.010982,0.01524,495.777778,1,38,324,0.777778,1
0,0.00074,0.00037,2704,1,36,9,1,0
0,0.002219,0.005547,2704,1,36,0,1,1
0,0.060606,0.058389,2706,1,36,1,1,1
0,0.00037,0.00037,2704,1,36,0,1,0
0,0.00037,0.00037,2704,1,36,0,1,0
0,0.00037,0.00037,2704,1,36,0,1,0
0,0.00037,0.00037,2704,1,36,0,1,0
0,0.00037,0.00037,2704,1,36,0,1,0
0,0.00074,0.00074,2704,1,36,0,1,0
0,0.00074,0.00074,2704,1,36,0,1,0
0,0.00037,0.00037,2704,1,36,6,1,0
0.981444,0.015509,0.001686,741.5,1,35,450,1,1
0,0.000742,0.000742,2697,1,35,3,1,0
0,0.000371,0,2697,1,34,7,1,0
0,0.000742,0.000742,2696,1,34,0,1,0
0.249882,0.010973,0.000732,2050.5,1,34,27,1,0
0,0.002268,0,2646,1,33,25,1,1
0.896539,0.004221,0.003933,613.235294,1,41,554,0.823529,1
0,0.000379,0.000379,2636,1,33,1,1,0
0.697754,0.008701,0.001684,890.75,1,39,23,1,1
0,0.001139,0,2633,1,33,1,1,0
0,0.00457,0.002666,2626,1,33,2,1,0
0.029011,0.343571,0.156716,1161.333333,1,33,556,1,1
0.713172,0.005501,0.00066,1136.25,1,38,20,0.75,1
0.300567,0.053783,0.007191,556.25,1,37,511,0.916667,1
0.912506,0.004151,0.001384,1084,1,34,153,1,0
0,0.001151,0.000767,2607,1,33,2,1,0
0.614138,0.04723,0.004261,1408,1,34,24,1,1
0.875911,0.024993,0.013028,1253.666667,1,34,17,1,1
0,0.019291,0.030315,2540,1,33,1,1,1
0,0.030255,0.019253,2545,1,33,10,1,1
0,0.001181,0.001575,2540,1,33,0,1,1
0,0.000787,0,2541,1,33,1,1,0
0,0.003545,0.000394,2539,1,33,11,1,0
0,0.001974,0.005527,2533,1,33,2,1,1
0,0.000394,0.000394,2539,1,33,7,1,0
0,0.000788,0.000788,2539,1,33,2,1,0
0.577004,0.008812,0.009165,1418.5,1,34,4,1,1
0,0.006688,0,2542,1,32,4,1,1
0.200622,0.01683,0.001122,1782.5,1,32,3,1,0
0,0.000802,0.000802,2494,1,31,9,1,0
0.954434,0.00178,0.000254,1966.5,1,31,16,1,0
0.757839,0.007129,0.000823,1215.666667,1,31,13,1,1
0.607123,0.009919,0.001948,1129.2,1,37,82,0.6,1
0.470099,0.009717,0.002227,988,1,32,65,1,1
0,0.002421,0,2478,1,31,0,1,0
0,0.00647,0.002426,2473,1,31,0,1,0
0.918296,0.000921,0.000921,1629,1,31,37,1,0
0.970951,0.00432,0.00468,1389,1,32,27,1,0
0,0.002438,0.000813,2461,1,31,4,1,0
0.846795,0.003727,0.001491,1341.666667,1,31,62,1,0
0,0.001221,0.001627,2458,1,31,7,1,1
0.811424,0.007345,0.00382,850.875,1,38,50,0.75,1
0.848186,0.011591,0.002288,936.714286,1,34,91,1,1
0,0.004098,0.004508,2440,1,31,2,1,0
0,0.012295,0.009426,2440,1,31,1,1,0
0.786352,0.00483,0.00184,1087,1,38,19,1,1
0.918296,0.002076,0.00026,1926.5,1,31,22,1,1
0.364374,0.045148,0.027628,989.333333,1,36,52,1,1
0.903569,0.008895,0.001483,1011.75,1,36,41,1,1
0,0.001652,0.001239,2421,1,31,0,1,1
1,0.000804,0.000804,1244.5,1,31,573,1,0
0.829127,0.010142,0.003187,690.2,1,31,184,0.8,1
0.620289,0.01133,0.01261,608,1,36,122,0.888889,1
0.811278,0.000369,0.002581,1356,1,32,4,1,1
0.591673,0.002884,0.000787,1907,1,31,4,1,1
0,0.000418,0,2393,1,31,0,1,0
0,0.000838,0.000838,2386,1,31,4,1,1
0.377947,0.025812,0.00377,1149.333333,1,36,21,1,1
0.954434,0.001842,0.000263,1900.5,1,31,6,1,0
0.910407,0.002292,0.001559,545.35,1,39,860,0.95,0
0,0.002098,0.002098,2383,1,31,5,1,0
0.831474,0.007258,0.000403,1240,1,31,28,0.5,0
0.995727,0.003169,0.000264,1893.5,1,31,6,1,0
0.591673,0.006197,0.004648,1291,1,31,48,1,1
1,0.001068,0.000534,1873.5,1,31,10,0.5,0
0,0.000433,0.000433,2309,1,31,1,1,1
0.998052,0.031653,0.028527,1279.5,1,31,9,1,1
0,0.020931,0.020931,2341,1,31,1,1,1
0,0.002563,0.000427,2341,1,31,0,1,0
1,0.001651,0.00099,1514.5,1,36,29,1,1
0,0.000855,0.009833,2339,1,31,1,1,0
0,0.000426,0.000426,2346,1,31,0,1,0
0.855038,0.071067,0.016238,1185.5,1,31,24,0.75,1
0.327445,0.003147,0.016522,1271,1,31,18,1,1
0.991076,0.005145,0.00147,1360.5,1,32,20,1,0
0,0.008489,0,2356,1,31,4,1,0
0,0.000428,0.000428,2339,1,31,2,1,0
0,0.012587,0.00651,2304,1,31,0,1,0
0.932112,0.005364,0.001129,1771,1,31,0,1,1
0,0.001738,0,2301,1,30,5,1,0
0.544615,0.003753,0.003753,932.5,1,30,25,1,1
0,0.006542,0.003489,2293,1,30,2,1,0
0.893855,0.004595,0.003939,870.428571,1,35,13,1,1
0,0.005677,0.000437,2290,1,30,0,1,0
0,0.080821,0.082132,2289,1,30,0,1,1
0,0.000876,0.000438,2284,1,30,0,1,1
0.90475,0.008359,0.005015,897.25,1,35,12,1,1
0.703006,0.02677,0,720.428571,1,30,28,0.857143,1
0,0.007895,0.009211,2280,1,30,1,1,1
0.650022,0.006203,0.00027,1854,1,35,9,1,1
0,0.011261,0.007883,2664,1,30,2,1,1
0.730106,0.019744,0.010453,861,1,30,41,0.6,1
0.914821,0.135907,0.107659,1593,1,30,8,1,1
0.413817,0.007546,0.008202,1524,1,30,4,1,0
0,0.000364,0,2751,1,30,0,1,0
0.799049,0.007386,0.003211,1557,1,30,6,1,1
0,0.207726,0.178936,2744,1,30,0,1,1
0,0.004498,0.000375,2668,1,30,0,1,0
0.665536,0.026276,0.003446,928.6,1,35,240,1,1
0,0.00452,0.000753,2655,1,30,2,1,0
0,0.002646,0.000378,2646,1,30,0,1,0
0,0.000375,0.000375,2664,1,30,1,1,1
0,0.003006,0.001503,2661,1,30,4,1,0
0,0.00451,0,2661,1,29,3,1,0
0,0.00227,0.000757,2643,1,29,1,1,0
0,0.000759,0.000379,2636,1,29,1,1,1
0,0.01101,0,2634,1,29,9,1,1
0.503258,0.003201,0,1406,1,29,194,1,0
0,0.003823,0.00344,2616,1,29,0,1,1
0,0.003063,0.001531,2612,1,29,1,1,0
0,0.003066,0.00115,2609,1,29,1,1,0
0,0.000383,0.001534,2608,1,29,4,1,0
0,0.010349,0.000383,2609,1,29,0,1,0
0,0.000772,0.003475,2590,1,29,1,1,1
0,0.001558,0.001558,2568,1,28,2,1,1
0,0.005062,0.007399,2568,1,28,12,1,1
0,0.000777,0.000777,2574,1,28,0,1,0
0,0.003497,0,2574,1,28,0,1,1
0,0.018677,0,2570,1,28,3,1,1
0,0.00197,0.004334,2538,1,28,0,1,1
0,0.007087,0.004331,2540,1,28,17,1,1
0,0.000395,0.000395,2533,1,28,15,1,0
0,0.020134,0,2533,1,28,2,1,1
0,0.003599,0.0012,2501,1,28,10,1,0
0,0.0004,0.0004,2498,1,28,10,1,0
0,0.004003,0.003603,2498,1,28,5,1,1
0,0.0004,0.0004,2498,1,28,0,1,0
0,0.000801,0,2498,1,27,10,1,0
0,0.000801,0.000801,2496,1,27,0,1,0
0,0.004407,0.008013,2496,1,27,4,1,1
0.961237,0.002361,0.001475,1694.5,1,27,23,1,1
0,0.000401,0.000401,2495,1,27,5,1,0
0.561909,0.016454,0.001228,814.4,1,27,7,0.8,1
0,0.000414,0.000414,2415,1,27,6,1,1
0.746676,0.040582,0.025143,566.75,1,32,281,0.375,1
0,0.000416,0.000416,2402,1,27,5,1,0
0,0.000833,0.000833,2402,1,27,0,1,0
0.811278,0.001972,0.001183,1268,1,27,48,1,0
0,0.002498,0.001665,2402,1,27,1,1,1
0,0.003753,0.001251,2398,1,27,17,1,0
0,0.000417,0,2398,1,26,0,1,1
0.855212,0.030333,0.01233,811,1,29,178,1,1
0.297472,0.012195,0,1558,1,26,12,0.5,1
0.96023,0.007458,0.000311,1072.666667,1,26,68,1,1
0,0.000422,0.000422,2369,1,26,0,1,0
0,0.000422,0.000422,2369,1,26,0,1,1
0,0.002111,0.002111,2369,1,26,36,1,0
0,0.001266,0.001266,2369,1,26,0,1,0
0,0,0.001688,2369,1,26,0,1,0
0,0.004218,0.000422,2371,1,26,2,1,1
0,0.000422,0.000422,2369,1,26,1,1,0
0,0.002111,0.010975,2369,1,26,2,1,0
0,0.001262,0.000421,2377,1,26,9,1,1
0,0.001263,0.001263,2376,1,26,5,1,1
0,0.000421,0.000421,2376,1,26,1,1,0
0,0.034933,0.034512,2376,1,26,7,1,0
0,0.02064,0.006318,2374,1,26,6,1,1
0,0.059149,0.037872,2350,1,26,12,1,1
1,0.000639,0.000639,1565,1,31,30,1,0
0,0.003447,0.000862,2321,1,26,13,1,0
0,0.000431,0.000431,2318,1,26,3,1,0
