@relation data/M_multi_metrics_PDE.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R47-weka.filters.unsupervised.attribute.Remove-R47-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R39-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R50-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R25-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R20

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute LDHH_fanIn numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute CvsEntropy numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPrivateAttributes numeric
@attribute CvsLogEntropy numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_fanOut numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute ck_oo_fanIn numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute ck_oo_numberOfAttributes numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute LDHH_dit numeric
@attribute WCHU_numberOfMethodsInherited numeric
@attribute LDHH_fanOut numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute CvsExpEntropy numeric
@attribute class {buggy,clean}

@data
3,0.001994,0.03079,0.00117,0,6.84217,0,4,0,0,0,0.186014,0,2,0,1,2,0.003887,0,5,0,5,0,0,1.01,0,2,0.035558,clean
0,0,0.006282,0.000702,0,6.17907,0.000138,0,0,0,0,0.163964,0,1,0,1,4,0,0,8,0,0,0,0,1.01,0.00063,4,0.034362,clean
14,0.001237,0.147613,0.002696,0.001096,17.0216,0,0,0,0.000842,2.05,0.445294,0,19,0,1,2,0,0,27,0,23,1,0,0,0.0051,4,0.055433,clean
1,0,0.023859,0,0,4.33338,0,0,0,0,0,0.13686,0,2,0,1,1,0,0,2,0,2,0,0,0,0,4,0.047507,clean
0,0.003779,0.01111,0,0,7.56276,0,0,0,0,0,0.209902,0,7,4,3,7,0,0,1,0,1,0,0,4.1,0.010002,9,0.039355,clean
0,0,0.000249,0,0,1.76682,0,2,0,0,0,0.061715,0,0,0,1,5,0,0,3,0,2,0,0,0,0,9,0.033928,clean
0,0,0.016804,0,0.000835,11.602,0,0,0,0,1.01,0.301471,0,4,0,2,1,0,0,4,0,3,0,0,8.18,0.002692,1,0.04327,clean
9,0.001941,0.037003,0,0,10.2788,0,0,0,0,0,0.370556,0,10,0,1,0,0,0,6,0,6,1,0,0,0,2,0.139066,clean
3,0,0.024371,0,0,7.61847,0,0,0,0,0,0.211703,0,4,0,1,0,0,0,0,0,0,0,0,1.01,0.002006,0,0.039724,clean
0,0.015213,0.030922,0.002124,0,10.2527,0,0,0,0,0,0.259914,0,10,0,1,9,0,0,11,0,0,0,0,1.01,0.000671,11,0.032558,clean
0,0,0.023639,0,0,5.85726,0,0,0,0,0,0.184515,0,4,6,2,1,0,0,1,0,0,0,0,0,0,2,0.061849,clean
1,0.001747,0.097614,0.001402,0.002213,17.575,0,0,0,0.000691,3.09,0.435284,0.000816,6,6,3,2,0,1.01,2,1,2,0,0.000222,1.07,0.005995,4,0.041236,clean
17,0.001632,0.185011,0.000549,0.001283,18.208,0,0,0,0.001419,2.02,0.458825,0.001986,28,0,3,2,0,0,8,0,4,1,0,3.04,0.003533,6,0.04733,clean
1,0.002993,0.010854,0.000828,0,8.27328,0,1,0,0,0,0.209368,0.001986,8,1,4,4,0,0,3,0,3,0,0,4.08,0.001601,8,0.031443,clean
1,0.002898,0.18421,0.002611,0.000788,16.4861,0,3,0,0.000763,1.04,0.426508,0.002762,3,0,1,2,0,0,1,0,0,1,0,0,0.003502,1,0.04819,clean
4,0.002703,0.318937,0.001047,0.008392,24.0899,0,2,0,0.004429,6.12,0.701512,0,19,0,1,5,0.000763,0,24,0,15,0,0,1.01,0.020706,8,0.193329,buggy
1,0,0.003156,0,0.000835,7.72196,0,0,0,0,1.01,0.198359,0,4,0,1,1,0,0,6,0,5,0,0,0,0,4,0.034375,clean
9,0.000941,0.147213,0.002434,0.002243,14.3803,0,0,1,0.003172,1.05,0.44699,0,5,0,1,3,0,0,11,0,11,1,0,1.01,0.007046,6,0.167895,clean
0,0,0.010267,0,0,2.56656,0,0,0,0,0,0.075144,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,0.013579,clean
0,0,0.000531,0,0,3.18664,0,0,0,0,0,0.095785,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.034176,clean
0,0,0.000234,0,0,1.77712,0,0,0,0,0,0.06092,0,2,4,9,2,0,0,1,0,1,0,0,3.06,0,3,0.030953,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,0,2,0,2,0,0,0,0,6,0,clean
3,0,0.013786,0,0,7.38057,0,0,0,0,0,0.21865,0,1,0,1,1,0,0,0,0,0,0,0,0,0.002203,2,0.053385,clean
4,0,0.29679,0,0.006629,17.3217,0.000461,0,0,0.006104,3.03,0.520802,0,21,0,1,0,0,0,3,0,2,2,0,0,0.006722,8,0.145362,buggy
10,0,0.007602,0,0,6.41569,0,0,0,0,0,0.169334,0.001986,4,0,3,1,0,0,8,0,8,0,0,3.04,0,8,0.034357,clean
0,0,0.013328,0,0.001571,10.9671,0,0,0,0,1.01,0.298623,0,3,0,1,1,0,0,4,0,4,1,0,1.01,0.000989,3,0.048997,buggy
0,0,0.006721,0,0,3.18664,0,23,0,0,0,0.095785,0,1,5,2,0,0.012079,0,0,0,0,0,0,1.01,0,1,0.034176,clean
1,0,0.013579,0,0,3.79659,0,0,0,0,0,0.122015,0,2,0,3,1,0,0,1,0,1,0,0,0,0,1,0.046344,clean
0,0,0.012896,0,0,5.05758,0,0,0,0,0,0.180782,0,3,0,1,1,0,0,0,0,0,0,0,0,0,2,0.10687,clean
0,0,0.004754,0,0,2.59113,0,0,0,0,0,0.098855,0,1,0,1,3,0,0,1,0,1,0,0,0,0,2,0.071757,clean
3,0,0.011118,0,0,1.84469,0,0,0,0,0,0.070979,0,11,0,1,3,0,0,0,0,0,0,0,0,0,2,0.053061,buggy
4,0,0.01178,0,0,8.62288,0,0,0,0,0,0.226977,0,7,0,2,1,0,0,2,0,1,0,0,3.05,0.007272,5,0.037588,clean
0,0,0.000374,0,0,1.76682,0,0,0,0,0,0.061715,0,1,0,1,2,0,0,4,0,4,0,0,0,0,7,0.033928,clean
10,0,0.072387,0.001076,0.003002,7.28484,0,2,0,0.001272,2.08,0.21678,0,12,0,1,3,0,0,13,0,9,0,0,0,0.006298,9,0.055587,clean
0,0,0.003156,0,0,2.8819,0,0,0,0,0,0.088687,0,4,5,3,1,0,0,0,0,0,0,0,1.01,0,2,0.034168,clean
0,0,0.014074,0,0,4.41258,0,0,0,0,0,0.138856,0.007109,2,2,3,1,0,0,1,0,1,0,0,1.01,0,1,0.046384,clean
9,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1,1,0,0,8,0,4,0,0,0,0,1,0,clean
4,0.001037,0.043682,0,0,18.2366,0,0,0,0.001485,0,0.508446,0,30,0,1,1,0,0,1,0,1,0,0,1.01,0.021739,2,0.109583,clean
0,0,0.00885,0,0,6.30121,0,0,0,0,0,0.168658,0,2,0,1,1,0,0,1,0,1,0,0,0,0,4,0.034507,clean
0,0,0.002766,0,0,5.98276,0,1,0,0,0,0.159804,0,0,0,1,0,0.001065,0,0,0,0,0,0,1.01,0,4,0.034432,clean
0,0.007634,0.004795,0,0,7.47927,0,1,0,0,0,0.194515,0.001237,1,1,4,12,0.000201,0,0,0,0,0,0,3.03,0,2,0.034528,clean
1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,2,0,0,0,0,0,0,5,0,clean
7,0.001897,0.021139,0.001764,0,9.94289,0,0,0,0.0006,0,0.2527,0,13,0,1,3,0,0,4,0,4,0,0,1.01,0.003179,10,0.032576,buggy
0,0,0.000125,0,0,1.76682,0,0,0,0,0,0.061715,0,1,1,2,1,0,0,0,0,0,0,0,0,0,2,0.033928,clean
0,0,0,0,0,0,0,0,0,0,0,0,0.007109,2,2,3,1,0,0,1,0,1,0,0,0,0,1,0,clean
3,0,0.019649,0,0.000706,13.2632,0,0,0,0.00068,1.01,0.36862,0,21,0,1,0,0,0,4,0,4,0,0,0,0.005207,5,0.058068,clean
0,0.001075,0.021594,0,0.000788,8.66479,0,0,0,0.000763,1.01,0.237853,0.003937,1,1,2,1,0,0,0,0,0,0,0,1.16,0.000841,1,0.045138,clean
0,0.000833,0.003501,0,0,3.30831,0,0,0,0,0,0.096281,0,1,4,5,3,0,0,1,0,1,0,0,3.07,0,3,0.031038,clean
1,0,0.057229,0,0.002119,2.34667,0,0,0,0,1.03,0.100815,0,15,0,1,3,0,0,6,0,6,0,0,0,0.003322,3,0.090605,clean
0,0,0.024412,0,0,5.7361,0,0,0,0,0,0.186302,0,5,1,4,1,0,0,2,0,2,0,0,1.01,0.002679,2,0.089645,clean
0,0,0.020661,0.002795,0,13.8167,0,0,0,0,0,0.355037,0,0,0,1,0,0,0,0,0,0,0,0,0,0.004657,3,0.040751,clean
0,0,0.002511,0,0,4.59691,0,2,0,0,0,0.123336,0,3,1,3,2,0,0,1,0,0,0,0,3.05,0.000989,3,0.030986,clean
1,0,0.006385,0,0,4.68802,0,0,0,0,0,0.13759,0,2,2,4,1,0,0,1,0,0,0,0,3.05,0,3,0.037315,clean
0,0,0.018729,0,0.001799,11.6447,0,0,0,0,1.01,0.31008,0,0,0,1,0,0,0,5,0,1,0,0,1.01,0,1,0.045161,clean
10,0,0.062796,0,0.001053,13.4531,0,0,0,0.000825,1.05,0.361356,0,20,0,1,0,0,0,13,0,13,0,0,1.01,0.004023,4,0.052727,buggy
0,0,0.000773,0,0,1.76682,0,0,0,0,0,0.061715,0,4,0,1,3,0,0,2,0,2,0,0,0,0,4,0.033928,clean
0,0,0.005431,0.001574,0,3.19948,0,0,0,0,0,0.099881,0,1,0,1,1,0,0,4,0,4,0,0,0,0.001534,5,0.034302,clean
6,0,0.031842,0,0.001283,15.1891,0,0,0,0,2.02,0.383475,0,14,0,2,3,0,0,6,0,5,0,0,8.18,0.00441,2,0.042994,clean
1,0.006354,0.075962,0.00625,0.004805,12.5527,0,4,1,0.002096,2.02,0.365311,0,7,5,5,1,0.010151,0,1,0,1,2,0,3.04,0.009215,7,0.107408,clean
0,0.00243,0.024918,0,0,4.41258,0,10,0,0,0,0.138856,0.00428,4,62,4,1,0.000709,0,1,0,1,0,0,5.21,0.002203,10,0.046384,clean
1,0,0.019338,0.0009,0.000997,3.88096,0,0,0,0.001086,1.01,0.115222,0,3,0,1,1,0,0,2,0,2,0,0,0,0.00133,4,0.035222,clean
0,0,0.05088,0.000828,0,20.9156,0,0,0,0,0,0.533881,0,9,0,2,1,0,0,3,0,2,0,0,8.18,0.003824,2,0.05499,clean
2,0.002749,0.032386,0.001076,0.00226,4.63681,0,2,0,0.001176,1.01,0.13874,0,8,0,2,1,0,0,2,0,2,0,0,0,0.001563,6,0.038993,clean
0,0,0.024678,0,0,15.1351,0,0,0,0.000819,0,0.417368,0,11,0,2,1,0,0,1,0,1,0,0,0,0.003888,1,0.101606,clean
10,0.001402,0.08281,0.002642,0,18.1407,0,0,0,0.002472,0,0.508653,0.005881,44,14,1,4,0,0,2,0,2,0,0,1.01,0.005338,8,0.097592,clean
14,0.000933,0.562202,0.015773,0.004557,28.6537,0,0,1,0.005095,5.07,0.884783,0.001237,42,1,3,4,0,1.02,14,1,14,1,0,4.19,0.019653,8,0.208569,buggy
3,0,0.103651,0.002275,0.001922,22.3051,0,0,0,0.006177,1.01,0.565657,0,12,0,3,1,0,1.01,2,0,1,0,0.000693,9.27,0.006884,2,0.057772,buggy
1,0.024848,0.028826,0,0,12.5353,0,1,0,0,0,0.336625,0.000539,8,7,2,26,0,0,1,0,1,0,0,3.05,0.00427,9,0.05658,clean
1,0.005081,0.056409,0.004368,0.000775,11.9472,0,0,0,0.000747,1.01,0.324418,0.000311,10,7,2,11,0,0,6,0,6,0,0,1.01,0.001011,19,0.052581,clean
1,0,0.002845,0,0,4.57426,0,2,0,0,0,0.133715,0,1,0,1,1,0,0,4,0,0,0,0,0,0,0,0.03623,clean
0,0.002119,0.036407,0.00117,0,12.4285,0,7,0,0,0,0.314288,0.004977,4,0,3,0,0.010111,1.01,0,0,0,0,0.00091,11.41,0.001922,2,0.040878,buggy
0,0,0.00403,0,0.000835,7.72196,0,0,0,0,1.01,0.198359,0,2,0,1,1,0,0,2,0,2,0,0,0,0,3,0.034375,clean
0,0,0.010355,0,0,3.23696,0,0,0,0,0,0.101805,0.008453,5,8,3,2,0,0,0,0,0,0,0,4.06,0.003403,1,0.035577,clean
1,0,0.000474,0,0,1.76682,0,0,0,0,0,0.061715,0,2,0,1,1,0,0,2,0,2,0,0,0,0,4,0.033928,clean
2,0.001974,0.090947,0.000702,0.001686,14.2974,0,0,0,0,2.02,0.365666,0,5,0,1,0,0,0,2,0,2,0,0,0,0.001836,4,0.043339,clean
0,0,0.003873,0,0,6.41569,0,0,0,0,0,0.169334,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0.034357,clean
1,0,0.002368,0,0,3.19695,0,0,0,0,0,0.09499,0,4,4,3,1,0,0,5,0,5,0,0,1.02,0.002143,15,0.0312,clean
0,0.016566,0.02007,0,0.004076,15.3538,0,3,2,0,3.03,0.406026,0.00164,8,4,7,6,0.001423,0,5,1,5,2,0,8.13,0.002215,16,0.067676,buggy
0,0.000833,0.003618,0,0,3.30831,0,0,0,0,0,0.096281,0,1,4,5,3,0,0,1,0,1,0,0,3.07,0,3,0.031038,clean
3,0,0.04396,0,0,6.14016,0,0,0,0,0,0.183033,0,11,1,2,3,0,0,2,0,2,0,0,0,0.002143,4,0.046323,clean
0,0.007266,0.019705,0.002716,0,7.25623,0,0,0,0,0,0.254391,0,8,0,1,6,0,0,1,0,0,1,0,0,0.003995,7,0.144345,buggy
1,0,0.010617,0.00053,0.000942,7.2787,0,0,0,0,2.02,0.196003,0,2,1,3,1,0,0,3,0,1,0,0,3.05,0.000632,3,0.037387,clean
1,0,0.007647,0,0,5.25839,0,0,0,0,0,0.167761,0,9,0,1,2,0,0,0,0,0,0,0,0,0,1,0.067326,clean
11,0,0.105636,0,0.001276,15.0525,0,0,0,0.000784,2.03,0.38367,0.001986,25,0,3,1,0,0,10,1,10,2,0,3.04,0.005004,10,0.044481,clean
1,0,0.000723,0,0,1.76682,0,0,0,0,0,0.061715,0,2,0,1,1,0,0,2,0,2,0,0,0,0,4,0.033928,clean
2,0,0.012767,0,0,5.95836,0,0,0,0,0,0.179524,0,14,13,6,1,0,0,3,0,0,0,0,2.04,0,8,0.048075,clean
0,0.003122,0.177304,0,0,8.96501,0,0,0,0,0,0.329377,0,10,0,1,3,0,0,4,0,4,0,0,0,0.005018,2,0.209759,clean
0,0,0.011136,0,0.000835,11.0669,0,0,0,0,1.01,0.289658,0,5,0,2,1,0,0,3,0,2,0,0,8.18,0.002692,3,0.043093,clean
0,0,0.004106,0,0,6.41569,0,0,0,0,0,0.169334,0,0,0,1,2,0,0,5,0,0,0,0,1.01,0,4,0.034357,clean
0,0,0.004057,0,0,7.83167,0,1,0,0,0,0.202284,0,1,0,1,1,0,0,2,0,2,0,0,0,0,4,0.034458,clean
0,0.006354,0.026917,0.000526,0,6.42966,0.000543,0,0,0,0,0.146747,0.000331,0,1,2,0,0,1.01,0,0,0,0,0,2.13,0.000691,1,0.000523,buggy
11,0,0.010164,0,0,5.20137,0,0,1,0,0,0.18445,0,11,0,1,1,0,0,5,0,0,1,0,0,0.008204,3,0.106445,clean
0,0,0.000723,0,0,1.76682,0,0,0,0,0,0.061715,0,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0.033928,clean
8,0,0.006066,0,0,4.385,0,0,0,0,0,0.138801,0,8,0,1,0,0,0,0,0,0,0,0,0,0.001092,0,0.048639,clean
0,0.001798,0.025982,0.001514,0.000782,6.75539,0,0,0,0,1.01,0.188915,0,2,0,1,2,0,0,7,0,1,0,0,1.01,0.002675,12,0.038363,clean
0,0.003095,0.067891,0.003802,0.000683,9.64564,0,0,0,0,1.02,0.26412,0,2,6,5,5,0,0,1,0,1,0,0,4.11,0.000825,7,0.047988,clean
1,0.00135,0,0.000777,0.002713,0,0,1,0,0.001319,1.01,0,0.002952,9,1,4,4,0,0,2,0,2,0,0,5.08,0.001872,6,0,clean
3,0.004253,0.02091,0.001766,0,5.4784,0,0,0,0.002859,0,0.162692,0,9,0,1,3,0,0,0,0,0,0,0,0,0.002924,2,0.040616,buggy
5,0,0.056264,0.0007,0.001588,14.3708,0,0,0,0.000784,2.05,0.372883,0,11,0,2,1,0,0,3,0,2,0,0,8.18,0.004804,5,0.052553,clean
18,0.001979,0.02341,0.001526,0,6.83071,0,0,0,0,0,0.204273,0,28,0,1,1,0,0,6,0,2,0,0,0,0.007853,2,0.053449,clean
0,0,0.004606,0,0,5.88474,0,0,0,0,0,0.163011,0.001203,7,6,2,0,0,0,1,0,1,0,0,2.02,0.000693,1,0.032853,clean
1,0,0.013623,0.000909,0,2.71813,0,0,0,0,0,0.097266,0,6,0,1,0,0,0,4,0,4,0,0,0,0,1,0.058544,clean
5,0.003224,0.053917,0,0.0006,9.06318,0,0,0,0.000665,1.16,0.249566,0,2,0,1,5,0,0,16,0,16,0,0,1.01,0.000701,3,0.047408,clean
0,0,0.000727,0,0,2.91017,0,0,0,0,0,0.089251,0,2,5,3,1,0,0,0,0,0,0,0,1.01,0,3,0.034148,clean
23,0,0.007707,0,0,1.76682,0,0,0,0,0,0.061715,0,12,14,1,3,0,0,9,0,9,0,0,0,0,13,0.033928,clean
1,0.001867,0.050549,0.002033,0.0005,16.7735,0,0,0,0.000451,1.02,0.432571,0,10,10,3,5,0,0,4,0,4,2,0,4.06,0.005841,17,0.048973,clean
1,0,0.001222,0,0,1.76682,0,0,0,0,0,0.061715,0,2,0,1,3,0,0,2,0,0,1,0,0,0,4,0.033928,clean
1,0,0.027667,0,0,9.15622,0,0,0,0,0,0.260371,0,14,6,3,1,0,0,0,0,0,0,0,1.01,0.002143,2,0.053744,clean
9,0.003424,0.054265,0.003607,0.001571,6.85196,0,0,0,0.001387,1.02,0.200102,0.04262,19,178,1,12,0,0,23,0,15,0,0,0,0.003201,12,0.045085,buggy
2,0,0.025696,0,0,5.80709,0,0,0,0,0,0.176462,0,17,13,5,0,0,0,9,0,5,0,0,2.04,0,10,0.048817,clean
1,0,0.015201,0,0,13.9802,0,0,0,0,0,0.365025,0,7,0,2,1,0,0,1,0,1,1,0,0,0.00829,1,0.046887,clean
0,0,0.003033,0,0,5.15731,0,2,0,0,0,0.151683,0,8,0,1,1,0,0,1,0,1,0,0,0,0,1,0.04468,buggy
8,0,0.020427,0,0,3.16218,0,0,0,0,0,0.126981,0,0,0,1,1,0,0,2,0,2,0,0,0,0,2,0.099918,clean
5,0,0.013236,0,0,7.56943,0,0,0,0,0,0.201354,0,7,0,1,1,0,0,8,0,6,0,0,0,0.001457,3,0.043955,clean
0,0,0.00254,0,0,3.18664,0,0,0,0,0,0.095785,0.001175,4,5,3,1,0,0,1,0,1,0,0,3.1,0,3,0.034176,clean
2,0,0.04231,0.000828,0.0006,4.87416,0,0,0,0.000741,1.08,0.130918,0.000311,5,15,3,1,0,0,11,0,11,0,0,2.03,0.001791,9,0.03107,clean
0,0,0.021183,0,0,4.41258,0,0,0,0,0,0.138856,0.00374,10,0,4,2,0,0,0,0,0,0,0,2.02,0,8,0.046384,clean
0,0,0.009002,0.002434,0,5.78633,0,0,0,0,0,0.189271,0,2,0,2,0,0,0,0,0,0,1,0,0,0,2,0.08741,clean
6,0,0.077979,0,0.003018,11.2693,0,0,0,0.003156,2.03,0.341903,0,5,0,1,1,0,0,7,0,6,0,0,1.01,0.002497,3,0.112159,buggy
0,0.001867,0.005276,0,0,10.9403,0,0,0,0,0,0.290691,0,1,0,1,1,0,0,1,0,0,0,0,0,0,2,0.041221,buggy
0,0,0.002804,0,0,1.77712,0,2,0,0,0,0.06092,0,2,0,1,3,0,0,2,0,2,0,0,1.01,0,5,0.030953,clean
0,0,0.000424,0,0,1.76682,0,0,0,0,0,0.061715,0,6,0,1,0,0,0,0,0,0,0,0,0,0,2,0.033928,buggy
11,0,0.119315,0,0,25.1717,0,1,0,0.010338,0,0.736829,0.00199,44,5,3,3,0,0,2,0,2,1,0,3.08,0.017915,3,0.208576,clean
1,0,0.015444,0,0,2.84822,0,0,0,0,0,0.093944,0,12,13,5,1,0,0,4,0,0,0,0,2.04,0,7,0.039721,clean
0,0,0.000224,0,0,1.76682,0,0,0,0,0,0.061715,0,1,5,3,0,0,0,1,0,1,0,0,0,0,2,0.033928,clean
0,0.000722,0.024385,0,0.001855,10.6649,0,0,0,0.000617,1.01,0.299704,0,1,0,2,1,0,1.01,2,0,2,0,0.000295,1.09,0.001922,2,0.087661,clean
0,0.001075,0.00325,0,0,6.41569,0,0,0,0,0,0.169334,0,1,0,2,5,0,0,2,0,2,0,0,1.01,0,4,0.034357,clean
0,0.012936,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12,0,0,1,0,1,0,0,0,0,2,0,clean
0,0,0.001821,0,0,1.76682,0,0,0,0,0,0.061715,0,7,5,3,0,0,0,1,0,1,0,0,0,0,3,0.033928,clean
0,0.008144,0.025552,0.005358,0.004715,6.95514,0,2,0,0,2.02,0.181513,0,0,0,2,4,0,0,3,0,2,0,0,1.01,0,5,0.036886,clean
5,0,0.071607,0.004887,0,2.53371,0,0,0,0.010572,0,0.108391,0,16,1,3,0,0,0,0,0,0,0,0,0,0.011418,11,0.098913,clean
0,0,0.059526,0,0,8.16318,0,0,1,0,0,0.212081,0,7,0,1,3,0,0,0,0,0,1,0,0,0.003279,3,0.038618,clean
1,0,0.013679,0,0,8.35105,0,0,0,0,0,0.239145,0,8,0,2,2,0,0,2,0,2,0,0,2.03,0,2,0.047876,clean
0,0,0.017724,0.00117,0,6.81975,0,2,0,0,0,0.186258,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0.035989,clean
0,0,0.009908,0.001371,0,3.17095,0,0,0,0,0,0.098286,0,5,0,1,1,0,0,8,0,1,0,0,0,0,9,0.035415,clean
0,0,0.000117,0,0,1.77712,0,0,0,0,0,0.06092,0,1,92,5,1,0,0,1,0,1,0,0,1.03,0,3,0.030953,clean
1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,3,0,clean
6,0,0.041056,0,0.00292,10.548,0,0,0,0,2.02,0.315123,0,11,0,1,0,0,0,5,0,5,0,0,0,0.003821,1,0.108195,clean
0,0,0.074576,0,0,15.3743,0.017598,0,0,0,0,0.465938,0,0,0,1,0,0,0,56,0,1,0,0,0,0,0,0.167274,buggy
4,0,0.001821,0,0,1.76682,0,0,0,0,0,0.061715,0,7,0,1,4,0,0,6,0,6,0,0,0,0,8,0.033928,clean
0,0.013088,0.00343,0,0,9.97572,0,1,0,0,0,0.268533,0.00164,3,4,8,8,0.000612,0,1,0,1,0,0,8.14,0.002497,4,0.049191,clean
1,0.001402,0.207969,0.002307,0.002431,23.3982,0,0,0,0.003803,2.06,0.600741,0,6,0,1,1,0,0,4,0,4,1,0,0,0.013251,3,0.069042,clean
1,0,0.002675,0,0,4.63082,0,0,0,0,0,0.140528,0,1,0,1,1,0,0,5,0,5,0,0,0,0,9,0.041167,clean
2,0,0.00983,0,0,10.1254,0,0,0,0,0,0.260074,0,12,3,4,1,0,0,1,0,0,0,0,9.11,0.004675,2,0.036103,buggy
3,0.007532,0.065148,0.005421,0,10.3576,0,0,0,0.00923,0,0.309082,0,8,0,1,3,0,0,0,0,0,0,0,1.01,0.003032,2,0.104285,clean
4,0.000943,0.064858,0,0,12.5129,0,0,0,0.001557,0,0.33012,0,18,0,1,1,0,0,0,0,0,0,0,1.01,0.003345,1,0.048495,clean
0,0,0.009415,0,0,2.90397,0,0,0,0,0,0.089543,0,0,1,2,2,0,0,1,0,1,0,0,1.01,0,2,0.034256,clean
0,0,0.00234,0,0,2.97312,0,0,0,0,0,0.09279,0,8,1,3,1,0,0,1,0,0,0,0,1.01,0,2,0.034972,clean
16,0.00086,0.1339,0,0.003675,21.326,0,0,0,0.005379,2.02,0.606667,0.001986,36,2,5,8,0,0,10,0,9,1,0,5.37,0.010042,7,0.143122,clean
0,0.002119,0.004287,0,0,6.41569,0,1,0,0,0,0.169334,0,0,1,3,9,0,0,1,0,1,0,0,3.05,0,6,0.034357,clean
0,0,0.007372,0,0,14.2096,0,0,0,0,0,0.350393,0.004911,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.012831,clean
0,0,0.015856,0,0,4.56949,0,0,0,0,0,0.143157,0,0,3,1,1,0,0,4,0,4,0,0,0,0,5,0.046836,clean
6,0.000732,0.032133,0,0.000619,12.3915,0,0,0,0,1.01,0.302879,0,9,0,1,2,0,0,4,0,4,0,0,0,0.003747,1,0.03448,clean
0,0,0.004493,0,0.000835,8.69863,0,0,0,0,1.01,0.231362,0,2,0,1,1,0,0,3,0,3,0,0,0,0,3,0.044427,clean
2,0,0.037414,0,0,7.67578,0,0,0,0,0,0.227349,0,13,0,1,1,0,0,1,0,1,0,0,1.01,0,2,0.066976,clean
0,0,0.000549,0,0,1.76682,0,0,0,0,0,0.061715,0,1,0,1,1,0,0,2,0,2,0,0,0,0,2,0.033928,clean
3,0,0.005482,0,0,4.68802,0,0,0,0,0,0.13759,0,7,2,1,3,0,0,2,0,2,0,0,1.01,0,9,0.037315,clean
2,0,0.048885,0,0.001571,8.77144,0,0,0,0.002921,1.01,0.249935,0,5,0,1,1,0,2.02,2,0,2,0,0.002205,2.06,0.004897,3,0.048936,clean
7,0,0.06336,0.000828,0.0006,17.6161,0,0,1,0.000741,1.03,0.478782,0.001986,16,0,3,1,0,0,7,1,7,2,0,3.04,0.005213,12,0.103828,clean
0,0,0.001207,0,0,4.30172,0,0,0,0,0,0.122757,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0.034415,buggy
0,0,0.002534,0,0,4.70143,0,0,0,0,0,0.130576,0,3,1,3,1,0,0,2,0,2,0,0,1.02,0,5,0.031376,clean
