@relation 'data/M_multi_metrics_ML.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-4,6,9-11,14,18,20-21,24-26,28,30,35-42,44,47,49-50,52-53,55,57-61'

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPublicAttributes numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute WCHU_numberOfPrivateMethods numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute ck_oo_lcom numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute ck_oo_numberOfAttributes numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute LDHH_dit numeric
@attribute WCHU_numberOfMethodsInherited numeric
@attribute LDHH_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute class {buggy,clean}

@data
0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,153,0,13,10,1,0,0,0,14,buggy
0,0,0.003862,0,0,0,0,0,0,0,0,0.005667,2,4,0,1.01,21,2.02,1,0,0,0.002921,14.21,0.030356,170,clean
0,0,0.002663,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,2.02,0.009791,9,clean
3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,703,0,15,15,0,0,0,0,46,clean
0,0,0.004022,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,clean
0,0,0.009474,0,0,0,0,3,1,0,1.01,0,0,1,0.001564,0,28,0,4,4,1,0,2.04,0.009791,18,clean
0,0,0.005637,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,2.02,0.009791,9,clean
0,0,0.018519,0.003451,0,0,0,0,0,0,0,0,1,2,0,2.02,36,0,5,5,0,0.004493,3.03,0.010996,11,clean
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,clean
0,0,0.011587,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,1,1,0,0,0,0,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,12,clean
0,1.08,0,0,0.014053,0,28,0,0,0,0,0,0,1,0,0,0,0,29,1,0,0,0,0,0,clean
0,0,0.002216,0,0,0,0,0,0,0,0,0,4,3,0,0,6,0,4,4,0,0,1.1,0.027723,43,clean
3,0,0.044483,0.002991,0,1.01,0,0,1,0.002741,0,0,1,3,0,1.01,91,0,7,7,1,0.002921,4.06,0.014863,21,buggy
0,0,0.001138,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,1,1,0,0,0,0,6,clean
14,0,0.000949,0,0,0,0,0,0,0,0,0,0,1,0,0,136,0,5,5,0,0,0,0,0,clean
0,0,0.006878,0.018552,0,1.01,0,0,0,0.019848,0,0,0,1,0,0,6,0,2,2,0,0,0,0,0,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,26,clean
7,0,0.002218,0,0,0,0,0,0,0,0,0,0,3,0,0,78,0,7,7,0,0,0,0,14,clean
0,0,0.001138,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,3,3,0,0,0,0,0,clean
0,0,0.000949,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,0,1.01,0.005924,10,clean
0,0,0.099696,0.001158,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,1,1,0,2.02,0.009791,11,buggy
0,0,0.010189,0,0,0,0,0,0,0,0,0,0,1,0,0,120,0,7,7,0,0,2.04,0.009791,18,clean
0,0,0.006846,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,9,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,clean
0,0,0.000949,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,clean
1,0,0.012933,0.030681,0,1.01,0,0,0,0.019848,0,0.018086,6,3,0,1.01,28,2.06,3,3,0,0.009752,3.3,0.03839,57,clean
1,0,0.001386,0,0,0,0,1,0,0,0,0,0,1,0,0,105,0,7,6,0,0,0,0,0,buggy
3,0,0.009788,0,0,0,0,3,0,0,0,0,0,1,0,0,36,0,4,4,0,0,0,0,0,buggy
0,0,0.00027,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1.02,0.005924,18,clean
0,0,0.001328,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,2,2,0,0,0,0,15,clean
2,0,0.299901,0.02053,0,3.11,0,0,3,0.015987,0,0,0,1,0,0,136,0,7,7,3,0,0,0,0,clean
0,0,0.010797,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,2.02,0.003725,7,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,22,clean
0,0,0.027888,0,0,0,0,11,0,0,1.01,0,0,1,0.013005,0,28,0,1,0,0,0,2.02,0.009791,9,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,45,0,8,6,0,0,2.06,0.009791,35,clean
0,0,0.002373,0,0,0,0,0,0,0,0,0.003609,0,2,0,0,3,1.03,1,1,0,0,2.02,0.031562,32,clean
0,0,0.021409,0.009533,0,0,0,5,0,0,5.05,0,0,1,0.016904,0,496,0,1,1,0,0,1.01,0.005924,9,clean
0,0,0.007559,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,clean
0,0,0.003644,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,clean
1,0,0.036347,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,1,0,0,0,0,0,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,26,clean
0,0,0.002106,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,clean
0,0,0,0,0,0,42,0,0,0,0,0,0,1,0,0,0,0,43,1,0,0,0,0,0,clean
0,0,0.056074,0.000375,0,0,0,0,1,0,0,0,0,1,0,0,6,0,4,1,1,0,2.02,0.009791,9,clean
0,0,0.007706,0,0,0,0,0,1,0,0,0,0,3,0,0,15,0,3,3,1,0,2.08,0.009791,52,clean
0,0,0.008403,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0,clean
0,0,0.003613,0,0,0,0,2,0,0,0,0,2,2,0,0,21,0,3,0,0,0,1.01,0.005924,25,clean
1,0,0.019177,0.002991,0,0,0,0,0,0,0,0,6,3,0,1.01,136,0,4,1,0,0.002921,4.09,0.014863,38,clean
0,0,0.000949,0,0,0,0,0,0,0,0,0,0,1,0,0,91,0,4,4,0,0,2.02,0.009791,9,clean
3,0,0.091709,0,0,1.03,0,0,1,0.0009,0,0,0,1,0,0,55,0,10,10,2,0,0,0,0,clean
0,0,0.000266,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,3,3,0,0,0,0,0,clean
0,2.03,0,0,0.025522,0,61,0,0,0,0,0,0,1,0,0,0,0,62,1,0,0,0,0,0,buggy
1,0,0.095462,0.009875,0,1.01,0,0,0,0.002667,0,0,0,1,0,0,496,0,18,17,1,0,1.01,0.005924,9,clean
0,0,0.022246,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,1,0,0,0,0,0,clean
0,0,0.17594,0,0,0,0,0,0,0,0,0,0,1,0,0,55,0,0,0,0,0,2.02,0.009791,9,clean
0,0,0.001508,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1.01,0.005924,11,clean
8,0,0.010809,0,0,0,0,0,0,0,0,0,0,1,0,0,136,0,19,19,0,0,0,0,0,clean
0,0,0.004944,0,0,0,0,3,0,0,0,0,4,4,0,0,28,0,4,3,0,0,1.1,0.027723,45,clean
0,0,0.001518,0,0,0,1,0,0,0,0,0,0,2,0,0,10,0,1,0,0,0,1.01,0.005924,54,clean
0,0,0.001279,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,1,1,0,0,1.01,0.005924,9,clean
0,0,0.00733,0,0,0,0,1,0,0,1.01,0,0,1,0.0262,0,6,0,0,0,0,0,0,0,9,clean
0,0,0.000949,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,0,clean
12,0,0.02373,0.052858,0,5.13,0,0,0,0.014422,1.01,0.005356,0,2,0.004825,0,496,2.05,16,16,1,0,6.09,0.041678,32,buggy
0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,105,0,6,0,1,0,0,0,58,clean
7,1.01,0.30528,0.060424,0.001064,8.11,0,0,3,0.020419,0,0,0,1,0,0,703,0,10,9,5,0,1.02,0.003867,0,buggy
0,0,0.002868,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,2,2,0,0,1.01,0.005924,9,clean
2,0,0.029559,0.006799,0,1.02,0,4,2,0.00318,2.04,0.003609,0,3,0.007273,0,2485,1.01,28,26,3,0,3.19,0.011322,101,clean
2,0,0.05299,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,2,2,0,0,2.02,0.009791,9,clean
3,2.02,0.097004,0.002701,0.00113,2.03,0,0,1,0.032263,0,0,0,1,0,3.04,36,0,11,9,3,0.004202,3.48,0.007549,0,clean
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15,0,4,3,0,0,0,0,0,clean
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,1,1,0,0,0,0,0,clean
1,0,0.02004,0,0,0,0,3,0,0,0,0,0,1,0,0,276,0,4,4,0,0,2.02,0.009791,22,clean
1,0,0.399081,0,0,0,0,0,0,0,0,0,0,1,0,0,36,0,5,5,0,0,0,0,0,clean
1,0,0.006455,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,buggy
0,0,0.005715,0.002991,0,0,0,0,0,0,0,0,0,1,0,0,561,0,17,17,0,0,2.04,0.009791,18,clean
1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,55,0,3,3,1,0,0,0,31,buggy
0,1.01,0.007869,0,0.005528,0,6,0,0,0,0,0,0,1,0,0,1,0,6,0,0,0,2.02,0.009791,9,clean
9,0,0.110154,0,0,0,0,0,0,0,0,0,0,1,0,0,190,0,10,10,0,0,0,0,0,clean
0,0,0.016366,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,9,buggy
0,0,0.009763,0,0,0,0,0,1,0,0,0,0,2,0,0,6,0,0,0,1,0,2.02,0.009791,17,clean
0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,clean
3,0,0.000949,0,0,0,0,0,0,0,0,0,0,1,0,0,210,0,11,11,0,0,1.01,0.005924,9,clean
0,0,0.057119,0,0,0,0,0,1,0,0,0,0,1,0,0,10,0,2,2,1,0,2.02,0.009791,9,clean
0,0,0.003704,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,3,3,0,0,0,0,0,clean
1,0,0.02529,0.007542,0,1.01,0,0,0,0.002667,0,0.005356,0,2,0,0,28,2.05,2,2,0,0,7.13,0.042969,32,buggy
0,0,0.001791,0,0,0,0,0,1,0,0,0,0,1,0,0,378,0,14,14,1,0,2.04,0.009791,18,clean
0,0,0.049957,0,0,0,0,0,0,0,0,0.00752,8,3,0,0,0,3.03,0,0,1,0,4.06,0.055964,29,clean
0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,8,1,0,0,0,0,0,clean
0,0,0.002193,0.003194,0,0,0,1,0,0,1.01,0,0,1,0.003536,0,6,0,1,1,0,0,0,0,0,clean
0,0,0.012648,0,0,0,0,0,1,0,0,0,0,1,0,0,66,0,10,5,1,0,2.04,0.009791,18,clean
5,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,78,0,3,0,0,0,0,0,0,clean
3,0,0.042681,0.001158,0,0,1,0,0,0,0,0,0,1,0,0,300,0,10,5,1,0,4.06,0.011897,21,clean
0,0,0.00119,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,clean
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,9,buggy
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0,9,clean
0,0,0.002626,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2.02,0.009791,9,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,1,1,0,0,0,0,9,clean
6,0,0.163063,0,0,0,0,0,0,0,0,0,3,2,0,0,91,0,9,9,1,0,2.02,0.009791,17,clean
1,0,0.002488,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,2,2,0,0,2.02,0.009791,9,clean
0,0,0.024954,0.00445,0,0,0,0,0,0,0,0,0,1,0,0,28,0,4,4,0,0,2.02,0.009791,9,clean
6,1.01,0.084845,0.038658,0.005528,6.15,1,0,3,0.02314,0,0,0,1,0,0,2080,0,43,41,5,0,0,0,0,buggy
1,0,0.058519,0.004624,0,0,0,0,0,0,2.02,0,0,1,0.004307,0,153,0,4,4,0,0,2.02,0.009791,9,clean
1,0,0.071954,0.001581,0,1.01,0,0,0,0.001861,0,0,0,1,0,0,6,0,5,4,0,0,2.02,0.009791,9,clean
0,0,0.049344,0.000846,0,2.02,0,0,0,0.003546,0,0,0,1,0,0,91,0,5,5,0,0,0,0,0,clean
1,0,0.001328,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,clean
0,0,0.009247,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,8,8,0,0,2.02,0.009791,9,clean
0,0,0.011961,0,0,0,0,0,0,0,0,0,7,1,0,0,21,0,3,3,0,0,1.02,0.005924,34,clean
0,0,0.002825,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1.01,0.005924,9,clean
0,0,0.004234,0,0,0,0,0,0,0,0,0,5,3,0,0,21,0,2,2,0,0,1.01,0.005924,32,clean
0,1.01,0.00563,0,0.00066,0,1,0,0,0,0,0,0,3,0,0,231,0,4,2,0,0,0,0,44,clean
0,0,0.003288,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,3,2,0,0,0,0,0,clean
0,0,0.050244,0.018552,0,0,0,0,0,0,0,0,0,1,0,0,6,0,2,1,0,0,0,0,0,clean
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,3,3,0,0,0,0,0,clean
2,0,0,0.022517,0,0,0,0,0,0,0,0,0,1,0,0,946,0,4,3,1,0,0,0,9,buggy
2,0,0.004798,0,0,0,0,0,0,0,0,0,0,1,0,0,91,0,8,5,1,0,1.01,0.005924,9,clean
0,0,0.001708,0,0,0,3,0,0,0,0,0,1,1,0,0,15,0,3,0,0,0,1.01,0.005924,14,clean
0,0,0.026776,0,0,0,0,0,0,0,0,0,0,1,0,0,78,0,13,13,0,0,3.11,0.012459,14,clean
1,0,0.023139,0.010717,0,1.01,0,0,1,0.001676,0,0,0,1,0,0,435,0,2,2,1,0,2.02,0.009791,9,clean
2,0,0.003607,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,2,2,0,0,0,0,0,buggy
0,2.03,0,0,0.042238,0,14,0,0,0,0,0,0,1,0,0,0,0,15,1,0,0,0,0,0,clean
0,0,0.012781,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,clean
0,0,0.001534,0,0,0,0,0,0,0,0,0,4,3,0,0,6,0,4,3,0,0,1.1,0.027723,43,clean
0,0,0.004118,0,0,0,0,5,0,0,2.02,0,0,1,0.002443,0,28,0,0,0,0,0,2.02,0.009791,9,clean
0,0,0.036161,0,0,0,0,2,0,0,0,0,0,1,0,0,66,0,4,0,1,0,0,0,0,clean
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36,0,14,1,1,0,0,0,0,buggy
0,0,0.001705,0.018552,0,0,0,0,0,0,0,0,4,3,0,0,15,0,4,4,0,0,1.1,0.027723,43,clean
1,0,0.139041,0.006542,0,1.01,0,2,0,0.00318,1.01,0,1,2,0.003261,0,78,0,7,7,1,0,3.08,0.007771,19,buggy
3,0,0.007178,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,3,3,0,0,1.01,0.005924,9,clean
0,0,0.017712,0,0,0,0,0,0,0,0,0,0,1,0,0,36,0,6,6,0,0,1.01,0.005924,9,buggy
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,210,0,9,9,1,0,0,0,0,buggy
0,0,0.002965,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,3,2,0,0,1.01,0.005924,9,clean
3,0,0.017196,0.003006,0,1.03,0,1,2,0.023845,1.01,0.00331,16,3,0.003536,1.01,36,1.01,4,2,2,0.008626,2.04,0.013691,48,buggy
0,0,0.00781,0,0,0,0,0,1,0,0,0,0,4,0,0,15,0,3,3,1,0,2.1,0.009791,71,clean
0,0,0.002044,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,5,1,0,0,0,0,0,clean
6,0,0.010193,0,0,0,0,0,0,0,0,0,0,1,0,0,153,0,8,8,0,0,2.02,0.009791,16,clean
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,9,clean
9,0,0.00287,0,0,0,1,0,0,0,0,0,0,1,0,0,78,0,5,3,0,0,0,0,0,clean
1,0,0.028498,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,1,0,0,0,0,0,0,clean
1,0,0.019793,0,0,0,0,0,0,0,0,0,0,2,0,0,28,0,0,0,0,0,2.02,0.009791,16,clean
0,0,0.000692,0,0,0,1,0,0,0,0,0,0,1,0,0,21,0,1,0,0,0,1.01,0.005924,9,clean
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,clean
0,0,0.006841,0,0,0,0,0,0,0,0,0,0,1,0,0,36,0,1,1,0,0,0,0,0,clean
0,0,0.001328,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,11,1,0,0,1.02,0.005924,18,clean
0,0,0.043265,0.000323,0,0,0,0,0,0,0,0,0,1,0,0,6,0,2,1,0,0,0,0,0,clean
3,0,0.009043,0.002319,0,0,0,0,0,0,0,0,0,1,0,0,78,0,11,9,1,0,0,0,0,clean
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,9,buggy
0,3.36,0,0,0.037826,0,119,0,0,0,0,0,0,1,0,0,0,0,120,1,0,0,0,0,0,buggy
3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,15,0,7,7,0,0,0,0,19,buggy
0,0,0.002728,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,1.1,0.027723,22,clean
3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,105,0,8,8,0,0,0,0,0,clean
1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,10,0,3,3,0,0,0,0,19,buggy
0,0,0.048073,0,0,0,0,0,0,0,0,0.00752,8,3,0,0,0,3.03,0,0,1,0,3.03,0.054526,29,clean
5,0,0.019672,0,0,0,0,0,0,0,0,0,0,1,0,0,36,0,5,4,0,0,0,0,0,clean
0,0,0.001023,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,1.1,0.027723,22,clean
0,0,0.023128,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,2.02,0.009791,11,clean
1,0,0.00375,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,2,2,0,0,0,0,9,clean
0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,29,clean
0,0,0.073454,0,0,0,0,0,0,0,0,0,0,2,0,0,496,0,16,16,0,0,2.06,0.009791,37,clean
3,0,0.012121,0.004374,0,1.03,0,0,1,0.004366,0,0,1,2,0,0,105,1.01,5,5,1,0,3.06,0.011369,23,clean
0,0,0.019592,0,0,0,0,5,0,0,0,0.00331,8,2,0,0,6,1.01,1,1,0,0,2.02,0.053259,25,clean
0,0,0.013754,0.006542,0,1.01,0,0,0,0.003114,0,0,1,2,0,0,55,0,3,3,0,0,2.05,0.008655,26,clean
0,0,0.003867,0,0,0,0,0,0,0,0,0.002283,1,2,0,0,0,1.01,1,1,0,0,1.01,0.001915,2,clean
0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,clean
2,0,0.17691,0.018552,0,2.02,0,0,0,0.022444,0,0,0,1,0,0,15,0,2,2,3,0,0,0,0,clean
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,9,clean
6,0,0.006499,0,0,0,0,0,0,0,0,0,0,1,0,0,66,0,2,2,0,0,2.02,0.009791,9,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,clean
1,0,0.007419,0,0,0,0,0,0,0,0,0,1,3,0,0,6,0,2,1,0,0,2.02,0.009791,19,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,28,0,1,1,1,0,0,0,21,clean
0,0,0.001476,0,0,0,0,0,0,0,0,0,0,1,0,0,105,0,6,6,0,0,2.02,0.009791,9,clean
0,0,0.001968,0,0,0,0,0,0,0,0,0.000797,4,2,0,0,0,1.01,0,0,0,0,5.05,0.012545,17,clean
0,0,0.076862,0,0,0,0,0,0,0,0,0,0,2,0,0,561,0,17,17,0,0,2.06,0.009791,37,clean
2,0,0.00109,0.000846,0,1.09,2,0,0,0.000594,0,0.001023,1,1,0,0,1081,1.01,18,15,0,0,3.1,0.010674,10,clean
0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,6,0,1,1,0,0,1.1,0.027723,43,clean
5,0,0.011965,0,0,0,0,0,0,0,0,0,0,1,0,0,66,0,5,5,0,0,2.02,0.009791,9,clean
1,0,0.328118,0.012523,0,1.01,0,0,2,0.002667,0,0.004231,0,2,0,2.02,946,2.05,11,9,4,0.002921,11.5,0.026458,36,buggy
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,9,buggy
0,0,0.000136,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3.31,0.010674,31,clean
1,0,0.012043,0.002319,0,1.01,0,10,0,0.002324,1.01,0,0,1,0.003737,0,3,0,1,0,0,0,0,0,0,buggy
0,0,0.020248,0.006184,0,1.01,0,0,0,0.002774,0,0,0,1,0,0,21,0,5,5,0,0,2.02,0.009791,9,clean
0,0,0.000949,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1.01,0.005924,11,clean
0,0,0.001756,0,0,0,0,0,0,0,0,0,1,2,0,0,45,0,4,3,0,0,3.19,0.012186,28,clean
0,0,0,0,0,0,30,0,0,0,0,0,0,1,0,0,0,0,31,1,0,0,0,0,0,buggy
0,0,0.062674,0.004094,0,3.03,0,0,0,0.007642,0,0.002308,0,3,0,1.01,15,1.03,7,7,0,0.002921,1.05,0.002341,14,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,clean
0,0,0.002539,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,2,2,0,0,2.04,0.009791,18,clean
1,0,0.033924,0.030681,0,0,0,1,0,0,2.05,0,0,1,0.022497,0,276,0,8,6,0,0,1.09,0.027723,18,clean
0,0,0.000949,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,2.05,0.008591,31,clean
2,0,0.007359,0,0,0,0,0,0,0,0,0,0,2,0,0,66,0,25,25,0,0,1.01,0.001058,2,clean
1,0,0,0.005405,0,0,0,0,0,0,0,0,0,1,0,0,6,0,2,0,0,0,0,0,9,clean
3,0,0.009412,0.002107,0,0,0,0,0,0,0,0,0,1,0,0,15,0,1,1,0,0,2.02,0.009791,9,clean
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,36,0,3,3,1,0,0,0,17,clean
1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,66,0,4,3,0,0,0,0,0,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,clean
0,0,0.012878,0,0,0,0,0,1,0,0,0,0,1,0,0,91,0,11,6,1,0,2.04,0.009791,18,clean
0,0,0.001166,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,3.04,0.010847,19,clean
0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,15,0,0,0,0,0,0,0,13,clean
0,0,0.018798,0.003194,0,0,0,0,0,0,0,0,0,1,0,0,78,0,6,6,0,0,1.01,0.005924,9,clean
0,0,0.000949,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,2,2,0,0,0,0,9,buggy
6,0,0.007999,0.003451,0,1.01,0,0,0,0.019848,1.01,0,0,1,0.003737,0,325,0,2,2,3,0,2.02,0.009791,9,buggy
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,5,0,0,0,0,0,clean
1,0,0.002631,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,5,1,0,0,0,0,0,clean
0,0,0.072538,0,0,0,0,0,0,0,0,0,2,2,0,0,561,0,20,15,0,0,2.02,0.009791,18,clean
0,0,0.029496,0.000846,0,0,0,0,0,0,0,0.001537,8,2,0,0,10,2.05,7,7,0,0,3.66,0.010674,77,clean
0,0,0.000294,0,0,0,0,0,0,0,0,0,4,3,0,0,6,0,3,3,0,0,1.1,0.027723,43,clean
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,9,buggy
0,0,0.011756,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,2,1,0,0,0,0,0,clean
0,0,0.004267,0.003194,0,0,0,3,0,0,1.01,0,0,1,0.002601,0,3,0,1,1,0,0,0,0,0,clean
1,0,0.009811,0,0,0,0,2,0,0,0,0,16,1,0,0,210,0,6,1,0,0,4.04,0.013683,35,buggy
7,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,153,0,10,9,0,0,0,0,2,buggy
0,0,0.001138,0,0,0,0,0,0,0,0,0,0,1,0,1.02,0,0,1,1,0,0.00316,2.2,0.008829,0,clean
0,0,0.030773,0,0,0,0,0,0,0,0,0,0,1,0,0,66,0,2,1,0,0,2.02,0.009791,17,clean
0,0,0.003678,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,clean
0,0,0.002399,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.04,0.009791,18,clean
0,0,0.001632,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2.02,0.009791,9,clean
8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,153,0,5,4,0,0,0,0,9,clean
1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,2,2,0,0,0,0,2,clean
0,0,0.006881,0.004374,0,0,0,0,0,0,0,0,0,1,0,0,78,0,6,5,0,0,0,0,9,clean
