@relation 'data/M_multi_metrics_JDT.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-14,17-21,23-30,32-39,41-43,46-47,49-61'

@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute WCHU_noc numeric
@attribute LDHH_noc numeric
@attribute WCHU_lcom numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute LDHH_dit numeric
@attribute class {buggy,clean}

@data
0,0,0,0,1.12,2,0,0,buggy
4,2,0,0,1.1,1,0,0.001409,buggy
0,0,0,0,1.11,0,1,0,clean
0,6,4.06,0.001667,0,0,1,0,clean
0,0,0,0,0,0,2,0,clean
0,1,0,0,0,0,0,0,clean
0,2,0,0,0,0,0,0,clean
1,0,0,0,0,0,0,0,buggy
0,0,0,0,2.12,0,0,0,clean
3,0,0,0,7,0,0,0,buggy
4,0,0,0,0,0,0,0,clean
1,0,0,0,0,0,0,0,clean
5,1,0,0,0,1,1,0,clean
0,0,0,0,0,0,3,0,clean
2,2,1.02,0.001203,0,0,0,0.001409,clean
0,0,0,0,5.95,2,8,0,clean
0,0,0,0,0,1,2,0,clean
0,0,0,0,0,0,3,0,clean
0,3,0,0,4.7,1,4,0,clean
2,0,0,0,1.13,0,0,0,clean
1,0,0,0,3.43,0,0,0,buggy
6,0,0,0,0,1,2,0,clean
0,0,0,0,0,0,2,0,clean
9,0,0,0,3.05,3,0,0,clean
0,0,1.01,0.001086,0,0,1,0,clean
1,0,0,0,0,1,0,0,clean
0,0,0,0,0,0,3,0,clean
0,0,0,0,0,0,3,0,clean
0,0,0,0,0,0,0,0,clean
0,0,0,0,1.41,0,0,0,clean
0,0,0,0,0,0,0,0.001409,clean
2,0,0,0,3.47,1,1,0,buggy
2,4,3.04,0.006412,3.9,3,4,0,buggy
5,0,0,0,359.48,0,1,0,buggy
3,0,0,0,0,0,1,0,clean
0,0,0,0,0,0,2,0,clean
0,1,1.01,0,0,0,0,0,clean
10,0,0,0,11.58,0,0,0.001409,buggy
0,0,0,0,1.2,1,0,0,clean
0,0,0,0,0,0,1,0.004395,clean
16,0,0,0,2.37,1,0,0,clean
0,3,0,0,0,1,0,0,clean
2,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,2,0,clean
1,14,0,0,4.61,3,0,0,clean
2,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,3,0,clean
1,2,0,0,0,0,0,0,clean
3,1,0,0,3.71,1,0,0.001409,buggy
4,0,0,0,0,0,0,0,clean
4,1,0,0,1.04,0,0,0,buggy
0,0,0,0,0,0,3,0,clean
0,0,0,0,2.27,0,7,0,clean
2,0,0,0,0,2,0,0,clean
1,2,0,0,0,0,0,0.001409,clean
0,0,0,0,0,0,2,0,clean
1,0,0,0,0,0,1,0,clean
2,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,2,0,buggy
3,4,1.01,0.001086,2.82,0,0,0.001409,clean
2,0,0,0,0,1,3,0,clean
0,2,0,0,1.18,0,3,0,clean
3,0,0,0,0,0,0,0,clean
2,3,1.01,0.000798,0,0,0,0.001409,clean
0,0,0,0,0,0,0,0.001409,clean
3,0,0,0,2.11,0,0,0,clean
2,0,0,0,4.54,0,1,0,clean
2,0,0,0,0,0,0,0.001409,buggy
2,0,0,0,0,0,0,0.001409,buggy
0,0,0,0,0,0,3,0,clean
8,0,0,0,0,2,0,0,clean
3,0,0,0,0,0,0,0,buggy
4,0,0,0,1.17,0,0,0,clean
3,0,0,0,0,1,0,0,clean
0,0,0,0,0,0,3,0,buggy
50,0,0,0,95.61,6,25,0,buggy
3,1,0,0,26.66,0,1,0.001409,clean
2,0,0,0,0,0,0,0.001409,clean
4,0,0,0,0,0,0,0,clean
0,0,0,0,1.03,0,0,0,clean
0,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,0.001409,clean
0,0,0,0,9.6,3,0,0,clean
0,0,0,0,0,0,0,0,clean
7,0,0,0,1.07,0,0,0,clean
0,0,0,0,1.04,0,1,0,clean
0,0,0,0,1.12,0,1,0,clean
1,0,0,0,0,0,0,0,clean
0,0,0,0,0,1,0,0,buggy
1,3,0,0,1.12,0,0,0,clean
0,0,0,0,0,0,0,0.001409,clean
0,0,0,0,0,0,14,0,clean
0,0,0,0,0,0,11,0,clean
12,0,0,0,0,0,0,0,clean
0,0,0,0,1.11,0,1,0,clean
0,3,0,0,0,1,0,0,clean
4,0,0,0,1.09,0,0,0,clean
13,0,0,0,7.76,1,0,0,clean
2,0,0,0,0,0,0,0.001409,buggy
1,2,0,0,8.75,1,1,0,buggy
4,0,0,0,0,0,1,0,clean
0,0,0,0,0,0,2,0,clean
3,6,0,0,1.19,2,0,0.001409,buggy
6,0,0,0,7.51,1,0,0,clean
21,0,0,0,7.66,0,3,0,buggy
3,0,0,0,1.65,8,1,0,buggy
3,0,0,0,0,0,0,0,clean
0,0,0,0,1.59,0,7,0,clean
0,0,0,0,1.06,1,0,0,clean
1,0,0,0,1.33,1,12,0,clean
36,0,0,0,15.16,3,6,0,buggy
0,0,0,0,0,0,2,0,clean
23,0,0,0,132.62,8,1,0.001409,buggy
16,3,1.01,0.000367,5.75,1,0,0,buggy
4,0,0,0,1.08,0,0,0,clean
7,5,1.01,0.002037,0,1,0,0.001409,clean
0,0,0,0,3,1,11,0,clean
0,0,0,0,0,1,3,0,clean
0,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,3,0,clean
20,0,0,0,32.08,4,19,0,buggy
3,0,0,0,0,0,0,0,clean
0,22,0,0,0,0,1,0,clean
0,0,0,0,1.9,0,2,0,clean
1,2,0,0,1.21,1,0,0,clean
1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,3,0,clean
0,2,0,0,2.07,0,0,0,clean
0,1,0,0,0,0,3,0,clean
0,0,0,0,0,0,0,0,buggy
0,0,0,0,0,0,2,0,clean
3,0,0,0,3.51,0,1,0,clean
1,0,0,0,0,0,0,0,clean
5,0,0,0,0,0,0,0,clean
0,0,2.02,0.000842,0,0,0,0,clean
0,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,3,0,clean
0,0,0,0,0,0,2,0,clean
0,0,0,0,1.03,0,0,0.001409,clean
0,0,0,0,0,0,7,0,clean
0,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,3,0,clean
3,5,1.01,0.000828,1.46,1,0,0.001409,clean
8,0,0,0,0,0,3,0,clean
2,0,0,0,0,0,0,0.001409,clean
0,0,0,0,0,1,0,0,buggy
0,0,0,0,0,0,2,0,clean
17,0,0,0,1.1,0,0,0,clean
1,2,0,0,7.5,0,0,0,clean
2,4,0,0,0,1,0,0.001409,buggy
0,1,0,0,6.75,1,0,0,buggy
0,0,0,0,0,0,1,0,clean
0,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,1,0,clean
0,0,0,0,0,0,0,0,clean
2,0,0,0,1.15,1,8,0,clean
1,0,0,0,1.09,0,0,0,clean
0,26,0,0,1.09,0,0,0,clean
0,0,0,0,0,0,1,0,clean
0,0,0,0,0,0,4,0,clean
0,0,0,0,1.02,1,0,0,clean
3,0,0,0,7.95,0,10,0,clean
9,0,0,0,1.12,2,0,0,clean
2,0,0,0,0,0,1,0,clean
0,1,0,0,1.09,1,0,0,clean
1,0,0,0,7.24,4,1,0,buggy
1,0,0,0,0,0,0,0,clean
2,3,0,0,10.43,3,0,0.001409,buggy
1,1,0,0,0,0,0,0.001409,clean
0,2,0,0,1.11,0,0,0,clean
0,0,0,0,0,2,0,0,clean
0,0,0,0,1.06,0,0,0,clean
2,0,0,0,1.07,0,0,0.001409,clean
0,0,0,0,2.14,1,1,0.008262,buggy
9,2,0,0,0,1,0,0.001409,buggy
1,0,0,0,1.11,0,0,0,clean
0,0,0,0,0,0,0,0,clean
1,0,0,0,0,0,0,0,clean
0,2,0,0,0,0,0,0,clean
0,0,0,0,0,0,3,0,clean
6,0,0,0,0,2,0,0.001409,clean
9,0,0,0,1.27,1,0,0,clean
0,0,0,0,0,0,1,0,clean
0,0,0,0,16.93,0,0,0,buggy
4,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,0,clean
13,0,0,0,0,0,0,0,clean
12,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,3,0,clean
7,4,0,0,4.81,0,0,0.001409,buggy
0,0,0,0,0,0,3,0,clean
0,0,0,0,0,0,3,0,clean
0,1,0,0,1.05,0,0,0.001409,clean
0,1,1.01,0.01184,7.2,3,0,0,buggy
0,1,1.01,0.01184,1.04,1,1,0,clean
0,0,0,0,1.03,0,1,0,clean
0,1,1.01,0.01184,1.11,1,0,0,clean
8,0,0,0,2.55,1,5,0.001409,buggy
0,0,0,0,0,0,14,0,clean
0,0,0,0,0,1,2,0,clean
0,1,0,0,4.12,0,0,0,clean
0,0,0,0,0,0,3,0,clean
5,0,0,0,2.59,2,0,0,clean
0,0,0,0,0,0,3,0,clean
1,0,0,0,0,0,0,0,clean
2,0,0,0,0,0,0,0.001409,clean
0,0,0,0,0,0,5,0,clean
34,1,0,0,84.29,2,0,0.001409,buggy
0,1,0,0,1.08,0,1,0,clean
4,0,0,0,2.08,0,0,0,clean
1,0,0,0,1.11,0,15,0,clean
4,0,0,0,0,0,0,0,clean
4,0,0,0,0,0,0,0,clean
0,0,0,0,1.06,0,0,0,buggy
0,0,0,0,0,0,2,0,clean
0,0,0,0,2.39,0,15,0,buggy
2,2,0,0,0,0,0,0,clean
0,0,0,0,3.11,2,3,0.008262,buggy
0,0,0,0,0,0,0,0.001409,clean
4,0,0,0,1.09,0,0,0,clean
0,0,0,0,0,0,1,0,clean
0,9,2.05,0.00108,3.47,2,11,0,clean
0,1,0,0,0,0,0,0,clean
0,0,0,0,0,0,2,0,clean
0,0,0,0,0,0,0,0.001409,buggy
0,0,0,0,0,0,1,0,clean
8,1,0,0,15.21,0,2,0.001409,buggy
1,3,0,0,2.63,0,0,0.001409,buggy
17,0,0,0,1.5,0,11,0.001409,buggy
1,0,0,0,14.98,3,12,0,buggy
0,0,0,0,0,1,0,0.001409,clean
0,0,0,0,7.77,1,23,0,clean
4,2,1.01,0.000409,0,0,0,0.001409,clean
0,0,0,0,0,0,1,0,clean
0,1,1.01,0.001086,0,0,0,0,clean
1,5,0,0,0,0,0,0.001409,clean
1,0,0,0,1.04,0,0,0.001409,clean
0,0,0,0,0,0,2,0,clean
0,0,0,0,0,0,4,0,clean
0,0,0,0,0,0,1,0,clean
0,0,0,0,0,0,0,0,clean
1,0,0,0,0,0,0,0,clean
2,0,0,0,1.09,0,2,0,clean
0,4,0,0,1.17,0,0,0,buggy
0,0,0,0,0,0,2,0,clean
0,0,0,0,0,0,2,0,clean
0,0,0,0,0,0,6,0,clean
0,1,0,0,1.08,0,0,0,clean
3,3,0,0,2.24,1,1,0.001409,buggy
0,1,1.01,0.000564,13.85,8,2,0,buggy
7,1,0,0,13.98,0,8,0.001409,buggy
0,0,0,0,0,0,0,0.001409,clean
1,0,0,0,2.41,0,0,0.001409,clean
0,0,0,0,0,0,3,0,clean
0,0,0,0,0,0,2,0,clean
0,1,0,0,1.06,0,1,0,clean
0,0,0,0,0,0,0,0.001409,clean
6,0,0,0,2.74,0,0,0.001409,buggy
0,0,0,0,2.3,0,0,0,buggy
0,0,0,0,3.2,0,1,0,clean
0,4,0,0,1.08,0,0,0.001409,buggy
3,1,0,0,1.05,1,0,0,clean
2,0,0,0,3.31,1,0,0,clean
0,0,0,0,0,0,0,0,clean
0,1,0,0,0,0,0,0,clean
2,0,0,0,6.23,1,8,0,clean
6,0,0,0,2.66,0,0,0,clean
2,2,0,0,0,0,0,0.001409,buggy
0,1,0,0,0,1,0,0,clean
1,0,0,0,0,0,0,0.001409,clean
0,2,1.01,0.01184,0,1,0,0,buggy
7,0,0,0,0,0,0,0.001409,buggy
0,0,0,0,0,0,4,0,clean
3,0,0,0,1.09,0,0,0,clean
2,19,0,0,1.6,1,7,0,clean
0,0,0,0,0,0,5,0,clean
0,0,0,0,4.45,0,4,0.00026,clean
0,0,0,0,0,0,1,0,clean
1,1,1.01,0.000409,1.04,0,0,0.001409,clean
0,0,0,0,0,0,2,0,clean
0,0,0,0,1.05,0,0,0,clean
0,0,0,0,1.06,0,0,0,clean
0,0,0,0,0,1,0,0,clean
0,0,0,0,0,1,2,0,clean
0,0,0,0,2.29,1,3,0,buggy
0,0,0,0,0,0,4,0,clean
0,0,0,0,0,0,0,0,clean
2,0,0,0,0,1,5,0,clean
3,0,1.03,0.000798,3.4,0,1,0.001409,clean
8,8,1.01,0.00108,31.02,0,3,0.001409,buggy
0,0,0,0,0,0,0,0,clean
1,0,0,0,4.9,0,0,0,buggy
1,0,0,0,0,0,1,0,clean
0,0,0,0,1.11,0,2,0,clean
0,1,1.01,0,5.44,0,0,0.001409,buggy
0,0,0,0,2.62,0,15,0,clean
0,6,0,0,1.07,1,0,0.001409,clean
5,0,0,0,0,0,0,0,clean
1,0,0,0,1.06,0,1,0,buggy
3,0,0,0,2.14,0,0,0,clean
0,0,0,0,0,0,0,0,clean
0,0,0,0,1.05,1,0,0.004395,clean
5,0,0,0,3.89,0,0,0.001409,clean
0,0,0,0,1.13,0,0,0,clean
3,0,0,0,0,0,2,0.001409,clean
2,0,0,0,0,1,0,0.001409,buggy
1,0,0,0,0,0,1,0,clean
0,0,0,0,0,0,0,0,clean
4,15,1.01,0.01184,5.29,0,0,0.001409,clean
1,0,0,0,0,0,0,0,clean
2,0,0,0,1.13,0,0,0,clean
8,0,0,0,1.1,3,0,0,buggy
0,0,0,0,0,0,2,0,clean
0,0,0,0,0,1,1,0,clean
0,0,0,0,0,0,7,0,clean
2,1,0,0,0,0,0,0.001409,clean
0,0,0,0,0,0,3,0,clean
0,0,0,0,1.29,0,9,0,clean
2,3,0,0,0,0,0,0,clean
6,0,0,0,1.58,1,1,0,clean
0,0,0,0,0,0,0,0.001409,clean
0,0,0,0,0,0,1,0,clean
0,0,0,0,0,0,1,0,clean
0,0,0,0,1.02,0,2,0,buggy
0,0,0,0,1.14,0,3,0,clean
0,0,0,0,0,0,7,0,clean
0,1,0,0,9.67,2,0,0,clean
0,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,4,0,clean
0,1,0,0,1.05,0,0,0,clean
0,0,0,0,2.54,1,3,0,clean
0,0,0,0,0,0,0,0.001409,clean
0,0,0,0,0,0,0,0.001409,clean
0,0,0,0,0,0,0,0.001409,buggy
0,0,0,0,1.81,0,12,0,buggy
1,0,0,0,25.26,1,0,0.000461,clean
0,0,0,0,0,0,1,0,clean
2,0,0,0,7.59,2,0,0,buggy
0,0,0,0,0,0,3,0,clean
0,2,0,0,13.41,3,4,0,buggy
4,0,0,0,0,0,0,0,clean
4,0,0,0,0,0,0,0,clean
0,2,1.01,0.000564,0,1,0,0,clean
4,0,0,0,0,0,0,0,clean
0,6,0,0,2.99,5,0,0,clean
0,0,0,0,0,0,1,0,clean
0,0,0,0,5.26,0,0,0,clean
26,2,0,0,1.26,1,0,0.001409,buggy
44,4,1.01,0.000564,16.7,4,2,0,buggy
0,0,0,0,2.15,0,0,0,clean
0,1,0,0,0,0,0,0.001409,buggy
1,0,0,0,0,0,0,0.001409,clean
2,0,0,0,1.07,0,0,0.001409,clean
0,16,2.03,0.001626,0,0,0,0,clean
0,1,0,0,0,0,0,0,clean
9,0,0,0,0,1,2,0.001409,clean
0,0,0,0,0,0,0,0,clean
