@relation 'data/M_multi_metrics_LC.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-4,6-11,13-14,16,18-20,22-26,28,30,33-43,45,47,49-55,57-61'

@attribute WCHU_numberOfPublicAttributes numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute CvsLogEntropy numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute LDHH_dit numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute class {buggy,clean}

@data
0,0,0,0,0.048688,10,4,0,0,0,0,0,24,clean
0,0,0,0,0.107049,1,3,0,1.01,0,0,0.001152,49,clean
0,0,0,0,0.271872,0,1,0,0,0,0,0,9,clean
0,0,0,0,0,0,1,0,0,0,0,0,9,clean
0,0,11,0,0.089145,0,2,0,0,0,0,0,11,clean
0,0,0,0,0.029128,0,1,0,0,0,0,0,27,clean
0,0,0,0,0.131351,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.101164,6,2,0,0,0,0,0,35,clean
0,0,21,0,0.225197,39,1,0,0,0,0,0,9,clean
0,0,2,0,0.041874,0,1,0,0,0,0,0,18,clean
0,0,0,0,0.170244,1,3,0,0,0,0,0,16,clean
0,0,0,0,0,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.044092,0,1,0,0,0,0,0,10,buggy
0,0,0,0,0.099578,0,1,0,0,0,0,0,9,clean
1.01,0.001468,1,0,0.12928,2,2,0,0,0,0,0,39,clean
2.02,0.003908,10,0,0.900412,5,3,0.013868,1.01,0,0,0.00165,78,buggy
0,0,0,0,0.330283,0,3,0,1.01,0,0,0.00406,17,clean
0,0,0,0,0.03126,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.074005,0,3,0,0,0,0,0,22,clean
1.01,0.00085,1,0,0.155688,2,2,0,0,0,0,0,39,clean
0,0,0,0,0.087698,2,2,0,0,0,0,0,39,clean
0,0,1,0,0.041874,2,1,0,0,0,0,0,31,clean
0,0,8,0,0.145898,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.289447,0,1,0.002658,0,0,0,0,19,clean
2.02,0.00663,9,0,0.237557,0,1,0,0,0,0,0,9,buggy
1.01,0.000876,7,0,0.264742,0,2,0,0,0,0,0,24,clean
0,0,1,0,0.023183,0,1,0,0,0,0,0,27,clean
0,0,10,0,0.089145,0,2,0,0,0,0,0,15,clean
0,0,7,0,0.042456,0,2,0,0,0,0,0,13,clean
0,0,0,0,0.371815,1,3,0,0,0,0,0,16,clean
0,0,0,0,0.096463,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.101967,3,3,0,0,0,0,0,29,buggy
0,0,0,0,0.115313,0,1,0,0,0,0,0,18,clean
0,0,0,0,0.137482,3,4,0,0,0,0,0,22,clean
0,0,0,0,0.032105,2,3,0,0,0,0,0,51,clean
0,0,2,0,0.042456,0,2,0,0,0,0,0,13,clean
0,0,0,0,0.034079,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.126392,0,1,0.001153,0,0,0,0,18,clean
0,0,6,0,0.101164,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.161808,5,2,0,0,0,0,0,15,clean
0,0,0,0,0.101164,6,2,0,0,0,0,0,35,clean
0,0,0,0,0,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.087698,13,4,0,0,0,0,0,51,clean
0,0,0,0,0.280232,9,2,0,0,0,0,0,37,clean
0,0,3,0,0.042456,0,2,0,0,0,0,0,14,clean
0,0,7,0,0.456687,38,1,0,0,0,0,0,9,clean
0,0,0,0,0.041874,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.208631,1,3,0,0,0,0,0,16,buggy
1.01,0.005861,1,0,0.067116,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.041874,0,2,0.007198,0,0,0,0,31,clean
0,0,0,0,0.101164,6,2,0,0,0,0,0,35,clean
0,0,4,0,0.078161,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.168035,0,2,0.001521,0,0,0,0,24,clean
0,0,0,0,0.042456,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.076141,2,3,0,0,0,0,0,49,clean
1.01,0.002182,3,0,3.41697,13,2,0,0,0,0,0,35,clean
0,0,0,0,0.041582,3,4,0,0,0,0,0,64,clean
0,0,1,0,0.168217,0,3,0,0,0,0,0,12,clean
0,0,0,0,0.12928,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.100314,3,4,0,0,0,0,0,64,clean
1.02,0.000658,4,0,0.193159,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.101164,6,2,0,0,0,0,0,35,clean
0,0,0,0,0.334176,0,1,0.006744,0,0,0,0,18,buggy
0,0,0,0,0.041874,9,2,0,0,0,0,0,26,clean
0,0,0,0,0.03126,0,1,0,0,0,0,0,9,clean
0,0,3,0,0.283052,0,1,0,0,0,0,0,27,clean
0,0,0,0,0.101164,6,2,0,0,0,0,0,35,clean
0,0,0,0,0.060151,0,1,0,0,0,0,0,16,clean
0,0,0,0,0.251368,0,1,0,0,0,0,0,12,clean
0,0,0,0,0.065057,0,1,0,0,0,0,0,27,clean
0,0,8,0,0.023183,0,1,0,0,0,0,0,9,clean
0,0,4,0,0.042456,0,2,0,0,0,0,0,13,clean
0,0,0,0,0.043934,1,3,0,0,0,0,0,16,clean
0,0,0,0,0.611578,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.087698,2,3,0,0,0,0,0,55,clean
0,0,0,0,0.068962,2,2,0.002203,0,0,0,0,39,clean
0,0,0,0,0.292414,0,2,0,0,0,0,0,12,clean
1.01,0,3,0,0.194325,0,2,0,1.01,0,0,0.002169,15,clean
0,0,1,0,0.060687,0,3,0,0,0,0,0,12,clean
0,0,0,0,0.163469,0,1,0.038603,0,0,0,0,18,clean
1.01,0.000914,1,0,0.254036,0,1,0,0,0,0,0,18,clean
0,0,0,0,0.145898,12,3,0,0,0,0,0,36,clean
0,0,0,0,0.132328,11,2,0.033675,1.01,0,0,0,33,clean
0,0,0,0,0.021936,0,2,0,0,0,0,0,50,clean
0,0,1,0,0.206585,0,2,0,0,0,0,0,11,clean
0,0,0,0,0.256815,0,2,0,1.01,0,0,0.001152,42,clean
0,0,0,0,0.101967,0,1,0,0,0,0,0,9,clean
0,0,7,0,0.023183,26,1,0,0,0,0,0,9,clean
0,0,0,0,0.129112,0,1,0,0,0,0,0,0,buggy
0,0,0,0,0.101164,6,2,0,0,0,0,0,35,clean
0,0,0,0,0.164804,0,4,0,0,0,0,0,50,buggy
0,0,0,0,0.065057,1,3,0,0,0,0,0,44,clean
0,0,0,0,0.290466,1,3,0,0,0,0,0,16,clean
0,0,1,0,0.042456,0,1,0,0,0,0,0,9,clean
1.02,0,0,0,0.323633,0,2,0,0,0,0,0,11,clean
0,0,3,0,0,0,1,0,0,0,0,0,9,clean
1.01,0.005861,7,0,0.089145,0,2,0,0,0,0,0,15,clean
0,0,1,0,0.242608,0,2,0,1.01,0,0,0.000639,19,clean
0,0,0,0,0.248653,0,2,0,0,0,0,0,24,clean
0,0,0,0,0.194196,0,1,0.052751,0,0,0,0,9,buggy
0,0,1,0,0.041874,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.158272,0,2,0,0,0,0,0,29,clean
0,0,0,0,0.053919,1,3,0,0,0,0,0,22,clean
0,0,0,0,0.39539,0,2,0,0,0,0,0,15,clean
0,0,0,0,0.329159,0,2,0,0,0,0,0,39,clean
0,0,0,0,0,0,2,0,0,0,0,0,15,clean
0,0,0,0,0.082589,0,2,0.002632,1.01,0,0,0.002169,11,clean
0,0,15,0,0.205541,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.151014,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.087698,12,3,0,0,0,0,0,46,clean
0,0,0,0,0.084846,0,1,0,0,0,0,0,9,clean
0,0,0,0,0,1,3,0,0,0,0,0,16,clean
0,0,0,0,0.048688,10,4,0,0,0,0,0,24,clean
0,0,0,0,0.097067,0,3,0,1.01,0,0,0.00406,17,clean
0,0,0,0,0.087698,3,4,0,1.01,0,0,0.000816,64,clean
0,0,1,0,0.218393,0,1,0,0,0,0,0,10,clean
0,0,0,0,0.170244,1,3,0,0,0,0,0,16,clean
0,0,0,0,0.134671,3,3,0,0,0,0,0,29,buggy
0,0,2,0,0.185197,0,1,0.00242,0,0,0,0,16,clean
0,0,0,0,0.236497,2,3,0,1.01,0,0,0.01117,49,clean
0,0,0,0,0.145898,2,2,0,0,0,0,0,39,clean
0,0,0,0,0,0,1,0,0,0,0,0,9,clean
0,0,0,0,0,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.174739,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.033753,0,1,0,0,0,0,0,9,clean
1.01,0.000452,0,0,0.761933,0,2,0,0,0,0,0,39,clean
0,0,0,0,0.072676,0,2,0.033026,0,0,0,0,15,clean
0,0,3,0,0.021936,0,1,0,0,0,0,0,29,clean
0,0,0,0,0.173442,0,1,0,0,0,0,0,10,clean
0,0,0,0,0.101164,6,2,0,0,0,0,0,35,clean
0,0,0,0,0.065057,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.108803,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.32498,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.042456,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.087698,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.076062,0,2,0,0,0,0,0,15,clean
0,0,8,0,0,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.074005,0,2,0,0,0,0,0,21,clean
0,0,2,0,0.034425,0,1,0,0,0,0,0,18,clean
0,0,0,0,0.078901,0,2,0,1.01,0,0,0.000639,19,clean
1.09,0.001811,9,0,0.038216,0,1,0,0,0,0,0,9,buggy
0,0,1,0,0.245446,2,2,0,0,0,0,0,21,clean
0,0,0,0,0.33567,0,1,0,0,0,0,0,9,clean
0,0,1,0,0.28374,1,3,0,0,0,0,0,16,clean
0,0,0,0,0.041874,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.453825,0,2,0.00089,1.01,0,0,0.001152,24,clean
0,0,7,0,0.042456,0,2,0,0,0,0,0,11,clean
0,0,0,0,3.39625,0,2,0,1.01,0,0,0.006823,16,clean
1.01,0.003514,1,0,0.226735,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.102943,14,2,0,0,0,0,0,15,clean
0,0,1,0,0.218393,0,1,0,0,0,0,0,10,clean
0,0,0,0,0.076062,0,2,0,0,0,0,0,15,clean
0,0,0,0,0.041874,15,4,0,1.01,0,0,0.00165,80,clean
0,0,0,0,0.042456,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.065057,1,3,0,0,0,0,0,47,clean
0,0,6,0,0.028841,0,1,0,0,0,0,0,21,clean
0,0,7,0,0.042456,0,2,0,0,0,0,0,13,clean
0,0,0,0,0,0,2,0,0,0,0,0,15,clean
0,0,0,0,0.03126,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.072646,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.145898,2,2,0,0,0,0,0,39,clean
0,0,0,0,0.187772,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.132413,11,2,0,0,0,0,0,33,clean
0,0,0,0,0.111471,2,3,0.002203,1.01,0,0,0.00165,42,clean
0,0,0,0,0.275728,0,1,0,0,0,0,0,32,clean
0,0,0,0,0.233121,1,2,0,0,0,0,0,13,clean
0,0,0,0,0.096298,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.027544,0,1,0,0,0,0,0,0,clean
0,0,0,0,0.101164,6,2,0,0,0,0,0,35,clean
0,0,0,0,0.101164,6,2,0,0,0,0,0,35,clean
0,0,1,0,0.2271,0,1,0,0,0,0,0,9,clean
0,0,0,0,0,1,3,0,0,0,0,0,16,clean
0,0,0,0,0.312237,0,3,0,0,0,0,0,44,buggy
0,0,0,0,0,1,3,0,0,0,0,0,16,clean
1.03,0.000994,3,0,0.258121,11,2,0.000734,0,0,0,0,33,clean
0,0,0,0,0.188199,0,1,0,0,0,0,0,10,clean
0,0,0,0,0.220687,0,2,0,0,0,0,0,23,clean
0,0,0,0,0.142268,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.041874,1,2,0,0,0,0,0,19,clean
0,0,0,0,0,0,3,0,0,0,0,0,24,clean
0,0,1,0,0.074035,0,3,0,0,0,0,0,12,clean
0,0,0,0,0.12145,3,2,0,1.01,0,0,0.000816,23,clean
0,0,0,0,0.151484,0,2,0,0,0,0,0,15,clean
0,0,7,0,3.20079,0,1,0,0,0,0,0,48,clean
0,0,0,0,0.313174,0,3,0.001521,0,0,0,0,44,clean
0,0,0,0,0.205876,0,1,0.035524,0,0,0,0,27,clean
0,0,0,0,0.585738,16,3,0,1.02,0,0,0,104,buggy
0,0,0,0,0.099935,0,1,0,0,0,0,0,12,clean
0,0,1,0,0.137154,0,1,0,0,0,0,0,27,clean
0,0,0,0,0.325349,1,3,0.002905,0,0,0,0,16,clean
0,0,0,0,0.187772,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.079697,0,2,0,0,0,0,0,31,clean
0,0,0,0,0.231331,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.205541,0,1,0,0,0,0,0,9,clean
0,0,0,0,0,0,1,0,0,0,0,0,9,clean
1.01,0.002652,1,0,0.563933,2,2,0,0,0,0,0,58,clean
0,0,0,0,0.070158,0,1,0,0,0,0,0,10,clean
0,0,6,0,0.065057,0,1,0,0,0,0,0,19,clean
0,0,0,0,0.101164,15,4,0,0,0,0,0,80,clean
0,0,0,0,0.206049,0,1,0,0,0,0,0,18,clean
0,0,0,0,0.212649,0,1,0,0,0,0,0,9,clean
0,0,1,0,0.30133,0,1,0,0,0,0,0,10,clean
0,0,0,0,0,1,3,0,0,0,0,0,16,clean
0,0,0,0,0.359523,0,3,0,1.01,0,0,0.00406,17,clean
0,0,11,0,0.05565,36,1,0,0,0,0,0,9,clean
0,0,0,0,0.097162,1,3,0,0,0,0,0,44,clean
0,0,0,0,0.127247,0,1,0,0,0,0,0,9,clean
0,0,1,0,0.049488,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.041874,1,2,0,0,0,0,0,19,clean
0,0,0,0,3.45233,0,1,0,0,0,0,0,9,buggy
2.26,0.005303,6,0,0.136571,0,1,0,0,0,0,0,9,buggy
0,0,4,0,0.041874,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.099935,0,1,0,0,0,0,0,12,clean
0,0,0,0,0.279074,1,3,0,0,0,0,0,16,buggy
0,0,0,0,0,0,1,0,0,0,0,0,10,clean
0,0,0,0,0.101164,6,2,0,0,0,0,0,35,clean
0,0,0,0,0,1,3,0,0,0,0,0,16,clean
0,0,0,0,0.074362,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.247252,0,3,0,0,0,0,0,44,clean
0,0,0,0,0.159005,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.158247,0,2,0,0,0,0,0,15,clean
0,0,0,0,0.136055,0,1,0,0,0,0,0,15,clean
0,0,0,0,0,0,2,0,0,0,0,0,15,clean
0,0,0,0,0.068167,1,2,0,0,0,0,0,19,clean
0,0,4,0,0.361464,0,1,0,0,0,0,0,10,clean
0,0,0,0,0.182153,2,3,0,0,0,0,0,49,clean
1.01,0.000661,1,0,0,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.471706,0,1,0,0,0,0,0,9,clean
0,0,7,0,0.028841,36,1,0,0,0,0,0,9,clean
0,0,0,0,0.03126,2,2,0,0,0,0,0,27,clean
0,0,0,0,0.065057,1,3,0,0,0,0,0,45,clean
0,0,0,0,0.137482,3,4,0,0,0,0,0,22,clean
0,0,0,0,0.159885,0,2,0,0,0,0,0,15,clean
0,0,0,0,0.078839,0,1,0,0,0,0,0,9,clean
1.01,0.001811,1,0,3.59951,0,1,0.003673,0,0,0,0,9,buggy
0,0,0,0,0.087698,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.155112,1,3,0,0,0,0,0,16,buggy
0,0,0,0,0.068167,0,3,0,1.01,0,0,0.00406,17,clean
0,0,0,0,0.111471,2,4,0,1.02,0,0,0.00165,44,clean
0,0,3,0,0.17608,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.041874,0,3,0,0,0,0,0,24,clean
0,0,0,0,0.040252,0,1,0,0,0,0,0,9,clean
0,0,4,0,0.03126,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.221084,0,2,0,0,0,0,0,21,clean
0,0,0,0,3.56135,0,2,0,0,0,0,0,39,clean
1.03,0.000994,0,0,0.332374,1,3,0,0,0,0,0,16,buggy
0,0,0,0,0.926117,0,1,0,0,0,0,0,9,buggy
0,0,8,0,0,1,2,0,0,0,0,0,11,clean
1.01,0.001468,1,0,0.12928,2,2,0,0,0,0,0,39,clean
7.14,0.006303,3,0,4.4516,0,1,0.013319,0,0,0,0,9,buggy
0,0,7,0,0.069929,0,1,0,0,0,0,0,9,clean
0,0,1,0,0.074035,0,3,0,0,0,0,0,12,clean
0,0,0,0,0.113095,2,3,0,1.01,0,0,0.001152,27,clean
0,0,0,0,0.240385,2,2,0,0,0,0,0,27,clean
0,0,0,0,0.065057,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.042298,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.170244,1,3,0,0,0,0,0,16,clean
0,0,0,0,0.290392,0,2,0.054308,0,0,0,0,13,buggy
0,0,0,0,0.406381,0,2,0,0,0,0,0,39,clean
1.03,0.000452,0,0,0.246981,0,1,0,0,0,0,0,18,clean
0,0,0,0,0.209658,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.029128,0,1,0,0,0,0,0,27,clean
0,0,0,0,0.038994,0,1,0,0,0,0,0,13,clean
0,0,0,0,0.040252,0,2,0,0,0,0,0,13,clean
0,0,0,0,0.113686,0,1,0.050297,0,0,0,0,9,clean
0,0,0,0,0.17215,0,2,0.033026,0,0,0,0,39,clean
0,0,0,0,0,0,2,0,0,0,0,0,15,clean
0,0,0,0,0,0,2,0,0,0,0,0,15,clean
0,0,0,0,0.237672,2,2,0,0,0,0,0,27,clean
0,0,2,0,0,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.042456,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.087698,2,3,0.003946,0,0,0,0,55,clean
0,0,0,0,0.209658,0,2,0,0,0,0,0,33,clean
0,0,0,0,0,0,2,0,0,0,0,0,11,clean
0,0,0,0,0.212545,0,2,0.036337,0,0,0,0,13,clean
0,0,0,0,0.122947,0,1,0,0,0,0,0,9,clean
0,0,0,0,0,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.087698,2,2,0,0,0,0,0,39,clean
0,0,4,0,0.021936,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.591047,0,1,0,0,0,0,0,18,clean
0,0,0,0,0.040609,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.087698,12,3,0,0,0,0,0,46,clean
0,0,0,0,3.31753,0,3,0,0,0,0,0,22,clean
0,0,0,0,0.494687,2,3,0.033026,1.01,0,0,0.01117,49,buggy
0,0,0,0,0.101164,6,2,0,0,0,0,0,35,clean
0,0,0,0,0,1,3,0,0,0,0,0,16,clean
0,0,0,0,0.03126,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.029128,0,1,0,0,0,0,0,27,clean
