@relation 'PC1-weka.filters.unsupervised.attribute.Remove-R1-2,5-6,8,10-13,15,17-21'

@attribute ev(g) numeric
@attribute iv(G) numeric
@attribute L numeric
@attribute I numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute defects {false,true}

@data
1,3,0.09,24.59,0,0,false
6,1,0.03,29.35,0,1,false
1,4,0.05,44.03,12,9,false
1,1,0.18,19.23,0,3,false
1,1,0.08,50.42,4,6,false
1,18,0.02,41.45,8,32,false
1,3,0.09,33.76,1,2,false
1,1,0.29,10.87,0,0,false
3,3,0.18,35.93,0,1,false
1,1,0.13,25.18,3,5,false
1,1,0.42,17.17,2,1,false
1,1,0.5,9.83,0,0,false
3,3,0.05,21.11,0,10,false
1,2,0.11,16.25,0,0,false
1,1,0.21,16.65,0,1,false
1,1,0.05,39.43,15,18,false
1,2,0.09,28.35,2,5,false
1,4,0.08,33.56,0,0,false
1,1,0.25,12.55,0,0,false
1,1,0.08,40.13,3,4,false
7,4,0.08,29.28,12,5,false
1,1,0.16,22.02,0,0,false
3,3,0.03,43.84,10,9,false
1,3,0.08,23.84,0,2,false
1,2,0.15,16.96,0,1,false
1,1,0.08,21.4,3,4,false
1,2,0.07,20.48,8,7,false
1,1,0.42,17.17,2,1,false
4,1,0.1,17.83,0,5,false
3,1,0.04,19.62,4,6,false
1,1,0.67,16.84,0,0,false
1,2,0.08,14.42,0,1,false
1,1,0.08,38.44,0,3,false
1,1,0.13,8.51,0,0,false
1,1,0.33,12.18,0,0,false
1,1,0.34,17.79,0,1,false
4,1,0.05,7.24,0,2,false
1,1,0.5,9.83,0,0,false
7,4,0.08,29.28,12,5,false
1,3,0.1,29.67,2,8,false
3,2,0.06,23.58,1,5,false
1,3,0.05,18.92,0,1,false
1,1,0.16,16.53,0,1,false
1,9,0.04,49.99,4,8,false
1,2,0.09,25.84,0,4,false
1,1,0.06,19.85,0,1,false
6,4,0.08,31.58,0,2,false
1,1,0.67,7.74,0,1,false
1,2,0.07,20.48,8,7,false
1,1,0.16,28.81,1,7,false
1,2,0.16,19.16,0,3,false
1,2,0.04,27.97,0,4,false
1,1,0.11,18.68,0,1,false
1,2,0.1,34.4,1,9,false
1,1,0.13,8.51,0,0,false
1,2,0.06,21.63,0,7,false
1,1,0.14,21.5,0,1,false
1,1,0.08,25.68,0,2,false
1,1,0.06,19.77,0,5,false
1,1,0.29,8.15,0,1,false
1,1,0.1,29.97,0,1,false
1,2,0.07,39.02,0,2,false
1,1,0.09,30.56,3,5,false
4,1,0.1,14.12,0,1,false
1,1,0.08,30.71,0,2,false
1,1,0.14,15.91,2,1,false
3,1,0.06,16.86,0,0,false
1,3,0.12,18.35,0,2,false
1,1,0.11,18.88,0,1,false
1,3,0.12,18.35,0,2,false
3,3,0.08,18.68,0,1,false
1,1,0.09,14.55,0,2,false
1,1,0.06,19.77,0,5,false
1,2,0.02,129.4,0,16,false
6,1,0.04,23.89,0,1,false
1,4,0.09,27.6,0,2,false
1,1,0.09,14.15,0,2,false
1,1,0.67,5.33,1,3,false
1,1,0.67,7.74,0,0,false
6,6,0.04,49.36,1,3,false
1,1,0.09,38.38,0,2,false
1,1,0.4,38.4,16,8,false
1,1,0.67,5.33,1,2,false
1,3,0.08,65.33,1,6,false
1,1,0.11,7.57,0,0,false
1,1,0.17,14.33,0,1,false
1,4,0.08,28.49,0,1,false
1,1,0.36,34.1,16,7,false
1,3,0.04,9.76,0,0,false
3,3,0.13,13.67,0,0,false
3,4,0.04,15.17,0,3,false
1,1,0.21,260.82,0,7,false
1,3,0.08,13.51,0,0,false
7,2,0.05,15.48,0,1,false
1,1,0.12,16.82,1,0,false
8,1,0.04,15.12,0,2,false
1,3,0.08,15.57,0,0,false
6,1,0.05,8.51,0,1,false
1,1,0.12,16.82,1,0,false
1,1,0.15,12.73,0,1,false
1,1,0.33,9.51,0,0,false
1,1,0.05,67.6,2,9,false
1,2,0.08,15.57,1,4,false
6,4,0.05,16.89,0,0,false
4,2,0.1,10.28,0,1,false
1,2,0.25,34.4,0,4,false
1,1,0.19,10.54,1,2,false
1,2,0.05,15.35,0,0,false
5,2,0.05,10.31,0,1,false
7,4,0.05,25.13,3,2,false
1,1,0.67,7.74,0,0,false
1,3,0.03,12.97,1,1,false
1,2,0.13,11.2,0,1,false
1,2,0.12,11.86,0,0,false
1,2,0.05,15.35,0,0,false
3,3,0.04,10.61,0,2,false
6,3,0.09,70.03,10,2,false
1,2,0.05,15.35,0,0,false
5,1,0.04,8.91,0,1,false
1,5,0.09,65.97,10,2,false
1,2,0.08,15.57,1,4,false
1,5,0.05,13.02,1,0,false
6,5,0.03,7.15,0,2,false
7,4,0.05,36.07,0,2,false
1,1,0.13,30.49,3,5,false
1,3,0.04,11.3,1,0,false
17,3,0.02,28.02,0,3,false
3,3,0.07,51.99,12,7,false
3,3,0.03,33.95,55,17,false
1,3,0.02,29.83,0,7,false
3,2,0.11,10.91,0,1,false
1,1,0.19,12.85,0,0,false
4,2,0.05,7.8,0,2,false
1,1,0.02,32.18,0,7,false
6,2,0.05,12.67,0,1,false
1,1,0.5,9.83,0,0,false
6,2,0.04,11.97,0,1,false
1,7,0.04,33.06,3,4,false
1,1,0.23,19,0,1,false
1,1,0.05,10.25,0,2,false
1,1,0.5,9.83,0,1,false
3,2,0.07,9.65,0,1,false
1,1,0.24,34.97,8,5,false
1,1,0.07,598.33,0,1,false
3,2,0.11,9.57,0,1,false
1,1,0.11,18.85,3,4,false
1,1,0.23,18.13,0,0,false
1,1,0.04,11.47,0,1,false
1,1,0.33,21.04,1,2,false
1,1,0.14,15.91,2,1,false
1,1,0.21,16.65,0,1,false
9,1,0.03,9.47,0,2,false
1,1,0.29,25.23,1,2,false
1,1,0.19,10.54,1,2,false
1,1,0.07,14.41,0,2,false
1,1,2,4,0,1,false
1,1,0.67,7.74,0,0,false
1,1,0.15,17.2,0,0,false
1,2,0.07,4.54,0,0,false
1,13,0.05,63.69,0,4,false
1,1,0.05,16.16,0,0,false
3,3,0.1,14.4,0,1,false
14,15,0.06,99.56,0,5,false
1,1,0.12,13.14,0,2,false
6,5,0.05,19.75,0,1,false
1,1,0.09,44.78,0,3,false
1,2,0.08,19.34,0,1,false
1,1,0.1,13.9,3,2,false
3,2,0.03,27.36,0,0,false
1,5,0.1,25.77,0,0,false
1,1,0.25,11.93,0,0,false
1,1,0,0,0,0,false
1,1,0.17,9.56,0,0,false
1,5,0.09,23.68,0,0,false
4,1,0.1,14.12,0,0,false
4,4,0.05,7.35,0,2,false
3,1,0.06,16.86,0,0,false
1,2,0.13,15.57,0,2,false
6,2,0.05,22.75,0,1,false
1,1,0.11,18.88,0,0,false
11,5,0.03,21.89,1,2,false
1,1,0.67,12.06,0,0,false
1,1,0.67,7.74,0,0,false
1,1,0,0,0,0,false
1,1,0.14,18.67,0,0,false
1,1,0.16,16.53,0,1,false
1,1,0.04,14.3,1,1,false
1,1,0.17,14.33,0,1,false
1,4,0.05,31.59,0,3,false
1,1,0.17,6.5,0,0,false
1,5,0.01,36.82,1,4,false
6,7,0.07,36.01,0,3,false
1,1,0.13,38.8,0,0,false
1,3,0.11,14.28,0,0,false
1,2,0.08,20.76,0,0,false
1,1,0.11,8.22,0,1,false
7,5,0.05,31.94,0,1,false
1,3,0.09,25.96,0,0,false
1,1,0.2,15.36,0,0,false
3,3,0.04,35.91,0,2,false
1,1,0.33,15.5,0,1,false
3,2,0.06,13.35,0,1,false
1,1,0.16,22.25,0,1,false
1,1,0.24,14.51,0,1,false
5,5,0.04,24.71,0,2,false
1,1,0.08,13.45,0,1,false
3,2,0.05,28.86,0,2,false
1,1,0.14,10.58,0,1,false
3,2,0.09,22.75,0,1,false
17,30,0.05,179.17,1,5,false
3,1,0.08,15.86,0,1,false
3,2,0.08,24.61,0,1,false
1,1,0.4,10.8,0,0,false
3,1,0.21,13.11,0,0,false
1,2,0.11,53.82,0,1,false
1,2,0.09,11.82,0,1,false
11,13,0.08,93.54,10,4,false
1,4,0.09,56.82,0,5,false
1,2,0.07,12.1,0,2,false
1,2,0.07,34.66,0,1,false
5,2,0.04,32.25,0,6,false
1,2,0.15,15.77,0,0,false
1,1,0.4,6.2,0,0,false
1,1,0.05,13.27,0,1,false
25,24,0.01,62.26,0,1,false
3,1,0.06,10.49,0,1,false
6,3,0.04,15.38,0,1,false
1,1,0.05,27.21,1,3,false
1,1,0.07,25.24,0,1,false
1,1,0.05,43.14,0,2,false
3,2,0.09,29.62,0,3,false
7,9,0.03,45.6,1,1,false
1,14,0.08,46.4,0,0,false
4,2,0.04,16.12,1,1,false
1,1,0.16,7.91,0,2,false
1,1,0.05,21.83,0,2,false
1,3,0.07,16.12,0,1,false
1,1,0.33,16.61,0,0,false
5,1,0.16,18.02,0,0,false
1,1,0.5,9.83,0,0,false
1,1,0.09,13.96,0,1,false
1,1,0.29,12.29,0,0,false
8,1,0.02,31.42,0,1,false
25,1,0.03,31.64,0,5,false
1,1,0.4,13.2,0,2,false
1,3,0.05,11.9,0,1,false
1,1,0.09,16.21,0,1,false
1,3,0.11,25.87,0,0,false
1,1,0.33,13.84,0,0,false
6,3,0.03,25.12,4,2,false
1,1,0.14,10.6,0,1,false
1,1,0.15,10.91,0,1,false
1,2,0.16,15.92,0,1,false
1,1,0.1,29.93,0,5,false
3,2,0.06,18.99,0,1,false
4,5,0.03,63.04,7,7,false
1,1,0.09,26.75,0,5,false
18,18,0.02,56.51,0,1,false
9,2,0.03,10.13,0,2,false
1,9,0.03,17.25,0,4,false
7,1,0.04,11.15,0,2,false
1,4,0.07,20.4,24,6,false
5,1,0.05,8.42,0,1,false
3,2,0.05,18.37,3,3,false
1,1,0.17,10.75,0,1,false
1,1,0.21,17.95,0,1,false
1,1,0.05,6.02,0,1,false
1,1,0.5,11.63,0,0,false
11,20,0.03,104.65,1,4,false
1,2,0.11,11.82,0,0,false
1,4,0.08,32.59,6,7,false
1,3,0.12,41.65,0,1,false
14,7,0.03,30.56,0,2,false
1,2,0.04,15.61,0,1,false
5,2,0.04,18.18,0,1,false
4,1,0.08,17.8,0,1,false
3,1,0.04,30.72,0,1,false
1,1,0.06,12.67,0,1,false
9,4,0.04,26.08,0,1,false
1,1,0.05,47.13,0,1,false
1,1,0.06,16.59,6,4,false
3,3,0.08,18.06,0,1,false
1,1,0.14,11.15,0,7,false
6,4,0.04,46.98,0,5,false
1,4,0.04,24.55,0,0,false
3,2,0.09,14.12,0,1,false
1,1,0.18,18.86,0,0,false
3,2,0.18,12.16,3,2,false
1,1,0.08,10.53,0,1,false
1,2,0.11,20.81,0,1,false
7,1,0.05,10.33,0,1,false
1,1,0.07,15.37,1,3,false
3,2,0.06,12.65,0,1,false
5,1,0.05,8.77,0,1,false
4,3,0.07,16.45,0,1,false
3,1,0.21,13.11,0,0,false
4,7,0.06,34.83,2,3,false
6,6,0.05,27.29,0,3,false
19,11,0.02,70.75,0,5,false
3,2,0.05,10.4,0,2,false
1,1,0.16,15.9,0,1,false
1,1,0.16,12.99,0,0,false
1,1,0.14,15.88,0,0,false
1,1,0.1,8.77,0,1,false
3,2,0.1,11.85,0,1,false
1,2,0.19,17.11,0,0,false
4,2,0.02,16.21,0,1,false
1,1,0.17,14.33,0,1,false
1,1,0.67,5.33,0,0,false
1,3,0.05,13.71,0,1,false
1,3,0.04,16.66,0,3,false
3,2,0.13,13.8,0,1,false
3,1,0.21,13.11,0,0,false
6,6,0.08,44.6,0,1,false
5,3,0.03,26.43,1,4,false
1,4,0.12,20.34,0,0,false
1,2,0.07,4.54,0,0,false
1,9,0.03,19.57,0,1,false
14,13,0.01,42.16,1,1,false
1,2,0.06,16.95,0,1,false
7,9,0.04,49.32,0,5,false
1,1,0.2,10.75,0,1,false
11,6,0.03,33.88,0,3,false
3,1,0.05,8.52,0,1,false
1,1,0.08,6.38,0,1,false
1,1,0.19,11.86,0,1,false
1,1,0.04,6.88,0,1,false
5,1,0.06,9.45,0,2,false
1,1,0.12,12.48,0,1,false
6,1,0.01,7.74,0,1,false
1,1,0.67,5.33,0,0,false
1,2,0.18,17.79,1,2,false
4,1,0.08,7.22,0,2,false
5,1,0.05,8.7,0,1,false
3,1,0.21,13.11,0,0,false
5,5,0.04,26.75,0,1,false
13,6,0.03,37.29,0,1,false
