@relation 'platform-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Remove-R3,12-13'

@attribute ns numeric
@attribute nm numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute pd numeric
@attribute npt numeric
@attribute sexp numeric
@attribute bug {1,0}

@data
1,1,0.491237,0.010392,0.01199,625.5,1,1,0,0.5,1144,1
1,5,0.485364,0.053601,0.011725,199,0,7,162,0.555556,1334,0
1,1,1,0.002611,0.007833,191.5,1,9,64,1,1132,0
1,1,0.485461,0.056769,0.026201,114.5,1,7,20,1,845,0
1,3,0.712803,0.012077,0.024155,103.5,1,10,57,1,8163,0
1,1,0.970951,0.004405,0.017621,113.5,1,7,33,1,7791,0
2,5,0.676717,0.136206,0.096036,187.95,1,10,433,0.45,523,1
1,1,0,0.013333,0,150,0,7,1,1,235,0
1,1,0.258019,0.079395,0.007561,264.5,1,9,50,1,220,0
1,2,0.797538,0.072708,0.042264,253.818182,0,10,1051,0.545455,7162,0
1,1,0.94566,0.015306,0.022109,294,1,8,157,1,911,0
1,6,0.688488,0.185863,0.199703,112.388889,1,10,1225,0.666667,79,1
1,2,0.764205,0.009042,0.007233,276.5,1,8,65,1,44,0
1,1,0,0.065574,0.131148,61,1,4,258,1,830,0
1,6,0.73632,0.069095,0.160176,144.727273,1,8,375,0.818182,687,1
1,3,0.578935,0.001236,0.040791,202.25,0,7,30,1,496,0
1,1,0.667528,0.072351,0.072351,129,1,7,8,0.666667,471,1
1,1,0,0.002857,0.002857,700,1,7,1,1,7499,1
1,1,0.679149,0.021016,0.030648,380.666667,1,9,32,1,140,0
1,1,0,0.47561,0.231707,82,1,4,46,1,87,1
1,1,0,0,0.014388,139,0,7,0,1,56,0
1,1,0.131107,0.062245,0.05,490,1,9,2,1,54,0
1,1,0.123115,0.17217,0.108491,212,1,6,136,1,4864,1
1,2,0.267387,0.059031,0.022907,283.75,1,6,49,0.75,4512,1
1,1,0.773227,0.025815,0.004076,368,0,6,62,0.5,4492,1
1,1,0,0.042827,0.004283,467,1,6,5,1,239,1
1,1,0,0.046595,0.007168,279,1,3,192,1,2597,1
1,1,0,0.023064,0,607,1,6,44,1,1085,1
1,1,0,0.025,0.025,40,1,2,0,1,39,0
1,1,0,0.4,0.2,35,1,2,18,1,1,1
1,1,0,0.258537,0.019512,410,1,3,2,1,2089,1
1,1,0.985228,0.052239,0.052239,67,0,2,12,0.5,1424,0
1,1,0,0.076923,0.076923,26,0,2,4,1,1414,0
1,1,1,0.008163,0.008163,122.5,1,2,7,1,1407,0
1,1,0,0,0.008284,845,1,4,3,1,1432,0
1,1,0,0,0.004376,457,1,4,13,1,1282,0
1,2,0.99901,0.035165,0.024176,227.5,1,4,52,1,1222,0
1,1,0,0.010629,0.011515,1129,1,4,0,1,361,0
1,1,0,0.13759,0.061151,1112,1,4,0,1,349,0
1,1,0.237242,0.079179,0.082111,113.666667,0,2,0,0.666667,310,0
1,1,0.619382,0.025779,0.002148,465.5,0,9,240,1,6758,0
1,1,0,0,0,0,0,2,288,1,4973,0
1,2,0,0,0,12.333333,1,1,0,0.333333,416,0
1,1,0,0,0,45.25,0,1,0,0.25,6766,0
1,1,0,0.052632,0.052632,38,0,4,318,1,2775,0
1,2,0.954434,0,0.266667,30,1,4,44,0.5,3467,0
1,1,0,0,0,45,0,1,0,0.5,1079,1
1,1,0.755928,0.017131,0.072805,155.666667,1,5,468,1,990,1
1,1,0,0.015306,0,196,1,6,14,1,1130,0
1,1,0.992267,0.060881,0.014249,386,1,10,55,1,880,0
1,1,0,0.23494,0.210843,166,1,6,37,1,855,0
1,1,0,0.067073,0.146341,164,1,6,5,1,7800,1
1,1,0,0.006024,0.006024,166,1,6,1,1,674,0
1,1,0,0.012048,0.012048,166,1,6,0,1,670,0
1,1,0,0.006024,0,166,1,6,0,1,663,0
2,2,0.567945,0.026415,0.021384,397.5,1,9,319,1,776,0
1,1,0.991076,0.030973,0.00885,113,0,6,91,1,2763,0
1,1,0.345527,0.069718,0.043662,473.333333,1,9,10,1,50,1
2,2,0.918296,0.006364,0.007273,550,1,9,4,1,60,0
1,3,0.889998,0.037612,0.015985,354.5,1,10,41,0.5,28,1
1,10,0.892041,0.025401,0.036393,224.4,0,7,1731,0.566667,1826,1
2,2,0.721928,0.00464,0.006961,215.5,1,6,30,1,89,1
1,1,0,0.101523,0.035533,197,1,5,54,1,851,1
1,1,0,0.005319,0,188,1,3,14,1,1428,0
1,1,0,0.13369,0.02139,187,1,3,76,1,1401,0
1,1,0,0,0.011494,174,0,3,0,1,1292,0
1,2,0.797327,0.065744,0.034602,144.5,1,4,2,0.5,8,0
1,1,0,0.023256,0.005814,172,1,1,1,1,1123,0
1,1,0.522559,0.025586,0.010661,234.5,1,4,9,1,1122,0
1,1,0,0.02381,0.113095,168,1,1,0,1,1109,1
1,2,0.970951,0.013245,0.003311,151,0,1,0,1,1108,1
1,1,0,0.110465,0,172,1,1,1,1,1105,0
1,2,0.585514,0.016552,0.125517,241.666667,1,4,11,0.666667,864,0
1,1,0,0,0,89.5,0,1,0,0.25,704,1
1,1,0,0.018116,0.028986,276,1,2,16,1,833,0
1,1,0,0.161871,0.089928,278,1,2,1,1,816,0
1,1,0,0.031963,0.022831,219,1,7,25,1,1145,0
1,1,0,0.08125,0.1,160,1,6,151,1,4980,1
1,4,0.987275,0.041096,0.093783,158.166667,1,8,356,0.833333,3764,1
1,1,0,0.014286,0.014286,140,1,5,0,1,2372,0
1,3,0.747826,0.132565,0.014409,115.666667,1,5,424,1,2371,0
1,3,0.208997,0.922246,0.87689,154.333333,1,5,650,1,883,1
1,1,0,0.026786,0.026786,112,0,4,1,1,1626,0
1,1,0.402179,0.159193,0.008969,223,1,5,376,1,1965,0
1,1,0,0.12,0,75,1,2,44,1,1369,0
1,3,0.614762,0.074172,0.015894,151,1,4,321,1,1213,1
1,1,0,0.070423,0,142,1,5,102,1,2458,0
1,1,0.494183,0.110345,0.017241,145,1,7,38,1,727,1
1,1,0,0.278351,0.051546,97,0,2,0,1,694,0
1,1,0,0,0,67.166667,1,1,0,0.166667,2473,0
1,1,0,0.021739,0,46,1,2,7,1,123,0
1,1,0,0.022222,0.066667,45,0,2,7,1,2747,0
1,1,0,0,0,46,1,1,0,1,95,0
1,1,0,0,0.026549,113,1,1,1,1,1679,0
1,1,0,0,0,138,1,1,0,1,1658,1
1,1,0,0,0,12,1,1,0,1,1796,1
1,27,0.959657,0.011731,0.009835,228.094595,1,11,15948,0.567568,998,1
1,2,0.696212,0.011224,0.005102,490,1,8,269,1,8157,0
1,1,0,0.007833,0,383,1,8,14,1,5642,0
1,1,0,0.007874,0.007874,381,1,8,7,1,238,0
1,1,0,0.009346,0.003115,321,1,6,128,1,1478,0
1,1,0,0.021875,0,320,1,6,5,1,1057,0
1,1,0,0.025316,0.006329,316,1,6,9,1,1050,0
1,1,0,0.050955,0.031847,314,1,6,1,1,1046,1
1,1,0,0.012903,0,310,1,6,25,1,1045,1
1,1,0,0.312704,0.166124,307,1,5,8,1,999,0
1,1,0,0.045614,0.035088,285,0,5,1,1,947,1
1,1,0,0.003509,0.003509,285,1,5,3,1,943,1
1,1,0,0.077193,0.049123,285,1,5,2,1,1662,0
1,1,0,0.075,0,280,1,5,2,1,941,0
1,1,0,0.048327,0.011152,269,1,5,9,1,936,0
1,1,0,0.003774,0.033962,265,1,5,8,1,919,0
1,1,0,0.04428,0.059041,271,1,5,5,1,910,0
1,1,0,0.337553,0.219409,237,1,5,76,1,890,0
1,1,0,0.00885,0.00885,226,0,5,26,1,1604,0
1,1,0,0.013274,0,226,1,5,21,1,1860,0
1,1,0,0.045045,0,222,1,5,2,1,1523,0
1,1,0,0.00813,0.00813,123,1,4,21,1,1113,1
1,1,0,0.02439,0,123,0,4,26,1,987,0
1,3,0.754913,0.083871,0.025806,103.333333,1,4,116,1,1246,1
1,1,0,0.016949,0.033898,118,0,4,22,1,1183,0
1,1,0,0.067797,0.20339,118,0,4,21,1,374,0
1,1,0,0.007937,0.007937,126,1,4,1,1,872,0
1,1,0,0,0.022222,135,0,4,0,1,821,0
1,1,0,0.061538,0.053846,130,0,4,1,1,897,0
1,3,0.907138,0.224764,0.191117,106.142857,1,4,132,0.428571,790,1
1,1,0,0.023438,0.039063,128,1,4,20,1,747,0
1,1,0,0.101563,0.390625,128,1,4,1,1,571,1
1,1,0,0,0.027972,143,0,3,0,1,30,0
1,1,0,0.054422,0.013605,147,0,3,5,1,29,1
1,1,0,0.035461,0.007092,141,1,2,0,1,591,0
1,3,0.410494,0.088812,0.016148,173.4,1,3,15,0.8,574,1
1,2,0.605187,0.027113,0.015949,313.5,0,3,11,1,552,0
1,1,0,0,0.007519,133,0,2,0,1,339,0
1,1,0,0.024096,0.072289,83,1,2,1,1,337,1
1,2,0.692689,0.497238,0.127072,90.5,0,4,0,1,391,0
1,1,0,0.08,0.04,75,0,1,0,1,389,0
1,3,0.240351,0.024631,0.00197,338.333333,0,4,3,1,388,0
1,1,0,0.062147,0.042373,354,1,7,49,1,1410,0
1,1,0,0.012658,0.006329,158,1,3,17,1,596,0
1,1,0.579764,0.094498,0.017943,418,0,3,4,0.5,189,0
1,1,0.874556,0.659686,0.015707,95.5,0,2,5,1,393,0
1,1,0,0,0,10,0,1,0,1,362,0
1,1,0,0.025381,0,197,1,4,93,1,1476,0
1,1,0,0.072917,0.041667,192,1,4,35,1,2448,0
2,3,0.741435,0.050554,0.058172,206.285714,0,6,210,0.857143,3196,0
2,2,1,0.079096,0,177,1,4,54,1,2079,0
1,1,0,0.005848,0.005848,171,0,3,0,1,828,0
1,1,0,0.005848,0.005848,171,1,3,1,1,827,0
1,1,0,0.02924,0.011696,171,1,2,116,1,1851,0
1,1,0,0.017751,0.017751,169,0,2,4,1,1459,1
1,1,0,0.005917,0.011834,169,0,2,41,1,1453,0
1,1,0,0.072917,0.041667,192,1,4,104,1,2449,0
1,1,0,0.052239,0,134,1,5,126,1,1167,0
1,1,0,0.031008,0.03876,129,1,5,27,1,85,0
1,1,0,0.035398,0.035398,113,0,4,133,1,7512,0
1,1,0,0.017699,0.017699,113,1,4,111,1,6084,0
1,1,0,0.424779,0.017699,113,1,4,67,1,234,0
1,1,0,0.268657,0.149254,67,1,2,15,1,1623,1
1,1,0,0.017699,0.017699,113,1,4,178,1,6085,0
1,1,0,0,0,75,1,1,0,1,37,0
2,4,0.724217,0.10442,0.102178,164.315789,1,10,34,0.157895,8290,0
1,1,0,0.087209,0.02907,172,1,3,78,1,93,0
1,1,0.793425,0.195652,0.231884,92,1,2,123,0.333333,850,0
1,6,0.749857,0.029024,0.048959,162.428571,1,10,1012,0.666667,774,1
1,1,0,0.007042,0.021127,142,1,1,0,1,472,0
1,2,0,0,0,24.333333,1,1,0,0.333333,743,0
1,1,0,0,0,10,0,1,0,1,360,0
2,3,0.963988,0.238579,0.162437,131.333333,1,2,82,1,2033,0
1,1,0,0,0,24,1,1,0,1,1738,1
1,1,0,0.033333,0.033333,60,1,2,57,1,8219,0
1,2,0.915491,0.29927,0.226277,68.5,1,6,950,1,868,1
1,1,0,0.033333,0.033333,60,1,2,64,1,919,0
1,1,0,0,0,61,1,1,0,0.2,635,0
1,1,0,0.013889,0.013889,72,0,2,0,1,1438,0
1,1,0.968719,0.041667,0.055556,57.6,0,1,50,0.4,661,1
1,1,0,0,0,37,1,1,0,0.5,610,0
1,1,0,0,0.272727,11,0,2,34,1,1455,0
1,2,0.058647,0.493233,0.171429,332.5,1,6,8,1,1725,0
1,1,0,0,0,11,1,1,0,1,641,0
1,1,0,0.017391,0.008696,115,1,2,27,1,1454,0
1,1,1,0,0.010152,98.5,0,2,2,0.5,700,0
1,2,0.895015,0.004202,0.063025,79.333333,0,2,0,0.333333,1447,0
1,2,0.978327,0.145669,0.023622,63.5,1,2,19,0.5,1442,1
1,1,0,0,0,0,0,2,1,1,1443,0
1,1,0,0,0,0,0,2,1,1,1444,0
1,1,0,0.035714,0.011905,84,1,3,15,1,1485,0
1,2,0,0,0,12.666667,1,1,0,0.333333,3686,0
1,1,0,0,0,9,1,1,0,1,204,0
1,1,0.998231,0.025105,0.39749,119.5,1,2,0,0.5,3531,0
1,1,0,0.011628,0.011628,86,0,1,0,1,2964,0
1,1,0,0.007194,0.007194,139,0,1,0,1,2963,1
1,2,0,0,0,46,0,1,0,0.2,2954,1
1,1,0,0.026082,0.017203,1802,1,3,0,1,641,0
1,1,0,0.011167,0.005583,1791,1,3,0,1,634,0
1,2,0.997688,0.00574,0.008088,1916.5,1,5,48,1,703,0
1,1,0,0.015315,0.001134,1763,1,2,0,1,632,0
1,1,0,0.022063,0.001789,1677,1,2,2,1,608,0
1,1,0,0.003073,0.003073,1627,1,1,0,1,554,0
1,2,1,0.000552,0.000552,1812,1,4,6,0.5,553,0
1,2,0.689245,0.029778,0.01895,615.666667,1,4,142,0.666667,528,0
1,1,0,0.002472,0.001236,1618,1,1,0,1,523,0
1,1,0,0.011132,0.012369,1617,1,1,3,1,522,1
1,1,0,0.001855,0.001237,1617,1,1,2,1,516,0
1,1,0,0,0.000618,1617,1,1,0,1,512,0
1,1,0,0.027529,0.011012,1453,1,1,5,1,479,0
1,1,0,0.022084,0.031746,1449,1,1,0,1,466,0
1,5,0.53675,0.063268,0.005061,276.6,0,4,1593,0.9,6444,0
1,1,0,0,0,32.5,1,1,0,0.5,454,1
1,1,0,0,0.086957,23,1,1,0,1,474,0
1,1,0,0,0,0,0,1,0,1,6185,0
1,1,0,0,0,0,0,1,0,1,6185,0
1,1,0,0,0,0,0,1,0,1,6185,0
1,1,0,0,0,0,0,1,0,1,6185,0
1,1,0,0,0,0,0,1,0,1,6185,0
1,1,0,0,0,0,0,1,0,1,6185,0
1,1,0,0,0,0,0,1,0,1,6185,0
1,1,0,0,0,0,0,1,0,1,6185,0
1,1,0,0,0,0,0,1,0,1,6185,0
1,1,0,0.387755,0.020408,49,1,1,210,1,8205,0
1,1,0,0,0,0,1,1,0,1,6149,0
1,1,0,0,0,0,1,1,0,1,6185,0
1,1,0,0.363636,0.027273,110,1,2,56,1,869,0
1,1,0,0.05,0.03,100,0,2,3,1,753,0
1,1,0,0,0.01,100,1,1,12,1,7712,0
1,1,0,0,0,0,0,1,0,1,6149,0
1,1,0,0.317757,0.009346,107,1,2,155,1,840,0
1,1,0,0,0,0,0,1,0,1,6149,0
1,1,0,0,0,0,0,1,0,1,6185,0
1,1,0,0.242424,0.030303,33,1,1,37,1,8150,0
1,1,0,0,0,0,0,1,0,1,6149,0
1,1,0,0,0,0,0,1,0,1,6149,0
1,1,0,0.066667,0.066667,15,1,1,32,1,7567,0
1,1,0,0,0,0,0,1,0,1,6149,0
1,1,0,0,0,28,1,1,0,1,7419,0
1,1,0,0,0,0,0,1,0,1,6185,0
1,1,0,0,0,0,0,1,0,1,6185,0
1,1,0,0,0,27.25,1,1,0,0.25,597,0
1,1,0,0,0,15,1,1,0,1,7386,0
1,1,0,0,0,14,1,1,0,1,7388,1
1,1,0,0.37931,0,29,1,2,4,1,434,0
1,1,0,0.413793,0.344828,29,1,1,6,1,7421,0
1,1,0,0,0,0,0,1,0,1,6149,0
1,1,0,0,0,0,0,1,0,1,6149,0
1,2,0.1449,0.529412,0.183824,68,1,5,212,1,42,0
1,1,0,0,0,0,0,1,0,1,6185,0
1,1,0,0,0,0,0,1,0,1,6498,0
1,2,0.998364,4.2,0,10,0,1,0,0.5,6498,0
1,1,0,0.473684,0.122807,57,1,1,120,1,7844,0
1,3,0.915758,0.070321,0.059979,107.444444,1,1,86,0.444444,7438,1
1,1,0,0,0,0,0,1,0,1,6149,0
1,1,0,0,0,12.333333,1,1,0,0.166667,8243,0
1,3,0.472753,0.058753,0.010791,166.8,1,5,639,1,8243,1
1,1,0.960362,0.492754,0.376812,34.5,1,1,10,0.5,7415,0
1,1,0,0,0,0,0,1,0,1,6185,0
1,4,0,0,0,43.75,1,1,0,0.125,8232,1
1,2,0.634852,0.12292,0.166398,266.142857,1,10,93,0.857143,5341,0
1,1,0,0.159696,0.152091,263,1,1,5,1,5288,1
1,1,0.881291,0.017964,0.011976,334,0,1,0,1,5271,1
1,1,0,0.034483,0.019157,261,0,1,0,1,5269,1
1,1,0.764205,0.050536,0.032159,326.5,1,1,0,1,5237,0
1,1,0,0.010127,0.005063,395,1,2,1,1,5352,0
1,1,0,0.006231,0.006231,321,0,2,0,1,5302,0
1,1,0,0.028037,0.040498,321,1,2,0,1,5301,0
1,1,0,0.01548,0.006192,323,1,2,0,1,1720,0
1,1,0,0.006211,0.003106,322,1,2,1,1,1719,0
1,1,0,0.012461,0.006231,321,1,1,1,1,5295,1
1,1,0,0.01875,0.021875,320,1,1,3,1,5287,0
1,1,0,0.015625,0.0125,320,1,1,3,1,5284,1
1,1,0,0,0,86.058824,1,1,0,0.058824,5219,1
1,1,0.510608,0.229236,0.149502,240.8,1,4,24,0.6,5346,0
1,1,0,0.007353,0.007353,136,1,2,1,1,5316,0
1,1,0,0.051471,0,136,1,2,2,1,1718,0
1,1,0,0.122137,0.099237,131,0,1,0,1,5290,0
1,1,0,0.007813,0.007813,128,1,1,6,1,5289,0
1,1,0.949343,0.020073,0.012774,274,1,1,4,0.5,5255,0
1,1,0,0.043478,0.038647,414,1,3,0,1,5317,1
1,1,0,0.046005,0.009685,413,1,3,1,1,5312,0
1,1,0,0.01199,0.040767,417,1,3,0,1,122,0
1,1,0,0.002375,0.002375,421,1,3,1,1,347,1
1,1,0,0.054632,0.002375,421,1,2,1,1,5294,1
1,1,0,0.009901,0,404,1,2,0,1,5292,0
1,1,0,0,0.004975,402,1,2,0,1,5291,0
1,2,0.934068,0.029982,0.005291,283.5,1,3,15,1,119,0
1,1,0,0.019851,0.014888,403,1,1,0,1,5285,0
1,1,0,0.056511,0.068796,407,1,1,2,1,5281,1
1,1,0,0,0.0199,402,0,1,1,1,5266,0
1,1,0,0.002451,0.002451,408,1,1,0,1,5262,0
1,1,0,0.031863,0,408,1,1,0,1,5260,1
1,6,0.877479,0.015699,0.015699,169.866667,1,10,105,0.4,5415,1
1,1,0,0,0,0,0,1,0,1,6233,0
1,1,0,0,0,0,0,1,0,1,6233,0
1,1,0,0,0,0,0,1,0,1,6195,0
1,1,0,0,0,0,0,1,0,1,6233,0
1,1,0,0,0,0,0,1,0,1,6233,0
1,1,0,0,0,0,0,1,0,1,6233,0
1,1,0,0,0,0,0,1,0,1,6195,0
1,1,0,0,0,0,0,1,0,1,6233,0
1,1,0,0,0,0,0,1,0,1,6233,0
1,1,0,0,0,31.5,1,1,0,0.5,5235,0
1,1,0,0,0,0,0,1,0,1,6233,0
1,1,0,0.030303,0.030303,33,1,1,0,1,5347,0
1,1,0.591673,0.016949,0,206.5,1,2,9,1,5315,1
1,1,0.391244,0.0317,0.005764,173.5,1,1,2,0.5,5268,0
1,1,0.723022,0.035748,0.010348,265.75,1,1,1,0.5,5259,0
1,1,0,0,0,0,0,1,0,1,6233,0
1,1,0,0,0,0,0,1,0,1,6195,0
1,1,0,0,0,0,0,1,0,1,6195,0
1,3,0.681055,0.224969,0.105068,161.8,0,1,0,0.2,6278,0
1,1,1,0.026022,0.003717,269,1,1,0,0.5,6273,0
1,1,0.803335,0.114374,0.054096,215.666667,1,1,0,0.333333,6271,0
1,1,0,0,0,0,0,1,0,1,6195,0
1,1,0,0,0,18,1,1,0,1,958,0
1,4,0.603214,0.160084,0.1155,196.588235,1,6,534,0.764706,1517,1
1,1,0,0.064935,0,77,0,2,6,1,893,0
1,3,0.772096,0.011236,0.014232,190.714286,1,10,855,1,468,0
1,21,0.763353,0.090526,0.061353,126.265823,1,8,5617,0.183544,492,1
1,1,0,0.017544,0.017544,114,1,7,0,1,215,0
1,1,0,0.008772,0,114,1,7,177,1,214,0
1,1,0,0.598214,0.035714,112,1,4,27,1,494,0
1,2,0.940286,0.038123,0.085044,170.5,1,4,7,1,1332,0
1,1,0,0.011494,0,87,1,3,28,1,1308,0
1,2,0.999142,0.028662,0.063694,157,1,4,2,1,1291,0
1,1,0,0,0.012346,81,0,3,8,1,1217,0
1,1,0,0.017857,0.017857,56,1,2,7,1,1163,0
1,2,0.833777,0.172043,0.075269,62,1,3,4,1,188,1
1,1,0.889199,0.069815,0.00616,97.4,1,2,26,0.8,1123,1
1,1,0,0.354839,0.129032,31,1,3,93,1,1448,0
1,1,0,0,0.003145,318,1,4,2,1,1430,0
1,2,0.866566,0.04308,0.053162,99.181818,1,3,82,0.363636,1142,1
2,2,0.650022,0.01,0.02,100,1,2,0,0.5,2030,0
2,3,0.959148,0,0.014354,104.5,1,4,0,0.5,2028,0
1,1,0.970951,0.019011,0,131.5,1,4,32,1,1322,0
1,1,0.820112,0.007657,0.015314,163.25,1,2,12,0.5,1128,0
1,1,0,0,0,27,1,1,0,0.5,1145,0
1,5,0.865754,0.022134,0.008696,180.714286,1,9,71,0.857143,254,1
1,5,0.840193,0.031715,0.019577,196.461538,1,8,964,0.692308,201,1
1,1,0,0.068966,0.017241,58,1,6,2,1,2396,0
1,3,0.663967,0.06288,0.146045,123.25,1,7,110,0.75,53,1
1,1,0,0.029412,0.029412,102,1,5,12,1,1681,0
1,1,0,0.010309,0.010309,97,1,5,0,1,1664,0
1,2,0.796754,0.027203,0.036997,306.333333,1,6,18,0.333333,51,0
1,4,0.792559,0.031206,0.065957,235,1,6,6,0.166667,904,1
1,4,0.778681,0.183261,0.058682,259.875,1,6,293,0.75,898,1
1,1,0,0,0.113924,79,0,4,3,1,1589,0
1,3,0.852792,0.183422,0.022928,189,1,6,9,1,823,1
1,1,0,0.019231,0.019231,52,1,4,0,1,1547,1
1,2,0.342951,0.065934,0.021978,30.333333,1,6,65,1,1546,1
1,1,0,0,0.061224,49,1,4,2,1,1427,0
1,1,0,0.027027,0.027027,74,0,4,46,1,1473,1
1,2,0.817783,0.069054,0.071611,97.75,1,4,27,0.75,1116,0
1,3,0.769967,0.129181,0.06113,123.857143,1,9,154,0.857143,8175,1
1,2,0.625418,0.025172,0.004577,145.666667,1,9,6,0.333333,747,0
1,1,0,0,0.014184,141,0,5,14,1,7787,0
1,1,0,0,0.061404,114,0,5,9,1,2769,0
1,1,0,0.106195,0,113,0,5,22,1,127,0
1,1,0.321037,0.322314,0.243802,121,0,6,2,0.5,4,0
1,1,0,0,0,11,1,1,0,1,1145,1
1,2,0.36788,0.045763,0,98.333333,0,8,221,0.5,7162,0
1,1,0,0.049914,0.018072,1162,1,10,0,1,158,0
1,1,0.836641,0.079096,0.00565,88.5,1,6,18,1,1657,0
1,3,0.875,0.034632,0.034632,57.75,1,9,4,0.25,6076,0
1,1,0,1.035088,1.070175,114,1,5,33,1,22,0
1,1,0.376715,0.605263,0.236842,114,1,6,105,1,2,0
1,1,0,0.052083,0.020833,288,0,2,27,1,4493,0
1,1,0,0.145038,0.045802,131,1,2,0,1,1036,0
1,1,0,0.011905,0.02381,84,1,2,1,1,1683,0
1,1,0,0.088235,0.009804,102,1,5,2,1,2139,0
1,1,0,0.003268,0.003268,306,0,1,0,1,1773,0
1,1,0,0.086643,0.043321,277,1,3,0,1,710,0
1,1,0,0.225225,0.031532,222,1,2,4,1,1434,0
1,1,0,0.100313,0.053292,319,1,3,163,1,1369,0
1,1,0,0.020408,0.020408,49,0,3,36,1,9,1
1,2,0.668879,0.368056,0.023148,144,1,4,37,1,958,0
1,1,0.173781,0.168675,0.295181,83,1,8,101,1,8168,0
1,3,0.609551,0.077114,0.004975,80.4,1,9,283,0.6,322,0
1,2,0.129234,0.112583,0.629139,75.5,1,5,28,1,3584,0
1,1,0,0.052632,0.052632,38,1,5,0,1,3559,1
1,6,0.818793,0.04247,0.025809,235.461538,1,7,106,0.461538,3558,1
1,2,0.688048,0.008333,0.4,60,0,6,0,1,3402,0
1,2,0.678954,0.25,0.291667,36,1,5,125,1,1232,1
1,1,0,0.038462,1.230769,26,1,3,5,1,1172,0
1,3,0.574102,0.342,0.598,250,1,4,96,1,1161,1
1,1,0,0.045455,0.045455,22,1,2,1,1,415,1
1,2,0.472189,0.068267,0.006001,666.5,1,4,9,1,402,0
1,1,0,0.069767,0.018605,215,1,4,4,1,7834,1
1,1,0,0.049774,0.0181,221,1,4,83,1,538,0
1,1,0,0.004464,0.004464,224,1,4,17,1,5937,0
1,1,0,0,0.004444,225,0,3,15,1,2774,0
1,1,0,0.066667,0.004444,225,0,3,0,1,207,0
1,1,0,0.083333,0.013889,216,1,3,5,1,206,0
1,1,0,0.028846,0.028846,208,0,3,48,1,2770,0
1,2,0.985228,0.015748,0.011811,127,1,2,2,1,97,0
1,1,0,0.01005,0.005025,199,1,2,0,1,1652,1
1,1,0.918296,0.019108,0,157,1,5,8,1,39,1
1,3,0.858752,0.036977,0,124.4,1,8,5,0.8,37,1
1,1,0.811278,0.017817,0,224.5,1,6,84,0.5,1403,0
1,1,0.975119,0.044444,0.015556,225,1,5,51,1,1398,0
1,2,0.892981,0.051546,0.014433,161.666667,1,4,60,1,1201,0
1,5,0.607149,0.196164,0.28422,172.05,0,4,1508,0.45,1099,1
1,2,0.721928,0.031646,0.031646,79,0,3,80,1,1227,0
1,1,0,0.006803,0.006803,147,1,2,1,1,171,0
1,1,0,0,0.021277,329,0,5,0,1,1471,0
1,6,0.948813,0.003792,0.003792,329.625,0,6,276,0.875,1470,1
1,1,0,0,0.003003,333,0,4,1,1,1391,0
1,1,0,0.404192,0.52994,334,1,4,7,1,316,0
1,1,0,0.005305,0,377,0,4,7,1,493,0
1,3,0.795087,0.120603,0.028141,331.666667,1,4,205,1,314,1
1,1,0,0.099432,0.014205,352,1,3,0,1,1116,0
1,1,0.988699,0.066372,0.004425,226,0,3,7,1,1112,0
1,1,0,0.015291,0.042813,327,0,3,1,1,1106,0
1,1,0,0.007042,0.007042,284,1,3,1,1,1182,0
1,1,0,0.007042,0.003521,284,1,3,4,1,922,0
1,1,0,0.021201,0.024735,283,1,2,7,1,1168,0
1,1,0,0.01023,0.02046,391,1,2,85,1,874,0
1,1,0,0,0,389,1,1,0,1,492,0
1,1,0,0.007576,0,132,1,6,7,1,47,0
1,1,0,0.02381,0.02381,84,1,3,14,1,9,0
1,1,0,0,0,84,1,1,0,1,956,1
1,1,0,0.604651,0.267442,86,0,1,0,1,715,0
1,1,0,0,0,58,1,1,0,1,704,0
1,1,0,0,0.031746,315,0,4,11,1,393,0
1,1,0,0.082019,0.085174,317,1,3,4,1,266,0
1,1,0,0.100946,0.094637,317,1,3,32,1,5960,0
1,1,0,0.275316,0.126582,316,1,3,24,1,109,1
1,1,0,0.013605,0.02381,294,1,3,0,1,1653,0
1,1,0,0.020067,0.006689,299,1,3,3,1,40,1
1,1,0,0.05,0.035714,280,1,1,6,1,744,0
1,1,0,0.003155,0.003155,317,1,3,59,1,5952,0
1,1,0,0.097792,0.091483,317,1,3,59,1,5944,0
1,2,0.373304,0.228346,0.047244,42.333333,1,2,3,0.666667,2377,1
1,1,0,0.046875,0.072917,192,0,2,0,1,2373,0
1,1,0,0.012346,0.012346,81,1,7,170,1,1125,0
1,1,0,0.056075,0.028037,107,1,7,0,1,294,1
1,1,0,0.07619,0.028571,105,1,7,50,1,293,0
1,1,0,0.039216,0.009804,102,1,7,75,1,5682,0
1,1,0,0.12,0.02,100,0,7,0,1,126,0
1,1,0,1.23,0.3,100,0,7,196,1,125,1
1,1,0,0.057692,0.057692,52,1,5,576,1,2678,0
1,1,0,0.211538,0.076923,52,1,5,3,1,1469,0
1,1,0,0.08,0.08,50,0,5,2,1,514,0
1,1,0,0.08,0.06,50,0,4,26,1,323,0
1,2,0.918296,0.109756,0,41,1,5,8,0.5,1436,0
