@relation data/M_multi_metrics_ML.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R61-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R48-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R28-weka.filters.unsupervised.attribute.Remove-R53-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R50-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R43-weka.filters.unsupervised.attribute.Remove-R34-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R43-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R30-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R2

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute LDHH_fanIn numeric
@attribute WCHU_numberOfPublicAttributes numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute CvsEntropy numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute WCHU_numberOfPrivateMethods numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPrivateAttributes numeric
@attribute CvsLogEntropy numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_fanOut numeric
@attribute ck_oo_numberOfLinesOfCode numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute ck_oo_fanIn numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute ck_oo_lcom numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute LDHH_numberOfLinesOfCode numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute WCHU_numberOfPublicMethods numeric
@attribute LDHH_dit numeric
@attribute WCHU_numberOfMethodsInherited numeric
@attribute LDHH_fanOut numeric
@attribute LDHH_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute class {buggy,clean}

@data
0,0,0,0.007884,0,0,9.69489,0,0,0,0,2,0,0,9.35353,0,0,2,21,0,1,0,0,0,10,0,0.003498,0,2,0,0,2.02,0,0.009791,9,5,clean
1,0.007442,0,0.003921,0,0,3.09898,0,0,0,0,0,0,0,9.17832,0,0,5,39,0,1,3,0,0,15,0,0.001368,2,0,0,0,1.01,0,0.005924,9,5,clean
0,0.005815,0,0,0.004374,0.004791,0,0,0,0,1,0,0,1.04,0,1.01,0,3,72,0,1,3,0.002706,0,21,0,0.010716,4,0,1.04,0,0,0,0,0,5,clean
2,0.062753,0,0.063544,0.017262,0.025943,13.2779,0,3.06,0,0,1,0.009763,4.25,9.48433,0,0,12,462,0,1,19,0,0,861,0,0.089148,17,1,5.1,0,2.04,0.055363,0.009791,18,40,buggy
2,0,0,0,0.022517,0.023801,0,0,1.02,0,0,0,0.023845,1.01,0,0,0,2,88,0,1,2,0,0,21,0,0.026968,3,0,1.01,0,0,0,0,0,3,clean
0,0,0,0.008085,0,0,5.94514,0,0,0,0,1,0,0,9.22122,0,0,1,40,0,2,0,0,0,21,0,0.01023,3,1,0,0,3.31,0.002623,0.011815,25,7,clean
3,0,0,0.013405,0,0,11.8529,0,0,0,5,0,0,0,9.46352,0,0,15,226,6,3,1,0,1.01,66,0,0.007306,2,0,0,0.002921,4.09,0.021953,0.014863,38,4,clean
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,4,0,0,1,0,0,2,0,0,0,0,0,0,9,1,buggy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,0,2,1,0,0,10,0,0,1,1,0,0,0,0,0,7,4,buggy
0,0.108409,0,0.004761,0.003194,0,6.31013,0,0,0,0,0,0,0,9.29392,0,0,3,41,0,1,110,0,0,55,0,0.003167,7,0,1.01,0,1.01,0,0.005924,9,11,clean
0,0,0,0.001328,0,0,1.84703,0,0,0,0,0,0,0,9.09329,0,0,0,3,0,2,1,0,0,0,0,0,1,0,0,0,2.03,0,0.033647,26,1,clean
12,0,0,0.011451,0,0,5.57512,0,0,0,0,0,0,0,9.25013,0,0,13,316,0,1,0,0,0,210,0,0.006103,16,0,0,0,0,0,0,0,9,clean
1,0.007608,0,0,0.006611,0.004049,0,0,0,0,0,0,0,1.02,0,0,0,1,115,0,1,3,0,0,36,0,0.010586,8,0,1.03,0,0,0,0,0,6,clean
0,0.024845,0,0.010563,0.003348,0.003264,3.37801,0,0,0,0,0,0,1.02,9.16485,0,0,0,68,0,1,6,0,0,210,0,0.003498,10,0,1.04,0,2.03,0.003393,0.008591,22,21,clean
0,0,0,0.042595,0.002616,0.011138,19.3588,0,0,0,0,1,0,5.1,9.65519,0,0,5,55,0,1,1,0,0,15,0,0.019136,6,3,1.01,0,4.13,0.006515,0.014188,51,5,clean
1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,66,0,1,1,0,0,15,0,0,2,0,0,0,0,0,0,0,4,clean
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,2,0,0,1,0,0,2,0,0,0,0,0,0,9,1,clean
0,0.00198,0,0.038794,0,0,11.8437,0,0,0,0,0,0,0,9.35063,0,0,1,9,1,2,0,0,0,1,0,0,0,2,0,0,2.02,0,0.009791,11,2,clean
0,0,0,0.003882,0,0,4.88878,0,0,0,0,0,0,0,9.22338,0,0,13,121,0,1,4,0,0,253,0,0,8,0,0,0,1.01,0.007203,0.005924,9,23,clean
0,0,0,0.027113,0,0,5.94514,0,0,0,0,1,0,0,9.22122,0,0,4,126,0,3,1,0,0,231,0,0.01023,11,1,0,0,2.08,0.002623,0.009791,52,22,clean
0,0,0,0.008085,0,0,5.94514,0,0,0,0,1,0,0,9.22122,0,0,1,40,0,2,0,0,0,21,0,0.01023,3,1,0,0,3.31,0.002623,0.011815,25,7,clean
1,0,0,0.000136,0,0,1.45219,0,0,0,0,0,0,0,0.040996,0,0,3,27,0,1,1,0,0,3,0,0,2,0,0,0,3.31,0.001686,0.010674,31,2,clean
0,0.006874,0,0.001364,0,0,1.49003,0,0,0,0,0,0,0,0.121386,0,0,1,23,0,2,1,0,0,6,0,0,1,0,0,0,1.1,0.009726,0.027723,22,1,clean
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,2,1,0,0,6,0,0,0,0,0,0,0,0,0,22,1,clean
1,0,0,0.006625,0,0,2.38141,0,0,0,0,0,0,0,9.07779,0,0,0,69,0,1,1,0,0,36,0,0,3,0,0,0,0,0,0,9,8,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,51,0,1,4,0,0,28,0,0,3,0,0,0,0,0,0,0,7,clean
0,0,0,0.000575,0,0,1.23001,0,0,0,0,0,0,0,0.029748,0,0,0,14,0,1,2,0,0,1,0,0,1,0,0,0,0,0.006913,0,0,2,clean
0,0.009307,0,0.006046,0,0.003264,4.88878,0,0,0,1,0,0,1.02,9.22338,2.02,0,0,15,0,1,2,0.007574,0,15,0,0.002936,2,0,0,0,1.01,0.003409,0.005924,9,6,clean
3,0.00198,0,0.29526,0.002596,0.014033,29.7095,0,1.02,0,0,1,0.0009,4.13,9.98163,0,0,23,431,1,2,1,0,0,136,0,0.038251,13,3,2.02,0,2.03,0.020804,0.001555,14,7,buggy
0,0.041353,0,0.06875,0.006049,0.039736,18.1636,0,2.02,0,0,0,0.005712,4.08,9.62313,0,0,14,194,0,1,0,0,0,28,0,0.050508,11,0,2.02,0,2.02,0.029714,0.009791,9,8,clean
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,clean
1,0,0,0.008965,0,0,4.92306,0,0,0,0,0,0,0,9.2306,0,0,3,47,1,2,1,0,0,78,0,0.003498,4,0,0,0,2.02,0.003393,0.008591,28,12,clean
1,0.03647,0,0.027941,0,0,17.3813,0,1.01,0,0,0,0.002324,0,9.61825,0,0,6,41,0,1,10,0,2.02,28,0,0.019255,1,0,0,0.003841,4.16,0.010984,0.014799,13,6,buggy
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,0,1,1,0,0,21,0,0,2,0,0,0,0,0,0,9,3,clean
0,0.006419,0,0.003356,0,0,4.92306,0,0,0,3,0,0,0,9.2306,0,0,9,67,0,2,13,0,0,210,0,0,4,0,0,0,2.02,0.016473,0.008655,17,16,clean
1,0,0,0.001518,0,0,1.84703,0,0,0,0,0,0,0,9.09329,0,0,0,71,0,1,0,0,0,10,0,0,2,0,0,0,0,0,0,0,2,clean
0,0,0,0.008833,0.002319,0.012496,6.03182,0,0,0,0,0,0,2.03,9.28068,0,0,2,39,0,1,1,0,0,3,0,0.015446,3,0,1.01,0,0,0,0,0,2,clean
0,0.001869,0,0.002715,0,0,5.37749,0,0,0,0,0,0,0,9.22708,0,0.003609,0,11,0,3,3,0,1.01,3,1.01,0,2,0,0,0.002921,7.35,0,0.020011,50,3,clean
0,0,0,0.002583,0,0,6.86517,0,0,0,0,0,0,0,9.27338,0,0,3,8,0,1,0,0,0,0,0,0.002936,0,0,0,0,2.02,0,0.009791,9,1,clean
1,0.006419,0,0.001416,0,0,4.15475,0,0,0,0,0,0,0,9.19857,0,0.003609,12,70,0,2,1,0,0,6,1.02,0,0,0,0,0,1.01,0,0.005924,15,3,clean
23,0.044217,2.02,1.03242,0.035275,0.075475,36.1661,0.00066,6.06,2,0,5,0.034607,18.28,10.25,0,0,58,1115,0,1,53,0,0,2211,0,0.167806,68,11,10.14,0,0,0.105859,0,0,43,buggy
0,0.002888,0,0.001121,0,0,3.17351,0,0,0,0,0,0,0,9.13106,0,0,0,12,8,4,1,0,1.01,6,0,0,0,0,0,0.002921,4.09,0,0.014863,47,2,clean
2,0,0,0.001708,0,0,1.84703,0,0,0,0,0,0,0,9.09329,0,0,3,34,0,1,0,0,0,6,0,0,3,0,0,0,1.01,0.004111,0.005924,9,2,clean
0,0.004269,0,0.022979,0.008414,0,11.5798,0,0,0,1,0,0,0,9.41912,0,0,0,16,0,1,2,0,0,15,0,0.008887,1,0,3.08,0,2.02,0.00548,0.009791,9,6,clean
4,0.168565,0,0.061154,0.055173,0.01498,8.36649,0,3.05,0,0,2,0.010825,2.02,9.44688,0,0,42,672,0,1,114,0,0,903,0,0.082814,0,4,9.28,0,1.01,0.062134,0.005924,9,39,buggy
0,0.003145,0,0.010522,0,0.001669,9.92416,0,0,0,0,1,0,1.01,9.36673,0,0,4,22,0,1,3,0,0,3,0,0.007303,1,2,0,0,0,0.005206,0,0,3,clean
1,0.002706,0,0.046957,0,0.002482,9.05387,0,1.01,0,0,0,0.002532,1.01,9.38007,0,0,5,31,1,2,0,0,0,3,0,0.014174,1,0,0,0,3.08,0.00679,0.007771,19,2,buggy
0,0,0,0.002476,0,0,3.37801,0,0,0,0,0,0,0,9.16485,0,0,3,57,0,2,0,0,0,21,0,0,5,0,0,0,2.02,0,0.031562,32,6,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,0,1,2,0,0,15,0,0,2,0,0,0,0,0,0,9,6,clean
0,0.001665,0,0.050838,0,0,6.45512,0,0,0,0,0,0,0,0.209384,0,0,4,121,0,2,1,0,0,231,0,0.003043,11,0,0,0,2.06,0.002623,0.009791,37,22,clean
0,0.002888,0,0.001121,0,0,3.17351,0,0,0,0,0,0,0,9.13106,0,0,0,12,8,4,1,0,1.01,6,0,0,0,0,0,0.002921,4.09,0,0.014863,47,2,clean
0,0.024845,0,0.003002,0.006066,0,3.0367,0,0,0,0,0,0,0,9.15989,0,0,7,164,6,2,3,0,0,990,0,0.006613,1,0,1.01,0,4.04,0,0.089904,59,45,clean
0,0.004979,0,0.00219,0,0,5.9125,0,0,0,5,0,0,0,9.20801,1.01,0,0,3,0,1,6,0.00211,0,0,0,0,1,0,0,0,3.05,0,0.037515,25,1,clean
1,0.021714,0,0.01023,0.002991,0,6.8241,0,1.01,0,0,0,0.002667,0,9.32581,0,0,10,81,0,1,17,0,0,91,0,0.008743,4,0,1.01,0,3.03,0.002142,0.010932,14,13,clean
0,0.017931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,2,0,0,1,0,0,1,0,0,0,2.02,0,0.009791,9,2,clean
6,0,0,0.017803,0,0.002631,8.9439,0,1.02,0,0,0,0.0009,2.04,9.34787,0,0,9,265,0,1,0,0,0,105,0,0.013745,14,0,0,0,0,0.001141,0,0,8,buggy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,1,0,0,0,1,0,0,2,0,0,0,2.02,0.008458,0.009791,9,2,clean
0,0.024845,0,0.001193,0,0,1.49003,0,0,0,0,0,0,0,0.121386,0,0,5,42,4,3,1,0,0,6,0,0,1,0,0,0,1.1,0,0.027723,43,4,clean
0,0,0,0.01063,0,0,3.26838,0,0,0,0,0,0,0,9.16383,0,0,4,27,0,2,2,0,0,10,0,0,0,0,0,0,1.01,0,0.005924,41,5,clean
0,0,0,0.001328,0,0,1.84703,0,0,0,0,0,0,0,9.09329,0,0,0,3,0,3,0,0,0,0,0,0,1,0,0,0,2.03,0,0.033647,27,1,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,1,1,0,0,0,0,0,0,0,0,0,0,2.04,0,0.009791,56,1,clean
1,0,0,0.016503,0.002991,0.004408,14.8014,0,0,0,3,0,0,2.02,9.55998,0,0.005462,4,37,8,2,0,0,0,6,2.02,0.016127,2,2,1.08,0,4.13,0.003409,0.057037,25,3,clean
2,0,0,0.070779,0,0,6.87646,0,0,0,0,0,0,0,9.32549,0,0,10,55,0,1,6,0,0,21,0,0.006103,3,0,0,0,1.05,0.003409,0.005924,51,5,clean
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,1,1,0,0,3,0,0,1,0,0,0,2.02,0,0.009791,9,3,clean
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,9,1,buggy
10,0,0,0.001138,0,0,1.84703,0,0,0,0,0,0,0,9.09329,0,0,0,122,0,1,1,0,0,105,0,0,6,0,0,0,1.01,0,0.005924,9,5,clean
0,0.003485,0,0.002645,0.002319,0,3.08906,0,0,0,1,0,0,0,9.15957,0,0,0,3,0,1,6,0,0,28,0,0.00312,0,0,1.01,0,1.02,0,0.005924,19,8,clean
0,0.005916,0,0.008394,0,0,14.5878,0,0,0,0,0,0,0,9.5031,0,0,1,8,0,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,clean
0,0,0,0.006358,0,0,5.24655,0,0,0,0,0,0,0,9.18913,0,0,0,3,0,2,1,0,0,0,0,0,1,0,0,0,3.05,0,0.037515,26,1,clean
1,0,0,0.011175,0,0,11.9319,0,0,0,0,0,0,0,9.4329,0,0,0,8,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,clean
1,0,0,0.082496,0,0,8.50289,0,0,0,0,0,0,0,0.206051,0,0,2,67,0,1,0,0,0,45,0,0,8,1,0,0,0,0.006183,0,0,9,clean
5,0,0,0.003746,0,0.045459,4.50603,0,0,0,0,0,0,1.01,9.18344,0,0,3,149,0,1,0,0,0,28,0,0.05721,8,0,0,0,0,0,0,0,2,clean
0,0.006383,0,0.027992,0.003194,0.002878,5.63443,0,1.03,0,0,0,0.003114,1.01,9.25922,0,0.002058,9,50,0,1,3,0,1.01,28,1.04,0.009601,2,0,1.05,0.001571,2.03,0.007203,0.008655,9,8,clean
0,0,0,0.010969,0.002991,0.002734,6.32077,0,1.01,0,0,0,0.002774,1.01,9.28597,0,0,0,16,0,1,1,0,0,3,0,0.005486,1,0,1.01,0,0,0.003409,0,0,3,clean
0,0,0,0.000949,0,0,1.84703,0,0,0,0,0,0,0,9.09329,0,0,2,20,0,1,0,0,0,1,0,0,1,0,0,0,1.02,0,0.005924,18,2,clean
0,0.042776,0,0.002334,0,0,4.58293,0,0,0,0,0,0,0,9.17116,0,0,0,9,0,2,4,0,0,3,0,0,2,0,0,0,2.04,0,0.009791,19,2,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,32,4,3,1,0,0,3,0,0,2,0,0,0,1.1,0,0.027723,43,3,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,clean
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,461,0,1,1,0,0,325,0,0,13,0,0,0,0,0,0,0,11,clean
3,0,0,0.061474,0,0,11.1987,0,0,0,0,0,0,0,9.40008,0,0,11,162,0,1,1,0,0,10,0,0.004958,2,0,0,0,2.02,0.009127,0.009791,9,2,clean
0,0,0,0.005626,0,0,1.49003,0,0,0,0,0,0,0,0.121386,0,0,1,51,1,2,0,0,0,120,0,0,2,0,0,0,0,0,0,27,16,clean
0,0,0,0.13684,0,0,11.1675,0,0,0,0,0,0,0,9.38386,0,0.005462,4,106,8,3,1,0,0,15,2.02,0.010246,0,1,0,0,4.21,0.00125,0.057037,28,2,clean
0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,clean
0,0.01908,0,0.003387,0.000941,0,7.5716,0,0,0,0,0,0,0,9.28042,0,0,1,30,0,1,8,0,0,6,0,0.001327,1,0,1.01,0,2.02,0,0.009791,9,4,clean
1,0,0,0.075437,0,0.010189,18.5444,0,0,0,0,0,0,1.01,9.63176,0,0,9,69,0,1,1,0,0,6,0,0.00677,0,0,0,0,2.02,0.077785,0.009791,10,3,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,2,1,0,0,21,0,0,1,0,0,0,2.02,0,0.009791,15,7,clean
8,0.239695,0,0.416566,0.031531,0.013143,31.2165,0,3.06,0,0,0,0.004391,6.12,10.0512,0,0,12,336,0,1,220,0,0,1770,0,0.043462,21,2,10.22,0,4.26,0.039217,0.013473,19,52,buggy
8,0,0,0.374881,0,0,3.61466,0,0,0,0,0,0,0,0.083899,0,0,7,452,0,1,1,0,0,120,0,0,10,1,0,0,2.02,0,0.009791,9,6,clean
1,0.006874,0,0.001875,0,0,1.49003,0,0,0,0,0,0,0,0.121386,0,0,2,19,0,1,1,0,0,6,0,0,2,0,0,0,0,0,0,9,3,buggy
1,0,0,0.014589,0,0,6.7028,0,0,0,0,0,0,0,9.24064,0,0,8,95,0,1,1,0,0,15,0,0.003043,4,1,0,0,2.02,0.007609,0.009791,14,5,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,1,3,0,0,6,0,0,1,0,0,0,0,0,0,9,3,clean
0,0,0,0.014842,0,0,13.0751,0,0,0,0,1,0,0,9.409,0,0,7,34,0,1,2,0,0,0,0,0.00586,0,1,0,0,2.02,0.011077,0.009791,9,1,clean
1,0.017931,0,0.015726,0,0.010189,16.988,0,0,0,0,0,0,1.01,9.56177,0,0,3,28,0,1,2,0,0,3,0,0,0,0,0,0,0,0.003409,0,0,2,clean
0,0.031665,0,0.002651,0,0,4.56874,0,0,0,0,2,0,0,9.22022,0,0,0,14,0,1,7,0,0,10,0,0.00255,3,2,0,0,2.04,0,0.009791,18,5,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,2,1,0,0,6,0,0,0,0,0,0,0,0,0,22,1,clean
3,0.024845,0,0.058456,0.045144,0.046253,3.33706,0,1.01,0,0,0,0.019848,3.05,9.21468,0,0,11,166,0,1,6,0,0,465,0,0.052162,20,0,3.09,0,0,0.040821,0,9,28,buggy
5,0,0,0.012836,0.002991,0,4.88878,0,1.01,0,0,0,0.004871,0,9.22338,0,0,22,303,0,2,2,0,0,91,0,0.014509,9,0,1.05,0,3.03,0.019882,0.010996,17,9,buggy
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,139,0,3,1,0,0,780,0,0,3,1,0,0,0,0,0,58,40,clean
0,0,0,0.002264,0,0,4.7898,0,0,0,0,0,0,0,9.21441,0,0,2,59,0,1,4,0,0,36,0,0,1,0,0,0,1.01,0,0.005924,9,9,clean
0,0,0,0.000136,0,0,0.903836,0,0,0,0,0,0,0,0.026954,0,0,6,82,0,1,0,0,0,3,0,0,2,0,0,0,2.02,0,0.009791,9,3,clean
1,0,0,0.046837,0,0.000731,12.9773,0,1.01,0,0,0,0.005394,1.01,9.44239,0,0,5,79,0,1,1,0,0,10,0,0.01153,2,0,0,0,0,0.017823,0,0,4,clean
1,0,0,0.000543,0,0,1.45219,0,0,4,0,0,0,0,0.040996,0,0,3,55,0,1,0,0,0,21,0,0,3,0,0,0,2.02,0,0.009791,9,6,clean
0,0,0,0.001708,0,0,4.66839,0,0,0,0,0,0,0,9.21193,0,0,6,104,0,1,1,0,0,45,0,0.003043,1,0,0,0,0,0,0,0,10,clean
0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,clean
0,0.111272,0,0.023854,0.071222,0.005109,4.53504,0,2.04,0,0,0,0.009083,1.01,9.20046,0,0,14,365,0,2,28,0,1.01,496,0,0.102191,11,3,3.03,0,3.07,0.01385,0.009791,14,26,clean
0,0.019552,0,0.005568,0.001171,0.001505,6.56833,0,0,0,0,0,0,1.03,9.23919,0,0,1,52,0,1,9,0,0,153,0,0.000599,9,1,1.06,0,2.04,0,0.009791,18,18,clean
15,0.006419,0,0.002826,0,0,4.88878,0,0,0,0,0,0,0,9.22338,1.01,0,2,671,0,1,2,0.004973,0,253,0,0.010766,25,0,0,0,0,0.016473,0,1,8,buggy
2,0,0,0.00309,0,0,7.65102,0,0,0,0,0,0,0,0.241727,0,0,4,89,0,1,2,0,0,10,0,0.003043,2,0,0,0,2.02,0.015783,0.009791,9,3,clean
0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,clean
1,0.089454,0,0.000949,0,0,1.84703,0,0,0,0,0,0,0,9.09329,0,0,0,29,0,1,1,0,0,6,0,0,3,0,0,0,0,0,0,0,1,clean
2,0,0,0.0039,0,0.010189,4.17741,0,0,0,0,0,0,1.04,9.19476,0,0,7,192,0,3,1,0,0,55,0,0.010766,7,0,0,0,0,0,0,14,8,clean
1,0,0,0.018826,0.016575,0.00838,5.39677,0,1.01,0,0,0,0.00318,2.03,9.26485,0,0,13,223,0,2,1,0,0,66,0,0.026974,8,0,4.07,0,2.02,0.042441,0.008591,41,11,buggy
0,0,0,0.08251,0,0,1.49003,0,0,0,0,0,0,0,0.121386,0,0,0,33,0,1,1,0,0,55,0,0.004384,1,0,0,0,0,0,0,9,11,clean
2,0,0,0.098265,0,0,16.632,0,0,0,0,0,0,0,9.59087,0,0,17,207,0,1,3,0,0,66,0,0.008241,8,0,0,0,0,0.02847,0,0,10,clean
0,0,0,0.000271,0,0,1.45219,0,0,6,0,0,0,0,0.040996,0,0,0,11,0,1,1,0,0,1,0,0,0,0,0,0,2.02,0,0.009791,10,2,clean
0,0,0,0.103275,0,0,12.2615,0,0,0,1,0,0,0,0.325269,0,0,2,109,0,1,1,0,0,325,0,0,3,1,0,0,3.19,0.003409,0.012186,19,24,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,10,0,0,4,0,0,0,2.02,0,0.009791,9,4,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,26,1,clean
0,0.00753,0,0.006445,0,0,12.3306,0,0,0,0,0,0,0,9.42886,0,0,1,114,0,1,12,0,0,325,0,0,10,0,0,0,2.02,0,0.009791,9,25,clean
0,0,0,0.016381,0,0,2.56087,0,0,2,0,0,0,0,0.066568,0,0,2,46,0,1,0,0,0,28,0,0,0,0,0,0,2.02,0,0.009791,14,8,clean
0,0,0,0.000949,0,0,1.84703,0,0,0,2,0,0,0,9.09329,0,0,2,24,0,4,3,0,0,36,0,0,1,0,0,0,1.03,0,0.005924,51,8,clean
0,0,0,0.002239,0,0,5.5048,0,0,0,0,0,0,0,9.21892,0,0,2,53,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,clean
0,0,0,0.001194,0,0.003264,4.13774,0,0,0,0,0,0,1.01,9.19488,0,0.005667,4,21,3,2,0,0,0,10,2.03,0.003498,7,0,0,0,1.01,0.003393,0.005924,14,5,clean
0,0,0,0.001239,0,0,3.13741,0,0,0,0,0,0,0,9.14037,0,0,0,6,4,2,0,0,0,1,0,0,0,1,0,0,2.02,0,0.009791,17,1,clean
0,0,0,0.00442,0,0,10.3211,0,0,0,0,0,0,0,9.40557,0,0,3,45,0,2,0,0,0,3,0,0.007769,3,0,0,0,2.02,0.007203,0.009791,16,3,clean
0,0,0,0.001611,0,0,5.25012,0,0,0,0,0,0,0,9.20025,0,0,1,11,0,1,1,0,0,3,0,0,2,0,0,0,0,0,0,0,3,clean
0,0.001233,0,0.003159,0,0,5.42764,0,0,0,0,0,0,0,9.20698,0,0,1,23,0,1,1,0,0,3,0,0.003043,1,0,0,0,0,0,0,0,3,clean
0,0,0,0.002536,0.006611,0,3.17351,0,0,0,0,0,0,0,9.13106,0,0,1,31,0,1,0,0,0,0,0,0.00586,3,0,1.02,0,1.09,0,0.004746,9,1,clean
0,0,0,0.00101,0,0,3.32672,0,0,0,0,0,0,0,9.15394,0,0,2,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,clean
0,0,0,0.001252,0,0,3.95974,0,0,0,0,0,0,0,9.15318,0,0,0,6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,clean
0,0,0,0.040705,0,0,4.92306,0,0,0,0,0,0,0,9.2306,0,0,3,45,0,1,5,0,0,21,0,0,2,0,0,0,1.01,0.003794,0.005924,9,7,clean
3,0.121173,0,0.029071,0.003194,0.002376,7.03716,0,1.02,0,0,0,0.002334,1.01,9.3603,0,0,10,115,0,1,54,0,0,120,0,0.006743,10,0,1.01,0,0,0,0,0,13,buggy
4,0.001164,0,0.007388,0.000941,0.000957,7.65674,0,1.01,0,0,1,0.0009,1.01,9.31213,0,0,6,89,0,1,0,0,0,15,0,0.003878,1,1,1.02,0,3.11,0.0068,0.012186,18,2,clean
7,0.003485,0,0.00733,0.003348,0,4.15475,0,0,0,0,0,0,0,9.19857,0,0,9,135,0,1,1,0,0,36,0,0.003498,1,0,1.01,0,0,0.003393,0,0,2,clean
4,0,0,0.01216,0,0,5.4131,0,0,0,0,0,0,0,9.31602,0,0,11,142,0,2,2,0,0,45,0,0.011372,0,0,0,0,2.02,0,0.008591,11,5,clean
