@relation xerces-1.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R14

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
5,0,0,1,1,0.75,44,0.5,0,0.555556,3,11,13,1,0
1,0,3,2,3,2,3,0,0,0.5,0,0,0,1,0
4,0,36,0,9,2,50,0,0,0.555556,1,5,4.555556,0.8889,0
4,0,3,0,3,2,17,0,0,0.666667,0,0,4.666667,0.6667,0
1,0,3,6,6,0.984615,112,0,2,0.5,1,1,13.333333,0.6667,0
2,0,17,1,6,0.740741,608,1,2,0.333333,0,0,84.571429,0.7143,0
1,0,45,0,10,2,10,0,0,0.75,0,0,0,1,0
1,0,21,0,7,2,7,0,0,0.25,0,0,0,1,0
2,0,4,0,3,0.666667,31,0,1,0.444444,0,0,6.5,0.5,0
1,0,78,0,13,2,13,0,0,0.538462,0,0,0,1,1
1,0,1,0,2,2,2,0,0,0.75,0,0,0,1,0
1,1,711,2,3,0.850863,3171,0.076923,0,0.194286,0,0,61.64,2.48,0
1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
1,0,0,0,1,2,1,0,0,1,0,0,0,1,0
4,0,3,0,3,2,17,0,0,0.666667,0,0,4.666667,0.6667,0
2,0,0,1,22,0.522989,2599,0.833333,3,0.201149,1,2,85.233333,1.3,0
1,0,0,0,1,2,1,0,0,1,0,0,0,1,0
1,0,6,1,4,2,4,0,0,0.75,0,0,0,1,0
1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
4,0,136,0,17,2,96,0,0,0.397059,0,0,4.647059,0.9412,0
4,3,1649,48,49,0.92623,1344,0.916667,2,0.155107,2,19,20.483871,1.9516,1
3,0,0,1,1,0.666667,60,0.5,0,0.5,2,7,13.5,1,0
4,0,21,0,7,2,39,0,0,0.428571,0,0,4.571429,0.8571,0
2,0,0,1,24,0.813725,2556,0.647059,3,0.188889,1,4,80.903226,1.2581,0
1,0,3,0,2,2,25,0,0,0.333333,0,0,7.333333,0.6667,0
1,0,231,0,22,2,22,0,0,0.75,0,0,0,1,0
4,0,6,0,4,1,32,1,1,0.583333,0,0,6.75,1,0
1,0,6,0,4,2,4,0,0,1,0,0,0,1,0
1,0,3,0,3,2,3,0,0,0.666667,0,0,0,1,1
4,0,0,16,8,0.285714,64,1,0,0.4375,0,0,6.75,0.5,0
1,0,120,0,16,2,16,0,0,0.375,0,0,0,1,0
1,3,1829,21,36,0.967521,1123,0.833333,1,0.11655,0,0,15.742424,2.2727,1
3,0,0,1,1,0.666667,75,0.5,0,0.5,2,8,17.25,1.25,0
4,1,3,2,3,1.5,13,0,0,0.555556,1,4,3,0.6667,0
4,0,3,1,3,2,17,0,0,0.666667,0,0,4.666667,0.6667,0
1,0,28,0,8,2,8,0,0,0.354167,0,0,0,1,0
3,0,0,1,1,0.75,59,0.5,0,0.555556,2,3,18,0.6667,0
1,0,1,0,2,2,2,0,0,1,0,0,0,1,0
1,0,1,1,2,2,2,0,0,0.75,0,0,0,1,0
2,0,58,1,8,0.769841,1337,1,3,0.2,0,0,100.230769,1.0769,1
1,0,6,0,4,2,4,0,0,0.5,0,0,0,1,0
3,1,3,2,3,1.5,13,0,0,0.555556,1,4,3,0.6667,0
4,0,0,1,1,0.75,44,0.5,0,0.555556,3,12,13,1,0
4,0,253,0,23,2,127,0,0,0.521739,1,6,4.521739,0.9565,0
4,0,78,0,13,2,73,0,0,0.403846,1,6,4.615385,0.9231,0
3,0,8,0,5,0,34,1,0,0.6,0,0,5.6,0.2,1
1,0,28,0,8,2,8,0,0,0.75,0,0,0,1,0
4,0,351,0,27,2,151,0,0,0.388889,0,0,4.592593,0.963,0
1,0,127,0,20,0.698413,161,0,3,0.15035,0,0,6.181818,0.9545,0
1,0,1,6,0,0.5,42,0,0,0.5,0,0,11.666667,0.6667,0
1,0,0,0,0,2,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0.579545,1583,1,0,0.366667,1,3,173.666667,0.8889,0
4,0,465,1,31,2,259,0,0,0.309677,0,0,7.354839,1.3871,0
1,0,1,1,2,2,2,0,0,0.75,0,0,0,1,0
1,0,15,3,6,2,6,0,0,0.375,0,0,0,1,0
1,0,3,5,3,2,3,0,0,0.583333,0,0,0,1,0
2,0,277,1,2,1,804,1,0,0.184211,1,12,19.461538,1.5641,0
1,0,3,0,3,2,3,0,0,1,0,0,0,1,0
1,0,0,1,5,0.142857,574,0,0,0.520833,0,0,70.375,5.625,0
1,0,28,1,8,2,8,0,0,0.75,0,0,0,1,0
3,35,55,36,7,2,93,0,0,0.436364,2,3,7.454545,1.2727,0
2,0,50,1,7,0.710227,728,1,3,0.208333,0,0,58.333333,0.8333,0
1,0,1,1,2,2,2,0,0,0.75,0,0,0,1,0
1,0,0,1,0,0,28,1,0,0.625,0,0,5.75,1,0
2,0,1,1,1,2,76,0,0,0.625,2,2,37,5.5,0
1,0,4,0,11,0.733333,238,0.8,2,0.375,0,0,16.923077,1.4615,0
1,0,10,0,5,2,5,0,0,0.4,0,0,0,1,1
1,1,22,1,6,0.928571,108,0.5,0,0.285714,0,0,12.25,0.75,0
1,0,6,36,4,2,4,0,0,0.75,0,0,0,1,0
2,0,17,1,6,0.766667,207,0.8,3,0.333333,0,0,27.857143,0.7143,0
1,0,0,5,2,0.166667,167,1,2,0.5,0,0,53.666667,0.3333,0
1,0,15,0,6,2,6,0,0,0.375,0,0,0,1,0
1,0,8,1,9,0.6875,374,1,4,0.307692,0,0,27.153846,4.1538,1
4,0,78,0,13,2,72,0,0,0.538462,1,4,4.538462,0.9231,0
3,0,0,1,1,0.75,40,0.5,0,0.555556,2,7,11.666667,0.6667,0
1,0,3,0,3,2,3,0,0,0.666667,0,0,0,1,0
4,0,105,0,15,2,84,0,0,0.4,1,4,4.6,0.9333,0
2,2,0,3,20,0.565625,3041,1,2,0.174479,1,3,90.848485,1.0606,1
