@relation PC1-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R7

@attribute ev(g) numeric
@attribute iv(G) numeric
@attribute L numeric
@attribute D numeric
@attribute I numeric
@attribute T numeric
@attribute lOComment numeric
@attribute locCodeAndComment numeric
@attribute lOBlank numeric
@attribute uniq_Op numeric
@attribute branchCount numeric
@attribute defects {false,true}

@data
3,3,0.1,10.11,27.69,157.28,1,0,1,14,9,false
3,3,0.15,6.75,12.61,31.92,0,0,0,9,5,false
15,24,0.03,29.92,118.25,5883.07,1,4,13,23,71,false
5,4,0.03,28.88,23.19,1074.3,19,5,19,21,13,false
3,6,0.06,17.53,55.34,944.31,16,0,20,18,13,false
1,2,0.07,14,17.46,190.11,0,2,5,14,7,false
5,6,0.07,15,39.03,487.84,7,0,9,15,11,false
5,7,0.06,15.87,43.76,612.03,7,0,8,17,13,false
1,2,0.04,28,102.01,4443.31,13,0,17,20,5,false
1,1,0.17,6,46.1,92.2,9,0,7,6,1,false
5,4,0.11,9.14,66.7,309.47,4,0,8,14,11,false
1,2,0.07,14.48,35.63,414.77,3,0,8,16,3,false
1,2,0.01,115.43,47.04,34822.1,0,3,1,13,95,false
1,1,0.07,15,5.18,64.76,1,0,0,10,3,false
1,1,0.1,10.05,21.91,122.82,0,0,1,13,7,false
1,1,0.22,4.5,6.67,7.5,0,0,2,6,1,false
12,7,0.01,70.29,25.8,7080.96,6,0,4,32,37,false
5,4,0.03,30.39,21.89,1123.32,21,4,19,21,13,false
1,1,0.18,5.64,288.76,510.31,4,3,5,4,1,false
1,14,0.05,19.67,48.69,1046.22,0,0,19,26,17,false
5,6,0.07,14,41.15,448.08,7,0,9,14,11,false
1,4,0.04,26.51,111.14,4338.85,13,0,48,14,15,false
1,1,0.09,10.79,103.05,666.83,2,0,8,13,1,false
1,5,0.08,13.04,41.62,393.01,3,0,7,16,7,false
1,3,0.07,13.5,21.01,212.73,3,0,0,14,7,false
1,1,0.24,4.2,16.21,15.89,0,0,0,7,3,false
1,6,0.05,22.09,27.22,738.05,0,0,5,18,19,false
1,2,0.14,7.2,22.01,63.38,1,0,3,8,3,false
1,1,0.05,22.1,6.98,189.43,0,0,5,13,7,false
1,1,0.08,12.33,26.28,222.1,1,1,2,8,3,false
1,2,0.04,28.18,74.49,3287.1,8,1,15,21,5,false
1,1,0.24,4.08,15.41,14.27,9,0,3,7,1,false
5,6,0.07,15,39.03,487.84,7,0,9,15,11,false
1,1,0.09,10.56,28.52,176.74,1,0,5,13,1,false
1,1,0.35,2.86,137.84,62.8,0,0,2,3,1,false
1,1,0.14,7.33,25.04,74.81,2,1,3,6,3,false
1,5,0.07,14.07,44.89,493.64,3,0,7,16,7,false
1,7,0.04,27.6,46.52,1968.8,7,0,17,24,15,false
1,2,0.5,2,16.5,3.67,0,0,2,4,3,false
1,43,0,270.66,58.42,237757.4,0,0,14,66,72,false
4,3,0.05,20.52,33.58,785.61,0,0,1,18,13,false
1,1,0.06,17.04,63.37,1022.62,7,0,9,8,1,false
3,4,0.03,31.02,49.49,2646.07,30,0,20,23,11,false
5,6,0.07,14,41.15,448.08,7,0,9,14,11,false
1,2,0.14,7.37,47.11,142.09,0,0,8,8,3,false
1,4,0.07,14,26.07,283.89,3,1,8,16,5,false
1,5,0.07,14.05,61.13,670.33,22,5,16,18,9,false
1,1,0.19,5.3,110.26,172.35,5,0,5,4,1,false
1,1,0.06,16.82,19.33,303.69,0,0,3,10,11,false
1,2,0.33,3,9.51,4.75,0,0,0,6,3,false
10,9,0.03,29.75,55.26,2717.29,1,1,5,22,23,false
12,2,0.03,28.96,44.45,2071.62,4,4,30,25,25,false
1,7,0.02,53.47,47.35,7521.99,20,6,21,33,20,false
1,1,0.03,30.07,25.45,1278.07,9,2,13,21,11,false
3,2,0.07,13.7,32.47,338.34,10,0,8,18,5,false
1,4,0.13,8,35.57,126.49,9,2,6,12,9,false
1,5,0.04,24.5,44.04,1468.75,6,0,9,21,11,false
1,3,0.22,4.5,19.1,21.49,0,1,5,9,4,false
1,3,0.06,16.07,43,617.18,5,3,13,14,11,false
12,10,0.04,23.83,92.24,2910.9,35,2,27,23,39,false
1,2,0.04,23.38,13.72,416.37,3,1,2,17,9,false
1,1,0.31,3.21,21.19,12.16,0,0,0,5,1,false
11,12,0.03,36.22,48.52,3536.07,0,4,3,22,37,false
1,1,0.22,4.5,48.89,55,0,0,4,4,1,false
1,2,0.35,2.86,30.11,13.66,7,1,6,5,3,false
1,1,0.2,5.06,18.57,26.44,1,0,4,9,1,false
1,2,0.02,60.25,58.14,11725.99,0,2,18,32,17,false
3,4,0.06,15.89,49.03,687.86,11,0,8,21,11,false
1,1,0.5,2,9.83,2.18,3,0,1,4,1,false
1,3,0.04,22.33,32.61,903.7,3,0,12,14,9,false
1,3,0.22,4.5,19.1,21.49,2,3,5,9,4,false
1,1,0.14,7.07,14.14,39.29,0,0,1,9,1,false
23,13,0.02,42.69,88.43,8954.35,60,4,32,27,61,false
9,8,0.03,30.58,65.3,3391.63,16,1,17,37,24,false
1,2,0.04,28.52,100.54,4542.68,2,0,3,14,3,false
4,4,0.05,19.5,29.2,616.8,3,0,4,15,11,false
1,1,0.4,2.5,7.86,2.73,0,0,0,5,1,false
1,4,0.09,10.86,39.03,255.58,0,0,0,12,13,false
1,3,0.1,9.72,32.4,170.14,0,0,9,14,5,false
14,10,0.04,22.73,129.41,3715.52,38,17,29,19,41,false
1,2,0.33,3,19.93,9.97,5,1,6,5,3,false
3,4,0.06,15.89,49.03,687.86,11,0,8,21,11,false
1,1,0.24,4.08,15.41,14.27,9,0,3,7,1,false
1,7,0.04,22.5,79.38,2232.46,8,9,31,30,18,false
5,4,0.04,28.21,62.91,2780.66,33,3,13,23,21,false
1,1,0.22,4.5,18.67,21,2,0,2,8,1,false
1,1,0.16,6.13,7.91,16.48,0,0,0,7,3,false
1,2,0.05,19.13,27.15,551.64,7,2,6,12,7,false
1,1,0,0,0,0,0,0,0,1,1,false
1,2,0.21,4.67,13.87,16.78,3,1,2,8,3,false
6,6,0.06,17,60.39,969.56,5,0,19,19,11,false
13,2,0.02,43.1,54.85,5659.76,26,3,31,27,39,false
1,2,0.05,20.91,26.56,645.17,11,1,9,20,7,false
1,1,0.06,16.39,19.04,284.25,7,0,4,17,3,false
3,4,0.03,31.02,49.49,2646.07,30,0,20,23,11,false
1,2,0.15,6.67,19.62,48.44,1,0,2,8,3,false
1,1,0.05,18.67,22.29,431.57,0,0,2,16,5,false
1,2,0.13,7.44,32.95,101.36,0,0,2,11,3,false
1,2,0.09,11,16.73,112.44,0,0,0,8,3,false
1,2,0.12,8.4,12.17,47.69,0,0,0,12,3,false
1,2,0.21,4.67,13.87,16.78,0,1,1,8,3,false
9,5,0.07,15.35,47.16,617.07,2,0,15,14,17,false
3,2,0.03,30.42,69.75,3584.96,35,3,122,25,41,false
8,3,0.04,27.74,44.23,1891.23,20,2,24,25,21,false
3,2,0.07,13.7,32.47,338.34,10,0,8,18,5,false
1,1,0.22,4.62,54.02,63.93,0,0,5,4,1,false
3,2,0.02,41.68,22.75,2196.03,9,2,8,22,13,false
1,2,0.13,7.76,32.81,109.91,0,0,2,11,3,false
1,1,0.06,16,49.13,698.81,22,0,11,16,1,false
1,2,0.18,5.5,17.31,29.08,0,1,1,7,3,false
1,1,0.17,6,19.12,38.24,0,1,1,6,3,false
1,1,0.4,2.5,7.86,2.73,0,0,0,5,1,false
7,11,0.02,42.62,30.87,3115.79,1,1,13,29,26,false
1,3,0.08,12.63,29.64,262.76,0,0,10,16,5,false
3,4,0.02,44.63,67.09,7425.6,22,3,41,26,31,false
5,3,0.1,9.75,19.49,102.91,3,1,6,13,9,false
1,1,0.18,5.63,12.4,21.79,0,0,2,5,1,false
3,2,0.07,14.79,39.97,485.48,14,0,12,18,5,false
3,4,0.06,15.89,49.03,687.86,11,0,8,21,11,false
9,5,0.07,15.35,47.16,617.07,0,0,14,14,17,false
1,1,0.1,10.08,22.43,126.7,1,0,7,11,3,false
3,2,0.12,8.67,20.9,87.2,0,0,3,13,5,false
1,1,0.1,10.24,38.45,223.75,13,0,4,12,1,false
1,2,0.07,13.89,32.45,348.01,0,1,0,12,5,false
1,1,0.07,13.36,27.46,272.44,0,3,7,7,5,false
4,5,0.03,39.36,34,2925.55,1,5,1,29,15,false
1,1,0.19,5.33,76.51,120.91,0,0,5,6,1,false
1,3,0.08,12.63,29.64,262.76,0,0,10,16,5,false
1,3,0.12,8.4,28.92,113.35,0,1,5,14,4,false
3,1,0.09,11.5,26.52,194.88,8,0,5,18,5,false
3,4,0.06,15.89,49.03,687.86,11,0,8,21,11,false
1,2,0.03,29,26.19,1223.73,12,4,27,24,19,false
1,2,0.14,7,22.92,62.41,0,0,7,12,3,false
1,1,0.08,12.2,48.47,400.77,5,0,10,8,5,false
1,1,0.14,7.17,62.09,177.18,6,0,5,8,1,false
1,1,0.29,3.5,18.49,12.59,1,0,1,7,1,false
1,3,0.06,17,9.42,151.28,0,0,0,10,5,false
5,5,0.06,16,14.4,204.73,2,0,1,16,9,false
1,1,0,0,0,0,0,0,0,1,1,false
15,22,0.02,44.8,69.41,7738.83,1,0,9,32,59,false
1,3,0.08,13.33,27.85,275.1,0,0,10,16,5,false
1,3,0.14,7.27,22.95,67.44,1,2,1,10,5,false
1,3,0.09,11.67,19.74,149.28,1,0,7,14,5,false
3,1,0.09,11.5,26.52,194.88,8,0,5,18,5,false
1,1,0.06,16.39,19.04,284.25,7,0,4,17,3,false
1,6,0.02,45.43,34.47,3951.82,10,2,57,30,23,false
1,4,0.08,13,35.9,337.11,0,0,11,14,7,false
1,4,0.09,11.61,26.63,199.3,2,2,6,13,6,false
1,15,0.02,47.92,48.01,6124.13,0,1,21,23,16,false
1,1,0.33,3,16.73,8.36,0,0,2,6,1,false
1,1,0.15,6.79,45.89,117.68,9,0,2,7,3,false
1,5,0.05,20.2,59.96,1359.85,4,0,11,22,9,false
1,2,0.08,12.75,12.54,113.27,1,0,1,12,5,false
10,8,0.02,59.06,46.29,8969.59,2,3,12,29,27,false
1,1,0.13,7.88,16.09,55.44,0,0,1,9,1,false
1,2,0.14,7,22.92,62.41,0,0,7,12,3,false
1,1,0.06,16.25,9.15,134.22,0,0,3,13,5,false
1,1,0.5,2,9.83,2.18,1,0,1,4,1,false
1,2,0.06,18,21.63,389.4,3,0,7,14,3,false
15,7,0.03,39.17,53.86,4591.56,23,3,32,32,39,false
8,3,0.04,27.74,44.23,1891.23,20,2,24,25,21,false
1,4,0.08,13,35.9,337.11,0,0,11,14,7,false
1,1,0.24,4.2,13.18,12.92,0,0,3,6,1,false
1,2,0.07,14.03,34.58,377.93,3,2,3,13,3,false
1,1,0.11,8.88,35.51,155.73,3,0,1,7,1,false
1,1,0,0,0,0,0,0,0,1,1,false
1,4,0.02,43.85,17.14,1830.86,0,0,0,20,9,false
1,2,0.14,7,22.92,62.41,0,0,7,12,3,false
1,1,0.09,11,15.72,105.65,8,1,8,11,5,false
1,1,0.5,2,9.83,2.18,0,0,1,4,1,false
1,1,0.27,3.75,29.64,23.15,0,0,4,4,1,false
15,7,0.02,40.4,52.36,4746.67,22,3,32,33,39,false
3,2,0.07,14.79,39.97,485.48,14,0,12,18,5,false
1,2,0.1,10.35,26.31,156.67,0,0,8,16,3,false
1,1,0.17,5.83,15.09,28.52,0,1,0,10,3,false
5,4,0.07,14.29,54.24,615.65,8,0,9,18,15,false
1,1,0.27,3.75,12.4,9.69,3,1,0,6,1,false
3,5,0.04,27.6,25.26,1068.81,0,0,3,19,15,false
1,1,0.1,10,20.81,115.64,0,0,0,10,1,false
1,4,0.07,13.91,32.68,351.24,0,0,13,17,7,false
7,1,0.06,17.5,21.22,361.02,7,2,28,13,13,false
1,1,0.5,2,9.83,2.18,4,0,1,4,1,false
1,1,0.08,13.22,100.04,971.41,4,0,8,15,3,false
1,1,0.3,3.33,8.1,5,0,0,0,5,1,false
3,1,0.09,11.5,26.52,194.88,8,0,5,18,5,false
1,2,0.07,14.72,38.94,468.8,2,1,5,16,3,false
1,3,0.06,16.19,40.19,585.32,5,2,10,17,13,false
5,2,0.02,40.23,61.6,5538.39,58,1,18,25,19,false
1,1,0.03,36.4,14.49,1066.26,3,3,1,14,3,false
3,2,0.05,20.17,15.39,347.69,0,0,1,22,7,false
1,1,0.35,2.86,22.59,10.24,0,0,0,5,1,false
5,4,0.07,14.52,36.9,432.2,0,0,13,17,9,false
1,1,0.13,7.5,16.12,50.39,7,1,9,10,3,false
1,1,0.5,2,9.83,2.18,1,0,1,4,1,false
1,2,0.11,8.77,24.36,104.07,1,0,8,12,3,false
1,1,0.5,2,9.83,2.18,0,0,0,4,1,false
3,1,0.09,11.5,26.52,194.88,8,0,5,18,5,false
5,5,0.06,16,13.06,185.75,2,0,1,16,9,false
1,1,0.17,6,14.33,28.65,0,0,1,9,1,false
42,43,0.02,59.64,116.17,22955.9,3,6,16,34,110,false
5,4,0.07,13.94,38.68,417.61,0,0,12,17,9,false
1,1,0.5,2,9.83,2.18,1,0,1,4,1,false
7,4,0.06,15.84,33.12,461.72,0,0,11,14,13,false
1,1,0.23,4.29,19,19.38,0,0,1,6,1,false
15,7,0.03,39.17,53.86,4591.56,23,3,32,32,39,false
1,3,0.03,32.98,60.7,3667.62,18,0,10,20,12,false
6,2,0.05,20.19,21.74,492.2,0,1,1,17,11,false
3,8,0.02,41.71,49.15,4750.15,0,0,3,31,19,false
6,3,0.08,13.18,29.33,282.87,0,0,9,14,11,false
1,1,0.22,4.5,6.67,7.5,0,0,2,6,1,false
1,4,0.08,13.3,34.43,338.32,0,0,11,14,7,false
15,7,0.02,40.4,52.36,4746.67,22,3,32,33,39,false
1,2,0.12,8.13,14.06,51.55,0,0,2,13,3,false
1,1,0.16,6.43,13.35,30.66,0,0,1,10,1,false
19,19,0.03,38.76,61.49,5132.09,0,2,6,26,45,false
1,3,0.16,6.43,33.52,76.96,0,0,7,10,5,false
1,1,0.22,4.5,6.67,7.5,0,0,2,6,1,false
1,3,0.08,13.09,33.27,316.78,3,0,12,16,5,false
1,1,0.3,3.33,8.1,5,0,0,0,5,1,false
3,1,0.07,14.4,8.8,101.37,0,0,1,12,7,false
1,1,0.06,15.91,41.58,584.96,4,0,5,12,3,false
1,1,0.1,10.29,15.94,93.71,2,1,0,9,1,false
1,2,0.07,14,11.23,122.25,0,0,1,14,3,false
12,11,0.03,39.28,50.27,4308.54,1,0,6,26,35,false
1,3,0.12,8.11,45.57,166.89,0,0,15,11,5,false
1,1,0.19,5.25,6.64,10.17,0,0,2,7,1,false
1,1,0.5,2,9.83,2.18,0,0,0,4,1,false
3,1,0.07,13.71,10.84,113.28,0,0,3,12,7,false
1,1,0.07,14.53,33.42,391.82,7,0,4,12,3,false
1,1,0.13,7.5,11.41,35.66,2,1,0,5,1,false
11,6,0.03,38.26,34.15,2778.07,12,7,7,29,31,false
1,1,0.08,12.83,20.88,191.02,0,0,0,14,1,false
1,2,0.16,6.07,30.96,63.41,0,0,8,10,3,false
1,4,0.04,22.67,44.18,1261.68,31,7,11,23,17,false
1,2,0.11,9.28,31.25,149.56,1,0,8,11,3,false
1,1,0.08,11.77,49.05,377.45,0,2,3,12,1,false
1,1,0.23,4.38,10.28,10.93,0,0,1,7,1,false
1,3,0.03,31.67,19.28,1074.02,5,5,7,19,13,false
1,1,0.12,8.4,27.14,106.4,3,0,4,6,1,false
9,1,0.04,26.67,19.04,752.29,0,0,1,20,17,false
1,2,0.22,4.5,21.31,23.98,0,0,1,9,3,false
1,1,0.22,4.5,6.67,7.5,0,0,2,6,1,false
1,1,0.12,8.44,18.88,74.79,0,0,6,8,3,false
1,1,0.19,5.25,13.4,20.51,0,0,1,9,3,false
1,7,0.02,64.54,73.28,16958.56,31,0,34,30,23,false
1,2,0.07,14.3,16.12,183.28,0,0,2,13,7,false
18,27,0.03,39.94,170.88,15141.69,0,4,7,27,85,false
1,1,0.22,4.5,6.67,7.5,0,0,2,6,1,false
1,3,0.12,8.11,45.57,166.89,0,0,14,11,5,false
1,1,0.04,23.63,19.63,608.53,7,2,9,21,9,false
1,2,0.11,9.52,49.53,249.3,2,0,10,13,3,false
6,5,0.02,43.5,7.8,819.94,0,0,2,18,13,false
1,1,0.17,5.79,21.43,39.86,0,0,0,9,1,false
1,2,0.08,12.37,31.09,264.48,3,1,4,15,5,false
1,2,0.16,6.07,30.96,63.41,0,0,8,10,3,false
1,1,0.08,11.77,49.05,377.45,0,2,3,12,1,false
12,7,0.04,27.69,53.96,2298.76,0,0,17,20,25,false
1,1,0.33,3,13.84,6.92,0,0,1,6,1,false
1,1,0.33,3,9.51,4.75,1,0,0,6,1,false
1,2,0.1,10.13,8.41,47.87,0,0,0,9,3,false
1,2,0.16,6.4,10.99,25,0,0,1,8,3,false
1,1,0.17,5.78,23.35,43.3,0,0,0,8,1,false
1,3,0.09,11.67,25.82,195.22,1,0,9,14,5,false
1,1,0.22,4.64,20.85,24.97,6,0,4,5,1,false
1,6,0.09,11.67,49.14,371.56,3,4,60,14,10,false
1,2,0.17,6,16.5,33,2,0,4,7,3,false
1,1,0.67,1.5,5.33,0.67,0,0,0,3,1,false
1,1,0.26,3.86,59.46,49.15,0,0,0,4,1,false
6,4,0.06,16,21.36,303.86,0,1,1,16,11,false
5,1,0.02,52.22,51.11,7742.02,0,1,1,24,84,false
1,1,0.25,4,23.8,21.15,0,0,0,8,1,false
1,1,0.4,2.5,7.86,2.73,0,0,2,5,1,false
1,4,0.03,28.98,30.45,1420.7,12,2,24,23,7,false
1,1,0.08,12,8.79,70.32,0,0,3,10,3,false
1,1,0.67,1.5,7.74,0.97,1,0,0,3,1,false
1,1,0.17,6,8.96,17.92,0,0,0,8,1,false
4,1,0.07,13.5,7.44,75.28,0,0,2,9,7,false
22,16,0.03,34.68,83.45,5574.94,0,0,3,23,51,false
1,3,0.1,10.11,29.67,168.52,2,0,8,14,5,false
1,1,0.11,9,8.22,37,0,0,0,9,1,false
1,2,0.1,9.82,19.81,106.1,0,0,6,12,3,false
7,2,0.02,45,10.04,1129.29,0,0,2,18,15,false
1,2,0.24,4.2,17.3,16.95,0,0,1,6,5,false
19,22,0.02,40.59,129.08,11817.24,1,2,10,25,49,false
8,11,0.04,24.78,87.87,2998.52,0,0,26,16,21,false
1,2,0.11,9.19,27.77,130.24,2,1,3,14,5,false
1,3,0.1,10.11,29.67,168.52,2,0,8,14,5,false
1,1,0.22,4.64,20.85,24.97,7,0,7,5,1,false
1,1,0.22,4.64,20.85,24.97,6,0,4,5,1,false
6,3,0.03,29.66,34.46,1683.55,6,0,11,20,13,false
1,1,0.03,39.33,17.47,1501.93,20,0,5,20,11,false
1,2,0.14,7,6.17,16.79,0,0,0,7,3,false
7,1,0.14,7.11,23.57,66.21,0,0,0,8,13,false
1,2,0.11,9.19,27.77,130.24,2,1,3,14,5,false
1,1,0.33,3,16.73,8.36,0,0,0,6,1,false
1,1,0.05,18.56,13.04,249.7,0,0,0,11,7,false
1,1,0.08,12.1,8.26,67.22,0,0,1,11,3,false
1,1,0.07,13.52,68.21,692.5,7,0,9,10,1,false
1,1,0.05,18.25,46.99,869.46,11,0,8,11,1,false
1,1,0.11,9,8.22,37,0,0,0,9,1,false
1,5,0.04,25.12,69.33,2429.67,10,0,15,16,9,false
1,1,0.33,3,16.73,8.36,0,0,0,6,1,false
1,1,0.17,6,12.37,24.74,0,0,2,9,1,false
5,8,0.02,56.02,45.8,7984.9,7,2,18,30,27,false
1,1,0.05,21.45,37.39,955.79,8,0,8,13,1,false
13,1,0.02,40.21,67.01,6019.15,13,0,23,24,51,false
1,1,0.21,4.76,187.8,236.58,6,0,3,5,1,false
1,1,0.22,4.64,20.85,24.97,7,0,7,5,1,false
1,1,0.09,11.5,17.4,127.88,0,0,4,9,3,false
7,8,0.04,27.36,105.63,4392.57,21,2,15,21,25,false
1,1,0.33,3,16.73,8.36,0,0,0,6,1,false
1,3,0.17,5.73,22.64,41.25,0,1,0,9,5,false
1,1,0.04,27.26,49.57,2046.17,0,0,1,16,3,false
1,1,0.1,10,24.97,138.74,2,0,2,10,1,false
7,2,0.05,19.35,42.2,878.31,0,0,9,20,15,false
1,2,0.07,14.08,32.36,356.61,0,0,3,13,9,false
1,1,0.33,3,16.73,8.36,0,0,0,6,1,false
1,1,0.2,5,18.4,25.56,7,0,2,8,1,false
1,3,0.09,11.5,17.66,129.78,0,0,0,10,5,false
1,1,0,0,0,0,0,0,0,1,1,false
3,1,0.08,13,10.26,96.37,0,0,1,12,5,false
1,1,0.09,11.69,32.95,250.08,3,0,3,11,1,false
1,1,0.15,6.56,44.12,105.55,6,0,6,7,1,false
1,5,0.07,14.3,59.67,678.15,47,0,4,16,9,false
1,1,0.33,3,16.73,8.36,0,0,0,6,1,false
1,3,0.09,11.5,17.66,129.78,0,0,0,10,5,false
1,3,0.1,10.11,15.88,90.18,0,0,0,13,5,false
3,2,0.07,14.86,10.76,131.99,0,0,1,13,5,false
1,1,0.09,11,32.5,218.52,3,0,3,10,1,false
1,1,0.21,4.76,187.8,236.58,6,0,3,5,1,false
1,1,0.33,3,13.84,6.92,0,0,0,6,1,false
1,4,0.01,123.06,46.69,39279.32,0,0,0,16,97,false
1,1,0.03,35.56,11.89,834.75,0,3,0,16,5,false
1,1,0.07,15.25,49.56,640.34,10,3,10,13,7,false
4,7,0.04,24.68,63.17,2137.62,18,2,35,20,15,false
1,1,0.19,5.25,9.23,14.13,0,0,2,7,1,false
3,2,0.15,6.5,19.25,45.17,0,0,0,9,5,false
9,6,0.02,65.77,35.67,8570.73,0,1,1,30,36,false
1,2,0.09,11,13.13,88.26,0,0,4,11,5,false
1,3,0.1,10.4,37.83,227.33,3,0,10,13,7,false
5,1,0.07,13.68,26.32,273.53,9,3,5,15,9,false
1,1,0.5,2,9.83,2.18,0,0,0,4,1,false
6,8,0.04,22.36,63.87,1773.81,0,0,19,16,15,false
1,3,0.06,16.43,39.65,594.54,0,0,6,15,5,false
1,1,0.33,3,19.74,9.87,0,0,0,6,1,false
3,2,0.04,23.33,17.53,530.11,0,0,4,14,11,false
13,1,0.04,28.44,111.77,5023.14,48,1,37,25,48,false
5,6,0.05,20.9,37.88,919.22,0,0,3,19,15,false
1,1,0.33,3,13.84,6.92,0,0,0,6,1,false
1,3,0.09,11.38,24.59,176.75,0,0,0,14,5,false
6,1,0.03,33.5,29.35,1829.83,0,5,1,23,16,false
1,4,0.05,18.65,44.03,850.42,12,5,9,17,11,false
1,1,0.18,5.69,19.23,34.57,0,2,3,7,1,false
1,1,0.08,12.38,50.42,429.36,4,0,6,10,1,false
1,18,0.02,45.39,41.45,4745.34,8,1,32,31,24,false
1,3,0.09,11.7,33.76,256.75,1,1,2,12,5,false
1,1,0.29,3.5,10.87,7.4,0,0,0,7,1,false
3,3,0.18,5.63,35.93,63.16,0,0,1,10,5,false
1,1,0.13,7.5,25.18,78.7,3,0,5,9,1,false
1,1,0.42,2.4,17.17,5.49,2,0,1,4,1,false
1,1,0.5,2,9.83,2.18,0,0,0,4,1,false
3,3,0.05,20.5,21.11,492.75,0,2,10,14,9,false
1,2,0.11,8.89,16.25,71.32,0,0,0,10,3,false
1,1,0.21,4.67,16.65,20.15,0,0,1,7,1,false
1,1,0.05,20.33,39.43,905.75,15,4,18,18,9,false
1,2,0.09,11.7,28.35,215.61,2,0,5,13,3,false
1,4,0.08,12.02,33.56,269.59,0,0,0,13,11,false
1,1,0.25,4,12.55,11.15,0,0,0,8,1,false
1,1,0.08,12.11,40.13,326.71,3,1,4,10,3,false
7,4,0.08,11.78,29.28,225.75,12,0,5,13,13,false
1,1,0.16,6.25,22.02,47.78,0,0,0,10,1,false
3,3,0.03,34.34,43.84,2871.98,10,0,9,21,11,false
1,3,0.08,12.69,23.84,213.38,0,0,2,11,5,false
1,2,0.15,6.75,16.96,42.92,0,0,1,9,3,false
1,1,0.08,12,21.4,171.17,3,1,4,12,5,false
1,2,0.07,14,20.48,223.01,8,0,7,13,5,false
1,1,0.42,2.4,17.17,5.49,2,0,1,4,1,false
4,1,0.1,10.4,17.83,107.16,0,0,5,13,7,false
3,1,0.04,28.29,19.62,872.14,4,1,6,18,9,false
1,1,0.67,1.5,16.84,2.11,0,0,0,3,1,false
1,2,0.08,12.38,14.42,122.66,0,0,1,11,5,false
1,1,0.08,12.6,38.44,339.01,0,0,3,15,3,false
1,1,0.13,8,8.51,30.27,0,0,0,8,1,false
1,1,0.33,3,12.18,6.09,0,0,0,6,1,false
1,1,0.34,2.92,17.79,8.41,0,0,1,5,1,false
4,1,0.05,21,7.24,177.33,0,0,2,12,9,false
1,1,0.5,2,9.83,2.18,0,0,0,4,1,false
7,4,0.08,11.78,29.28,225.75,12,0,5,13,13,false
1,3,0.1,10.11,29.67,168.52,2,0,8,14,5,false
3,2,0.06,15.75,23.58,324.96,1,0,5,18,7,false
1,3,0.05,19.63,18.92,405.08,0,0,1,19,13,false
1,1,0.16,6.43,16.53,37.96,0,0,1,10,1,false
1,9,0.04,23.34,49.99,1512.55,4,9,8,23,14,false
1,2,0.09,10.71,25.84,164.82,0,0,4,15,7,false
1,1,0.06,16.82,19.85,311.9,0,0,1,10,3,false
6,4,0.08,13.18,31.58,304.63,0,1,2,14,11,false
1,1,0.67,1.5,7.74,0.97,0,0,1,3,1,false
1,2,0.07,14,20.48,223.01,8,0,7,13,5,false
1,1,0.16,6.29,28.81,63.24,1,0,7,11,5,false
1,2,0.16,6.19,19.16,40.75,0,0,3,9,3,false
1,2,0.04,23.08,27.97,827.56,0,0,4,12,3,false
1,1,0.11,9.38,18.68,91.22,0,0,1,10,1,false
1,2,0.1,9.84,34.4,185.13,1,0,9,11,5,false
1,1,0.13,8,8.51,30.27,0,0,0,8,1,false
1,2,0.06,16.67,21.63,333.84,0,0,7,16,7,false
1,1,0.14,7.15,21.5,61.07,0,0,1,11,5,false
1,1,0.08,12.5,25.68,222.88,0,0,2,12,3,false
1,1,0.06,16,19.77,281.21,0,2,5,12,5,false
1,1,0.29,3.5,8.15,5.55,0,0,1,7,1,false
1,1,0.1,10.42,29.97,180.65,0,0,1,10,1,false
1,2,0.07,15.11,39.02,494.99,0,1,2,17,5,false
1,1,0.09,10.97,30.56,204.26,3,0,5,13,1,false
4,1,0.1,9.63,14.12,72.69,0,0,1,11,7,false
1,1,0.08,12.86,30.71,282.03,0,0,2,12,3,false
1,1,0.14,7.33,15.91,47.54,2,0,1,11,1,false
3,1,0.06,17.14,16.86,274.99,0,1,0,13,9,false
1,3,0.12,8.33,18.35,70.8,0,0,2,10,5,false
1,1,0.11,9,18.88,84.96,0,0,1,9,5,false
1,3,0.12,8.33,18.35,70.8,0,0,2,10,5,false
3,3,0.08,12.83,18.68,170.91,0,0,1,14,7,false
1,1,0.09,10.56,14.55,90.21,0,1,2,13,3,false
1,1,0.06,16,19.77,281.21,0,2,5,12,5,false
1,2,0.02,55.52,129.4,22158.53,0,0,16,18,115,false
6,1,0.04,25.29,23.89,849.17,0,0,1,20,11,false
1,4,0.09,10.56,27.6,171.04,0,1,2,13,7,false
1,1,0.09,11.67,14.15,106.98,0,1,2,15,3,false
1,1,0.67,1.5,5.33,0.67,1,0,3,3,1,false
1,1,0.67,1.5,7.74,0.97,0,0,0,3,1,false
6,6,0.04,26.92,49.36,1987.9,1,0,3,21,23,false
