@relation 'xalan-2.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-5,7-9,11,14,16,18-20'

@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute bug {1,0}

@data
0,0,2,0,0,1,0,1
29,3140,0.912698,0.75,3,0.092042,12,1
0,24,2,0,0,0.527778,14,1
0,91,2,0,0,0.27381,0,1
0,714,0.629167,0.875,0,0.219262,0,1
0,2562,0.933778,1,9,0.093421,0,1
0,327,0.853968,1,7,0.163306,0,0
0,21,1.166667,0,0,0.642857,0,1
0,49,0.833333,0.833333,3,0.208333,0,0
0,0,0,1,1,0.25974,0,1
4,0,0.2,1,1,0.227273,7,0
0,0,0.535714,1,1,0.193939,0,0
0,3,2,0,0,0.583333,2,0
0,1,0.5,1,0,0.625,3,1
0,0,0.583333,1,1,0.277778,11,1
1,0,0,0,1,0.416667,1,0
0,1,2,0,0,0.666667,1,0
0,1,2,0,0,0.75,6,1
0,0,2,0,0,1,0,0
0,0,0.681818,0.5,2,0.409091,0,0
0,0,0,1,1,0.285714,7,0
0,1,1.428571,0,0,1,0,1
0,0,0.5,0,1,0.458333,0,0
0,0,2,0,0,1,0,0
0,0,2,0,0,1,0,0
0,1,2,0,0,0.75,0,0
0,1,2,0,0,0.75,6,1
2,15,2,0,0,0.361111,0,1
0,21,1,1,1,0.5,0,0
0,2,0.333333,0,1,0.583333,0,1
0,35,0.77381,1,1,0.255556,0,1
0,6,2,0,0,0.5,12,0
0,1,0.333333,1,0,0.371429,8,0
0,0,0,1,0,0.45,0,0
0,1,1.428571,0,0,1,0,1
2,0,0.5,1,0,0.666667,0,1
0,10,2,0,0,0.3,0,1
1,0,0.2,1,0,0.4,10,1
0,28,2,0,0,0.416667,19,1
0,3,2,0,0,1,4,1
0,0,0.333333,1,2,0.583333,0,1
0,0,2,0,0,1,0,1
1,0,2,0,0,1,0,0
0,8,0.5,1,0,0.4,6,1
0,1,1.428571,0,0,1,0,1
0,0,2,0,0,1,0,1
0,6,2,0,0,0.4,0,0
3,34,0.95,0.8,0,0.319444,0,1
0,0,0.65,1,0,0.444444,0,0
0,1,2,0,0,1,0,0
0,28,0.625,1,2,0.325,1,1
0,3,2,0,0,0.444444,13,0
0,1,2,0,0,0.625,4,0
0,3,2,0,0,0.833333,2,0
0,3,2,0,0,0.555556,0,0
0,1,1.428571,0,0,1,0,1
0,28,2,0,0,0.475,8,1
0,1,2,0,0,0.75,6,1
0,0,2,0,0,1,0,0
0,0,2,0,0,0,0,0
0,0,2,0,0,1,0,1
0,4,0.5,1,1,0.333333,6,1
0,6,0.916667,1,0,0.325,2,0
0,0,2,0,0,1,0,0
0,0,0,1,1,0.305556,8,0
0,0,0,0,0,0.833333,0,0
0,1,2,0,0,0.75,0,0
2,2227,0.907106,0.9375,11,0.134247,20,0
0,21,2,0,0,0.47619,0,0
0,9,0.5,1,1,0.314286,5,1
0,19,0.75,1,0,0.424242,0,0
0,78,0.96875,0.2,1,0.219608,0,1
0,46,0,1,1,0.489583,0,1
0,4,1.095238,0.428571,3,0.428571,0,1
1,213,0.804813,1,2,0.20098,33,1
0,0,2,0,0,1,0,0
0,1,0.5,1,0,0.75,7,1
0,0,0.444444,1,0,0.36,2,1
26,3,2,0,0,0.5,2,0
0,0,2,0,0,1,0,0
0,300,0.879252,0.857143,1,0.344828,5,1
0,21,2,0,0,0.2,0,1
0,1,2,0,0,0.75,0,0
0,0,2,0,0,1,0,0
0,0,2,0,0,1,0,0
0,0,0.25,1,1,0.314286,4,0
0,0,0.5,0,2,0.407407,1,0
0,0,0.142857,1,2,0.270833,3,0
4,3,2,0,0,0.5,0,0
0,0,0,1,0,0.583333,0,0
0,3,2,0,0,0.305556,16,1
0,0,2,0,0,1,0,0
0,6,2,0,0,0.4,4,0
0,0,2,0,0,1,0,0
0,2,0.333333,1,1,0.4375,2,1
0,3,2,0,0,0.555556,1,0
0,0,0.5,1,1,0.555556,0,0
0,1,2,0,0,0.75,6,1
0,3,2,0,0,0.444444,0,1
0,0,0.64,1,3,0.204545,7,0
0,0,0.68254,0.333333,2,0.365079,0,1
0,7,0.346154,1,1,0.27381,18,1
0,31,0.927273,0.454545,1,0.3,0,0
0,116,0.857143,1,3,0.237069,0,0
0,0,2,0,0,1,0,0
3,151,0.828571,0.8,2,0.168182,15,1
0,105,2,0,0,0.413333,0,0
0,1,0.5,1,0,1,0,1
0,1,0.5,0,0,1,0,1
0,1,2,0,0,0.75,1,1
0,1,0.5,0,0,1,0,1
0,45,2,0,0,0.5,0,0
0,214,0.891667,1,1,0.185455,0,0
0,0,0.5,1,0,0.555556,0,1
0,0,0.833333,1,0,0.555556,0,1
0,1,2,0,0,0.6,4,0
0,3,1,0,3,0.388889,0,1
0,3,2,0,0,0.555556,1,0
0,93,0.847059,0.8,4,0.232323,4,1
1,30,0.583333,1,2,0.230769,6,1
0,0,0.166667,1,0,0.4,0,0
0,4,0.666667,1,0,0.45,0,0
0,0,2,0,0,1,0,1
0,219,0.972789,0.142857,0,0.227513,0,1
0,0,2,0,0,0,0,0
0,6,2,0,0,0.5,6,1
0,0,0.730769,1,2,0.234694,8,0
1,4,0.875,1,0,0.5,0,1
6,435,0.8,1,1,0.190616,0,1
