@relation 'xalan-2.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9,11,18-20'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute bug {1,0}

@data
2,0,0,0.5,1,1,0.829268,0.25,1,6,1
4,0,1,1.423077,0,0,0.97619,1,0,0,0
1,1,18,0.828571,1,0,0,0.314286,0,0,1
1,0,3,2,0,0,0,0.611111,0,0,0
1,0,0,2,0,1,0,1,0,0,1
3,0,3,2,0,0,0.952381,0.555556,1,1,0
4,0,3,2,0,0,0.979592,0.444444,3,14,0
1,0,1,0.75,0.5,0,0,0.571429,0,0,0
3,0,79,1.030769,0.3,0,0.821918,0.207143,2,6,0
3,0,57,0.961538,1,1,0.933702,0.538462,3,29,1
1,0,9,0.722222,0,0,0,0.333333,0,0,1
3,2,99,0.907407,1,3,0.769231,0.190789,1,5,1
4,0,10,0.566667,1,0,0.829545,0.232143,2,9,1
4,0,0,0.625,1,4,0.926829,0.309524,2,4,0
3,0,1,2,0,0,0.97619,0.75,1,1,0
2,0,3,2,0,0,0.5,0.555556,0,0,0
5,0,1,2,0,0,0.982456,0.75,1,6,1
3,0,323,0.205882,1,0,0.859649,0.234921,0,0,1
3,0,716,0.930233,1,0,0.730263,0.15035,2,13,1
3,0,0,2,0,0,1,1,0,0,1
4,0,1,1.423077,0,0,0.97619,1,0,0,0
1,0,0,1.269231,0,1,0,0.833333,0,0,0
3,10,8,1.247951,0,0,0.926829,0.333333,0,0,1
5,2,21,2,0,0,0.976563,0.371429,2,4,0
2,0,5,0.583333,1,2,0.9,0.238095,1,5,1
1,0,6,2,0,0,0,0.625,0,0,0
3,0,9,0.6,1,0,0.975124,0.444444,2,6,1
4,0,0,0,1,1,0.979592,0.444444,3,13,0
5,0,1,2,0,0,1,0.833333,0,0,1
1,0,0,2,0,0,0,1,0,0,0
3,0,3,2,0,0,0.953488,0.555556,1,1,0
5,0,27,0.844444,1,0,0.945205,0.263889,2,5,0
1,1,67,0.873016,0.166667,2,0,0.327273,0,0,0
2,0,10,2,0,0,0.692308,0.45,0,0,0
6,0,2365,0.958128,1,5,0.748148,0.151429,3,8,1
4,0,1,0.5,0,0,0.97619,1,0,0,1
4,0,1,1.423077,0,0,0.97619,1,0,0,0
4,0,1,0.5,0,0,0.97619,1,0,0,1
1,0,17,0.777778,1,0,0,0.4,1,1,0
3,0,6,0.375,0,1,0.960784,0.238095,2,6,1
3,0,0,0.833333,1,0,0.949153,0.416667,1,4,1
4,7,6,0.375,0,1,0.857143,0.355556,3,9,1
3,1,3,0.777778,0,2,0.910256,0.333333,2,22,1
5,0,46,0.6,1,2,0.899281,0.2,2,13,1
1,0,0,0.633333,1,2,0,0.222222,0,0,0
1,0,2,0.949275,0.391304,4,0,0.555556,0,0,1
2,0,0,0.583333,1,0,0.684211,0.342857,1,2,0
3,0,1,2,0,0,0.97619,0.75,1,1,0
4,0,0,2,0,0,1,1,0,0,1
5,0,13,0.735294,1,2,0.858333,0.185185,4,14,0
3,0,4,0.5,1,1,0.9375,0.36,2,5,1
2,0,2107,0.938127,0.730769,5,0.2,0.108696,1,1,1
1,0,17,0.654321,1,1,0,0.2875,0,0,1
1,0,66,1.090909,0,0,0,0.416667,0,0,0
1,0,0,0.5,1,0,0,0.8,0,0,1
3,0,0,0.25,1,1,0.933333,0.333333,1,5,0
5,0,0,0.333333,1,0,0.986486,0.5,0,0,0
3,0,374,1,0,0,0.564516,0.181548,1,3,0
2,0,190,2,0,0,0.622642,0.238095,2,4,0
2,0,1,1,1,0,0.966667,0.75,0,0,0
4,0,1,0.5,0,0,0.97619,1,0,0,1
4,0,1,0.5,0,0,0.97619,1,0,0,1
3,0,15,0.7,1,1,0.951456,0.233766,2,6,1
1,0,0,0,0,0,0,0.875,0,0,0
1,0,0,0,1,0,0,0.464286,0,0,0
4,0,1,1.423077,0,0,0.97619,1,0,0,0
7,0,0,0,1,0,0.985185,0.555556,3,3,1
1,0,1,2,0,0,0,0.666667,0,0,0
3,0,16,0.791667,0,0,0.76,0.205128,2,9,1
1,0,0,0.4,1,4,0,0.625,0,0,0
5,0,3,2,0,0,0.964912,0.666667,2,7,1
4,0,1,2,0,0,0.989691,0.6,2,4,0
3,0,16,0.75,1,3,0.960784,0.296296,1,2,1
4,0,1,0.5,0,0,0.97619,1,0,0,1
1,0,2147,0.882716,0.625,4,0,0.086934,0,0,0
3,0,1,2,0,0,0.953488,0.833333,1,6,0
3,0,10,2,0,0,0.98,0.466667,2,6,1
2,1,2203,0.934524,0.791667,13,0.2,0.06993,0,0,1
1,0,0,0.3,0,0,0,0.6,0,0,1
1,0,0,2,0,0,0,0,0,0,0
2,0,3,0.7875,0.03125,0,0.848485,0.444444,1,1,1
4,0,1,0.5,1,0,0.975,1,0,0,0
6,0,1,0.518519,1,2,0.925234,0.242857,4,5,0
4,0,3,2,0,0,0.975904,0.583333,2,12,0
3,0,0,0.083333,0,2,0.85,0.371429,1,2,0
5,0,3,2,0,0,0.99,0.533333,3,5,0
1,0,4,0.75,1,2,0,0.416667,0,0,1
3,1,83,0.6,0.2,3,0.816092,0.184211,2,24,1
2,0,14,0.583333,1,4,0.541667,0.307692,1,8,0
4,0,1,2,0,0,0.979592,0.75,1,6,1
4,0,1,2,0,0,0.979592,0.75,1,6,1
5,0,20,0.6875,1,1,0.965812,0.311111,5,10,1
2,0,0,0.517857,1,2,0.619048,0.361111,1,6,1
4,0,617,0.870813,0.545455,1,0.712121,0.142857,2,17,0
1,0,5191,0.943807,0.666667,8,0,0.119839,0,0,1
3,0,0,0.333333,1,2,0.865854,0.238095,2,8,0
1,0,0,2,0,0,0,0,0,0,0
6,0,0,0.285714,1,2,0.933962,0.25,4,5,0
2,0,151,1,0,0,0.647059,0.247368,2,4,0
1,0,6,2,0,0,0,0.5,0,0,1
1,1,1,2,0,0,0,0.75,0,0,0
1,0,0,0.5,1,0,0,0.466667,0,0,1
2,0,0,2,0,0,0,1,0,0,1
2,0,184,2,0,0,0.634615,0.230769,2,4,0
1,0,17,0.788889,1,1,0,0.277778,0,0,0
2,0,0,0,0,0,0.75,0.4,0,0,0
2,0,10,2,0,0,0.888889,0.6,1,2,1
4,0,0,0,1,2,0.979592,0.444444,3,13,0
3,0,6,0.809524,1,3,0.895522,0.3,2,5,1
2,0,0,0,1,1,0.923077,0.625,0,0,1
3,0,0,0.333333,1,0,0.944444,0.5,1,1,0
3,0,3,2,0,0,0.965517,0.5,2,4,0
1,0,21,2,0,0,0,1,0,0,0
7,0,1,0.583333,1,0,0.951613,0.314286,5,11,0
1,2,71,0.706349,0.833333,4,0,0.272727,1,1,1
3,0,1,2,0,0,0.97619,0.75,1,1,0
1,1,5,0.733333,1,4,0,0.392857,0,0,1
1,5,78,2,0,0,0,0.203297,0,0,0
5,0,3,2,0,0,0.99,0.533333,3,5,0
3,2,0,2,0,0,1,1,0,0,0
1,3,91,0.811688,0.818182,3,0,0.267857,0,0,0
4,0,1,2,0,0,0.979592,0.75,2,7,1
1,0,11,0.611111,0.666667,0,0,0.333333,0,0,0
1,12,10,2,0,0,0,0.9,0,0,0
7,0,3,2,0,0,0.985185,0.555556,3,5,1
3,0,0,0.25,1,1,0.933333,0.333333,1,4,0
3,0,0,0.847619,1,0,0.895522,0.270833,3,7,1
1,0,0,2,0,0,0,1,0,0,1
5,0,37,0.916667,1,0,0.938776,0.225,2,5,0
5,0,6,2,0,0,0.976563,0.4375,1,6,1
1,0,0,0.75,0,1,0,0.666667,0,0,1
3,0,0,2,0,0,1,1,0,0,0
1,0,0,0.628571,1,2,0,0.311111,0,0,1
3,0,0,0.333333,1,0,0.959459,0.4,2,7,0
1,0,0,0.6875,0,1,0,0.666667,0,0,1
1,0,24,0.708333,0,1,0,0.4,0,0,1
1,3,1852,0.965104,0.933333,4,0,0.139744,0,0,1
4,0,0,2,0,0,1,1,0,0,0
1,0,14,0.983516,0.615385,0,0,0.25,0,0,0
2,0,0,0.111111,0,1,0.689655,0.28,1,1,0
5,0,10,2,0,0,0.976563,0.45,1,4,1
3,0,15,1.133333,1,0,0.897436,0.56,1,4,0
1,0,126,0.7625,1,0,0,0.265306,0,0,0
4,6,311,0.978632,1,1,0.788618,0.159259,1,2,1
1,0,36,2,0,0,0,0.238095,0,0,0
4,0,1,2,0,0,0.979592,0.75,1,6,1
1,0,0,2,0,0,0,1,0,0,0
4,0,0,0.666667,1,2,0.969697,0.375,3,8,0
2,0,0,0.625,1,2,0.619048,0.288889,1,6,0
5,3,0,2,0,0,1,1,0,0,0
4,2,257,0.802885,0.625,4,0.747573,0.138889,1,4,0
2,0,3,2,0,0,0.5,0.555556,0,0,0
4,0,4,0.5,1,0,0.947368,0.36,2,8,0
4,0,1,2,0,0,0.987013,0.625,2,3,1
3,0,0,0.333333,1,0,0.949153,0.4,2,6,0
5,0,91,0.857143,1,0,0.729167,0.16,1,5,0
1,0,0,2,0,0,0,1,0,0,0
1,0,0,0.817582,0.923077,2,0,0.176623,0,0,0
1,0,29,0.769231,1,0,0,0.206349,0,0,1
3,0,3,2,0,0,0.95,0.5,1,6,1
3,0,40,0.783333,1,1,0.823529,0.207692,2,10,1
2,2,714,0.739394,0.833333,1,0.363636,0.160714,1,4,1
1,0,3,0.611111,0.5,3,0,0.3125,0,0,0
4,0,15,0.666667,1,1,0.960177,0.25,4,7,1
2,0,13,0.8,1,1,0.5,0.4,0,0,0
1,0,28,2,0,0,0,0.28125,0,0,0
2,1,50,0.746667,0.8,1,0.666667,0.1875,2,10,1
1,0,0,2,0,0,0,1,0,0,0
2,1,76,0.8,0.8,2,0.558824,0.215909,1,1,0
5,0,3,2,0,0,0.990698,0.666667,1,2,1
1,0,0,0.892857,0,1,0,0.62963,0,0,0
1,0,0,1.266667,0,0,0,0.833333,0,0,1
1,6,0,0.238095,0,1,0,0.265152,0,0,0
1,0,36,2,0,0,0,0.296296,0,0,0
2,0,91,0.686275,0.666667,0,0.6875,0.222222,2,3,0
3,0,0,0.814815,0.444444,2,0.934211,0.285714,2,8,0
2,7,36,2,0,0,0.789474,0.285714,1,7,1
3,0,9,1,0,0,0.571429,0.349206,2,5,1
1,2,10,2,0,0,0,0.4,0,0,0
3,0,10,2,0,0,0.98,0.466667,2,6,1
3,10,8,1.246296,0,0,0.926829,0.333333,0,0,1
5,0,3,0.75,1,2,0.961538,0.4,1,6,0
4,0,1,1.428571,0,0,0.97619,1,0,0,1
2,0,13,2,0,0,0.863636,0.388889,2,3,1
3,0,607,0.9,0,2,0.357143,0.194595,0,0,0
1,0,0,0.305556,0.75,1,0,0.44,0,0,1
5,0,0,0.636364,1,0,0.989529,0.55,1,1,0
4,0,1,1.3,0,0,0.97619,1,0,0,0
4,0,0,2,0,0,1,1,0,0,1
2,29,3140,0.912698,0.75,3,0.564767,0.092042,1,12,1
2,0,24,2,0,0,0.64,0.527778,1,14,1
1,0,91,2,0,0,0,0.27381,0,0,1
1,0,714,0.629167,0.875,0,0,0.219262,0,0,1
1,0,2562,0.933778,1,9,0,0.093421,0,0,1
1,0,327,0.853968,1,7,0,0.163306,0,0,0
2,0,21,1.166667,0,0,0.25,0.642857,0,0,1
1,0,49,0.833333,0.833333,3,0,0.208333,0,0,0
2,0,0,0,1,1,0.5,0.25974,0,0,1
2,4,0,0.2,1,1,0.75,0.227273,1,7,0
5,0,0,0.535714,1,1,0.954064,0.193939,0,0,0
5,0,3,2,0,0,0.990698,0.583333,1,2,0
5,0,1,0.5,1,0,0.992806,0.625,2,3,1
5,0,0,0.583333,1,1,0.94697,0.277778,3,11,1
2,1,0,0,0,1,0.740741,0.416667,1,1,0
5,0,1,2,0,0,0.995327,0.666667,1,1,0
5,0,1,2,0,0,0.982456,0.75,1,6,1
6,0,0,2,0,0,1,1,0,0,0
1,0,0,0.681818,0.5,2,0,0.409091,0,0,0
3,0,0,0,1,1,0.934211,0.285714,2,7,0
4,0,1,1.428571,0,0,0.97619,1,0,0,1
1,0,0,0.5,0,1,0,0.458333,0,0,0
1,0,0,2,0,0,0,1,0,0,0
1,0,0,2,0,0,0,1,0,0,0
1,0,1,2,0,0,0,0.75,0,0,0
4,0,1,2,0,0,0.979592,0.75,1,6,1
1,2,15,2,0,0,0,0.361111,0,0,1
1,0,21,1,1,1,0,0.5,0,0,0
1,0,2,0.333333,0,1,0,0.583333,0,0,1
1,0,35,0.77381,1,1,0,0.255556,0,0,1
3,0,6,2,0,0,0.959459,0.5,2,12,0
3,0,1,0.333333,1,0,0.922078,0.371429,2,8,0
2,0,0,0,1,0,0.8,0.45,0,0,0
4,0,1,1.428571,0,0,0.97619,1,0,0,1
2,2,0,0.5,1,0,0.75,0.666667,0,0,1
1,0,10,2,0,0,0,0.3,0,0,1
7,1,0,0.2,1,0,0.970803,0.4,4,10,1
5,0,28,2,0,0,0.951049,0.416667,3,19,1
3,0,3,2,0,0,0.989899,1,2,4,1
1,0,0,0.333333,1,2,0,0.583333,0,0,1
1,0,0,2,0,0,0,1,0,0,1
4,1,0,2,0,0,1,1,0,0,0
3,0,8,0.5,1,0,0.904762,0.4,1,6,1
4,0,1,1.428571,0,0,0.97619,1,0,0,1
4,0,0,2,0,0,1,1,0,0,1
1,0,6,2,0,0,0,0.4,0,0,0
1,3,34,0.95,0.8,0,0,0.319444,0,0,1
1,0,0,0.65,1,0,0,0.444444,0,0,0
1,0,1,2,0,0,0,1,0,0,0
2,0,28,0.625,1,2,0.461538,0.325,1,1,1
4,0,3,2,0,0,0.979592,0.444444,3,13,0
4,0,1,2,0,0,0.995261,0.625,3,4,0
3,0,3,2,0,0,0.95,0.833333,1,2,0
2,0,3,2,0,0,0.5,0.555556,0,0,0
4,0,1,1.428571,0,0,0.97619,1,0,0,1
5,0,28,2,0,0,0.888889,0.475,3,8,1
4,0,1,2,0,0,0.979592,0.75,1,6,1
1,0,0,2,0,0,0,1,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,1,0,0,1
3,0,4,0.5,1,1,0.933333,0.333333,1,6,1
5,0,6,0.916667,1,0,0.971831,0.325,1,2,0
1,0,0,2,0,0,0,1,0,0,0
3,0,0,0,1,1,0.934211,0.305556,2,8,0
1,0,0,0,0,0,0,0.833333,0,0,0
1,0,1,2,0,0,0,0.75,0,0,0
4,2,2227,0.907106,0.9375,11,0.569697,0.134247,2,20,0
1,0,21,2,0,0,0,0.47619,0,0,0
3,0,9,0.5,1,1,0.970297,0.314286,2,5,1
1,0,19,0.75,1,0,0,0.424242,0,0,0
1,0,78,0.96875,0.2,1,0,0.219608,0,0,1
1,0,46,0,1,1,0,0.489583,0,0,1
1,0,4,1.095238,0.428571,3,0,0.428571,0,0,1
5,1,213,0.804813,1,2,0.839196,0.20098,2,33,1
2,0,0,2,0,0,1,1,0,0,0
5,0,1,0.5,1,0,0.982456,0.75,1,7,1
2,0,0,0.444444,1,0,0.590909,0.36,1,2,1
2,26,3,2,0,0,0.964286,0.5,1,2,0
1,0,0,2,0,0,0,1,0,0,0
5,0,300,0.879252,0.857143,1,0.942149,0.344828,3,5,1
1,0,21,2,0,0,0,0.2,0,0,1
2,0,1,2,0,0,1,0.75,0,0,0
1,0,0,2,0,0,0,1,0,0,0
1,0,0,2,0,0,0,1,0,0,0
3,0,0,0.25,1,1,0.933333,0.314286,1,4,0
2,0,0,0.5,0,2,0.714286,0.407407,1,1,0
4,0,0,0.142857,1,2,0.925532,0.270833,2,3,0
1,4,3,2,0,0,0,0.5,0,0,0
1,0,0,0,1,0,0,0.583333,0,0,0
4,0,3,2,0,0,0.938272,0.305556,3,16,1
1,0,0,2,0,0,0,1,0,0,0
3,0,6,2,0,0,0.949153,0.4,1,4,0
1,0,0,2,0,0,0,1,0,0,0
8,0,2,0.333333,1,1,0.978571,0.4375,2,2,1
3,0,3,2,0,0,0.952381,0.555556,1,1,0
1,0,0,0.5,1,1,0,0.555556,0,0,0
4,0,1,2,0,0,0.979592,0.75,1,6,1
1,0,3,2,0,0,0,0.444444,0,0,1
4,0,0,0.64,1,3,0.879518,0.204545,2,7,0
1,0,0,0.68254,0.333333,2,0,0.365079,0,0,1
7,0,7,0.346154,1,1,0.917241,0.27381,4,18,1
1,0,31,0.927273,0.454545,1,0,0.3,0,0,0
1,0,116,0.857143,1,3,0,0.237069,0,0,0
1,0,0,2,0,0,0,1,0,0,0
3,3,151,0.828571,0.8,2,0.907407,0.168182,2,15,1
1,0,105,2,0,0,0,0.413333,0,0,0
3,0,1,0.5,1,0,0.974359,1,0,0,1
4,0,1,0.5,0,0,0.97619,1,0,0,1
5,0,1,2,0,0,0.995833,0.75,1,1,1
4,0,1,0.5,0,0,0.97619,1,0,0,1
1,0,45,2,0,0,0,0.5,0,0,0
1,0,214,0.891667,1,1,0,0.185455,0,0,0
1,0,0,0.5,1,0,0,0.555556,0,0,1
3,0,0,0.833333,1,0,0.818182,0.555556,0,0,1
4,0,1,2,0,0,0.989691,0.6,2,4,0
1,0,3,1,0,3,0,0.388889,0,0,1
3,0,3,2,0,0,0.953488,0.555556,1,1,0
3,0,93,0.847059,0.8,4,0.767123,0.232323,1,4,1
4,1,30,0.583333,1,2,0.943925,0.230769,2,6,1
2,0,0,0.166667,1,0,0.8,0.4,0,0,0
4,0,4,0.666667,1,0,0.964286,0.45,0,0,0
3,0,0,2,0,0,1,1,0,0,1
1,0,219,0.972789,0.142857,0,0,0.227513,0,0,1
1,0,0,2,0,0,0,0,0,0,0
5,0,6,2,0,0,0.986111,0.5,4,6,1
6,0,0,0.730769,1,2,0.914286,0.234694,4,8,0
2,1,4,0.875,1,0,0.666667,0.5,0,0,1
1,6,435,0.8,1,1,0,0.190616,0,0,1
