@relation 'postgres-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R11'

@attribute ns numeric
@attribute nm numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute pd numeric
@attribute npt numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute bug {1,0}

@data
1,1,0,0.025641,0.025641,351,0,5,33,1,4367.183333,297,0
2,2,0.658191,0.033623,0.017354,461,0,7,241,1,4718.26001,24604,0
2,3,0.768603,0.051307,0.030978,344.333333,0,18,12,1,5240.594455,20959,1
2,3,0.755687,0.011923,0.007452,1118.333333,0,10,150,1,305.383923,1605,0
1,1,0.998636,0.22449,0.244898,24.5,0,6,1032,1,393.2613,386,0
2,2,0.74605,0.043579,0.011127,719,0,10,172,1,4892.362188,17554,1
2,3,1,0.004996,0.004996,400.333333,0,10,113,1,5078.576443,6348,0
2,8,0.857141,0.044947,0.008387,818.733333,1,12,385,0.666667,2591.333333,4699,1
2,2,0.438504,0.040333,0.021043,760.333333,1,13,600,1,4720.738926,24836,0
1,1,0,0.029825,0.014035,570,0,2,55,1,5234.601694,15689,0
1,1,0,0.062925,0.061224,588,1,3,2,1,3860.775303,17081,0
1,1,0,0.019751,0.019751,1367,0,2,4,1,5192.431343,15625,1
3,10,0.458441,0.010011,0.007868,1933.571429,1,23,137,0.571429,5143.995622,27421,0
3,11,0.547869,0.012499,0.002258,1816.15,0,20,563,0.5,4944.502826,26960,1
2,2,0.898059,0.003479,0.003684,2443,1,16,6,1,5106.354539,23702,0
2,3,0.71979,0.007138,0.00335,1716.25,1,9,82,1,4450.064663,13271,1
2,4,0.242616,0.084949,0.058403,866.4,1,9,7,0.8,2753.714286,6236,0
3,4,0.826258,0.002712,0.012397,774.4,0,18,706,0.7,198.666667,299,0
2,5,0.754195,0.058572,0.015253,234.142857,1,11,202,1,602.583333,700,1
2,2,0.918296,0.00182,0.000364,1373.5,0,9,11,1,189.04044,560,0
2,13,0.77752,0.0843,0.11472,290.925,0,10,1917,0.525,2671.485714,5287,1
1,2,0.619382,0.014965,0.007923,568,0,9,34,1,2715.566667,3114,0
1,2,0.922907,0.005712,0.00238,1400.666667,1,10,27,0.333333,4821.066864,18213,0
3,13,0.772619,0.01562,0.011435,1260.045455,1,18,388,0.454545,4924.120013,18793,1
2,3,0.822413,0.079567,0.035646,523.666667,1,11,158,1,3886.585531,10677,1
3,17,0.704079,0.065342,0.051746,650.615385,0,12,525,0.538462,2002.5,2661,1
3,9,0.873381,0.011855,0.023216,809.8,1,15,648,0.8,4966.37906,18368,1
3,3,0.686246,0.053642,0.022678,458.6,1,10,112,0.6,4891.394203,17446,0
2,11,0.737764,0.078196,0.041293,524.325581,1,13,1976,0.325581,3900.610811,13718,1
2,3,0.255438,0.021777,0.001887,1377.6,0,13,28,1,207,164,1
2,11,0.808148,0.04899,0.034698,582.16,0,11,2548,0.92,4482.082143,10488,1
2,13,0.770829,0.056471,0.041717,634.681818,1,12,1566,0.340909,2580.770238,5988,1
2,10,0.608295,0.086342,0.014717,509.6,1,11,547,0.7,5247.06075,15630,1
3,4,0.920536,0.053435,0.013185,360.25,1,8,89,1,5271.895238,11003,1
2,14,0.711156,0.045866,0.099537,399.153846,0,11,687,0.5,1193.333333,1409,1
3,26,0.608172,0.12622,0.064469,526.470588,0,13,2302,0.27451,2650.083333,4568,1
2,5,0.744235,0.017324,0.008513,956.571429,1,16,615,0.571429,4797.344943,16741,1
2,3,0.994737,0.005761,0.004938,405,0,12,356,1,4820.040486,21504,0
2,7,0.813065,0.005475,0.004429,1552.375,1,17,127,0.625,367.630952,777,1
1,3,0.401292,0.152937,0.017152,1282.666667,0,14,76,0.5,4772.47267,14007,0
3,9,0.702431,0.064951,0.034269,577.357143,0,13,275,0.857143,4266.213312,13061,1
2,13,0.711233,0.018842,0.083804,508.625,1,12,24,0.083333,5422.218146,15766,0
1,1,0,0.023392,0.020468,342,1,9,56,1,496.057033,718,0
3,13,0.653631,0.053731,0.011526,576.95,1,15,372,0.65,5050.666564,16195,1
3,6,0.80918,0.013895,0.001226,917.625,1,13,214,0.5,4466.591647,21160,0
1,1,0,0.033486,0.021854,2837,0,11,0,1,5053.767435,19519,0
1,1,0.950956,0.001843,0.001267,4341,1,15,8,1,4855.502837,1442,0
2,2,0.810452,0.013201,0.004209,1742.333333,1,8,126,0.666667,5165.807751,19821,0
2,4,0.666139,0.034824,0.003869,581.5,0,10,40,1,3823.861905,8595,1
2,6,0.804809,0.01375,0.01362,1401.636364,0,18,427,0.727273,5173.202736,20693,0
2,5,0.483623,0.028449,0.006816,964.142857,0,12,199,0.571429,365.333333,496,1
3,23,0.799244,0.027361,0.005701,828.637931,0,17,2772,0.568966,5178.005662,25553,1
2,4,0.682559,0.003749,0.179475,355.666667,1,14,6,0.166667,4927.596596,22578,0
2,2,0.928362,0.004517,0.001767,2546,1,8,11,1,5215.367632,12395,0
1,1,0,0.02639,0.008461,4964,1,18,1,1,4967.904545,19540,0
2,3,0.672499,0.015852,0.002942,1529.75,1,14,87,0.5,5002.378427,22299,0
1,1,0,0.043114,0.052695,835,1,9,0,1,5058.421803,16447,0
1,4,0.437245,0.032327,0.00746,1126,0,11,42,0.6,4550.386158,12066,1
2,3,0.327595,0.005741,0.00253,2569.25,0,15,12,0.25,113.041667,169,0
2,2,0.155563,0.018833,0.005485,2734.5,1,15,18,0.5,5147.615473,23987,1
3,7,0.507196,0.051187,0.027039,1232,0,18,857,0.5625,5061.779625,23392,1
2,2,0.696031,0.018864,0.005804,1608,1,5,6,0.333333,5102.473871,15433,1
2,3,0.699111,0.009357,0.00078,1710,1,8,70,1,4445.71062,13248,0
2,3,0.410051,0.070822,0.006256,1119,0,11,115,1,4332.607107,12607,1
2,2,0.529361,0.005782,0.000788,1902.5,0,11,14,1,4491.064621,19881,0
2,11,0.438275,0.16108,0.09755,855.238095,1,13,1535,0.571429,3977.017605,11930,1
2,6,0.503283,0.022579,0.026259,854.142857,1,12,378,0.857143,4028.076335,11794,1
2,4,0.378862,0.034769,0.001872,934.75,0,10,106,0.75,4875.060678,17709,1
3,8,0.667576,0.035102,0.025664,1104.928571,0,17,13,0.571429,5160.939378,21742,1
2,5,0.699766,0.018401,0.004996,1025.75,0,15,448,0.625,4763.423899,21653,0
2,3,0.204304,0.083815,0.037572,346,1,6,86,1,5280.67381,10935,1
1,1,0,0.011905,0.013736,1092,0,12,0,1,4305.111436,9546,1
1,1,0,0.017352,0.00274,1095,0,4,39,1,5165.704085,1238,0
2,10,0.861107,0.016617,0.002415,690.066667,1,17,511,0.6,358.678571,833,1
1,2,0.735509,0.030691,0.043478,195.5,0,5,37,1,480.980952,694,0
1,1,0,0.007524,0.008208,1462,0,6,12,1,5159.870121,2163,0
2,3,0.273515,0.084835,0.086078,804.5,1,10,76,1,3807.488492,8569,1
1,1,0,0.004684,0.004684,427,0,5,4,1,5449.779779,11891,0
1,1,0,1.105023,0.292237,219,1,5,29,1,5088.52518,11299,1
2,3,0.965634,0.002646,0.002646,1133.666667,0,11,9,0.666667,5237.419517,11818,0
1,1,0,0.001393,0.004178,718,1,8,9,1,4632.634646,3796,0
3,8,0.562802,0.068846,0.00433,839.818182,0,12,487,0.727273,4371.070635,11692,1
1,1,0,0.008643,0.001525,1967,0,14,43,1,113.025,123,0
1,4,0.121776,0.068339,0.036865,1595,0,15,81,0.6,5013.611944,13437,1
1,1,0,0.022552,0.000593,1685,0,11,26,1,4168.995828,14294,0
2,3,0.480512,0.017585,0.003675,952.5,0,12,202,1,4128.345269,15894,0
1,1,0,0.034117,0.018196,1319,1,10,6,1,4570.851912,8201,0
2,6,0.64329,0.050282,0.024525,885.909091,0,12,394,0.545455,4222.873016,9795,1
1,1,0,0.003636,0.003636,1100,0,10,1,1,4517.660112,12116,0
1,1,0,0.002421,0.03632,413,0,6,1,1,5184.257026,11376,0
1,1,0,0.001488,0.002232,1344,1,4,15,1,5077.966631,11273,0
1,1,0,0.214508,0.198964,965,1,10,10,1,5072.273485,11260,1
3,5,0.433612,0.036834,0.008847,1243.4,1,12,90,0.6,4973.770455,17488,1
1,1,0,0.083436,0.039264,815,0,10,70,1,2428.95,4201,0
1,4,0.889099,0.00662,0.006297,774.125,0,12,323,0.75,465.5,417,1
1,1,0,0.319121,0.228682,774,0,9,7,1,2569.35,2848,0
2,4,0.535407,0.015145,0.0098,449,0,8,47,1,5290.764286,10988,0
1,1,0,0.005376,0.005376,372,0,6,2,1,5313.514286,357,0
4,20,0.148468,0.198072,0.196789,819.179487,0,8,1446,0.538462,4076.716667,7458,1
1,1,0,0.013577,0.007311,1915,1,12,75,1,4999.503035,15198,0
2,7,0.788683,0.029453,0.031719,713,1,14,427,0.307692,4774.245382,17022,1
1,1,0,0.014493,0.001812,552,0,3,92,1,3977.605556,6595,0
1,1,0,0.019608,0.019608,102,0,5,639,1,4434.030051,10737,0
3,4,0.946416,0.00183,0.001734,2076.2,0,16,138,0.8,319.5,386,0
2,5,0.755297,0.008569,0.002989,836.333333,0,11,148,0.666667,2418.15,5746,0
3,13,0.494844,0.029059,0.02014,579.277778,0,11,467,0.777778,2412.916667,3483,1
2,9,0.780263,0.010849,0.015522,748.916667,1,11,182,0.208333,3661.796825,8398,1
2,12,0.707902,0.039566,0.008422,1163.64,0,19,1993,0.52,4803.211206,25179,1
1,1,0.136059,0.06779,0.010861,1335,0,10,31,1,5107.130634,14590,0
2,12,0.724343,0.08932,0.040925,740.235294,0,13,434,0.529412,4104.73643,13974,1
1,1,0,0.148454,0.018557,970,0,6,1630,1,5115.130634,14598,0
1,1,0,0.142029,0.017391,1035,0,6,1355,1,5114.130634,14597,0
1,1,0.163861,0.063802,0.008247,1152,0,10,1858,1,5113.130634,14596,0
1,1,0,0.025586,0.017058,469,1,8,1449,1,4737.423409,18637,0
1,1,0.153742,0.067336,0.007946,1195.5,0,10,1116,1,5111.130634,14594,0
2,3,0.56513,0.011589,0.006623,1208,0,9,8,0.25,2570.583333,4816,0
2,3,0.729847,0.023596,0.017087,409.666667,1,10,3,0.666667,5201.686625,20737,1
6,18,0.65665,0.04827,0.024778,316.888889,0,12,2106,0.481481,2530.933333,3646,1
1,1,0,0.027473,0.020147,546,0,5,142,1,2645.983333,3806,0
1,1,0,0.075055,0.039735,453,1,8,3,1,2564.7,3550,0
1,1,0,0.030223,0.011665,1886,0,11,0,1,110,88,0
3,5,0.927442,0.000639,0.001916,1789.428571,1,13,124,0.571429,4327.732612,13241,0
1,1,0,0.003361,0.010084,595,0,6,48,1,5273.442519,11745,0
2,3,0.971307,0.002197,0.001255,1062,0,11,30,1,4828.424206,13965,1
1,1,0,0.011299,0.026365,531,0,6,5,1,2597.35,2733,0
2,8,0.223607,0.028155,0.010032,1685.454545,1,15,352,0.636364,377.078571,885,1
2,5,0.692747,0.012538,0.00198,1515.428571,0,14,261,0.571429,5119.240605,23482,0
1,1,0.936667,0.005236,0.001611,2483,0,9,46,1,4443.350375,9838,0
3,5,0.622386,0.009669,0.001248,2003.75,0,13,200,0.625,4294.902525,13416,0
1,1,0,0.008969,0.001495,669,0,6,84,1,4395.37972,12248,0
2,9,0.468655,0.015909,0.019648,852.5,1,11,138,0.4375,3468.700397,8042,1
2,2,1,0.054422,0.231293,73.5,0,6,361,1,303.513358,1433,0
1,1,0,0.101778,0.052115,1631,1,7,29,1,5055.923223,17384,0
3,4,0.45264,0.010552,0.010552,2047,0,20,0,0.2,4980.666026,23807,1
2,5,0.80621,0.006892,0.003512,1257.5,0,19,542,0.75,5272.157826,20140,1
3,7,0.749227,0.03656,0.022601,1182,0,19,653,0.785714,5162.807751,20916,1
3,15,0.856367,0.022461,0.015051,1183.863636,0,15,569,0.318182,4812.465131,17405,1
1,1,0,0.006195,0.00531,1130,0,6,45,1,5147.924914,11495,1
2,5,0.783164,0.014376,0.005894,1391.2,1,15,658,0.733333,4993.348385,15242,1
2,3,0.28003,0.05438,0.004745,1370,1,11,2,0.5,4226.873016,9799,1
4,20,0.787278,0.017084,0.019166,713.060606,0,12,389,0.666667,3503.007143,7975,1
2,2,0.979869,0.006403,0.003202,1874,0,9,43,1,2556.1,3794,0
3,8,0.697344,0.036183,0.018533,466.588235,0,12,1037,0.882353,4219.588492,15293,1
2,3,0.546633,0.039444,0.020137,1204.25,1,9,87,0.75,2569.883333,4796,1
1,1,0,0.020654,0.013769,581,1,8,10,1,4733.423409,18633,0
1,1,0.97568,0.009025,0.006995,2216,1,12,11,1,5054.414395,17443,1
2,2,0.291818,0.342723,0.023474,106.5,1,9,66,0.5,321.166667,460,1
1,1,0,0.024896,0.016598,482,1,8,687,1,4735.423409,18635,0
1,1,0,0.020654,0.013769,581,1,8,120,1,4734.423409,18634,0
1,1,0,0.126214,0.009709,206,0,6,48,1,494.157143,31,0
1,1,0,0.1,0.116667,180,0,4,16,1,4328.557973,621,0
2,3,1,0.009653,0.009653,207.181818,0,9,1474,0.454545,5143.669661,2276,0
1,3,0.911954,0.004586,0.002293,697.8,1,8,189,0.6,155,71,0
1,1,0,0.011194,0.011194,268,0,4,47,1,295.333658,501,0
1,1,0,0.44403,0.179104,268,0,4,54,1,5150.520174,828,0
1,1,0.731022,0.09238,0.07456,348.714286,1,3,529,0.428571,14,14,1
1,1,0,0.003482,0.00058,1723,0,14,24,1,5059.302336,17279,0
2,4,0.88828,0.011545,0.002072,844.5,0,15,388,1,5194.694813,21073,0
1,3,0.966151,0.014863,0.001125,1244.7,1,15,399,0.4,5258.230371,14917,1
2,9,0.622392,0.077525,0.06412,344.307692,1,10,393,0.384615,4070.513095,9575,1
2,17,0.802319,0.027642,0.02365,582.029412,0,11,1107,0.617647,4026.006746,9255,1
3,5,0.84837,0.003854,0.00289,1631,1,12,2,0.285714,410.833333,579,1
1,1,0,0.052632,0.026316,38,0,3,329,1,5060.270939,17376,0
1,1,0,0.007964,0.001138,1758,1,9,20,1,56,15,0
2,3,0.873519,0.006323,0.009562,1080.666667,1,11,202,0.833333,2723.885714,4096,0
2,3,0.67839,0.00411,0.001251,1399,0,13,66,0.75,41,23,0
2,5,0.891331,0.057852,0.011661,600.272727,0,13,1077,0.454545,4349.664899,12510,1
2,4,0.606843,0.021754,0.023114,490.333333,0,10,138,1,2232.816667,3218,0
2,3,0.592252,0.032393,0.027986,1134.5,1,10,38,0.5,4169.786905,12584,0
1,1,0,0.016156,0.005571,1795,0,11,54,1,375.733333,567,0
2,2,0.510746,0.225322,0.114807,233,0,6,476,1,3980.040079,8897,0
2,4,0.531716,0.031812,0.008299,361.5,0,10,105,1,5159.4365,17673,0
1,1,0,0.001062,0.001062,1884,0,12,0,1,93,29,0
2,3,0.569413,0.258414,0.115931,668.5,1,8,67,1,4144.300722,12222,1
1,1,0.99403,0.003981,0.003318,753.5,1,7,129,1,4347.322236,1244,0
1,1,0.562024,0.266688,0.13415,620.2,1,5,328,1,3354.586905,265,1
1,1,0,0.043321,0.005776,1385,0,5,4,1,4323.057179,625,0
3,4,0.804456,0.020343,0.01606,186.8,0,9,248,1,100,100,1
1,1,0,0.2,1.32,25,0,2,306,1,5334.183333,3135,0
1,1,0,0.016736,0.004184,239,1,4,14,1,4948.77381,584,0
2,6,0.864665,0.012228,0.00745,1029.083333,1,10,61,0.333333,4270.757143,10156,1
2,3,0.340132,0.004612,0.019408,1301,1,9,0,0.25,4334.546825,14001,1
2,2,0.970951,0.005865,0.00391,511.5,1,9,127,1,4819.302381,11755,1
1,1,0,0.006369,0.001062,942,1,9,14,1,4817.302381,8330,0
1,1,0,0.008696,0.005797,345,0,6,0,1,4914.65,320,0
3,3,0.586358,0.122573,0.003641,274.666667,1,6,107,0.666667,5138.861028,5037,1
1,1,0,0.013846,0.022308,1300,0,10,62,1,4476.478602,2273,1
2,2,0.977418,0.034468,0.001702,1175,0,9,179,1,47,19,0
1,1,0,0.016783,0.016783,715,0,1,2,1,4514.477035,1348,0
1,1,1,0.000458,0.000229,4367.5,0,16,12,0.5,541.250426,689,0
3,5,0.951679,0.014995,0.009379,697.458333,0,18,267,0.333333,526.934324,1194,1
1,1,0.874528,0.004704,0.002102,1998.2,1,16,716,1,4754.697371,1225,1
1,1,0.687689,0.055597,0.040012,2224.333333,0,13,64,1,5016.541552,1047,0
1,1,0.300924,0.022061,0.005306,1790.5,0,12,176,1,4415.642186,1389,1
1,1,0.943226,0.010178,0.000345,2898.5,0,11,7,1,4498.239921,1351,1
1,1,0.755678,0.01608,0.001429,1865.666667,0,11,157,0.666667,4031.076335,600,1
1,1,0.490883,0.010849,0.021698,1382.6,1,11,127,0.6,4537.833622,470,1
1,1,0.881304,0.012475,0.009173,1090.2,0,11,15,0.2,559.866667,379,0
1,1,0.377703,0.002074,0.018255,1033,0,11,43,0.571429,519.516667,357,1
1,1,0.331921,0.561986,0.524555,684.909091,0,11,722,0.727273,3046.361905,232,1
1,1,0.922504,0.006225,0.006225,1124.5,0,10,243,0.833333,617,301,0
1,1,0.475824,0.014565,0.025627,1356,0,10,91,0.75,522.583333,280,0
1,1,0.5246,0.031131,0.017919,920.833333,0,10,118,0.666667,479,235,0
1,1,0,0.019608,0.001922,2601,0,8,57,1,1348.583333,52,0
1,1,0,0.041021,0.029301,2389,0,7,2,1,112,37,1
1,1,0.95204,0.004122,0.004809,4366.5,1,16,23,1,4995.619945,1333,0
1,1,0.403515,0.010097,0.000999,3004.333333,0,16,42,1,4217.508512,2375,0
1,1,0,0.008893,0.000988,1012,1,6,65,1,655.95,30,1
1,1,0,0.011123,0.002225,899,1,5,9,1,5117.702055,1988,0
1,1,0,0.029762,0.04881,840,0,4,43,1,5108.397849,864,0
1,1,0.678698,0.026059,0.054414,967.888889,0,13,1950,0.777778,4757.614089,796,1
2,2,0.738611,0.009033,0.006821,2712.25,1,14,15,1,4416.254498,14833,0
1,1,0,0.091615,0.006211,644,1,4,21,1,4396.642186,1378,1
1,1,0,0.071429,0.019643,560,0,3,0,1,4255.634921,387,1
2,2,0.409073,0.012438,0.00924,1407,1,10,1,1,2539.016667,2774,0
3,4,0.937028,0.01306,0.011194,938,1,9,269,1,182,180,1
1,1,0,0.638484,0.262391,343,0,6,48,1,5448.518099,12996,0
1,1,0,0.146341,0.146341,287,1,4,10,1,2700.333333,122,0
3,4,0.627699,0.036452,0.022289,1076.75,0,10,249,0.75,4740.076182,19507,1
1,1,0,0.158397,1.730916,524,0,5,37,1,5081.432349,1965,1
1,1,0,0.041754,0.016701,479,0,5,6,1,4182.769822,702,0
1,1,0,0.124153,0.036117,443,0,3,0,1,3587.215476,295,0
1,1,0.783581,0.005616,0.005616,890.333333,0,11,39,1,548.202385,694,0
1,1,0.554437,0.010832,0.0081,2123.4,0,17,318,0.8,5104.877241,1317,0
1,1,0.866684,0.003861,0.00473,1726.5,0,16,113,0.5,4989.797506,1243,0
1,1,0.900068,0.009194,0.005408,616.333333,0,8,85,0.666667,4183.658159,1419,0
1,1,0.341837,0.382286,0.335469,806.333333,0,12,64,0.333333,4337.945238,512,1
1,1,0.674469,0.019553,0.007856,1909.333333,1,10,56,0.666667,4971.430051,865,0
1,1,0.970951,0.004517,0.004517,553.5,1,5,0,0.5,5271.561905,7598,0
3,12,0.619032,0.021364,0.016632,1232.583333,0,15,288,0.583333,324.129451,1844,1
2,6,0.776305,0.01486,0.038838,423,0,10,200,1,2631.842857,5243,1
1,1,0,0.023148,0.009259,216,1,6,173,1,4777.738342,13882,0
2,8,0.748035,0.126831,0.188637,346.615385,0,10,1244,0.576923,2506.85,3579,1
2,4,0.756031,0.01268,0.014429,571.75,1,7,16,0.75,5261.711905,10666,1
1,1,0,0.75,0.623894,452,1,10,71,1,4761.88127,16037,1
1,1,0,0.747788,0.621681,452,1,10,880,1,4764.88127,16040,0
1,1,0,0.746137,0.618102,453,1,10,608,1,4763.88127,16039,0
1,1,0,0.75,0.623894,452,1,10,103,1,4762.88127,16038,0
1,1,0.479832,0.009967,0.022148,451.5,1,11,2,0.5,246.902381,75,0
2,2,0.928859,0.005587,0.004571,492.25,0,9,132,0.5,4939.540015,1541,0
2,2,0.465851,0.046691,0.017172,740.428571,1,11,630,0.571429,4862.645413,1520,1
1,1,0.985228,0.001907,0.00143,1049,1,9,70,1,374.963889,50,0
1,1,0,0.008746,0.008746,343,1,9,43,1,550.960882,717,0
1,1,0,0.001808,0.006326,2213,0,12,5,1,5047.78721,1347,0
1,1,0,0.009977,0.009977,2205,0,12,7,1,4158.314067,2381,0
1,1,0.422001,0.013955,0.013955,1254,1,12,0,0.5,4278.065448,2362,0
1,1,0.453716,0.01458,0.003431,1166,0,12,72,1,5041.144247,1297,0
1,1,0,0.106438,0.055036,1926,1,12,51,1,4947.639271,1263,1
1,1,0,0.006838,0.001709,1170,0,9,28,1,28,2,0
1,1,0.70952,0.022279,0.025707,389,0,9,52,1,4512.221162,2270,0
1,1,0,0.005882,0.001604,1870,0,10,0,1,4924.785338,1236,1
1,1,0,0.004648,0.003873,1291,0,9,24,1,28,13,0
1,1,0,0.218391,0.022989,174,1,5,15,1,292.485714,91,0
1,1,0.396833,0.275737,0.160543,604.2,0,8,223,0.6,5010.597069,1021,1
1,1,0,0.171917,0.184518,1111,1,7,12,1,441.95,88,0
1,2,0.723707,0.031286,0.011661,586,0,10,462,1,308.941095,519,1
1,1,0.894116,0.007947,0.007152,943.75,1,7,37,1,302.530051,509,1
1,1,0.594395,0.052491,0.06481,933.5,1,8,287,1,5148.520174,826,0
1,1,0.391173,0.029741,0.029355,647.25,0,7,17,0.75,4225.893331,1720,1
1,1,0.405951,0.0322,0.025687,691,0,7,28,1,4226.026492,1712,0
1,1,0.188234,0.11492,0.033502,641.75,0,7,81,1,4164.334547,1695,1
1,2,0.850705,0.01705,0.008857,451.6,0,7,624,0.5,4170.353662,1673,1
1,1,0,0.171975,0.159236,157,1,6,155,1,4174.109345,1662,0
1,1,1,0.013605,0.004535,220.5,0,6,47,1,5427.215367,1538,0
1,1,0,0.165635,0.0387,646,1,6,22,1,4374.520896,659,0
1,1,0.847752,0.006538,0.003846,650,0,8,4,0.25,4421.655173,1397,1
1,1,0.748033,0.008092,0.00501,648.75,0,8,53,0.75,4418.397164,1393,0
1,1,0.472875,0.038514,0.007432,493.333333,0,7,251,1,4410.642186,1384,0
1,1,0,0.014575,0.004858,1235,0,7,16,1,186,30,0
1,1,0,0.070968,0.045161,465,0,6,2,1,4352.362077,1261,1
2,4,0.416499,0.214234,0.018425,692,0,12,154,1,4316.611069,14559,1
1,1,0,0.083333,0.009259,216,1,4,52,1,4184.514214,540,0
1,1,0,0.00565,0.004843,1239,0,5,22,1,5177.262657,1232,0
1,1,0.585183,0.014576,0.002082,768.4,1,6,4,0.6,5298.968013,1229,1
1,1,0,0.014493,0.014493,207,0,3,30,1,664.585714,462,0
1,1,0.826074,0.006482,0.006482,565.666667,0,5,38,0.666667,4611.162302,412,0
2,2,0.953144,0.031981,0.001481,675.4,1,9,262,1,4335.648293,2953,1
1,1,0.729838,0.122186,0.116399,259.166667,0,5,2168,0.833333,4215.703571,405,1
1,1,0,0.003846,0.002308,1300,0,10,3,1,4577.777428,12078,0
3,3,0.650885,0.022727,0.008658,616,1,5,147,0.666667,3821.88373,8924,0
1,1,0.693696,0.705996,0.4294,172.333333,1,7,403,1,3490.681746,306,1
1,1,0.754351,0.005517,0.047586,414.285714,0,7,728,0.857143,526.516667,364,1
3,7,0.751163,0.018876,0.011503,678.1,0,12,188,0.5,4361.276082,16783,1
1,1,0.546351,0.02765,0.001843,542.5,0,5,40,0.5,5334.979582,826,1
1,1,0.832408,0.018669,0.002841,492.8,1,5,385,1,5226.834993,805,1
1,1,0.856614,0.00822,0.002466,608.25,0,5,453,1,454.5,229,0
1,1,0.582626,0.025038,0.003005,665.666667,0,5,71,1,435.666667,224,0
1,1,0,0.008403,0.004202,476,0,4,45,1,433.5,219,0
1,1,0,0.000893,0.001786,1120,0,5,6,1,5072.120238,582,0
1,1,0.900068,0.014798,0.009417,743.333333,1,5,8,0.666667,296,168,0
1,1,0,0.30622,0.076555,209,1,2,4,1,284,157,0
1,1,0.823829,0.032387,0.020015,343.5,1,5,71,0.5,276,150,1
1,1,0.851587,0.021723,0.016655,230.166667,0,4,48,0.5,253,129,1
1,1,1,0.007937,0.007937,252,0,3,6,0.5,247,123,0
1,1,0.83841,0.101175,0.064084,194.5,0,8,300,0.321429,140,65,1
1,1,0.743226,0.177251,0.174955,196.05,1,4,502,0.3,54,34,1
1,1,0.531878,0.163725,0.115883,261.277778,1,1,308,0.333333,5257.361905,458,1
1,1,0,0.014388,0.014388,417,0,1,0,1,5338.954762,424,1
1,1,0,0.007194,0.007194,417,0,1,1,1,5337.954762,423,0
1,1,0,0.128342,0.106952,187,0,1,0,1,5334.083333,385,0
1,1,0,0.000857,0.000857,2335,0,8,2,1,5313.059524,355,0
1,1,0,0.000856,0.000856,2337,0,8,37,1,5307.711905,350,0
1,1,1,0.005917,0.059172,169,0,4,78,0.5,5608.210667,1198,0
1,1,0,0.008746,0.008746,343,1,9,93,1,549.960882,716,0
2,3,0.908456,0.048507,0.059701,89.333333,0,7,147,1,5155.520174,12330,0
1,1,0,0.000559,0.000559,3576,0,10,13,1,4369.875255,9862,0
2,7,0.792074,0.002411,0.015592,691.222222,0,14,0,0.111111,5250.179796,23357,1
2,7,0.792074,0.015466,0.002392,696.888889,0,14,376,0.333333,5241.179796,23348,0
1,1,0,0.017419,0.007126,1263,0,10,1,1,5533.677736,11700,0
2,5,0.623557,0.043351,0.009373,682.8,0,10,187,1,4827.247619,13926,1
1,1,0,0.101344,0.050672,967,0,7,2,1,4414.879978,8226,0
2,6,0.735969,0.03418,0.028379,708.666667,0,11,90,0.666667,490,631,1
1,1,0.225364,0.058475,0.022946,675.5,0,10,34,1,480.6,561,0
1,1,0,0.045455,0.006494,308,0,7,26,1,4032.60416,10036,0
2,9,0.793761,0.007985,0.00478,1481.916667,1,19,41,0.25,4902.124991,25375,0
3,20,0.661103,0.032229,0.010715,1198.061224,0,21,799,0.204082,5122.265833,25124,1
1,1,0,0.004232,0.004232,1654,0,6,10,1,315.387843,599,0
1,1,0,0.004739,0.004739,422,0,15,1,1,300.908777,1186,0
2,10,0.733029,0.021745,0.0211,775.214286,0,12,810,0.285714,3908.509929,13654,1
2,12,0.747175,0.044969,0.04589,417.384615,0,10,26,0.076923,1228.5,1452,0
2,15,0.86749,0.015817,0.005065,871.958333,1,15,760,0.625,5088.205755,15420,1
2,6,0.635373,0.02326,0.007384,492.454545,0,11,2527,0.818182,186.230916,757,1
3,4,0.703182,0.045317,0.002518,397.2,0,7,105,1,1330.5,1776,0
1,1,0,0.005764,0.005764,347,0,6,0,1,4916.65,322,0
1,1,0,0.008721,0.008721,344,0,6,0,1,4913.65,319,0
1,1,0,0.038235,0.070588,340,0,6,47,1,4911.65,317,0
1,1,0,0.095238,0.095238,21,0,3,17,1,4310.233333,2507,0
2,4,0.699582,0.003516,0.029297,640,0,6,67,0.75,5003.033333,6036,1
2,4,0.886242,0.027717,0.03587,204.444444,0,4,0,0.111111,4986.266667,8114,0
1,2,0.941829,0.002483,0.000976,5637.5,0,5,155,1,4077.716667,4995,0
3,4,0.554929,0.073651,0.010794,393.75,0,5,33,1,4472.6,7155,0
2,2,0.167027,0.042899,0.017012,1352,0,13,63,1,5272.569031,23373,1
2,6,0.272034,0.062758,0.047544,1051.666667,1,13,118,0.333333,4339.859052,13009,1
2,3,0.861287,0.000995,0.011605,1206.4,0,10,49,0.6,634.5,521,0
3,5,0.773964,0.027325,0.004794,347.666667,0,10,131,1,441.666667,778,0
1,2,0.856405,0.03214,0.072544,544.5,0,7,21,1,507.5,443,1
