@relation 'KC2-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.241loc-0.241n-0.241lOCode-0.241total_Op-0.241total_Opnd... numeric
@attribute 0.586l-0.505uniq_Op-0.354d+0.259t+0.229e... numeric
@attribute -0.782lOCodeAndComment-0.414lOComment-0.323l+0.147i-0.145d... numeric
@attribute -0.599lOComment+0.439lOCodeAndComment-0.416l-0.318lOBlank+0.228ev(g)... numeric
@attribute '0.58 lOComment-0.443i-0.352l-0.278lOBlank-0.26lOCodeAndComment...' numeric
@attribute problems {no,yes}

@data
-0.565055,-1.057476,0.352884,0.106738,0.325634,yes
-3.38111,-1.482915,1.194948,-0.287912,-1.159323,yes
-1.976243,-1.154407,1.197561,-0.292324,-1.417933,yes
-7.458173,-2.654508,-0.996354,-2.606695,0.615834,yes
-3.9522,-0.80166,0.620373,-0.049824,0.354479,yes
-0.616271,-1.241257,0.442192,0.294802,0.066953,yes
-0.181117,-0.991137,-0.322464,-1.199274,1.028751,yes
-4.588356,-1.580914,0.512773,-0.914637,0.006316,yes
-3.009614,-1.69218,-0.925358,0.541786,-0.50566,yes
-30.19028,2.270971,-1.469826,-2.263672,-0.498878,yes
-1.040571,-0.901833,0.476074,0.208789,0.170525,yes
-0.142941,-1.036403,0.438238,-0.013468,0.036638,yes
-0.369577,-1.210211,-0.566385,-0.003201,0.04668,yes
-3.875304,-2.036296,0.860072,-0.806179,-0.602098,yes
-1.897654,-1.314874,0.326103,-0.998946,0.01607,yes
-2.031149,-1.888414,0.380082,0.019496,0.163602,yes
-1.982269,-1.387787,0.746521,0.375572,-0.307297,yes
-0.393875,-1.003109,-0.088025,0.524363,-0.718731,yes
-5.067227,-1.828654,-0.313943,-1.514565,-0.334997,yes
-1.729007,-1.417734,0.383968,-0.162144,0.081852,yes
0.037733,-0.821358,0.538198,0.276409,-0.149281,yes
-4.114806,-1.227209,0.971263,-0.599863,-0.764034,yes
-0.407171,-1.329625,0.377647,0.529436,0.393013,yes
-3.381743,-1.994873,0.147586,-1.248736,0.509593,yes
-0.020468,-0.984358,0.484969,0.351106,-0.042951,yes
-1.107851,-1.218013,0.746277,-0.19206,-0.564391,yes
-1.234675,-1.191087,0.756122,-0.152886,-0.600684,yes
-0.838694,-1.309361,0.676146,-0.154457,-0.45077,yes
-3.617157,-1.351637,0.511988,-0.965176,0.003621,yes
-6.145498,-0.803291,0.76387,0.537149,-1.493337,yes
-0.809995,-1.465484,0.713588,-0.041252,-0.526718,yes
-7.098462,-1.510384,2.057927,-1.929355,-2.281444,yes
-1.285566,-1.490147,0.740554,-0.345698,-0.592955,yes
0.766073,-0.256468,0.321475,-0.248569,-0.060902,yes
-3.191181,-1.669088,1.203174,-0.837409,-1.294058,yes
-9.095457,-1.81044,-2.445282,-1.3257,-1.122105,yes
-1.810119,-1.848322,-0.196973,0.467268,-0.543871,yes
-5.434898,-1.504855,-2.573299,2.196604,-2.042656,yes
-0.157753,-1.285509,-0.359993,-1.144686,1.102646,yes
0.046624,-0.511894,0.348764,-0.466627,0.006835,yes
-0.845356,-1.669425,0.505853,0.400928,0.028994,yes
-0.049351,-0.776379,0.471288,0.374637,0.036995,yes
-1.532814,-1.260576,0.34823,0.091025,0.330243,yes
-0.35717,-0.788333,0.274908,-0.254474,0.165039,yes
0.925971,-0.553983,0.251245,0.310677,0.439692,yes
-0.418597,-0.999515,0.451097,-0.00025,0.049585,yes
-1.068606,-1.118023,-0.287746,0.233274,-0.261941,yes
-0.25821,-1.398276,0.331047,0.402456,0.254958,yes
1.144929,0.217858,0.206091,0.071079,-0.153507,yes
-2.292256,-1.32822,0.441963,-0.700016,0.013619,yes
0.371417,-0.735791,0.596258,0.028882,-0.323043,yes
0.986718,-0.213024,0.334079,0.359214,0.138602,yes
0.555656,-0.824767,0.456984,0.364276,-0.02131,yes
0.782367,-0.383788,0.398421,0.303756,0.034135,yes
-1.899411,-1.569733,0.520724,-0.444917,-0.156618,yes
1.094359,-0.06997,0.330507,0.217713,0.001266,yes
0.242902,-0.517722,0.184103,-0.396943,0.372317,yes
1.18586,0.09739,0.2882,0.184096,0.000705,yes
0.928065,-0.537529,0.315779,0.44816,0.234195,yes
1.300648,-0.161946,0.243391,0.504917,0.471197,yes
1.609438,0.493913,0.114636,0.206509,0.248263,yes
1.609438,0.493913,0.114636,0.206509,0.248263,yes
1.065092,0.115889,0.339076,0.136495,-0.061884,yes
1.452394,0.660633,0.084142,-0.046497,-0.119136,yes
1.831249,1.066346,-0.140372,-0.029041,0.097377,yes
1.925527,1.524303,-0.332662,-0.286499,-0.110144,yes
1.925527,1.524303,-0.332662,-0.286499,-0.110144,yes
1.894577,1.508162,-0.31718,-0.304522,-0.154572,yes
1.856807,0.336058,0.447052,0.7561,0.839588,yes
