@relation 'poi-3.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9,11,19'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,106,0.354167,1,2,0,0.144796,0,0,25.941176,1.1176,1
2,0,94,0.649123,1,2,0.321429,0.154545,1,1,15.2,1.15,0
1,0,6,2,0,0,0,0.25,0,0,79.75,0.75,0
1,0,0,0.611111,0.5,0,0,0.45,1,1,34.7,2,0
1,0,0,2,0,0,0,1,0,0,0,1,0
2,0,75,0.772727,0.875,3,0.34375,0.253623,1,4,14.913043,0.9565,1
1,0,0,0.222222,1,1,0,0.4375,1,1,30.5,2.5,0
2,0,35,0.8,0.5,0,0.55,0.309091,1,4,9.909091,0.9091,1
2,0,36,1.125,0,0,0.3,0.259259,0,0,5.666667,0.7778,1
2,0,45,1.111111,0.333333,0,0.272727,0.25,0,0,4.4,0.8,0
1,0,0,1.3125,0.125,1,0,0.666667,0,0,10,3,1
2,0,0,0.5,1,0,0.888889,0.5,1,1,26.2,4.8,0
2,1,246,0.929012,0.518519,6,0.23913,0.252252,1,4,16.837838,0.973,1
2,0,740,0.835938,1,3,0.520833,0.182692,2,18,19.44898,1.5102,1
1,0,0,2,0,0,0,1,0,0,0,1,0
1,0,0,2,0,0,0,1,0,0,0,1,0
2,0,0,0.35,1,0,0.578947,0.363636,1,5,14.636364,1,1
1,0,1,2,0,0,0,1,0,0,0,1,1
2,0,35,0.8,0.5,0,0.55,0.309091,1,4,9.909091,0.9091,1
3,0,1485,1.018519,0,0,0.316456,0.192208,0,0,7.8,1,1
2,0,39,0.833333,0.5,0,0.578947,0.32,1,4,7.9,0.9,1
3,0,1,2,0,0,0.875,0.555556,0,0,6.333333,1.3333,1
1,0,0,0.388889,1,0,0,0.313333,1,1,24.28,2.6,0
2,0,35,0.8,0.5,0,0.55,0.257576,1,4,9.090909,1.0909,1
1,0,1,2,0,0,0,0.5,0,0,18.5,1.5,1
2,0,25,0.957143,0.142857,0,0.655172,0.222222,1,6,31.636364,1.8182,1
1,0,158,0.75,0,1,0,0.175,0,0,11.9,1.1,1
2,1,89,0.721088,0.857143,2,0.269231,0.198864,1,2,17.636364,1.1818,0
2,0,35,0.8,0.5,0,0.55,0.309091,1,4,9.909091,0.9091,1
2,0,610,0.957692,0.5,14,0.157143,0.215457,1,4,17.42623,0.9836,1
2,0,6,0.75,1,2,0.555556,0.55,1,1,34,1.2,1
2,0,140,0.800926,0.888889,2,0.323529,0.253333,1,4,16.12,0.96,1
2,0,39,0.972222,0.25,0,0.578947,0.32,1,4,7.9,0.9,1
1,0,2862,0.921695,1,6,0,0.136886,0,0,40.284091,2.3182,1
3,2,0,0,1,1,0.490196,0.15,2,7,4.678571,0.9286,0
2,0,43,0.8,0.5,0,0.55,0.309091,1,4,8.090909,0.9091,1
1,0,0,0.925743,0.4375,3,0,0.135567,0,0,16.911765,1.7353,1
1,0,0,2,0,0,0,1,0,0,0,1,0
2,0,17,0.84,0.4,0,0.55,0.287879,1,4,108.454545,1.7273,1
2,0,155,0.854167,0.875,0,0.392857,0.236842,1,4,26.526316,1.7368,1
1,0,0,0.65625,1,1,0,0.25,0,0,46.444444,2.3333,0
1,0,630,2,0,0,0,0.200617,0,0,10.055556,1.2222,1
2,0,21,1,1,0,0.583333,0.314286,1,2,2.571429,0.7143,0
1,0,1,2,0,0,0,0.75,0,0,0,1,0
2,0,39,0.925926,0.333333,0,0.578947,0.32,1,4,7.8,0.9,1
2,0,45,1.111111,0.333333,0,0.272727,0.25,0,0,4.6,0.8,0
2,0,43,0.833333,0.666667,0,0.575758,0.333333,1,5,13.866667,0.9333,1
1,0,0,0.5,1,1,0,0.7,0,0,28.4,1.2,1
2,0,35,0.761364,0.875,4,0.34375,0.253623,1,4,14.304348,0.9565,1
2,0,39,0.833333,0.5,0,0.578947,0.32,1,4,7.9,0.9,1
1,0,0,2,0,0,0,1,0,0,0,1,0
1,0,728,0.715584,0.642857,1,0,0.173737,0,0,35.017857,3.2857,1
2,0,0,0.6875,0.8,3,0.423077,0.254902,1,4,12.058824,0.9412,1
2,0,120,0.955263,0.315789,0,0.366667,0.304762,1,4,16.142857,0.9524,1
3,0,4,0.666667,1,1,0.8,0.5,1,1,37.5,3.75,1
1,0,1,2,0,0,0,0.5,0,0,40,0.5,0
2,0,22,0.885714,0.8,0,0.583333,0.270833,1,2,10.125,0.625,0
1,0,0,0.611111,1,0,0,0.52381,0,0,9.285714,0.8571,1
1,2,42,0.818182,0,0,0,0.708333,0,0,3.833333,0.8333,0
1,0,0,0.333333,0,1,0,0.47619,0,0,29,2.1429,0
1,0,0,0.388889,1,0,0,0.313333,1,1,24.04,2.6,1
2,0,45,1.111111,0.5,0,0.272727,0.25,0,0,4,0.8,0
1,0,1,2,0,0,0,0.5,0,0,11,0.5,1
2,0,35,0.8,0.5,0,0.55,0.257576,1,4,9.090909,1.0909,1
3,0,0,0.090909,0,1,0.821429,0.316667,3,5,50,2.0833,1
1,0,0,0.509615,1,0,0,0.37037,1,1,24.148148,2.5556,1
3,0,124,1.045398,0.023697,2,0.55814,0.161538,2,7,50.15,2.55,1
2,2,3,1.04,0.4,0,0.791667,0.4,1,5,23.833333,0.8333,1
2,0,39,1,0.2,0,0.578947,0.32,1,4,7.9,0.9,1
2,0,56,0.75,0.666667,0,0.5,0.307692,1,4,9.307692,0.9231,1
1,2,19,0.611111,1,2,0,0.325,0,0,5.9,1.3,0
2,0,36,1.125,0,0,0.3,0.259259,0,0,5.333333,0.7778,0
1,0,6,2,0,0,0,0.583333,0,0,0,1,0
2,0,35,0.8,0.5,0,0.55,0.257576,1,4,9,1.0909,1
2,4,3,2,0,0,0.916667,0.666667,0,0,14.333333,2,1
2,0,305,0.867725,0.944444,8,0.211538,0.251938,1,4,17.046512,0.9767,1
1,2,0,0.5,1,2,0,0.458333,0,0,16.5,1.1667,1
3,0,21,1.149123,0.052632,2,0.915254,0.22449,1,2,36.571429,1,0
2,5,38,0.685714,0.857143,3,0.291667,0.196429,1,2,13.809524,0.9048,1
2,0,33,0.777778,0,0,0.578947,0.266667,1,4,15.4,1.2,1
4,2,0,0.5,1,0,0.9,0.5,0,0,5.333333,0.6667,0
