@relation 'xalan-2.4_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9,11,19-20'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute bug {1,0}

@data
1,0,4,0.625,1,0,0,0.25,0,0,30,0
1,0,36,2,0,0,0,0.111111,0,0,6.666667,0
2,0,19,0.833333,1,1,0.444444,0.333333,0,0,4.428571,0
3,0,1,2,0,0,0.978261,0.666667,1,1,18.5,0
4,0,16,0.571429,0,1,0.966507,0.3,2,4,11,0
3,1,79,0.735294,0.5,1,0.920188,0.136752,2,6,26.111111,1
3,0,0,0.76,0.4,0,0.615385,0.375,2,6,82.333333,1
1,0,2145,1.015385,0,0,0,0.277056,0,0,0,0
1,0,0,0.710938,1,2,0,0.341176,0,0,20.588235,1
1,3,26,0.942857,0.8,0,0,0.339286,0,0,9.75,1
1,0,0,0.65,1,0,0,0.444444,0,0,7.833333,0
1,0,1,2,0,0,0,1,0,0,0,0
4,1,1,2,0,0,1,0.6,0,0,4.5,0
1,0,0,2,0,3,0,1,0,0,71,0
1,0,0,2,0,0,0,1,0,0,0,0
1,0,21,2,0,0,0,0.380952,0,0,21.571429,0
1,0,1,1,1,0,0,1,0,0,18,0
5,0,28,2,0,0,0.888889,0.475,3,8,66.875,1
4,1,0,0.392857,0,0,0.62963,0.311111,1,2,22.666667,0
1,0,0,0.5,0.5,1,0,0.380952,0,0,23,1
1,0,0,0.45,1,0,0,0.606061,0,0,24.636364,0
4,0,0,0,1,1,0.979592,0.444444,3,13,19.333333,0
3,0,55,2,0,0,0.804348,0.363636,0,0,6.181818,0
3,0,4,0.5,1,1,0.933333,0.333333,1,6,49.4,0
5,0,6,0.916667,1,0,0.971831,0.325,1,2,6.6,0
1,0,0,2,0,0,0,1,0,0,0,0
3,0,0,0,1,1,0.934211,0.305556,2,8,15.666667,0
1,0,0,0.4875,1,0,0,0.264706,0,0,16.647059,0
3,0,4,1,1,1,0.9375,0.4,3,6,97.6,0
2,0,0,0.428571,0.5,1,0.588235,0.34375,1,5,11.875,0
5,0,3,2,0,0,0.99,0.533333,3,5,11.333333,0
2,0,5,0.8,0,0,0.642857,0.444444,0,0,6,0
4,1,30,0.583333,1,2,0.943925,0.230769,2,6,28.692308,0
5,0,1,2,0,0,0.982143,0.75,2,7,4,0
1,0,6,2,0,0,0,0.4,0,0,38.25,0
1,0,0,0.25,1,1,0,0.464286,0,0,60.142857,0
2,0,173,0.857143,0.875,4,0.775281,0.232804,2,30,98.181818,0
1,0,219,0.972789,0.142857,0,0,0.227513,0,0,101.136364,0
1,0,0,2,0,0,0,0,0,0,0,0
1,1,4474,0.941667,0.96,14,0,0.151442,0,0,19.463918,0
6,0,0,0.730769,1,2,0.914286,0.234694,4,8,10.357143,0
6,0,10,2,0,0,0.941176,0.5,2,8,36.2,0
5,0,0,0.883142,1,1,0.954545,0.211111,2,8,100.5,1
1,0,0,2,0,0,0,1,0,0,0,0
5,0,300,0.879252,0.857143,1,0.942149,0.344828,3,5,25.241379,0
1,0,6,2,0,0,0,0.25,0,0,371.5,1
2,0,1,2,0,0,1,0.75,0,0,18.5,0
1,1,315,0.884444,0.888889,6,0,0.22,0,0,41.692308,0
1,0,0,2,0,0,0,1,0,0,0,0
4,0,0,0,1,0,1,0.777778,0,0,14.666667,0
4,0,1,1,1,0,0.975904,0.466667,0,0,6.666667,0
4,0,1,2,0,0,0.989691,0.625,2,4,5.5,0
4,0,1,2,0,0,0.989691,0.6,2,5,14.5,0
3,0,0,0.5,1,1,0.903226,0.285714,1,5,15.571429,0
3,0,3,2,0,0,0.95,0.5,1,6,2,0
5,0,1,2,0,0,0.982143,0.75,3,8,20,0
4,0,1,2,0,0,0.979592,0.75,1,6,10.5,0
1,0,903,1.02381,0,0,0,0.168605,0,0,29.651163,1
3,0,29,0.825,1,0,0.951456,0.340909,2,5,9,0
2,0,0,0.666667,1,1,0.526316,0.35,1,5,10.7,0
4,1,15,0.333333,1,0,0.972222,0.5,1,1,39.142857,0
4,0,0,0.64,1,3,0.879518,0.204545,2,7,33.090909,0
1,0,0,0.887195,1,2,0,0.190476,0,0,12.428571,1
1,0,3,1,1,0,0,0.5,0,0,21.666667,0
1,0,0,2,0,0,0,1,0,0,0,0
3,3,155,0.828571,0.8,2,0.907407,0.168182,2,15,16.181818,1
1,0,0,2,0,0,0,1,0,0,15,0
3,0,6,2,0,0,0.949153,0.4,1,3,22,0
3,0,0,0.2,1,0,0.918033,0.333333,1,3,7,0
4,0,1,0.5,0,0,0.97619,1,0,0,197,0
1,0,45,2,0,0,0,0.5,0,0,10.6,0
1,0,214,0.891667,1,1,0,0.185455,0,0,18.36,0
1,0,0,0.5,1,0,0,0.555556,0,0,19.666667,0
1,0,69,0.836735,1,0,0,0.333333,0,0,28,0
1,1,276,2,0,0,0,0.298611,0,0,1.166667,0
1,0,335,0.667917,0.923077,1,0,0.125397,0,0,19.52381,0
3,0,15,0.825,0.5,2,0.951456,0.191919,2,9,13.909091,0
3,0,0,0.62963,0.666667,2,0.898734,0.269841,2,9,34.6,0
1,0,243,0.693333,1,2,0,0.258242,0,0,6.769231,1
3,15,0,0.3,0,1,0.791667,0.345455,2,4,9.181818,0
2,0,932,0.568182,0.6,1,0.328125,0.175926,0,0,25.4,1
1,0,0,0.513889,1,0,0,0.394737,0,0,12.263158,1
1,0,508,0.7375,0.85,12,0,0.151562,0,0,34.169231,0
2,0,0,0,0,1,0.966667,0.5625,0,0,15.25,0
1,0,0,0.472222,1,1,0,0.4,0,0,16.6,0
1,0,27,0.596154,0.05,0,0,0.162393,0,0,51.5,0
4,0,3,2,0,0,0.974359,0.5,2,3,49.666667,0
3,0,17,0.888889,1,1,0.903226,0.309524,1,4,32.428571,0
6,1,8,0.428571,0,1,0.901408,0.375,5,22,25.625,1
1,0,0,2,0,0,0,0,0,0,88,0
7,0,6,2,0,0,0.96,0.5,3,8,19.25,0
2,0,0,0,0,1,0.966667,0.4,0,0,15.2,0
4,0,3,2,0,0,0.96,0.47619,1,6,55.333333,0
5,0,18,0.78125,0.25,6,0.954286,0.269841,2,20,41.666667,0
1,0,1,1,0,0,0,0.5,0,0,19,0
3,2,2539,0.966051,0.913043,4,0.728625,0.073443,3,19,14.040541,0
1,0,3,1.5,1,0,0,0.533333,0,0,108.333333,1
3,2,1,2,0,0,0.986111,0.5,0,0,21,0
3,0,0,0,1,1,0.909091,0.555556,2,7,18.333333,0
3,0,0,0.25,1,1,0.933333,0.314286,1,4,15.4,0
4,0,0,0.076923,1,1,0.941704,0.295918,2,3,11.357143,0
3,0,0,0.5,1,3,0.934211,0.285714,2,8,46.5,0
1,0,0,0,1,0,0,0.583333,0,0,50.5,0
4,0,15,2,0,0,0.938272,0.305556,3,15,60.5,0
1,0,0,0.75,0,2,0,0.158508,1,1,13.030303,0
1,1,5671,2,0,0,0,0.19107,0,0,5.056075,0
1,0,0,2,0,0,0,1,0,0,0,0
5,0,3,2,0,0,0.990698,0.583333,1,2,9,0
4,0,2,0.666667,1,0,0.975904,0.466667,0,0,5.75,0
1,0,1275,1.02,0,0,0,0.181373,0,0,40.823529,1
1,0,1,2,0,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0.666667,0,0,9.333333,0
1,5,942,0.911765,1,6,0,0.163993,0,0,16.884615,0
3,0,351,2,0,0,0.57377,0.20202,1,3,17.666667,0
3,0,3,2,0,0,0.953488,0.833333,1,6,13,0
4,0,3,2,0,0,1,0.555556,0,0,4.333333,0
1,0,1,0.553571,1,1,0,0.383333,0,0,30.933333,0
1,0,0,0.679426,0.454545,2,0,0.163793,0,0,58.793103,1
1,0,3,2,0,0,0,0.611111,0,0,0,0
2,0,878,0.820513,0.692308,5,0.088235,0.126116,1,1,25.453125,1
1,0,1009,0.966667,0,0,0,0.190217,0,0,4.195652,0
1,0,10,2,0,0,0,0.2,0,0,16,0
1,1,0,0.333333,0.666667,1,0,0.475,0,0,42.4,0
2,1,0,0.333333,1,1,0.823529,0.5,1,4,39.25,0
1,0,1,1,1,2,0,0.583333,0,0,57,0
1,0,36,1.125,0,0,0,0.555556,0,0,0,0
1,0,8,1,0,0,0,0.6,0,0,20.2,0
4,0,21,0.588235,1,0,0.811111,0.238095,2,9,48.777778,1
4,0,0,0.625,1,4,0.926829,0.309524,2,4,20.285714,0
3,0,1,2,0,0,0.97619,0.75,1,1,5.5,0
2,0,3,2,0,0,0.5,0.555556,0,0,6.333333,0
2,0,6589,0.939696,0.714286,18,0.097015,0.05765,1,2,25.162602,1
1,0,0,0.694444,0,1,0,0.4,0,0,11.692308,0
1,0,10,2,0,0,0,0.25,0,0,5,0
1,0,0,0.166667,1,0,0,0.342857,0,0,15.714286,0
1,0,36,2,0,0,0,0.333333,0,0,21.666667,0
2,21,115,0.838235,1,3,0.760563,0.285714,1,2,12,0
2,1,2,0.625,0.5,1,0.823529,0.5,1,4,20,0
1,0,54,0.454545,1,1,0,0.533333,0,0,10.5,0
3,0,3,0.6,1,2,0.918033,0.361111,1,5,51,0
2,1,53,0.8,1,0,0.705882,0.327273,1,5,10.272727,0
5,0,26,0.571429,1,1,0.936364,0.4375,2,8,23.875,1
4,0,0,0,1,4,0.979592,0.444444,3,13,61.333333,0
5,0,1,2,0,0,0.982143,0.75,2,7,16.5,0
1,0,0,0.166667,1,1,0,0.75,0,0,17.5,0
3,2,3,2,0,0,0.972603,0.666667,0,0,1,0
1,0,3,2,0,0,0,0.666667,0,0,0,1
5,0,6,2,0,0,0.963855,0.625,0,0,4,0
3,0,6,1,1,0,0.952381,0.4,2,4,6,0
1,0,181,0.979798,0,0,0,0.25,0,0,137.652174,0
2,0,11,0.911111,0.866667,0,0.545455,0.351852,0,0,76.142857,1
3,0,0,0.559524,1,1,0.6875,0.25,2,2,19.363636,0
3,0,0,0.520833,0.5,1,0.890909,0.253333,1,1,5.36,0
1,0,0,0.066667,0.866667,6,0,1,0,0,133,1
1,1,58,0.666667,0,0,0,0.307692,0,0,18.923077,0
2,0,211,0.619048,1,0,0.622642,0.215909,2,4,19.5,0
4,0,4,0.484848,0.333333,0,0.921875,0.25,3,15,11.083333,0
3,4,27,0.888889,1,2,0.898734,0.288889,0,0,6.9,0
1,0,3,1.5,1,0,0,0.333333,0,0,40,0
6,0,0,2,0,0,1,1,0,0,5,0
6,5,3,0.4,1,1,0.969697,0.366667,2,4,9.666667,1
2,1,0,0.214286,1,0,0.666667,0.5,1,6,11.875,0
3,0,22,0.416667,0,0,0.865854,0.182692,2,22,22.538462,1
8,0,1,2,0,0,1,0.833333,0,0,5,1
5,0,0,0.333333,1,0,0.986486,0.5,0,0,4.5,0
3,0,351,2,0,0,0.57377,0.20202,1,3,13.555556,0
2,0,210,2,0,0,0.622642,0.238095,2,4,20.428571,1
2,0,0,0,1,1,0.966667,0.75,0,0,11,0
4,0,1,0.5,0,0,0.97619,1,0,0,198.333333,0
4,0,1,0.5,0,0,0.97619,1,0,0,197,0
5,0,1,2,0,0,0.982456,0.75,1,6,17,0
2,0,0,0.269231,1,1,0.785714,0.410714,1,1,22.571429,0
1,0,0,0.62963,0.0625,1,0,0.242798,0,0,58.285714,1
5,0,1,2,0,0,0.982456,0.75,1,6,16,0
3,0,547,0.918293,0.4,0,0.837607,0.233062,0,0,23.428571,1
3,0,3,2,0,0,0.952381,0.555556,1,1,6.666667,0
1,0,375,0.780488,1,0,0,0.226481,0,0,47.333333,1
3,0,3,2,0,0,0.953488,0.555556,1,1,7.333333,0
5,2,21,2,0,0,0.976563,0.371429,2,4,22.285714,0
3,0,0,0.375,1,1,0.933333,0.333333,2,5,34,0
1,0,0,2,0,0,0,0,0,0,0,0
1,0,1,2,0,0,0,0.5,0,0,71.5,0
4,0,3,2,0,0,0.990566,0.666667,1,1,34.666667,0
1,0,38,0.944444,1,2,0,0.269231,0,0,18.923077,0
1,0,0,2,0,0,0,1,0,0,0,0
1,0,0,0.5,1,0,0,0.4375,0,0,58.5,0
3,0,0,0,0,1,0.964286,0.666667,1,1,7.5,0
1,0,0,0.333333,1,1,0,0.211538,0,0,21.384615,1
5,0,14,0.839286,1,0,0.958333,0.47619,1,2,10.5,0
4,0,1,0.5,0,0,0.97619,1,0,0,193,0
1,0,17,0.777778,1,0,0,0.4,1,1,9.1,0
3,11,101,0.821429,1,2,0.933333,0.348148,0,0,17.533333,0
3,0,8,0.428571,1,1,0.965517,0.3,2,5,19.375,0
2,1,1,2,0,0,0.98913,0.642857,0,0,105.5,0
3,0,4,0.5,1,1,0.9375,0.36,2,5,45.4,0
1,1,0,0.422414,1,0,0,0.4,0,0,29.966667,0
1,0,0,2,0,0,0,1,0,0,0,0
1,0,0,2,0,0,0,1,0,0,0,0
1,0,221,0.964286,1,1,0,0.143939,0,0,13.681818,1
2,0,0,0.111111,0,1,0.689655,0.325,1,1,4.7,0
1,0,3,2,0,0,0,0.5,0,0,0,0
4,0,1,0.5,0,0,0.97619,1,0,0,103.333333,0
3,3,0,0.416667,1,2,0.934211,0.357143,2,4,19.571429,0
4,1,40,0.638889,0.666667,3,0.946903,0.188034,4,11,25.846154,0
3,0,1,2,0,0,0.97619,0.75,1,1,5.5,0
1,0,8,0.74026,1,1,0,0.309524,0,0,83,0
2,0,0,0,0,0,0.75,0.4,0,0,5.6,0
1,2,470,0.956012,1,2,0,0.286458,0,0,10.25,1
4,0,0,0,1,2,0.979592,0.444444,3,14,34.333333,0
3,0,6,0.809524,1,3,0.895522,0.3,2,5,33.125,0
2,0,0,0,1,1,0.923077,0.625,0,0,10,0
3,0,0,0.333333,1,0,0.944444,0.5,1,1,8.75,0
3,0,3,2,0,0,0.965517,0.5,2,4,80.666667,0
1,0,21,2,0,0,0,1,0,0,0,0
7,0,5,0.6,1,0,0.95935,0.333333,4,8,46.833333,0
1,2,71,0.706349,0.833333,4,0,0.272727,1,1,36.045455,0
3,0,1,2,0,0,0.97619,0.75,1,1,5.5,0
1,0,1,2,0,0,0,0.666667,0,0,0,0
3,0,8,0.714286,0,0,0.844444,0.285714,2,8,15.625,1
4,0,1,2,0,0,0.979592,0.75,1,6,21,0
2,0,0,0.083333,0,1,0.5,0.230769,0,0,27.307692,0
4,0,1,2,0,0,0.989691,0.6,2,4,12,0
3,0,16,0.75,1,3,0.960784,0.296296,1,2,7.444444,0
4,0,1,0.5,0,0,0.97619,1,0,0,165,0
1,0,2129,0.868056,0.625,5,0,0.086934,0,0,35.536585,0
6,0,1,2,0,0,0.984615,0.75,1,6,34,0
2,2,3,2,0,0,0.942857,1,0,0,2.333333,0
4,0,2,0.333333,1,1,0.981308,0.4,1,2,28.6,0
1,0,12,0.625,1,0,0,0.416667,0,0,49,0
1,0,0,0.5,0,0,0,0.555556,0,0,42,0
5,0,1,2,0,0,0.995327,0.625,1,1,27.5,0
4,8,6,2,0,0,0.985915,0.55,1,1,22.5,0
1,0,57,0.784722,1,0,0,0.218045,0,0,19.368421,1
4,0,10,2,0,0,0.9819,0.6,3,7,11.4,1
4,0,0,0,1,0,0.944444,0.666667,0,0,6,0
4,0,15,1,0,0,0.9819,0.375,3,8,12.166667,0
4,0,0,0.166667,0,1,0.931034,0.367347,3,17,21.142857,0
2,0,6,0.602273,1,4,0.5,0.319444,1,5,18.75,0
4,0,1,2,0,0,0.979592,0.75,1,6,35.5,0
4,0,1,2,0,0,0.979592,0.75,1,6,14,0
5,0,20,0.6875,1,1,0.965812,0.311111,5,10,63.888889,1
2,0,0,0.607143,1,2,0.555556,0.361111,1,6,39.222222,1
4,0,581,0.869779,0.545455,1,0.717557,0.142857,2,18,41.552632,1
1,0,5191,0.943807,0.666667,8,0,0.119839,0,0,15.627273,0
3,0,0,0.333333,1,2,0.865854,0.238095,2,8,68.416667,0
1,0,0,2,0,0,0,0,0,0,0,0
4,0,0,2,0,0,1,1,0,0,7,0
3,0,1,2,0,0,0.97619,0.75,1,1,7,0
4,0,0,2,0,0,1,1,0,0,3,0
5,0,19,0.75,1,2,0.858333,0.185185,4,14,12.333333,0
3,0,4,0.5,1,1,0.9375,0.36,2,5,62.6,0
2,0,2163,0.941327,0.75,6,0.197674,0.108036,1,1,17.478873,1
1,0,0,0.5,1,0,0,0.466667,0,0,6.8,0
2,0,0,2,0,0,0,1,0,0,9,0
2,0,190,2,0,0,0.634615,0.230769,2,4,16.65,1
2,0,3,2,0,0,0.5,0.555556,0,0,7,0
4,0,4,0.5,1,0,0.947368,0.36,2,8,6.4,0
4,0,1,2,0,0,0.987013,0.625,2,3,67.5,0
5,0,0,0,0,0,0.978417,0.285714,3,14,15.285714,0
2,0,28,2,0,0,0.825,0.375,2,3,9.25,0
5,0,1,2,0,0,0.982143,0.75,2,7,5,0
2,0,0,0.125,1,1,0.789474,0.197531,1,7,22.444444,0
1,0,2,0.5,1,1,0,0.342857,0,0,12.2,1
5,0,3,2,0,0,0.99,0.533333,3,5,15.666667,0
3,2,0,2,0,0,1,1,0,0,4,0
1,3,91,0.811688,0.818182,3,0,0.267857,0,0,52.466667,0
4,0,1,2,0,0,0.979592,0.75,2,7,42.5,0
1,2,196,0.975,0.4,1,0,0.15,0,0,12.761905,1
1,0,1,0.5,1,0,0,0.5,0,0,12.666667,0
4,0,0,0,0,0,0.987342,0.666667,2,3,11,0
1,0,0,2,0,0,0,1,0,0,0,0
5,0,1,2,0,0,0.982456,0.75,1,6,9.5,0
4,2,0,0.920622,1,2,0.5,0.197895,1,25,25.273684,1
3,0,1,2,0,0,0.97561,0.75,1,1,3.5,0
3,0,68,0.765,1,4,0.78022,0.210884,2,8,49.285714,0
1,0,0,0.75,0,1,0,0.666667,0,0,31.666667,0
1,0,4,0.75,0.5,1,0,0.25,0,0,7.4,0
2,0,4,0.5,1,0,0.555556,0.325,0,0,3.2,0
3,0,201,0.783654,1,0,0.444444,0.171329,1,2,24.518519,1
1,0,3,0.294118,1,0,0,0.916667,0,0,46.388889,0
1,0,0,2,0,0,0,1,0,0,0,0
4,0,0,2,0,0,1,1,0,0,4,0
4,0,10,2,0,0,0.96,0.333333,3,12,16,0
1,0,10,2,0,0,0,0.6,0,0,0,0
4,8,1030,0.851307,0.833333,4,0.616,0.145105,2,9,11.423077,1
1,0,134,0.716667,1,0,0,0.265306,0,0,12.761905,1
6,0,0,0.285714,1,2,0.933962,0.25,4,5,30.375,0
2,0,153,2,0,0,0.66,0.283951,2,4,13.888889,0
1,0,6,2,0,0,0,0.5,0,0,0,0
1,0,1,2,0,0,0,0.75,0,0,3.5,0
4,6,287,0.978462,1,1,0.795082,0.161538,1,2,13.923077,0
1,0,0,2,0,0,0,1,0,0,0,0
4,0,0,0.666667,1,2,0.969697,0.375,3,8,19.5,0
2,0,0,0.625,1,2,0.555556,0.288889,1,5,10.444444,0
5,3,0,2,0,0,1,1,0,0,3,0
4,2,257,0.807692,0.625,4,0.747573,0.138889,1,4,15.407407,1
