@relation KC1-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R2

@attribute ev(g) numeric
@attribute l numeric
@attribute i numeric
@attribute t numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute locCodeAndComment numeric
@attribute uniq_Op numeric
@attribute defects {false,true}

@data
1,0.12,36.6,139.59,0,0,0,8,false
8,0.05,35.44,797.94,3,2,0,17,false
1,0.16,21.02,45.21,0,0,0,8,false
1,0.33,24.74,12.37,0,1,0,6,false
1,0.4,7.86,2.73,0,0,0,5,false
1,0.18,23.83,41.51,0,1,0,8,false
1,0.4,7.86,2.73,0,0,0,5,false
1,0.16,21.02,45.21,0,0,0,8,false
8,0.05,35.44,797.94,3,2,0,17,false
1,0.33,24.74,12.37,0,1,0,6,false
1,0.4,7.86,2.73,0,0,0,5,false
3,0.23,50.66,53.87,0,2,0,7,false
11,0.07,58.14,583.46,1,2,0,12,false
1,0.15,17.59,46.19,0,1,0,10,false
1,0.33,16.73,8.36,0,0,0,6,false
1,0.33,16.73,8.36,0,1,0,6,false
1,0.09,30.85,235.93,0,0,0,11,false
1,0.33,16.73,8.36,0,0,0,6,false
3,0.05,44.46,1159.49,0,4,0,16,false
5,0.05,46.66,944.81,4,5,0,15,false
1,0.18,30.84,50.12,0,4,0,7,false
1,0.33,9.51,4.75,0,0,0,6,false
1,0.16,21.02,45.21,0,0,0,8,false
1,0.33,28,14,0,1,0,6,false
1,0.4,7.86,2.73,0,0,0,5,false
1,0.15,30.44,72.3,0,0,0,10,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.67,7.74,0.97,0,0,0,3,false
3,0.06,40.93,631.66,3,2,0,14,false
3,0.15,47.56,113.8,0,3,0,7,false
1,0.4,89.39,31.04,0,1,0,5,false
3,0.09,36.86,278.7,1,1,0,14,false
1,0.06,51.9,694.32,0,0,0,18,false
1,0.14,38.54,101.94,1,3,0,9,false
1,0.17,29.28,58.56,1,3,0,9,false
1,0.11,43.11,186.47,1,2,0,10,false
1,0.11,33.65,144.77,1,2,0,11,false
1,0.14,35.82,99.52,1,2,0,9,false
1,0.1,39.13,204.78,1,2,0,11,false
1,0.14,35.82,99.52,1,3,0,9,false
1,0.12,32.63,117.96,1,3,0,11,false
1,0.17,29.28,58.56,1,2,0,9,false
1,0.14,38.54,101.94,1,3,0,9,false
1,0.17,29.28,58.56,1,2,0,9,false
1,0.17,29.28,58.56,1,2,0,9,false
1,0.17,29.28,58.56,1,2,0,9,false
1,0.15,45.35,106.46,1,3,0,9,false
1,0.14,38.54,101.94,1,3,0,9,false
1,0.17,29.28,58.56,1,2,0,9,false
1,0.14,35.82,99.52,1,3,0,9,false
1,0.17,29.28,58.56,1,2,0,9,false
1,0.16,40.53,86.2,1,2,0,9,false
1,0.16,40.53,86.2,1,2,0,9,false
1,0.14,38.84,111.87,1,3,0,9,false
1,0.16,28.94,65.34,1,3,0,9,false
1,0.16,40.53,86.2,1,2,0,9,false
7,0.03,60.45,4903.03,7,9,0,21,false
5,0.09,21.06,136.46,2,2,0,12,false
1,0.07,40.82,440.26,0,6,0,11,false
1,0.24,11.95,11.71,0,0,0,7,false
1,0.18,166.37,276.49,0,1,0,8,false
1,0.16,23.6,52.04,0,3,0,9,false
1,0.16,23.6,52.04,0,3,0,9,false
1,0.17,20.85,41.7,0,3,0,9,false
1,0.09,20.92,155.01,3,4,0,11,false
5,0.07,31.23,371.07,0,0,0,12,false
3,0.05,46.71,1005.88,0,3,0,15,false
1,0.33,12.18,6.09,0,0,0,6,false
1,0.33,9.51,4.75,0,0,0,6,false
1,0.33,16.73,8.36,0,0,0,6,false
1,0.19,33.17,50.8,0,4,0,7,false
1,0.16,21.02,45.21,0,0,0,8,false
8,0.05,35.44,797.94,3,2,0,17,false
1,0.33,28,14,0,1,0,6,false
1,0.4,7.86,2.73,0,0,0,5,false
1,0.16,21.02,45.21,0,0,0,8,false
1,0.33,28,14,0,1,0,6,false
1,0.4,7.86,2.73,0,0,0,5,false
1,0.16,21.02,45.21,0,0,0,8,false
8,0.05,35.44,797.94,3,2,0,17,false
1,0.33,28,14,0,1,0,6,false
1,0.4,7.86,2.73,0,0,0,5,false
7,0.04,63.6,2369.82,7,6,0,20,false
1,0.08,50.04,403.03,0,4,0,14,false
1,0.09,49.72,335.56,0,5,0,13,false
3,0.07,46.32,477.31,0,2,0,13,false
1,0.1,46.62,281.24,0,1,0,11,false
1,0.22,19.46,21.89,1,0,0,7,false
4,0.06,29.87,463.6,0,4,0,13,false
1,0.11,38.52,163.31,0,1,0,11,false
1,0.11,32.82,153.2,0,1,0,11,false
1,0.12,17.28,66.67,0,1,0,10,false
1,0,0,0,0,0,0,1,false
1,0,0,0,0,0,0,1,false
1,0,0,0,0,0,0,1,false
1,0,0,0,0,0,0,1,false
1,0,0,0,0,0,0,1,false
1,0.2,26.11,37.07,0,1,0,7,false
1,0.17,62.53,121.12,0,0,0,8,false
1,0.33,9.51,4.75,0,0,0,6,false
1,0.12,44.55,184.86,0,4,0,11,false
1,0.31,40.76,23.64,0,2,0,6,false
1,0.34,20.16,9.53,0,2,0,5,false
1,0.25,17.92,15.93,0,0,0,6,false
1,0.33,9.51,4.75,0,0,0,6,false
1,0.11,65.97,323.84,0,3,0,12,false
1,0.31,51.76,29.22,0,2,0,6,false
1,0.27,46.22,35.51,0,2,0,7,false
1,0.11,44.45,221.64,0,1,0,12,false
1,0.08,48.52,455.53,0,3,0,13,false
1,0.33,9.51,4.75,0,0,0,6,false
1,0.17,48.95,94.09,0,0,0,8,false
1,0.07,33.51,411.6,0,2,0,18,false
1,0.31,33.72,20.07,0,2,0,6,false
1,0.1,37.72,190.32,0,2,0,12,false
1,0.14,32.84,91.22,0,0,0,11,false
1,0.5,14.26,3.17,0,0,0,4,false
1,1,8,0.44,0,0,0,2,false
1,1,8,0.44,0,0,0,2,false
1,2,16,0.22,0,0,0,1,false
1,2,16,0.22,0,0,0,1,false
1,0.13,132.09,443.93,0,0,0,10,false
1,0.18,51.49,83.77,0,0,0,8,false
1,0.33,9.51,4.75,0,0,0,6,false
1,0.25,17.92,15.93,0,0,0,6,false
1,0.15,77.55,191.48,0,0,0,9,false
1,0.31,48.04,27.33,0,2,0,6,false
1,0.11,44.45,221.64,0,2,0,12,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.11,20.85,103.56,0,1,0,13,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.12,33.04,119.76,0,0,0,10,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.06,13.45,208.69,0,2,0,13,false
1,0.07,18.76,232.94,0,0,0,13,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.21,16.32,19.74,0,0,0,8,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.19,27.26,40.96,0,0,0,8,false
1,0.31,33.72,20.07,0,2,0,6,false
1,0.19,27.26,40.96,0,0,0,8,false
1,0.31,33.72,20.07,0,2,0,6,false
1,0.33,9.51,4.75,0,0,0,6,false
1,0.31,44.37,25.47,0,2,0,6,false
1,0.34,20.16,9.53,0,2,0,5,false
1,0.09,23.68,171.67,0,1,0,11,false
3,0.04,42.1,1500.99,0,8,1,28,false
1,0.67,5.33,0.67,1,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.15,16.68,43.81,0,1,0,11,false
1,0.2,32.53,43.4,0,1,0,7,false
1,0.31,33.72,20.07,0,2,0,6,false
1,0.18,41.07,67.25,0,0,0,8,false
1,0.15,14.28,35.25,0,0,0,8,false
1,0.33,14.99,7.5,0,0,0,6,false
1,0.16,24.97,54.19,0,1,0,10,false
1,0.07,25.72,300.41,0,1,0,15,false
1,0.33,9.51,4.75,0,0,0,6,false
1,0.17,55.66,107.44,0,0,0,8,false
1,0.31,37.21,21.83,0,2,0,6,false
1,0.34,20.16,9.53,0,2,0,5,false
1,0.23,12.65,13.45,0,1,0,7,false
1,0.33,9.51,4.75,0,0,0,6,false
1,0.17,48.95,94.09,0,0,0,8,false
1,0.31,33.72,20.07,0,2,0,6,false
1,0.34,20.16,9.53,0,2,0,5,false
3,0.07,26.52,309.81,1,6,0,14,false
1,0.18,54.15,92.85,0,0,0,8,false
1,0.31,37.21,21.83,0,2,0,6,false
1,0.18,39.43,64.56,0,0,0,8,false
1,0.31,37.21,21.83,0,2,0,6,false
1,0.25,23,20.44,0,2,0,8,false
1,0.16,16.5,36.39,0,0,0,7,false
1,0.21,24.35,31.34,0,1,0,7,false
1,0.17,24.76,45.92,0,1,0,8,false
1,0.2,20.56,28.56,0,1,0,7,false
1,0.22,6.67,7.5,0,0,0,6,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0,0,0,0,0,0,1,false
1,0.5,13.5,3,0,0,0,4,false
1,0.5,13.5,3,0,0,0,4,false
1,0.5,9.83,2.18,0,0,0,4,false
1,0.5,13.5,3,0,0,0,4,false
1,0.24,23.07,21.81,0,0,0,6,false
1,0.5,13.5,3,0,0,0,4,false
1,0.24,24.92,23.56,0,0,0,6,false
1,0.22,23.69,26.65,0,0,0,6,false
1,0.22,23.69,26.65,0,0,0,6,false
1,0.05,20.7,491.24,3,3,0,16,false
1,0.18,33.6,59.94,1,2,0,10,false
1,0.29,12.85,8.74,0,0,0,7,false
1,0.33,13.29,6.64,0,0,0,6,false
1,0.29,12.85,8.74,0,0,0,7,false
1,0.33,13.29,6.64,0,0,0,6,false
1,0.05,37.59,811.63,8,10,0,24,false
1,0.29,12.85,8.74,0,0,0,7,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.13,12.8,40,0,1,0,10,false
1,0.1,9.52,52.88,0,0,0,10,false
1,0.07,20.68,267.94,1,5,0,14,false
1,0.42,17.17,5.49,0,0,0,4,false
1,0.56,21.67,3.9,0,0,0,3,false
1,0.06,27.57,408.09,3,2,0,15,false
1,0.4,12,4.17,0,0,1,5,false
1,0.33,9,4.5,0,0,1,6,false
1,0.33,9,4.5,0,0,0,6,false
1,0.33,9,4.5,0,0,1,6,false
1,0.33,14.4,7.2,0,0,1,6,false
1,0.33,9,4.5,0,0,1,6,false
1,0.33,9,4.5,0,0,1,6,false
1,0.5,11.23,2.5,0,0,0,4,false
1,0.33,9,4.5,0,0,1,6,false
1,0.12,21.79,90.94,0,0,0,12,false
1,0.05,17.38,319.88,2,0,0,14,false
1,0.13,13.87,43.33,0,1,0,10,false
1,0.5,5.8,1.29,0,0,0,4,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.33,9,4.5,0,0,0,6,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.29,8.15,5.55,0,0,0,7,false
1,0.4,10.8,3.75,0,0,0,5,false
1,0.67,16.84,2.11,0,0,0,3,false
4,0.04,37.85,1064.5,16,5,0,27,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.4,7.86,2.73,0,0,0,5,false
1,0.4,6.2,2.15,0,0,0,5,false
1,0.4,7.86,2.73,0,0,0,5,false
1,0.4,7.86,2.73,0,0,0,5,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.4,7.86,2.73,0,0,0,5,false
1,0.4,7.86,2.73,0,0,0,5,false
1,0.4,7.86,2.73,0,0,0,5,false
1,0.4,7.86,2.73,0,0,0,5,false
1,0.24,9.36,9.03,0,0,0,5,false
1,0.24,9.36,9.03,0,0,0,5,false
1,0.24,9.36,9.03,0,0,0,5,false
1,0.24,9.36,9.03,0,0,0,5,false
1,0.15,8.3,20.5,0,0,0,8,false
1,0.29,19.03,12.95,3,0,0,7,false
1,0.05,10.11,247.8,0,2,5,14,false
1,0.21,17.95,21.72,3,0,0,8,false
1,0.08,26.69,259.18,3,8,0,14,false
1,0.29,19.03,12.95,1,0,2,7,false
1,0.29,19.03,12.95,1,0,2,7,false
1,0.33,20.31,10.16,1,0,2,6,false
1,0.33,20.31,10.16,1,0,1,6,false
1,0.5,7.75,1.72,2,0,0,4,false
1,0.5,7.75,1.72,0,0,0,4,false
1,0.13,16.14,50.46,0,1,0,9,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.22,6.67,7.5,0,0,0,6,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.23,11.07,11.77,0,0,0,7,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.12,34.05,127.63,11,4,0,10,false
1,0,0,0,0,0,0,1,false
1,0.08,28.43,232.5,1,6,0,14,false
1,0,0,0,0,0,0,1,false
1,0.04,77.31,3008.45,19,21,3,17,false
1,1,18.09,1.01,0,0,0,2,false
1,2,9.51,0.13,0,0,0,1,false
1,0,0,0,0,0,0,1,false
11,0.03,39.84,2133.66,19,0,4,25,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.11,51.12,230.06,10,13,0,12,false
1,0.09,34.19,227.37,2,3,0,12,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.5,5.8,1.29,0,0,0,4,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.07,34.34,395.61,2,4,0,12,false
3,0.08,33.74,288.25,9,8,0,12,false
1,0.09,15.21,113.14,0,3,0,9,false
1,0.11,33.65,144.77,2,3,0,11,false
1,0.11,33.65,144.77,2,6,0,11,false
1,0.11,33.65,144.77,2,6,0,11,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0,0,0,0,0,0,1,false
1,0,0,0,0,0,0,1,false
1,0,0,0,0,0,0,1,false
1,0,0,0,0,0,0,1,false
1,0,0,0,0,0,0,1,false
3,0.09,48.26,354.56,0,0,0,13,false
1,0.1,18.26,102.35,0,1,0,13,false
1,0.07,66.4,703.78,3,7,0,13,false
1,0.19,13.18,20.18,0,1,0,7,false
1,0.21,8.54,10.33,0,0,0,7,false
26,0.02,193.06,18044.64,6,13,11,23,false
1,0.14,14.51,39.5,1,2,3,10,false
1,0,0,0,0,1,0,1,false
1,0,0,0,0,0,0,6,false
1,0.14,25.29,75.56,0,3,0,11,false
1,0,0,0,0,0,0,0,false
1,2,23.22,0.32,0,0,0,1,false
1,0,0,0,0,1,0,1,false
1,0,0,0,0,0,0,1,false
1,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,1,false
1,0.14,21.83,62.87,0,1,0,9,false
1,0.08,13.11,109.26,0,0,0,14,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.4,6.2,2.15,0,0,0,5,false
1,0.5,11.63,2.58,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0,0,0,0,0,0,1,false
1,0.11,25.92,128.03,0,6,0,12,false
1,0.1,36.87,200.03,0,3,0,12,false
1,0,0,0,0,0,0,1,false
1,0.25,33.18,30.06,1,0,0,7,false
10,0.03,74.25,4706.14,4,9,5,24,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.07,28.84,368.61,0,2,0,13,false
3,0.05,30.92,643.13,0,2,0,18,false
1,0.12,13.4,52,0,1,0,9,false
1,0.07,8.95,101.69,0,1,0,11,false
1,0.1,36.87,200.03,1,3,0,12,false
1,0.19,13.18,20.18,0,1,0,7,false
1,0.06,58.98,1079.25,1,20,0,17,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0,0,0,0,0,0,1,false
1,0.17,6,12,0,1,0,6,false
1,0.13,12.27,38.33,0,0,1,10,false
3,0.17,15.86,31.73,0,1,0,8,false
1,0.06,79.31,1206.15,5,12,3,14,false
1,0.06,79.11,1134.75,2,11,3,14,false
6,0.04,89.18,2488.87,20,10,3,20,false
7,0.04,93.92,2748.42,20,12,6,20,false
1,0.14,28.38,81.73,1,2,0,8,false
1,0.43,54.91,16.25,0,0,0,4,false
1,0.39,32.29,11.86,0,0,0,3,false
1,0,0,0,0,0,0,1,false
1,0,0,0,0,0,0,0,false
1,0.2,10.75,14.94,0,0,0,8,false
1,0.1,19.91,108.76,0,2,0,14,false
1,0.1,18.49,93.58,0,2,0,14,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.3,27.41,16.92,0,0,0,5,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.4,6.2,2.15,0,0,0,5,false
1,0.24,12.8,12.55,0,0,0,7,false
1,0.14,15.65,46.49,2,1,0,9,false
1,0.21,12.33,15.79,0,0,0,8,false
1,0.08,38.05,330.3,5,9,0,15,false
1,0.2,15.2,21.11,0,0,0,10,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.17,22.21,44.42,0,0,0,7,false
1,0.12,13.92,53.7,0,1,0,10,false
1,0.14,29.53,83.69,0,0,0,10,false
1,0.23,29.98,32.9,0,0,3,5,false
1,0.09,14.41,96.83,0,0,1,11,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.13,15.63,48.84,0,1,0,9,false
1,0.12,19.5,71.53,0,0,0,10,false
1,0.09,14.41,96.83,0,0,1,11,false
1,0.11,17.59,78.04,0,1,0,11,false
1,0.2,15.2,21.11,0,0,0,10,false
1,0.2,15.2,21.11,0,0,0,10,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.39,32.29,11.86,0,1,0,3,false
1,0.5,5.8,1.29,0,0,0,4,false
1,1,4.75,0.26,0,0,0,2,false
1,1,4.75,0.26,0,0,0,2,false
1,0.67,16.84,2.11,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.17,9.56,19.12,0,1,0,8,false
1,0.3,9.9,6.11,0,1,0,5,false
1,0,0,0,0,0,0,1,false
1,0,0,0,0,0,0,1,false
1,0,0,0,0,0,0,1,false
1,0,0,0,0,0,0,1,false
1,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,false
1,2,32.5,0.45,0,0,0,1,false
1,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,false
1,0.04,61.44,1891.89,0,6,0,16,false
3,0.1,30.72,162.26,1,0,0,13,false
7,0.1,50.52,258.67,1,1,0,12,false
1,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,false
9,0.09,79.66,572.64,1,1,0,13,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0,0,0,0,0,0,1,false
1,0,0,0,0,0,0,1,false
5,0.08,39.12,361.37,1,2,0,14,false
8,0.04,61.92,2150.13,9,9,0,20,false
5,0.1,40.75,236.79,3,4,0,15,false
1,0.13,34.8,119.88,1,3,0,12,false
1,0.09,25.98,190.89,1,2,0,11,false
15,0.04,70.4,2765.45,12,3,3,20,false
6,0.06,54.12,937.28,1,3,0,16,false
1,0.08,55.71,464.43,4,4,0,12,false
1,1,8,0.44,0,0,0,2,false
3,0.07,100.98,1223.74,4,12,0,16,false
1,0.16,124.45,276.88,0,1,0,9,false
1,1,4.75,0.26,0,0,0,2,false
1,1,4.75,0.26,0,0,0,2,false
1,1,8,0.44,0,0,0,2,false
1,0.09,20.93,149.34,0,1,0,12,false
1,0.29,16.92,11.51,0,0,0,7,false
1,0.4,9.6,3.33,0,0,0,5,false
1,0.4,9.6,3.33,0,0,0,5,false
1,0.29,19.58,13.33,0,0,0,7,false
1,0.4,15.95,5.54,0,0,0,5,false
1,0.4,15.95,5.54,0,0,0,5,false
1,0.4,15.95,5.54,0,0,0,5,false
1,0.29,19.58,13.33,0,0,0,7,false
1,0.4,12.68,4.4,0,0,0,5,false
1,0.4,12.68,4.4,0,0,0,5,false
1,0.4,12.68,4.4,0,0,0,5,false
1,0.29,19.58,13.33,0,0,0,7,false
1,0.4,15.95,5.54,0,0,0,5,false
1,0.29,19.58,13.33,0,0,0,7,false
1,0.29,22.33,15.19,0,0,0,7,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.1,26.23,132.77,0,1,0,10,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.06,54.44,926.16,4,12,0,14,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.5,5.8,1.29,0,0,0,4,false
1,0.5,9.83,2.18,0,0,0,4,false
1,0,0,0,0,0,0,1,false
1,0.09,23.68,171.67,0,1,0,11,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
7,0.06,42.93,708.94,4,11,0,19,false
7,0.06,33.95,615.16,2,3,1,21,false
7,0.06,33.95,615.16,2,3,1,21,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.16,29.32,66.72,1,3,0,8,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.17,22.24,44.48,1,1,0,9,false
1,0.15,32.45,77.24,1,3,0,8,false
1,0.21,91.57,110.79,0,0,0,7,false
1,0.25,20.84,17.95,3,2,0,7,false
3,0.04,28.09,817.43,0,7,0,19,false
3,0.1,9.62,57.82,0,0,0,13,false
1,0.29,16.92,11.51,0,0,0,7,false
4,0.03,45.99,3639.5,0,13,0,20,false
1,0.4,9.6,3.33,0,0,0,5,false
3,0.12,12.96,50,0,0,0,10,false
1,0.4,9.6,3.33,0,0,0,5,false
1,0.29,19.58,13.33,0,0,0,7,false
1,0.4,15.95,5.54,0,0,0,5,false
1,0.4,15.95,5.54,0,0,0,5,false
3,0.07,26.8,296.73,0,2,0,16,false
1,0.4,15.95,5.54,0,0,0,5,false
3,0.07,16.07,206.4,0,4,0,16,false
5,0.05,8.25,151.79,0,1,0,13,false
1,0.11,11.42,55.28,0,4,0,8,false
11,0.07,45.45,455.36,0,1,0,12,false
1,0.29,19.58,13.33,0,0,0,7,false
1,0.16,16.78,36.84,0,0,0,8,false
1,0.4,12.68,4.4,0,0,0,5,false
1,0.4,12.68,4.4,0,0,0,5,false
1,0.4,12.68,4.4,0,0,0,5,false
1,0.29,19.58,13.33,0,0,0,7,false
10,0.05,60.94,1555.69,1,7,0,19,false
10,0.05,54.6,1430.14,1,5,0,19,false
1,0.4,15.95,5.54,0,0,0,5,false
1,0.29,19.58,13.33,0,0,0,7,false
1,0.29,22.33,15.19,0,0,0,7,false
1,0.06,42.65,681.48,2,5,0,16,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.5,9.83,2.18,0,0,0,4,false
1,0.06,31.07,412.98,1,4,0,15,false
1,0,0,0,0,0,0,1,false
4,0.04,36.26,1002.81,0,9,0,17,false
1,0.67,16.84,2.11,0,0,0,3,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.14,11.71,34.97,0,1,0,11,false
5,0.03,48.61,4091.04,0,19,0,22,false
5,0.02,60.88,5825.12,0,16,0,22,false
5,0.02,61.07,9801.61,0,23,0,24,false
7,0.02,20.15,2730.3,0,6,0,23,false
1,0,0,0,0,0,0,1,false
1,0,0,0,0,0,0,1,false
1,0,0,0,0,0,0,1,false
1,0,0,0,0,0,0,1,false
1,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,false
8,0.07,70.05,715.84,3,4,0,14,false
1,0,0,0,0,0,0,0,false
1,0.1,29.25,147.67,0,3,0,13,false
1,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,false
1,0.17,36.95,71.62,0,2,0,9,false
1,0.15,14.28,35.25,0,1,0,8,false
1,2,9.51,0.13,0,0,0,1,false
1,1,4.75,0.26,0,0,0,2,false
1,1.6,29.72,0.64,0,0,0,1,false
1,1,4.75,0.26,0,0,0,2,false
1,2,4,0.06,0,0,0,1,false
1,0,0,0,0,0,0,0,false
1,1,4.75,0.26,0,0,0,2,false
1,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,false
1,0.04,87.91,2975.07,4,10,0,16,false
1,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,false
1,0.15,14.28,35.25,0,1,0,8,false
1,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,false
1,0.15,14.28,35.25,0,1,0,8,false
1,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0,0,0,0,0,0,0,false
1,0.4,6.2,2.15,0,0,0,5,false
1,0,0,0,0,0,0,0,false
3,0.1,48.51,271.94,2,6,0,13,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,false
