@relation 'ant-1.7_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
4,0,0,0.458333,198,1,2,0.853659,0.392857,1,3,26.714286,5,2.5714,0
2,0,0,0,44,1,0,0.75,0.555556,1,1,13.333333,4,1.6667,0
3,0,2,0.888889,85,1,0,0.833333,0.5,0,0,19.5,6,2,1
1,0,407,0.904762,615,0.904762,2,0,0.316129,0,0,18.16129,11,1.4516,0
3,0,3,2,25,0,0,0.8,0.666667,2,2,7.333333,1,0.6667,0
2,0,0,0.333333,85,1,0,0.75,0.5,0,0,19.75,1,0.75,0
5,0,0,0,29,1,0,0.954545,0.625,0,0,6,1,0.25,0
1,0,200,0.805556,528,1,2,0,0.219388,0,0,17.571429,8,1.8571,1
1,0,0,0.5,56,1,0,0,0.375,0,0,8,3,1.1667,0
1,0,0,0.666667,64,1,0,0,0.533333,0,0,11.2,1,0.8,0
1,0,3,2,3,0,0,0,0.47619,0,0,0,1,1,0
1,28,35,0.740741,75,1,2,0,0.32,0,0,6.2,3,1.1,0
5,0,0,0.571429,172,1,0,0.823529,0.375,2,5,20.125,4,1.125,0
6,0,185,0.811688,249,0.857143,0,0.872093,0.21118,1,7,9.521739,3,1.3913,0
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,1,20,0.914286,136,0.4,4,0.615385,0.47619,1,1,15.375,7,1.5,0
4,0,10,2,71,0,0,0.957895,0.533333,1,1,13.2,2,1,0
1,0,38,0.631818,620,0.818182,0,0,0.293651,0,0,28,3,0.8571,1
6,0,6,2,44,0,0,0.969697,0.625,2,3,10,2,1,0
2,0,3,2,202,0,0,0.882353,0.666667,1,2,66.333333,14,5,0
4,0,67,0.8,304,1,5,0.866667,0.261538,1,2,20.357143,4,1.2857,1
5,0,381,0.919048,376,1,0,0.74359,0.241935,2,4,10.677419,4,1.5161,0
5,0,1,2,76,0,0,0.953488,0.666667,1,1,24.333333,4,1.6667,0
1,0,0,0,45,1,0,0,0.666667,0,0,13.333333,2,1,0
5,0,21,0.55,265,1,0,0.896104,0.363636,2,4,22.727273,7,1.7273,0
4,0,15,0.833333,56,0.666667,0,0.894737,0.47619,1,1,6.571429,1,0.8571,0
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
3,2,744,0.902098,1828,0.846154,2,0.4625,0.13986,1,1,39.044444,19,2.2444,1
1,1,1,0,22,1,0,0,0.666667,0,0,6,1,0.6667,0
3,0,0,0.6,1254,1,0,0.880952,0.555556,1,1,207.333333,2,1,0
2,2,8,0.958333,101,0.166667,5,0.8,0.625,1,1,18,1,0.4,0
3,0,79,0.890756,322,0.857143,3,0.698113,0.268908,1,1,16.111111,3,1,0
4,0,1,2,12,0,0,0.971429,0.75,1,1,5,1,0.5,0
3,0,246,0.722826,610,0.875,1,0.566038,0.154167,1,1,24.083333,14,2.5417,0
3,0,12,0.75,75,1,0,0.822222,0.259259,0,0,7,1,0.8889,0
1,0,21,2,105,0,0,0,0.2,1,1,14,8,2.4286,1
1,0,6692,0.975471,2384,0.594595,5,0,0.090084,0,0,18.558333,6,1.4167,1
1,0,19,0.666667,373,0,0,0,0.416667,0,0,52.142857,6,2,0
4,0,271,0.891247,788,1,3,0.735849,0.216749,2,2,24.833333,3,1.1667,1
4,0,37,0.9,178,0.428571,0,0.827586,0.386364,2,3,14.545455,4,1.3636,0
1,0,31,0.703704,76,1,1,0,0.375,0,0,6.3,2,1.1,1
4,0,108,0.95625,345,0.4,1,0.8,0.254902,2,6,18.705882,4,1.5882,0
3,0,461,0.80303,1021,0.5,3,0.491803,0.127706,2,6,28.911765,7,2.2353,1
4,0,183,0.94958,307,0.470588,0,0.695652,0.386364,2,3,12.181818,11,1.5455,0
3,0,0,0.595238,110,0.833333,2,0.833333,0.571429,0,0,12,2,1.375,0
1,0,4,0.416667,156,1,0,0,0.3125,0,0,16,6,1.8889,0
3,0,29,0.888889,260,0.666667,3,0.804348,0.228571,3,3,21.818182,2,1,0
2,0,1,2,149,0,0,0.958333,1,0,0,73.5,1,0.5,0
2,0,3,0.7,123,0.5,1,0.6,0.55,0,0,19.166667,2,0.8333,0
1,0,138,0.789474,703,0.421053,6,0,0.177632,0,0,33.2,11,2.3,0
3,0,16,0.761905,152,1,0,0.840909,0.75,0,0,17.625,3,1.375,0
4,0,84,0.94359,234,0.461538,0,0.761905,0.375,2,3,12.8125,6,1.3125,0
4,0,265,0.895604,1542,1,3,0.75,0.177778,1,1,55.592593,10,2.963,1
3,15,57,0.818182,312,1,0,0.72549,0.45,0,0,19.066667,4,1.1333,0
3,0,41,0.704082,469,0.785714,1,0.454545,0.311111,1,2,29.333333,1,0.8,1
3,0,44,0.781818,240,0.4,1,0.75,0.254545,1,3,18.583333,6,2.1667,0
2,1,24,0.85,404,1,0,0.6875,0.458333,1,3,43.333333,2,0.6667,1
1,0,10,2,5,0,0,0,0.5,0,0,0,1,1,0
6,0,16,0.809524,147,1,1,0.9625,0.357143,3,9,17,2,0.875,1
1,0,1,2,2,0,0,0,0.75,0,0,0,1,1,0
4,0,962,0.965046,837,0.678571,4,0.629032,0.155319,3,3,15.854167,7,1.375,1
1,1,6,2,152,0,0,0,0.75,0,0,37,7,2.25,0
1,0,0,0.566667,186,1,1,0,0.619048,0,0,24.857143,6,2.2857,1
5,0,0,2,11,0,0,1,1,0,0,9,0,0,0
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
6,0,0,0.333333,52,1,0,0.973913,0.75,2,2,11.75,2,1,0
4,0,10,0.75,81,1,0,0.924528,0.44,2,2,15,5,2,0
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
1,0,6,2,4,0,0,0,0.625,0,0,0,1,1,0
1,0,1,0.666667,121,0.666667,0,0,0.666667,0,0,38.333333,5,1.6667,0
3,0,1,2,25,0,0,0.969697,1,0,0,11.5,1,0.5,0
1,0,6,2,20,0,0,0,0.875,0,0,4,1,0.75,0
1,0,1,0.5,89,1,0,0,0.5,0,0,28.333333,1,0.3333,0
1,0,0,0,47,1,0,0,0.833333,0,0,22,3,1.5,0
3,0,4,0.771429,167,1,4,0.810811,0.25,1,3,19.25,5,2,0
3,0,3,2,25,0,0,0.8,0.666667,2,2,7.333333,1,0.6667,0
1,0,3,2,3,0,0,0,1,0,0,0,1,1,0
4,0,0,0.55,134,0,0,0.927273,0.533333,1,1,24.8,1,0.8,0
4,0,1,2,9,0,0,1,0.75,0,0,3.5,0,0,0
3,0,15,0.730769,468,0,1,0.74,0.214286,2,2,31.857143,2,1.0714,0
2,0,3,2,12,0,0,0.954545,0.555556,1,12,3,1,0.6667,0
1,0,10,0.875,353,0.25,1,0,0.277778,0,0,37.333333,3,1.1111,1
3,0,0,2,5,0,0,1,1,0,0,4,0,0,0
1,0,0,0.5,141,1,1,0,0.288889,0,0,14.111111,4,1.3333,0
2,0,0,0,70,1,0,0.5,0.458333,1,1,10.333333,1,0.8333,0
1,0,1,2,2,0,0,0,1,0,0,0,1,1,0
4,0,189,0.919414,333,0.538462,0,0.695652,0.397727,2,3,13.545455,8,1.5455,0
2,0,6,2,119,0,0,0.625,0.5,0,0,28.75,1,0.75,0
5,0,15,0.833333,34,1,0,0.938144,0.47619,0,0,3.428571,1,0.8571,0
1,0,0,0,12,1,0,0,0.75,0,0,4.5,1,0.5,0
4,0,104,0.8125,185,1,0,0.791045,0.328125,2,10,9.764706,4,1.2941,0
4,0,23,0.688889,319,1,1,0.604651,0.119298,2,4,15.526316,6,1.2105,0
1,0,42,0.654545,146,0.8,0,0,0.263889,0,0,10.75,1,0.8333,0
3,0,365,0.888095,778,1,2,0.552239,0.114919,1,3,23.645161,22,2.2903,1
2,0,95,0.946429,202,0.75,1,0.813333,0.266667,1,1,12.2,2,1.0667,0
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
3,0,130,0.846561,1139,0.928571,2,0.596774,0.151515,3,5,39.178571,6,1.6786,1
1,0,0,0,58,1,0,0,0.533333,0,0,8.5,1,0.6667,0
1,0,3,2,3,0,0,0,0.666667,0,0,0,1,1,0
1,0,51,1.01,314,0.6,0,0,0.22,0,0,26.636364,4,1.3636,1
3,1,0,0,189,1,0,0.555556,0.08,1,1,6.52,1,0.96,0
3,0,0,2,5,0,0,1,1,0,0,4,0,0,0
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
2,0,1,2,80,1,0,0.75,0.75,1,1,38.5,1,0.5,0
3,0,13,0.75,55,0.5,0,0.8,0.833333,0,0,6.571429,2,0.8571,0
2,0,0,0,96,1,1,0.916667,0.5,1,3,22.75,5,1.75,0
1,0,21,0.728395,182,1,0,0,0.34,0,0,16.3,7,1.5,1
4,0,0,0,55,0,0,0.962264,0.666667,1,1,17,1,0.6667,0
4,0,21,2,92,0,0,0.938144,0.428571,1,1,12.142857,2,1,0
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
3,1,225,0.872727,526,1,2,0.606557,0.24,0,0,18.807692,10,1.3077,1
3,2,362,0.941935,941,0.76,3,0.544118,0.201389,3,3,27.625,45,2.625,1
1,0,440,0.860119,1095,0.809524,7,0,0.110577,0,0,31.545455,11,1.9697,0
3,1,294,0.897619,796,0.933333,4,0.578125,0.162698,2,2,25.931034,5,1.3793,0
5,0,0,0.25,163,1,0,0.947917,0.285714,3,10,22,5,1.4286,0
3,0,1,2,7,0,0,0.909091,0.75,1,1,2.5,1,0.5,0
4,0,9,0.7,217,1,2,0.886364,0.363636,2,2,18.363636,3,1.4545,0
1,0,50,0.937037,682,1,1,0,0.288889,0,0,40.5,9,2.875,1
1,0,0,2,22,0,0,0,0,0,0,0,0,0,0
3,0,1,2,17,0,0,1,1,0,0,7.5,0,0,0
1,4,71,0.97619,390,0.333333,2,0,0.228571,0,0,24.4,18,2.3333,1
3,0,2,0.666667,48,1,0,0.925,0.5,0,0,10.5,1,0.75,0
4,0,10,0.929688,323,1,1,0.864407,0.277778,0,0,33.111111,4,1.4444,0
4,0,55,2,122,0,0,0.90099,0.30303,1,1,10.090909,2,1,0
1,0,15,2,211,0,0,0,0.4,0,0,34.166667,3,1.3333,0
3,0,1,2,108,0,0,0.987179,0.625,1,3,53,8,4,0
5,0,12,0.5,217,1,0,0.8,0.481481,2,5,22.666667,1,0.7778,0
3,0,4,0.75,178,1,1,0.925,0.5,2,2,34,11,2.6,0
4,0,56,0.94697,298,1,0,0.822581,0.472222,2,2,21.076923,4,1.0769,0
4,0,1,2,10,0,0,0.985507,0.75,1,1,4,1,0.5,0
4,0,17,0.883761,1100,1,3,0.639344,0.074667,3,5,22.630435,16,1.6739,1
2,1,2,0.690476,194,1,0,0.5625,0.35,0,0,22.5,4,1.5,0
3,0,0,0.77551,190,0.857143,1,0.840909,0.8125,1,1,21.875,3,1.25,0
3,4,601,0.928458,534,1,1,0.5,0.289474,0,0,12.605263,5,1.3684,0
1,0,11,0.666667,72,1,0,0,0.571429,0,0,8.857143,5,1.4286,0
5,0,0,2,18,0,0,1,1,0,0,17,0,0,0
1,0,1,2,2,0,0,0,1,0,0,0,1,1,0
3,0,435,0.933014,1020,0.947368,3,0.536232,0.188552,2,2,28.441176,46,3.0588,1
5,0,10,2,24,0,0,0.961538,0.4,1,2,3.8,1,0.6,0
1,0,161,0.770833,2117,0.791667,0,0,0.14876,0,0,90,53,4.5217,1
5,0,0,0.688889,221,1,0,0.777778,0.3,2,5,20.6,5,1.2,0
3,0,1715,0.922939,2328,0.861111,9,0.377551,0.091642,2,4,35.380952,21,2.0794,1
4,5,15,2,67,0,0,0.956044,0.583333,3,4,10.166667,2,1.1667,0
1,0,0,0.333333,100,1,1,0,0.5,0,0,23.5,3,1.25,0
3,0,0,0.5,148,1,0,0.888889,0.8,0,0,28,1,0.8,0
3,0,1304,0.891326,1152,1,5,0.389474,0.098246,1,4,17.916667,5,1.3167,1
1,0,45,2,10,0,0,0,0.36,0,0,0,1,1,0
4,0,6,2,68,0,0,0.961039,0.5,1,2,16,2,1,0
3,0,0,0,26,1,0,0.869565,0.625,0,0,5.25,1,0.75,0
2,1,3,2,11,0,0,0.818182,0.666667,0,0,2.666667,1,0.6667,0
3,0,1,0.7,135,1,0,0.880952,0.416667,3,3,20.833333,1,0.8333,0
3,0,8,0.625,298,1,0,0.842105,0.542857,1,1,57.8,1,0.6,1
3,0,9,0.85,261,0.25,0,0.880952,0.375,1,1,41.833333,4,1.3333,0
3,0,18,1,182,0.428571,1,0.860465,0.285714,0,0,20.875,1,0.75,0
1,0,14,0.65625,88,1,0,0,0.518519,0,0,8.333333,1,0.8889,0
2,0,0,0.333333,57,1,0,0.842105,0.875,1,1,13,5,1.75,1
3,0,9,0.733333,212,0.6,0,0.860465,0.285714,1,1,28.571429,4,2,1
1,0,16,0.85,123,1,1,0,0.311111,0,0,12.111111,7,1.6667,0
4,0,14,0.770833,586,1,1,0.906977,0.333333,4,4,63.444444,8,2.1111,0
1,0,0,2,26,0,0,0,1,0,0,3,0,0,1
3,0,248,0.876543,860,0.952381,3,0.526316,0.189286,1,4,28.964286,28,3.3214,0
2,0,3,2,145,0,0,0.92,1,0,0,47.333333,10,3.6667,0
4,0,3,2,33,0,0,0.972222,0.555556,0,0,10,4,1.3333,0
3,0,9,0.796296,260,0.833333,1,0.804348,0.34,3,3,24.4,16,2.7,1
3,0,7,0.866667,98,1,0,0.925373,0.458333,2,4,14.833333,2,1.1667,0
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3,0,14,0.875,345,1,0,0.766667,0.375,3,5,36.555556,3,1.2222,0
4,0,4,0.916667,109,0.333333,0,0.923077,0.466667,2,3,20.2,2,1,0
4,0,66,2,173,0,0,0.892157,0.305556,1,1,13.416667,5,1.4167,0
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
4,0,151,0.921769,1224,0.285714,2,0.787879,0.17803,1,1,54,12,2.2273,1
2,0,6,1.285714,130,0,0,0.8125,1,0,0,29.75,1,0.75,1
4,0,150,0.95614,455,0.611111,2,0.769231,0.289474,0,0,20.85,6,1.3,1
5,1,196,0.878205,800,1,1,0.701299,0.21875,0,0,30.48,6,1.68,1
3,0,20,0.716667,369,1,1,0.755102,0.211538,1,1,27,6,1.4615,0
2,0,3,2,50,0,0,0.92,1,0,0,15.666667,1,0.6667,0
1,1,41,0.833333,129,1,1,0,0.37037,0,0,11.7,3,1.4,0
1,1,3,0.666667,43,1,0,0,0.47619,0,0,4.714286,1,0.8571,0
5,0,622,0.886946,1031,0.863636,6,0.493506,0.115625,2,4,24.225,21,2.35,1
2,0,3,2,241,0,0,0.882353,0.666667,1,2,79.333333,18,6.3333,1
2,7,0,0.666667,198,1,0,0.28125,0.092,0,0,6.8,2,0.96,0
4,0,203,0.88,399,1,0,0.671053,0.487179,1,1,13.884615,1,0.9615,0
1,0,15,2,125,0,0,0,0.4,0,0,19.833333,1,0.8333,1
4,0,154,0.942982,377,0.5,0,0.693548,0.3,2,2,17.25,6,1.2,0
3,0,15,0.7375,493,1,1,0.804348,0.271429,1,1,43.090909,1,0.8182,1
1,0,0,0,74,1,1,0,0.6,0,0,35,1,0.5,0
4,0,6,2,74,0,0,0.947368,0.875,0,0,17.5,2,1,0
1,0,82,0.820313,598,1,0,0,0.183824,0,0,33.705882,3,0.9412,1
1,0,4,0.777778,221,0.333333,0,0,0.333333,0,0,53.5,3,1.25,0
3,0,34,0,60,1,0,0.8,0.666667,1,1,5.555556,2,1,0
5,0,29,0.87574,377,0.538462,2,0.76,0.196581,1,4,25,9,2.2857,0
5,0,25,0.837607,492,0.777778,2,0.80597,0.241071,1,1,33.5,17,2.5,0
4,0,9,0.8,72,1,1,0.933333,0.7,0,0,10.5,3,1.1667,0
4,4,347,0.861111,1270,1,5,0.719626,0.122984,3,9,39.387097,19,2,1
3,0,144,0.836364,507,1,3,0.660714,0.1875,2,2,22.619048,4,1.4286,0
1,0,353,0.80719,776,0.777778,0,0,0.16,1,1,20.657143,4,1.2,1
1,0,6,2,127,0,0,0,0.375,0,0,30.75,6,2.5,0
1,0,4,0.333333,35,1,1,0,0.583333,0,0,7.5,2,1,0
2,0,3,0.666667,108,1,0,0.5,0.428571,1,1,13.714286,2,1,0
3,0,0,0.685714,141,1,0,0.840909,0.35,1,1,16,1,0.875,0
1,0,21,2,66,0,0,0,0.52381,0,0,8.428571,1,0.8571,0
1,0,4,0.666667,45,1,1,0,0.555556,0,0,10,1,0.5,0
1,0,0,0,12,1,0,0,0.75,0,0,4.5,1,0.5,0
1,0,0,0.708333,112,0.75,0,0,0.47619,0,0,14.428571,4,1.4286,1
4,0,66,2,130,0,0,0.892157,0.305556,1,1,9.833333,2,1,0
3,0,1,0.5,14,1,0,0.973684,1,0,0,3.333333,1,0.3333,0
2,0,1,2,10,0,0,1,0.666667,0,0,4,0,0,0
3,0,1,2,23,0,0,0.969697,1,0,0,10.5,1,0.5,0
1,0,311,0.75,644,1,0,0,0.17619,0,0,19.645161,16,2.1935,1
5,0,0,0,13,1,0,0.954545,0.75,0,0,5,1,0.5,0
4,0,18,0.875,120,0.5,0,0.843137,0.361111,1,1,11.666667,4,1.2222,0
1,0,1,2,2,0,0,0,0.666667,0,0,0,1,1,0
3,0,160,0.859649,206,1,0,0.672727,0.263158,1,1,9,2,1.05,1
3,2,321,0,191,1,0,0.535714,0.084656,0,0,6.037037,4,1.1852,1
4,0,2,0.625,146,1,1,0.913043,0.36,2,5,27.8,5,2,0
2,0,1,2,66,1,0,0.958333,1,0,0,31.5,1,0.5,0
2,0,1,1.25,163,0.25,0,0.958333,1,0,0,78.5,1,0.5,0
4,0,0,0.333333,81,1,0,0.944444,0.5,1,1,18.75,1,0.75,0
5,0,0,0.703704,251,1,1,0.777778,0.375,2,4,23.2,5,1.6,0
1,0,625,0.878719,1561,0.913043,1,0,0.111111,0,0,38.435897,27,2.2308,1
3,1,4,0.666667,17,1,0,0.925,0.625,0,0,3,1,0.75,0
4,0,41,0.888889,134,1,0,0.883333,0.407407,1,6,12.2,3,1.3,0
5,2,349,0.857407,1413,1,8,0.811688,0.115789,4,16,44,7,1.4839,1
4,0,753,0.94835,707,0.941176,4,0.655462,0.140693,3,3,15.428571,5,1.4048,0
1,0,15,0.333333,154,1,0,0,0.32,1,1,14.3,4,1,1
1,3,80,0.858333,254,0.875,2,0,0.241071,0,0,14.375,3,1.375,0
2,1,0,0.5,246,1,0,0.5625,0.333333,1,2,25.888889,1,0.7778,0
5,0,4,0.785714,266,0.428571,0,0.826087,0.296296,1,4,27.777778,11,2.8889,0
3,0,65,0.910256,378,1,1,0.74,0.595238,1,1,25.142857,2,1,0
3,3,39,0.547619,310,1,0,0.681818,0.222222,2,5,19.466667,7,1.8667,1
6,1,0,2,4,0,0,1,1,0,0,3,0,0,0
1,0,3,2,17,0,0,0,0.555556,0,0,4.666667,1,0.6667,0
3,7,328,0.880952,471,0.777778,0,0.566038,0.234694,3,4,14.931034,6,2.0345,0
4,0,0,0.76,195,1,0,0.910714,0.416667,0,0,30.666667,1,0.8333,0
3,0,21,0.666667,214,1,0,0.804348,0.433333,0,0,20,2,1,0
3,0,10,2,144,0,0,0.882353,0.4,0,0,27.8,6,3,0
1,0,0,0,19,1,0,0,0.666667,0,0,5,1,0.6667,0
3,0,5,0.733333,94,1,0,0.880952,0.5,0,0,14.166667,1,0.8333,0
3,4,739,0.928862,898,0.958333,2,0.474359,0.193122,0,0,19.809524,10,1.619,1
1,0,21,2,264,0,0,0,0.309524,0,0,36.714286,9,2,0
6,0,0,0.333333,52,1,0,0.973913,0.75,2,2,11.75,2,1,0
4,3,0,0.392857,153,1,1,0.619048,0.322222,1,3,9.066667,2,0.6667,0
3,0,61,0.647059,549,1,2,0.685185,0.181818,0,0,29.388889,8,1.9444,1
1,0,3,2,19,0,0,0,0.5,0,0,5.333333,1,0.6667,0
1,59,28,0.75,130,0.666667,0,0,0.481481,0,0,13.111111,5,1.4444,0
2,0,13,0.8,280,0,1,0.615385,0.583333,0,0,45.5,5,2.1667,0
3,0,57,0.769231,386,1,1,0.74,0.314286,0,0,26.071429,2,1.1429,0
3,0,0,0.998522,822,1,1,0.536232,0.308081,1,1,21.970588,4,1.5588,0
2,0,9,0.722222,156,1,1,0.5,0.25,1,1,14,3,1.1,0
1,0,3,2,24,0,0,0,0.666667,0,0,7,4,1.6667,0
2,0,0,0,34,1,0,0.818182,0.666667,0,0,10,2,1,0
1,0,224,0.720238,460,1,1,0,0.2,0,0,17.12,5,1.84,1
1,0,1,2,265,0,0,0,0.5,0,0,131.5,1,0.5,0
1,0,0,2,3,0,0,0,1,0,0,0,1,1,0
4,0,10,2,81,0,0,0.948718,0.8,1,2,15.2,3,1.2,0
1,0,0,0.883333,616,0.25,1,0,0.166667,1,1,36.5,8,1.5625,1
1,0,1,2,8,0,0,0,0.75,0,0,3,1,0.5,0
4,0,142,0.785185,503,1,1,0.742857,0.183036,2,2,16.785714,3,1.1429,0
3,0,391,0.922807,977,0.894737,5,0.560606,0.15,3,3,29.903226,3,1.129,0
2,0,53,0.740093,2106,1,2,0.257143,0.209877,1,2,75.777778,9,1.4815,1
2,0,3,2,116,0,0,0.92,0.555556,0,0,37.666667,4,1.6667,0
3,0,218,0.889881,671,1,2,0.616667,0.325,1,1,25.28,10,1.56,0
2,0,230,0.958333,877,0.789474,0,0.571429,0.222222,1,4,33.32,5,1.64,1
2,0,15,0.722222,487,0.333333,0,0.727273,0.367347,2,4,68.142857,13,3.1429,1
4,0,168,0.923077,302,0.538462,0,0.705882,0.392857,2,3,12.761905,7,1.4762,0
1,0,11,0.85,202,1,0,0,0.361111,0,0,32,1,0.8333,0
1,0,22,0.783333,552,0.9,4,0,0.147436,0,0,40.692308,6,1.3846,0
2,0,8,1,165,0.3,0,0.5625,0.6875,0,0,18.375,2,1,0
1,0,0,2,115,0,0,0,1,0,0,100,0,0,0
4,0,10,2,87,0,0,0.948718,0.533333,1,2,16.4,3,1.2,0
1,0,1,2,2,0,0,0,0.75,0,0,0,1,1,0
2,0,48,0.636364,203,1,0,0.744186,0.21875,1,1,15.75,7,1.5833,0
3,0,10,0.714286,281,1,0,0.840909,0.325,1,1,33.625,4,1.25,0
3,0,217,0.777143,811,0.785714,1,0.555556,0.21978,2,3,29.653846,7,1.9615,1
2,0,1,0.6,84,1,0,0.545455,0.444444,1,1,12.333333,2,1,0
1,0,0,0.3,135,1,0,0,0.444444,0,0,21.166667,4,2,0
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
1,0,0,0.75,101,0.5,0,0,0.666667,0,0,32,1,0.6667,0
2,1,0,2,4,0,0,1,1,0,0,3,0,0,0
4,0,0,0.5,108,0.5,0,0.944444,0.75,3,3,25.5,1,0.75,0
3,0,4,0.666667,147,1,0,0.925,0.75,1,1,35.5,1,0.75,0
2,0,4,0.75,137,0.5,0,0.8125,0.5,0,0,26,2,1,0
1,1,15,0.833333,42,1,0,0,0.714286,0,0,4.571429,1,0.8571,0
5,0,0,0,13,1,0,0.954545,0.75,0,0,5,1,0.5,0
3,0,136,0.824561,515,1,5,0.672727,0.167464,0,0,24.15,7,1.45,1
3,0,0,0,35,1,1,0.9375,0.666667,0,0,10.333333,2,1,0
5,0,0,0.555556,150,1,0,0.848485,0.47619,2,5,20,4,1.1429,0
3,0,23,0.833333,380,0.888889,1,0.804348,0.36,1,1,32.727273,1,0.8182,1
3,0,0,0.7,247,1,1,0.787234,0.454545,1,1,21.090909,2,1.4545,0
4,0,16,0.822917,140,1,2,0.686275,0.235294,1,1,6.882353,1,0.9412,0
1,0,6,0.571429,284,1,0,0,0.541667,0,0,34.25,13,2.375,0
3,0,344,0.864198,874,0.555556,4,0.535714,0.243386,1,1,29.892857,9,2.0714,0
1,0,6,0.666667,79,0,0,0,0.333333,0,0,18.25,2,1,0
1,0,0,0.428571,1107,0,0,0,0.714286,0,0,137.125,3,1.125,0
2,0,10,1.25,171,0.333333,0,0.851852,0.466667,0,0,32.6,7,2,0
4,0,3,1,71,0,0,0.961538,1,2,4,22.333333,3,1.6667,0
1,0,7,0.333333,105,1,0,0,0.714286,0,0,13.571429,7,1.4286,0
1,2,16,0.285714,89,1,0,0,0.4375,0,0,10,6,1.875,0
2,1,0,0.333333,90,1,0,0.6,0.464286,0,0,11.571429,3,1.2857,0
1,1,46,0.836364,223,1,0,0,0.270833,0,0,17.166667,1,0.9167,0
1,0,653,0.899826,1212,1,3,0,0.146341,0,0,27.190476,40,2.2619,1
1,0,15,0.333333,121,1,0,0,0.4,1,1,11,4,1,1
1,0,12,0.428571,109,1,0,0,0.5,0,0,12.25,3,1.125,0
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
5,0,3,2,52,0,0,0.96875,0.555556,1,1,16.333333,3,1.6667,0
2,0,3,2,105,0,0,0.8,0.666667,0,0,34,2,1,0
1,0,1,2,2,0,0,0,0.75,0,0,0,1,1,0
5,3,1836,0.945578,888,1,1,0.58,0.121094,2,3,12.546875,6,1.4844,0
1,0,34,0.715909,386,1,0,0,0.333333,0,0,30.5,3,1.1667,0
3,0,0,0,32,1,0,0.948718,0.666667,0,0,9.333333,1,0.6667,0
3,3,1145,0.728448,1035,1,2,0.344828,0.061743,2,3,16.40678,8,1.8475,1
2,0,3,0.666667,108,1,0,0.5,0.428571,1,1,13.714286,2,1,0
1,0,91,2,14,0,0,0,0.271429,0,0,0,1,1,0
1,0,6,2,4,0,0,0,0.4,0,0,0,1,1,0
3,0,48,0.892857,355,1,1,0.755102,0.195804,1,1,25.769231,2,1.0769,0
1,0,191,0.807359,850,0.333333,7,0,0.1875,0,0,35.043478,11,2.4783,0
1,0,6,2,16,0,0,0,0.875,0,0,3,1,0.75,0
1,0,70,0.833333,155,1,1,0,0.083333,0,0,10.615385,2,0.9231,0
2,0,1,2,20,0,0,0.875,0.75,1,1,9,1,0.5,0
3,21,0,0,327,1,1,0.474359,0.073413,2,2,6.761905,6,1.1667,0
1,6,316,0.940625,1367,0.6,5,0,0.176309,0,0,39.818182,10,2.0909,0
2,0,1,1.625,167,0,0,0.928571,1,0,0,78.5,1,0.5,1
4,0,28,2,122,0,0,0.88,0.3125,1,1,14.25,6,1.75,0
1,0,429,1.013793,1038,0.8,0,0,0.108333,0,0,33.266667,9,1.9,1
2,2,0,0.866667,143,1,0,0.454545,0.392857,1,1,18.714286,1,0.8571,0
5,0,58,0.690909,213,1,0,0.97543,0.4,0,0,16.333333,2,1,1
3,0,0,0.611111,98,1,2,0.478261,0.282051,1,1,6.307692,1,0.9231,1
1,0,6,2,97,0,0,0,0.5,0,0,23.25,1,0.75,0
3,1,2,0.714286,336,1,1,0.840909,0.35,2,2,40.25,2,1.125,1
3,0,36,0.727273,214,1,2,0.731707,0.555556,1,1,16.25,1,0.9167,0
2,0,0,0.375,51,1,0,0.6,0.466667,1,1,8.8,1,0.8,0
1,1,22,0.541667,135,1,0,0,0.666667,0,0,13.666667,4,1.2222,0
2,0,0,0.333333,37,1,0,0.75,0.625,0,0,8,3,1.25,0
4,0,1,2,25,0,0,0.980769,1,1,1,11.5,1,0.5,0
4,0,60,0.809524,362,1,2,0.83871,0.25,3,3,21.1875,2,1,0
1,2,77,0.871429,109,1,2,0,0.333333,0,0,5.933333,2,1,0
4,0,1,2,12,0,0,0.971429,0.75,1,1,5,1,0.5,1
