@relation camel-1.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R11

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,0,0,3,0.333333,0,0.5,0,7.25,1,0
1,0,36,0,6,2,0,0.142857,0,4.666667,0.8889,0
5,0,3,1,1,1.5,0,0.777778,0,4.333333,0,0
5,0,27,1,10,0.690476,1,0.222222,1,16.866667,1,0
1,0,6,1,19,0.416667,3,0.265625,0,15,1.1111,1
3,0,0,1,4,0.333333,0,0.4375,1,5.75,0.75,0
1,0,0,0,0,2,0,1,0,0,1,0
1,0,10,5,4,2,0,0.4,0,0,1,1
2,0,339,3,24,0.912088,2,0.144231,2,10.407407,1.037,0
1,0,43,1,9,0,2,0.257143,0,9.1,1.2,1
2,0,3,0,1,2,0,0.666667,2,3,0.3333,0
1,0,153,5,17,2,0,0.166667,0,7.555556,1.0556,0
1,0,1,6,0,2,0,1,0,0,1,0
1,0,1,6,2,2,0,0.666667,0,0,1,1
1,0,6,5,4,2,0,0.458333,0,14.5,1.25,0
2,0,1,2,11,0.75,3,0.466667,2,13,0.8333,1
3,0,0,1,6,0.666667,2,0.285714,1,10.571429,0.8571,0
1,0,12,1,11,0.771429,4,0.309524,0,10.875,1.125,0
4,0,5,0,4,0.5,0,0.533333,2,15.166667,0.8333,1
1,0,0,8,1,2,0,1,0,0,1,0
1,0,58,35,16,0.805556,4,0.196581,0,12.615385,1.5385,1
3,0,21,1,23,2,0,0.47619,2,29.428571,1.1429,0
2,0,66,2,14,0.541667,1,0.34375,1,17,1.0769,1
3,2,3,3,3,2,0,0.555556,1,4.666667,0.6667,1
3,0,0,2,8,0.666667,2,0.36,1,25.333333,1.5,1
3,0,0,1,12,0.642857,2,0.314286,0,12.75,0.875,0
1,0,0,1,3,0,0,0.583333,0,9,0.6667,0
3,2,1,2,5,2,0,0.625,0,23.5,1.5,0
1,0,3,11,2,2,0,0.555556,0,0,1,1
1,0,39,5,12,0.8,4,0.272727,0,7.818182,0.9091,0
1,0,0,0,0,2,0,0,0,0,0,0
2,0,3,0,1,2,0,0.666667,2,3,0.3333,1
3,0,3,1,6,0,1,0.375,1,6.5,0.8333,0
1,0,43,1,3,0.1,1,0.363636,0,10.181818,1.2727,0
2,0,44,6,16,0.797619,3,0.229167,1,17.538462,0.8462,1
2,0,3,1,3,2,0,1,1,109,0.6667,0
1,0,105,102,1,2,0,0.311111,0,0,1,1
1,0,0,1,2,0,1,0.75,0,4.5,0.5,1
4,0,26,3,8,0.857143,0,0.416667,1,4.25,0.875,0
1,13,100,24,7,0.783333,2,0.239583,0,9.1875,1.0625,1
1,0,1,2,1,2,0,1,0,0,1,0
1,0,5,2,0,0.7,0,0.5,0,25.666667,0.5,1
1,0,0,1,2,0.5,0,0.666667,0,8,0.6667,0
1,0,1,31,0,2,0,0.833333,0,0,1,0
2,0,17,6,5,0.666667,1,0.375,0,11.571429,1,0
1,0,39,0,4,0.692308,1,0.261538,0,15.142857,0.8571,0
1,0,1,4,5,0,1,0.5,0,7.333333,0.3333,1
1,0,1,1,3,2,0,0.666667,0,25,1.5,1
1,0,1,0,2,2,0,0.75,0,2.5,0.5,0
3,0,60,1,8,0.363636,0,0.354167,1,7.333333,1.1667,0
1,1,1,2,2,2,0,0.75,0,1.5,0.5,1
3,0,137,3,6,0.772727,0,0.402174,6,8.782609,0.9565,0
1,0,825,4,7,0.838095,1,0.261905,0,17.023256,0.8372,1
1,0,0,2,6,0.5625,1,0.333333,0,14.111111,1,0
2,0,0,2,11,0.642857,4,0.392857,1,16.25,1,1
1,0,2,0,0,0.625,0,0.466667,0,4.4,0.8,0
2,0,0,2,5,0,1,0.45,1,11.6,0.8,0
3,0,26,1,8,0.555556,3,0.307692,1,15.230769,1.3846,1
1,0,3,0,0,2,0,0.444444,0,18,0.6667,0
1,0,136,14,12,2,0,0.303922,0,15.176471,1.4706,1
1,0,378,14,27,2,0,0.142857,0,5.535714,0.9643,1
1,0,3,1,0,2,0,0.444444,0,6.333333,0.6667,1
0,2,39,2,15,0.777778,0,0.37037,0,21,0.9,0
5,0,0,7,1,1,0,0.75,0,8.5,0.5,1
1,0,3,2,4,2,0,0.5,0,6.666667,0.6667,0
1,0,1,1,0,2,0,1,0,0,1,0
1,0,1,15,2,2,0,1,0,0,1,0
5,1,0,1,2,0,0,0.75,1,20,1,0
3,0,6,1,4,2,0,0.625,2,5.25,0.75,1
1,0,0,4,0,0.4,0,0.5,0,8,0.8333,0
2,0,0,1,1,2,0,1,0,4,0,1
5,0,0,2,2,0.5,1,0.555556,0,9,0.6667,0
2,0,431,5,18,0.947619,3,0.162963,2,6.645161,0.9677,0
1,0,0,0,0,2,0,0,0,0,0,0
1,0,4,0,1,0,0,0.6,0,11.2,1,0
1,0,298,4,3,0.907407,0,0.1875,0,8.25,1.4643,0
3,0,0,1,6,0,1,0.6,0,10.5,0.5,1
1,0,7,3,18,0.6,1,0.342857,0,41.333333,2.3333,0
1,0,171,8,2,2,0,0.276316,0,36.894737,2.6316,1
5,0,0,1,2,0,1,0.666667,0,11,0.5,1
1,0,0,1,2,0,0,0.5,0,9,0.6667,0
1,0,0,1,0,0.142857,0,0.333333,0,22.5,1.875,0
1,0,1,6,4,2,0,0.5,0,10.5,0.5,1
2,0,36,9,11,0.880952,4,0.185185,1,7.615385,0.9231,0
0,0,21,0,12,0.666667,1,0.333333,0,6.7,0.8,0
1,0,1,0,4,2,0,0.666667,0,4,0.5,0
1,0,49,2,19,1.0625,0,0.2,0,30.545455,1.4545,0
3,0,0,1,4,0,1,0.555556,1,7.333333,0.6667,0
2,0,1,0,3,2,0,0.666667,0,6,0.5,0
3,0,6,4,4,2,0,0.5,3,6,0.75,1
4,1,3,1,8,2,0,0.666667,2,15.666667,0.6667,0
1,0,0,0,0,2,0,1,0,0,1,0
1,0,0,28,0,2,0,1,0,0,1,1
2,0,1,0,7,2,0,0.6,1,23,2,1
1,0,55,2,3,2,0,0.181818,0,6.818182,0.9091,0
2,0,73,2,19,0.755102,5,0.214286,1,14.733333,1.2667,0
2,0,46,1,4,0.75,1,0.338462,2,6.769231,1,0
1,4,1,4,0,0.5,0,0.666667,0,3.333333,0.6667,1
5,0,0,1,1,1,0,0.75,0,8.5,0.5,0
3,0,37,3,12,0.692308,1,0.223214,0,9.785714,0.7143,1
3,0,233,12,6,0.886364,2,0.223602,0,7.565217,1.1304,0
3,0,4,0,9,0.333333,1,0.666667,1,14.25,1.25,1
1,0,4,1,18,0.25,0,0.5,0,53.6,0.6,0
3,0,10,2,7,2,0,0.4,2,8.2,0.4,1
3,0,4,1,7,0.5,1,0.388889,2,9,0.8889,1
1,0,3,36,2,2,0,0.555556,0,0,1,0
3,0,10,1,4,2,0,0.466667,1,5.2,0.8,0
3,0,3,1,4,1.5,0,0.5,2,8.333333,0.3333,1
2,0,26,2,11,0.857143,4,0.377778,0,16.444444,0.8889,0
3,0,1,1,27,0.555556,2,0.314286,0,49.571429,1.1429,0
2,0,114,4,7,0.8,1,0.260417,3,4.8125,0.875,0
2,0,41,1,19,0.797619,0,0.246032,2,30.533333,2.3333,0
2,0,4,4,1,0.888889,3,0.444444,1,9.5,0.5,0
3,0,8,1,12,0.5,1,0.472222,0,12,0.4,0
3,0,43,5,12,0.7,1,0.266667,0,19.727273,1.7273,0
3,0,8,1,4,0.5,0,0.36,2,6,0.6,1
1,0,30,1,18,0.772727,2,0.418182,0,38.416667,3.25,1
1,0,0,1,4,0,0,1,0,6.666667,0.6667,0
3,0,16,1,5,0.125,1,0.311111,2,7.222222,0.6667,0
1,2,30,4,7,0.625,0,0.269841,0,9.666667,1,0
5,0,0,1,2,0.75,1,0.583333,0,9.333333,0.3333,1
0,0,0,1,16,0.466667,3,0.47619,0,36.25,1.75,0
5,0,27,1,11,0.690476,1,0.222222,1,17.2,1,0
5,0,0,1,3,0.5,0,0.5,0,10.666667,0.6667,1
2,0,0,0,5,0.5,0,0.4375,4,16.125,1.25,0
1,0,2,1,2,0.555556,1,0.333333,0,54.75,1.75,1
1,0,226,1,10,0.850932,1,0.154167,0,8.875,0.9583,1
2,0,0,0,4,0,0,0.444444,1,12.166667,1.1667,0
1,3,0,3,3,0,0,0.555556,0,10,1,1
1,0,0,1,3,0,1,0.555556,0,7.666667,0.6667,0
5,0,0,1,1,2,0,1,0,12,0,0
1,0,1,3,1,2,0,0.666667,0,2.5,0.5,0
2,0,0,3,5,2,0,1,0,11,0,1
5,0,0,0,1,0.5,0,0.555556,0,9.333333,0.6667,0
3,0,26,1,9,0.84375,1,0.325,1,7.555556,0.7778,0
2,0,184,6,7,0.842105,1,0.241667,3,4.65,0.9,0
3,0,14,1,4,0.375,1,0.361111,2,11.888889,1.2222,1
1,0,1,1,0,2,0,0.5,0,17.5,1.5,1
1,0,0,0,0,2,0,1,0,0,1,0
2,0,9,1,1,0.2,0,0.416667,0,6.333333,0.8333,0
1,0,3,10,2,2,0,0.666667,0,0,1,0
2,0,16,2,3,0.428571,1,0.375,0,10.75,1.125,1
4,2,1,2,5,1,1,0.875,0,7,0,0
1,0,0,187,1,2,0,1,0,0,1,0
4,0,0,1,1,2,0,1,0,4,0,1
1,0,229,3,3,0.809524,1,0.111111,0,8.272727,0.9091,1
1,0,0,1,0,2,0,1,0,0,1,0
1,0,0,2,8,0,2,0.583333,0,22.5,0.5,0
1,0,157,10,1,0.829545,0,0.286957,0,9.130435,1.0435,0
4,0,17,1,9,0.666667,2,0.296296,4,20.5,1.1,0
1,0,4,5,2,0.583333,0,0.4,0,9.8,0.8,1
1,0,0,0,0,2,0,1,0,0,1,0
1,0,95,1,0,0.285714,0,0.377778,0,5.933333,0.9333,0
1,0,0,1,3,0.6,0,0.333333,0,6.166667,0.8333,0
5,0,6,3,2,0.916667,0,0.36,0,11.8,1,1
1,0,0,2,3,2,0,1,0,0,1,0
1,0,1,11,1,2,0,0.7,0,0,1,0
2,0,1,1,4,2,0,0.75,1,3.5,0.5,1
2,0,123,2,8,0.911765,1,0.206349,1,5.388889,1,1
1,0,33,0,5,0.777778,2,0.422222,0,22.2,1.2,0
3,0,0,2,10,0.5625,2,0.375,1,13,0.6,0
1,0,26,0,4,0.714286,1,0.25,0,9.25,1,0
3,0,1,2,17,0.766667,2,0.291667,0,29.571429,0.7143,0
1,0,58,3,15,0.888889,1,0.21875,0,6.8125,1,0
1,0,1116,2,5,0.914894,0,0.102837,0,14.083333,1,1
3,0,4,0,1,0.666667,1,0.666667,1,2.75,0.5,0
3,0,1,1,6,0.5,2,0.555556,0,14,0.6667,0
5,2,0,4,2,2,0,1,0,5,0,0
1,0,0,0,0,2,0,0,0,0,0,0
2,0,32,3,11,0.863636,2,0.194805,1,13.666667,1.0833,0
0,2,9,2,14,1,0,0.5,0,25.333333,0.6667,0
2,0,4,3,1,0.916667,4,0.444444,1,12,0.5,0
2,0,7,2,8,0.722222,0,0.314286,0,7.428571,1,0
2,0,3,0,1,2,0,0.666667,2,3,0.3333,0
3,0,0,2,3,0,0,0.666667,1,13.5,1,0
2,0,17,4,2,0.75,1,0.428571,0,5.285714,0.8571,0
1,2,15,2,4,2,0,0.541667,0,7.333333,1,1
2,0,3,0,1,2,0,0.666667,2,3,0.3333,0
4,0,19,3,11,0.166667,1,0.366667,0,12.285714,0.7143,0
1,0,0,1,0,0.333333,0,0.5,0,11.5,0.75,0
1,0,0,0,1,2,0,1,0,0,1,1
1,0,251,5,0,0.84,0,0.292308,0,8,1.2308,0
1,0,3,1,2,2,0,1,0,3.666667,0.6667,0
3,0,4,1,5,0.666667,1,1,0,5.5,0.5,0
2,0,5,2,11,0.6,2,0.416667,1,12.833333,0.8333,1
