@relation 'data/M_multi_metrics_ML.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-6,8-15,18,20-21,24-26,28,30,33,35-47,49-50,52-53,55,57-61'

@attribute CvsWEntropy numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute LDHH_dit numeric
@attribute WCHU_numberOfMethodsInherited numeric
@attribute LDHH_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute class {buggy,clean}

@data
0.004118,5,0,0,2.02,0,0,1,0.002443,0,0,0,2.02,0.009791,9,clean
0.036161,2,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,buggy
0.001705,0,0,0,0,0,4,3,0,0,0,0,1.1,0.027723,43,clean
0.139041,2,0,0.00318,1.01,0,1,2,0.003261,0,0,0,3.08,0.007771,19,buggy
0.007178,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.017712,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,buggy
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,buggy
0.002965,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.017196,1,2,0.023845,1.01,0.00331,16,3,0.003536,1.01,1.01,0.008626,2.04,0.013691,48,buggy
0.00781,0,1,0,0,0,0,4,0,0,0,0,2.1,0.009791,71,clean
0.002044,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.010193,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,16,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.00287,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.028498,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.019793,0,0,0,0,0,0,2,0,0,0,0,2.02,0.009791,16,clean
0.000692,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.006841,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.001328,0,0,0,0,0,0,1,0,0,0,0,1.02,0.005924,18,clean
0.043265,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.009043,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,buggy
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,buggy
0,0,0,0,0,0,1,2,0,0,0,0,0,0,19,buggy
0.002728,0,0,0,0,0,0,2,0,0,0,0,1.1,0.027723,22,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,1,2,0,0,0,0,0,0,19,buggy
0.048073,0,0,0,0,0.00752,8,3,0,0,3.03,0,3.03,0.054526,29,clean
0.019672,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.001023,0,0,0,0,0,0,2,0,0,0,0,1.1,0.027723,22,clean
0.023128,0,0,0,0,0,1,2,0,0,0,0,2.02,0.009791,11,clean
0.00375,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0,0,0,0,0,0,1,4,0,0,0,0,0,0,29,clean
0.073454,0,0,0,0,0,0,2,0,0,0,0,2.06,0.009791,37,clean
0.012121,0,1,0.004366,0,0,1,2,0,0,1.01,0,3.06,0.011369,23,clean
0.019592,5,0,0,0,0.00331,8,2,0,0,1.01,0,2.02,0.053259,25,clean
0.013754,0,0,0.003114,0,0,1,2,0,0,0,0,2.05,0.008655,26,clean
0.003867,0,0,0,0,0.002283,1,2,0,0,1.01,0,1.01,0.001915,2,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.17691,0,0,0.022444,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.006499,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.007419,0,0,0,0,0,1,3,0,0,0,0,2.02,0.009791,19,clean
0,0,0,0,0,0,0,4,0,0,0,0,0,0,21,clean
0.001476,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.001968,0,0,0,0,0.000797,4,2,0,0,1.01,0,5.05,0.012545,17,clean
0.076862,0,0,0,0,0,0,2,0,0,0,0,2.06,0.009791,37,clean
0.00109,0,0,0.000594,0,0.001023,1,1,0,0,1.01,0,3.1,0.010674,10,clean
0,0,0,0,0,0,4,3,0,0,0,0,1.1,0.027723,43,clean
0.011965,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.328118,0,2,0.002667,0,0.004231,0,2,0,2.02,2.05,0.002921,11.5,0.026458,36,buggy
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,buggy
0.000136,0,0,0,0,0,0,1,0,0,0,0,3.31,0.010674,31,clean
0.012043,10,0,0.002324,1.01,0,0,1,0.003737,0,0,0,0,0,0,buggy
0.020248,0,0,0.002774,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.000949,0,0,0,0,0,0,2,0,0,0,0,1.01,0.005924,11,clean
0.001756,0,0,0,0,0,1,2,0,0,0,0,3.19,0.012186,28,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,buggy
0.062674,0,0,0.007642,0,0.002308,0,3,0,1.01,1.03,0.002921,1.05,0.002341,14,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.002539,0,0,0,0,0,0,1,0,0,0,0,2.04,0.009791,18,clean
0.033924,1,0,0,2.05,0,0,1,0.022497,0,0,0,1.09,0.027723,18,clean
0.000949,0,0,0,0,0,0,2,0,0,0,0,2.05,0.008591,31,clean
0.007359,0,0,0,0,0,0,2,0,0,0,0,1.01,0.001058,2,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.009412,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0,0,1,0,0,0,0,1,0,0,0,0,0,0,17,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.012878,0,1,0,0,0,0,1,0,0,0,0,2.04,0.009791,18,clean
0.001166,0,0,0,0,0,0,2,0,0,0,0,3.04,0.010847,19,clean
0,0,0,0,0,0,1,3,0,0,0,0,0,0,13,clean
0.018798,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.000949,0,0,0,0,0,0,1,0,0,0,0,0,0,9,buggy
0.007999,0,0,0.019848,1.01,0,0,1,0.003737,0,0,0,2.02,0.009791,9,buggy
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.002631,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.072538,0,0,0,0,0,2,2,0,0,0,0,2.02,0.009791,18,clean
0.029496,0,0,0,0,0.001537,8,2,0,0,2.05,0,3.66,0.010674,77,clean
0.000294,0,0,0,0,0,4,3,0,0,0,0,1.1,0.027723,43,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,buggy
0.011756,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.004267,3,0,0,1.01,0,0,1,0.002601,0,0,0,0,0,0,clean
0.009811,2,0,0,0,0,16,1,0,0,0,0,4.04,0.013683,35,buggy
0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,buggy
0.001138,0,0,0,0,0,0,1,0,1.02,0,0.00316,2.2,0.008829,0,clean
0.030773,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,17,clean
0.003678,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.002399,2,0,0,0,0,0,1,0,0,0,0,2.04,0.009791,18,clean
0.001632,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,clean
0.006881,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0,0,0,0,0,0,4,3,0,0,0,0,1.1,0.027723,43,clean
0.241356,1,1,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.012509,0,1,0,0,0,0,2,0,0,0,0,2.02,0.009791,15,clean
0.001875,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.03045,3,0,0,2.02,0,0,1,0.004825,0,0,0,2.02,0.009791,9,clean
0.001094,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.0024,1,0,0,1.01,0,0,1,0.004498,0,0,0,1.01,0.005924,33,clean
0.011738,0,0,0,0,0,0,2,0,0,0,0,4.04,0.014111,11,clean
0.037768,0,0,0.005888,0,0,0,2,0,0,0,0,1.02,0.002731,3,clean
0.003236,1,0,0,1.01,0,0,1,0.017524,0,0,0,0,0,0,clean
0.056855,0,0,0.006191,0,0,0,1,0,0,0,0,2.02,0.009791,10,buggy
0.001467,0,0,0,2.02,0,0,1,0.004973,0,0,0,0,0,0,clean
0.016536,0,0,0,0,0.002607,5,5,0,1.01,1.01,0.001232,2.18,0.029762,53,clean
0.111674,0,1,0.008555,0,0.002308,0,2,0,0,1.02,0,5.28,0.016036,36,clean
0.115346,0,0,0.004515,0,0,1,3,0,1.01,0,0.000555,6.2,0.013376,31,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,buggy
0.024538,0,0,0,0,0,2,3,0,0,0,0,4.15,0.014101,42,clean
0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,clean
0.002334,0,0,0,0,0,0,2,0,0,0,0,2.04,0.009791,19,clean
0.01684,0,0,0.003114,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,buggy
0.002968,0,0,0,0,0,3,2,0,0,0,0,2.02,0.009791,24,clean
0.001363,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.01403,0,0,0,0,0,0,2,0,1.01,0,0.001435,6.06,0.018525,17,clean
0.137502,0,0,0,0,0,0,1,0,0,0,0,5.06,0.017172,9,clean
0.003069,0,0,0,0,0,4,3,0,0,0,0,1.1,0.027723,43,clean
0.001328,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,buggy
0.778731,0,4,0.00318,0,0.002979,0,2,0,2.02,2.05,0.004493,10.46,0.02471,36,clean
0.000682,0,0,0,0,0,0,2,0,0,0,0,1.1,0.027723,22,clean
0.239411,0,0,0.019848,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,buggy
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.000949,0,0,0,0,0,0,1,0,1.01,0,0.00316,2.26,0.008829,0,clean
0.019271,1,1,0.002334,0,0.020185,1,2,0,1.01,1.01,0.021023,1.05,0.051511,5,clean
0.001291,1,0,0,2.02,0,0,1,0.006137,0,0,0,2.02,0.008265,10,clean
0.000407,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.010424,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.001518,0,0,0,0,0,0,2,0,0,0,0,1.01,0.005924,11,clean
0.002827,0,0,0,0,0.005462,8,2,0,0,2.02,0,3.05,0.054697,25,clean
0.005626,0,0,0,0,0,0,2,0,0,0,0,0,0,20,clean
0.027388,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0,0,0,0,0,0,0,2,0,0,0,0,0,0,22,clean
0.007884,0,2,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.003921,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0,1,0,0,1.01,0,0,1,0.002706,0,0,0,0,0,0,clean
0.063544,0,1,0.009763,0,0,0,1,0,0,0,0,2.04,0.009791,18,buggy
0,0,0,0.023845,0,0,0,1,0,0,0,0,0,0,0,clean
0.008085,0,1,0,0,0,0,2,0,0,0,0,3.31,0.011815,25,clean
0.013405,5,0,0,0,0,6,3,0,1.01,0,0.002921,4.09,0.014863,38,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,buggy
0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,buggy
0.004761,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.001328,0,0,0,0,0,0,2,0,0,0,0,2.03,0.033647,26,clean
0.011451,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.010563,0,0,0,0,0,0,1,0,0,0,0,2.03,0.008591,22,clean
0.042595,0,1,0,0,0,0,1,0,0,0,0,4.13,0.014188,51,clean
0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.038794,0,0,0,0,0,1,2,0,0,0,0,2.02,0.009791,11,clean
0.003882,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.027113,0,1,0,0,0,0,3,0,0,0,0,2.08,0.009791,52,clean
0.008085,0,1,0,0,0,0,2,0,0,0,0,3.31,0.011815,25,clean
0.000136,0,0,0,0,0,0,1,0,0,0,0,3.31,0.010674,31,clean
0.001364,0,0,0,0,0,0,2,0,0,0,0,1.1,0.027723,22,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,2,0,0,0,0,0,0,22,clean
0.006625,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.000575,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.006046,1,0,0,2.02,0,0,1,0.007574,0,0,0,1.01,0.005924,9,clean
0.29526,0,1,0.0009,0,0,1,2,0,0,0,0,2.03,0.001555,14,buggy
0.06875,0,0,0.005712,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.008965,0,0,0,0,0,1,2,0,0,0,0,2.02,0.008591,28,clean
0.027941,0,0,0.002324,0,0,0,1,0,2.02,0,0.003841,4.16,0.014799,13,buggy
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.003356,3,0,0,0,0,0,2,0,0,0,0,2.02,0.008655,17,clean
0.001518,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.008833,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.002715,0,0,0,0,0.003609,0,3,0,1.01,1.01,0.002921,7.35,0.020011,50,clean
0.002583,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.001416,0,0,0,0,0.003609,0,2,0,0,1.02,0,1.01,0.005924,15,clean
1.03242,0,5,0.034607,0,0,0,1,0,0,0,0,0,0,0,buggy
0.001121,0,0,0,0,0,8,4,0,1.01,0,0.002921,4.09,0.014863,47,clean
0.001708,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.022979,1,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.061154,0,2,0.010825,0,0,0,1,0,0,0,0,1.01,0.005924,9,buggy
0.010522,0,1,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.046957,0,0,0.002532,0,0,1,2,0,0,0,0,3.08,0.007771,19,buggy
0.002476,0,0,0,0,0,0,2,0,0,0,0,2.02,0.031562,32,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.050838,0,0,0,0,0,0,2,0,0,0,0,2.06,0.009791,37,clean
0.001121,0,0,0,0,0,8,4,0,1.01,0,0.002921,4.09,0.014863,47,clean
0.003002,0,0,0,0,0,6,2,0,0,0,0,4.04,0.089904,59,clean
0.00219,5,0,0,1.01,0,0,1,0.00211,0,0,0,3.05,0.037515,25,clean
0.01023,0,0,0.002667,0,0,0,1,0,0,0,0,3.03,0.010932,14,clean
0,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.017803,0,0,0.0009,0,0,0,1,0,0,0,0,0,0,0,buggy
0,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.001193,0,0,0,0,0,4,3,0,0,0,0,1.1,0.027723,43,clean
0.01063,0,0,0,0,0,0,2,0,0,0,0,1.01,0.005924,41,clean
0.001328,0,0,0,0,0,0,3,0,0,0,0,2.03,0.033647,27,clean
0,0,0,0,0,0,1,1,0,0,0,0,2.04,0.009791,56,clean
0.016503,3,0,0,0,0.005462,8,2,0,0,2.02,0,4.13,0.057037,25,clean
0.070779,0,0,0,0,0,0,1,0,0,0,0,1.05,0.005924,51,clean
0,1,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,buggy
0.001138,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.002645,1,0,0,0,0,0,1,0,0,0,0,1.02,0.005924,19,clean
0.008394,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.006358,0,0,0,0,0,0,2,0,0,0,0,3.05,0.037515,26,clean
0.011175,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.082496,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.003746,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.027992,0,0,0.003114,0,0.002058,0,1,0,1.01,1.04,0.001571,2.03,0.008655,9,clean
0.010969,0,0,0.002774,0,0,0,1,0,0,0,0,0,0,0,clean
0.000949,0,0,0,0,0,0,1,0,0,0,0,1.02,0.005924,18,clean
0.002334,0,0,0,0,0,0,2,0,0,0,0,2.04,0.009791,19,clean
0,0,0,0,0,0,4,3,0,0,0,0,1.1,0.027723,43,clean
0,0,0,0,0,0,0,3,0,0,0,0,0,0,14,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.061474,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.005626,0,0,0,0,0,1,2,0,0,0,0,0,0,27,clean
0.13684,0,0,0,0,0.005462,8,3,0,0,2.02,0,4.21,0.057037,28,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.003387,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.075437,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,10,clean
0,0,0,0,0,0,0,2,0,0,0,0,2.02,0.009791,15,clean
0.416566,0,0,0.004391,0,0,0,1,0,0,0,0,4.26,0.013473,19,buggy
0.374881,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.001875,0,0,0,0,0,0,1,0,0,0,0,0,0,9,buggy
0.014589,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,14,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.014842,0,1,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.015726,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.002651,0,2,0,0,0,0,1,0,0,0,0,2.04,0.009791,18,clean
0,0,0,0,0,0,0,2,0,0,0,0,0,0,22,clean
0.058456,0,0,0.019848,0,0,0,1,0,0,0,0,0,0,9,buggy
0.012836,0,0,0.004871,0,0,0,2,0,0,0,0,3.03,0.010996,17,buggy
0,0,0,0,0,0,0,3,0,0,0,0,0,0,58,clean
0.002264,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.000136,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.046837,0,0,0.005394,0,0,0,1,0,0,0,0,0,0,0,clean
0.000543,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.001708,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.023854,0,0,0.009083,0,0,0,2,0,1.01,0,0,3.07,0.009791,14,clean
0.005568,0,0,0,0,0,0,1,0,0,0,0,2.04,0.009791,18,clean
0.002826,0,0,0,1.01,0,0,1,0.004973,0,0,0,0,0,1,buggy
0.00309,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.000949,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.0039,0,0,0,0,0,0,3,0,0,0,0,0,0,14,clean
0.018826,0,0,0.00318,0,0,0,2,0,0,0,0,2.02,0.008591,41,buggy
0.08251,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.098265,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.000271,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,10,clean
0.103275,1,0,0,0,0,0,1,0,0,0,0,3.19,0.012186,19,clean
0,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,26,clean
0.006445,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.016381,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,14,clean
0.000949,2,0,0,0,0,0,4,0,0,0,0,1.03,0.005924,51,clean
0.002239,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.001194,0,0,0,0,0.005667,3,2,0,0,2.03,0,1.01,0.005924,14,clean
0.001239,0,0,0,0,0,4,2,0,0,0,0,2.02,0.009791,17,clean
0.00442,0,0,0,0,0,0,2,0,0,0,0,2.02,0.009791,16,clean
0.001611,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.003159,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.002536,0,0,0,0,0,0,1,0,0,0,0,1.09,0.004746,9,clean
0.00101,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.001252,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.040705,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.029071,0,0,0.002334,0,0,0,1,0,0,0,0,0,0,0,buggy
0.007388,0,1,0.0009,0,0,0,1,0,0,0,0,3.11,0.012186,18,clean
0.00733,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.01216,0,0,0,0,0,0,2,0,0,0,0,2.02,0.008591,11,clean
0.001488,0,0,0,0,0,4,2,0,0,0,0,1.01,0.005924,17,clean
0.008579,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.006128,1,0,0,1.01,0.005356,0,2,0.001828,0,2.05,0,6.09,0.041678,32,clean
0.074424,0,0,0,0,0,9,2,0,0,0,0,2.04,0.009791,30,clean
0.027307,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.006308,1,0,0,1.01,0,0,1,0.004,0,0,0,0,0,9,clean
0.002331,0,0,0,0,0,0,1,0,0,0,0,2.04,0.009791,18,clean
0.011023,0,1,0,0,0,0,2,0,0,0,0,2.06,0.009791,41,clean
0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,clean
0.003652,0,0,0,0,0.005356,0,2,0,0,2.05,0,6.09,0.041678,32,clean
0.191853,0,2,0.008961,0,0,0,1,0,0,0,0,4.13,0.014188,51,buggy
0.000949,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.004545,0,0,0,0,0,0,2,0,0,0,0,2.02,0.009791,10,clean
0.001399,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,10,clean
0.002728,0,0,0,0,0,1,3,0,0,0,0,1.1,0.027723,28,clean
0.011422,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.048839,1,0,0,1.01,0,1,3,0.001734,1.01,0,0,4.2,0.007127,31,clean
0.001329,1,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.022811,0,0,0,0,0,0,1,0,0,0,0,2.04,0.009791,18,clean
0.001534,0,0,0,0,0,4,3,0,0,0,0,1.1,0.027723,43,buggy
0.111595,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.001611,0,0,0,0,0,1,2,0,0,0,0,3.19,0.012186,28,clean
0.005839,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.000949,0,0,0,0,0,1,1,0,0,0,0,1.01,0.005924,12,clean
0,0,0,0,0,0,0,2,0,0,0,0,0,0,36,buggy
0.002956,0,0,0,0,0,0,1,0,0,0,0,1.21,0.002024,0,clean
0.001191,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,10,clean
0.00701,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.016041,0,0,0.004366,0,0,21,2,0,0,0,0,3.03,0.012023,68,buggy
0.010643,0,0,0,0,0,0,2,0,0,0,0,2.09,0.004816,12,clean
0.039591,0,0,0,0,0.007705,8,2,0,1.01,3.08,0.001435,4.15,0.011868,22,clean
0.00801,0,0,0,0,0,0,1,0,0,0,0,2.04,0.009791,18,clean
0.024339,0,0,0,0,0,0,2,0,0,0,0,2.02,0.009791,17,clean
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.234098,7,1,0.00537,7.13,0,0,1,0.022722,0,0,0,2.02,0.009791,9,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,1,0,0,0,0,0,1,0,0,0,0,0,0,9,buggy
0.001705,0,0,0,0,0,4,3,0,0,0,0,1.1,0.027723,43,clean
0.016617,1,1,0,0,0,0,1,0,0,0,0,2.04,0.009791,18,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.001518,0,0,0,0,0,0,1,0,0,0,0,1.02,0.005924,19,clean
0,0,0,0,0,0,0,2,0,0,0,0,0,0,54,clean
0.002846,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.00226,3,0,0,0,0,0,1,0,0,0,0,3.19,0.012186,19,clean
0.012027,0,1,0,0,0,0,1,0,0,0,0,2.04,0.009791,18,clean
0.002681,2,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.000949,0,0,0,0,0,0,1,0,0,0,0,1.02,0.005924,18,clean
0.017522,0,0,0.002596,0,0,0,1,0,3.04,0,0.004202,3.48,0.007549,0,clean
0.038977,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.022973,0,0,0,0,0,0,2,0,0,0,0,4.04,0.014111,11,clean
0.001328,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,10,clean
0.094172,2,0,0.001709,2.02,0,0,1,0.001828,0,0,0,0,0,0,clean
0.002087,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.002136,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.007452,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.001121,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.006796,0,0,0,0,0,0,1,0,0,0,0,0,0,0,buggy
0.0027,1,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,14,clean
0.010058,37,0,0,2.09,0,4,2,0.007059,0,0,0,1.1,0.027723,36,clean
0.015974,0,0,0,0,0,0,1,0,0,0,0,3.05,0.037515,25,clean
0.02432,0,0,0,0,0,0,1,0,0,0,0,2.04,0.009791,18,clean
0.000949,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.006246,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.001191,0,0,0,0,0,0,2,0,0,0,0,5.1,0.016182,15,clean
