@relation data/M_multi_metrics_LC.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R59-weka.filters.unsupervised.attribute.Remove-R47-weka.filters.unsupervised.attribute.Remove-R39-weka.filters.unsupervised.attribute.Remove-R55-weka.filters.unsupervised.attribute.Remove-R46-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R39-weka.filters.unsupervised.attribute.Remove-R27-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R34-weka.filters.unsupervised.attribute.Remove-R28-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R3

@attribute LDHH_fanIn numeric
@attribute WCHU_numberOfPublicAttributes numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute CvsEntropy numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPrivateAttributes numeric
@attribute CvsLogEntropy numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_fanOut numeric
@attribute ck_oo_numberOfLinesOfCode numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute ck_oo_fanIn numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute LDHH_wmc numeric
@attribute WCHU_fanOut numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute WCHU_numberOfPublicMethods numeric
@attribute LDHH_dit numeric
@attribute LDHH_fanOut numeric
@attribute LDHH_numberOfMethodsInherited numeric
@attribute LDHH_rfc numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute CvsExpEntropy numeric
@attribute class {buggy,clean}

@data
0.03915,0,0,0,7.57455,0,7,0,0,0,0,3.51032,0,16,141,0,2,2,0,0,0,0.000971,4.05,0,0,0,0,0,0.025383,0.010398,0.021315,39,5,0.243378,clean
0.021271,0,0.001994,0,2.41614,0,0,6,0,0,0,0.072379,0,0,12,0,1,4,0.014667,0,0,0.002401,0,0,2,0,1.01,0,0,0.00831,0.002137,9,5,0.016491,clean
0,0,0,0,0.792859,0,3,0,0,0,0,0.042456,0,1,16,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0.045793,clean
0.03915,1.05,0,0.007261,1.54522,0.005861,6,0,0,0,1.04,0.089145,0,7,166,1,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,15,5,0.096226,clean
0,0,0,0,2.33696,0,4,0,0,0,0,0.071994,0,2,12,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.005149,0,13,3,0.019896,clean
0.022026,0,0.015802,0,5.5834,0,0,6,0,0,0,0.194271,0,1,6,0,2,12,0,0,0,0.014478,0,0,0,0,1.01,0,0,0.010398,0.019225,39,4,0.100661,clean
0,0,0,0,2.46006,0,0,0,0,0,0,0.075186,0,3,38,2,3,2,0,0,0,0,1.01,0,1,0,0,0,0.00604,0.01129,0,27,5,0.023098,clean
0,0,0,0,4.11562,0,0,0,0,0,0,0.099935,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.010398,0,9,1,0.0014,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,3,289,0,1,1,0,0,0,0,1.01,0,5,0,0,0,0.001313,0.010398,0,9,2,0,clean
0.001001,0,0,0,2.6029,0,0,0,0,0,0,0.068167,0,3,28,5,4,2,0,1.01,0,0,0,0,0,0,0,0.00406,0,0.013377,0.000612,27,0,0.003407,clean
0,0,0,0,7.97841,0,1,0,0,0,0,0.373535,0,7,32,0,1,1,0,0,0,0.000971,4.05,0,0,0,0,0,0.025383,0.010398,0.001035,10,2,0.210734,clean
0,0,0,0,1.74444,0,1,0,0,0,0,0.050338,0,10,73,2,2,0,0,0,0,0,1.01,0,4,0,0,0,0.00273,0.003161,0.001985,39,6,0.007886,clean
0,0,0,0,3.87796,0,0,0,0,0,0,0.115313,0,4,43,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0.00831,0.002454,31,5,0.025607,clean
0,0,0,0,2.88097,0,0,0,0,0,0,0.187772,0.010885,3,9,3,3,0,0,0,2.02,0,0,0,0,0,0,0,0,0.027347,0,29,1,0.108062,clean
0,0,0,0,4.48422,0,0,0,0,0,0,0.245484,0,1,62,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.010398,0,9,6,0.156069,clean
0,0,0,0,1.35264,0,0,19,0,0,0,0.101164,0,4,306,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0.099579,clean
0.049168,0,0.003231,0,2.81758,0,0,16,0,0,0,0.082125,0,1,6,0,1,17,0.048622,0,0,0.002933,1.01,0,0,0,1.01,0,0.003144,0.010398,0.002984,18,3,0.021542,clean
0,0,0,0,0.792859,0,0,2,0,0,0,0.042456,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0.045793,clean
0,0,0.002592,0,2.31429,0,2,0,0,0,0,0.08808,0,3,45,0,2,1,0,0,0,0.002817,0,0,0,0,1.02,0,0,0,0.002665,24,11,0.06345,clean
0.008167,0,0.016745,0,8.83948,0,0,0,0,0,0,0.271437,0,7,144,0,3,4,0,0,0,0.015449,1.01,0,2,0,2.02,0,0.001313,0.021972,0.02026,44,12,0.101025,clean
0,0,0,0,0.792859,0,6,0,0,0,0,0.042456,0,2,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0.045793,clean
0,0,0,0,3.6986,0,0,0,0,0,0,0.221084,0,4,22,1,3,1,0,0,0,0,1.01,0,1,0,0,0,0.002985,0.01129,0,24,3,0.129997,clean
0,0,0,0,3.28866,0,0,0,0,0,0,0.087698,0,3,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.004949,0,39,2,0.005271,clean
0,0,0,0,1.35264,0,0,0,0,0,0,0.101164,0,1,907,6,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0,35,1,0.099579,clean
0,0,0,0,3.6711,0,3,0,0,0,0,0.178239,0,9,143,0,2,2,0,0,0,0.001252,1.02,0,0,0,0,0,0.004723,0.008128,0,21,11,0.155845,clean
0.087686,0,0,0,1.64243,0,0,6,0,0,0,0.041874,0,1,7,0,1,41,0.002354,0,0,0,0,0,0,0,0,0,0,0.010398,0,9,6,0.001163,clean
0,0,0,0,0,0,1,1,0,0,0,0,0,2,8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,clean
0.013315,0,0,0,3.0352,0,0,0,0,0,0,0.073979,0,0,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0.010398,0,11,3,0.001236,clean
0.045286,0,0.000942,0,9.15338,0,1,9,0,0,0,0.239519,0,3,29,0,1,10,0.005731,0,0,0.003829,1.01,0,0,0,1.01,0,0.001077,0.010398,0.003976,9,3,0.021985,buggy
0,0,0,0,2.88097,0,6,0,0,0,0,0.187772,0,1,13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.010398,0,9,3,0.108062,clean
0,0,0,0.013591,1.25878,0,0,0,0,0,1.01,0.027544,0,4,29,1,3,1,0,0,0,0.014478,2.02,0,2,0,0,0,0.02301,0.024375,0.019225,16,4,0.000009,clean
0,0,0,0,1.43177,0,0,0,0,0,0,0.03126,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.010398,0,9,2,0.000009,clean
0,0,0.001637,0,4.50164,0,0,0,0,0,0,0.121935,0,4,37,2,2,0,0,0,0,0.001624,0,0,6,0,1.01,0,0,0.004949,0.001591,39,6,0.009507,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0.010398,0,15,2,0,clean
0.050259,0,0.003231,0,5.59993,0,0,16,0,0,0,0.156288,0,0,6,0,2,25,0.000632,1.01,0,0,0,0,1,0,1.03,0.00406,0,0.013377,0.002984,13,3,0.033237,clean
0.001933,1.02,0,0.000783,0,0.000661,0,0,0,0,1.02,0,0,2,7,0,1,2,0,0,0,0,1.01,0,2,0,0,0,0.001313,0.010398,0.001035,10,2,0,clean
0,0,0,0,1.35264,0,0,0,0,0,0,0.101164,0,1,788,6,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,35,1,0.099579,clean
0.026081,0,0.015802,0,5.34192,0,0,3,0,0,0,0.341011,0,3,182,0,2,13,0,0,0,0.065335,0,0,0,0,2.05,0,0,0.028459,0.030449,41,20,0.279462,clean
0,0,0,0,0.792859,0,1,3,0,0,0,0.042456,0,0,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.045793,clean
0,1.01,0,0,2.6029,0,7,0,0,0,0,0.068167,0,2,35,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0.010398,0,9,0,0.003407,clean
0.019812,0,0,0,1.45269,0,0,0,0,0,0,0.038994,0,0,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0.038662,0,29,1,0.002539,clean
0,0,0,0,4.63934,0,0,0,0,0,0,0.293469,0,10,86,0,1,1,0,0,0,0,1.01,0,2,0,0,0,0.003733,0.00831,0,9,3,0.209899,clean
0,0,0,0,9.35438,0,0,0,0,0,0,3.49127,0,4,14,2,2,0,0,0,0,0.008582,0,0,0,0,0,0,0,0.004949,0.010104,39,2,0.146405,clean
0.002751,0,0,0,1.17486,0,0,0,0,0,0,0.033753,0,1,25,0,1,6,0,0,0,0,0,0,2,0,0,0,0,0.00831,0,9,5,0.005051,clean
0.002139,0,0.005694,0.005015,19.4587,0,0,0,0,0.001785,3.14,0.639779,0.029097,7,215,2,2,2,0,2.02,6.06,0.009692,2.08,0,7,0,4.28,0.00165,0.003332,0.05882,0.016539,58,19,0.189407,buggy
0,0,0,0,6.26048,0,0,0,0,0,0,0.261606,0,11,165,0,1,6,0,0,0,0,2.03,0,6,0,0,0,0.00283,0.010398,0.000989,39,13,0.107361,clean
0.016243,0,0,0,0,0,2,0,0,0,0,0,0,2,16,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0.010398,0,10,2,0,clean
0,0,0,0,1.64243,0,0,0,0,0,0,0.041874,0.018412,1,28,2,3,1,0,0,1.01,0,0,0,3,0,0,0,0,0.030477,0,44,3,0.001163,clean
0,0,0,0,12.0175,0,0,0,0,0,0,0.467422,0,6,88,0,2,1,0,0,0,0,3.04,0,4,0,0,0,0.006733,0.010398,0,15,4,0.211415,clean
0,0,0,0,1.17515,0,0,0,0,0,0,0.040252,0,3,62,0,2,2,0,0,0,0,0,0,6,0,0,0,0,0.027761,0,11,4,0.020379,clean
0,0,0,0,0.792859,0,0,1,0,0,0,0.042456,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.045793,clean
0,0,0,0,0,0,7,0,0,0,0,0,0,4,35,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,clean
0,0,0,0,3.0742,0,0,0,0,0,0,0.073134,0,3,79,0,3,1,0,1.01,0,0,1.01,0,3,0,0,0.00406,0.003144,0.013377,0,17,6,0.001173,clean
0,0,0,0,4.04167,0,0,0,0,0,0,0.103332,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.010398,0,9,0,0.006769,clean
0,0,0,0,4.24084,0,1,0,0,0,0,0.217954,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.010398,0,19,1,0.10808,clean
0,0,0,0,0.792859,0,0,3,0,0,0,0.042456,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.045793,clean
0.083055,1.01,0,0.003209,9.64939,0.002182,1,0,0,0.001251,1.03,0.271163,0,9,141,0,1,31,0,0,0,0.002842,1.03,0,13,0,0,0,0.002986,0.010398,0.002903,9,5,0.07131,clean
0,0,0,0,1.35264,0,0,0,0,0,0,0.101164,0,1,2032,6,2,0,0,0,0,0,0,0,19,0,0,0,0,0,0,35,1,0.099579,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,5,35,0,2,0,0,0,0,0,2.02,0,1,0,0,0,0.005716,0.010398,0,15,3,0,clean
0,0,0,0,2.71012,0,0,0,0,0,0,0.136479,0,3,15,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0.017159,0,16,2,0.115988,clean
0,0,0,0,1.18716,0,0,0,0,0,0,0.048688,0,1,42,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,18,8,0.041747,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,clean
0,0,0,0,3.6872,0,0,0,0,0,0,0.098091,0,8,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00831,0.000625,9,1,0.005683,clean
0.006004,0,0,0,1.91372,0,0,0,0,0,0,0.057878,0.000843,1,20,6,3,1,0,1.01,1.02,0,0,0,0,0,0,0.002169,0,0.007774,0,30,5,0.013855,clean
0,0,0,0,3.67948,0,0,0,0,0,0,0.265063,0,5,39,1,3,1,0,0,0,0.014478,3.03,0,2,0,0,0,0.053599,0.024375,0.019225,16,2,0.206437,clean
0.026706,0,0.00121,0,11.3053,0,0,0,0,0,0,0.342745,0,4,107,0,1,14,0,0,0,0.01937,1.01,0,2,0,1.01,0,0.001059,0.010398,0.017051,9,9,0.111945,buggy
0,0,0,0,1.17515,0,0,0,0,0,0,0.040252,0,0,686,0,1,1,0,0,0,0.030266,0,0,0,0,0,0,0,0,0,9,11,0.020379,clean
0,0,0,0,0.792859,0,3,0,0,0,0,0.042456,0,5,31,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0.045793,clean
0.004333,0,0,0,7.82654,0,0,0,0,0,0,0.32827,0,4,39,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0.010398,0,18,6,0.158735,clean
0.099097,0,0,0,11.5269,0,1,2,0,0,0,3.50814,0,8,61,0,3,57,0.001153,0,0,0.002933,1.03,0,1,0,0,0,0.003144,0.010398,0.002984,37,8,0.113609,clean
0,0,0,0,3.09513,0,1,0,0,0,0,0.080868,0,9,115,0,1,0,0,0,0,0,4.04,0,5,0,0,0,0.009713,0.010398,0.001591,9,3,0.003702,clean
0,0,0,0,8.28731,0,0,0,0,0,0,0.261043,0,3,13,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0.019885,0,54,2,0.094493,clean
0.004468,2.02,0.005591,0.003271,18.3422,0.021974,2,0,0,0.003651,2.04,0.642115,0,12,319,0,1,5,0,0,0,0.046014,3.07,0,9,0,4.12,0,0.007815,0.010398,0.049213,9,4,0.303306,buggy
0,0,0,0,2.42975,0,1,0,0,0,0,0.060687,0,4,14,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.010398,0,12,2,0.001622,clean
0,0,0,0,0,0,1,0,0,0.0025,0,0,0,6,101,0,2,1,0,0,0,0.007235,2.03,0,3,0,0,0,0.006035,0.013377,0.007643,21,2,0,clean
0.005247,0,0.030299,0,6.54006,0,1,0,0,0,0,3.45598,0,3,63,0,2,3,0,0,0,0.031491,0,0,0,0,2.03,0,0,0.013377,0.035226,21,6,0.207561,clean
0,0,0,0,0,0,0,0,0,0.000966,0,0,0,8,61,0,1,0,0,0,0,0.015449,2.03,0,0,0,0,0,0.001717,0.010398,0.001667,9,1,0,clean
0,0,0,0,1.05147,0,1,0,0,0,0,0.041671,0,0,33,2,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,14,6,0.033412,clean
0,0,0,0,4.72472,0,0,0,0,0,0,0.232918,0,8,23,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.010398,0,10,2,0.108958,clean
0.001135,0,0,0,7.59491,0,0,0,0,0.000966,0,0.301601,0,9,56,0,1,2,0,0,0,0.000971,1.01,0,1,0,0,0,0.001313,0.010398,0.001035,10,2,0.109454,clean
0,0,0,0,0.792859,0,3,1,0,0,0,0.042456,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.045793,clean
0,0,0,0,0,0,0,0,0,0,0,0,0.003039,2,9,1,2,1,0,0,1.01,0,0,0,0,0,0,0,0,0.012964,0,19,0,0,clean
0.019324,3.03,0.03176,0.027692,10.8724,0.023553,1,0,0,0.025024,1.03,3.64568,0,15,427,0,1,2,0,0,0,0.058205,4.08,0,3,0,2.05,0,0.041272,0.005149,0.055194,9,6,0.352548,buggy
0,0,0.015802,0.013591,3.71322,0,0,0,0,0,1.01,0.152729,0,6,166,0,2,1,0,1.01,0,0.014478,3.03,0,12,0,1.02,0.006823,0.025699,0.021972,0.019225,16,9,0.10086,buggy
0,0,0,0,6.46103,0,0,0,0,0,0,0.346366,0,2,21,0,1,0,0,0,0,0.003155,4.04,0,0,0,0,0,0.00692,0.010398,0.002921,9,2,0.229954,clean
0,0,0,0,0.740259,0,0,0,0,0,0,0.016145,0,8,154,0,1,0,0,0,0,0,1.01,0,3,0,0,0,0.00273,0.010398,0,9,1,0.000005,clean
0.024155,0,0,0,1.64243,0,0,0,0,0,0,0.041874,0,1,6,1,4,18,0,0,0,0,0,0,0,0,0,0,0,0.012366,0,21,1,0.001163,clean
0.03915,1.01,0.029129,0,0,0.020901,5,0,0,0,0,0,0,0,29,0,1,4,0,0,0,0.030266,0,0,0,0,1.06,0,0,0,0.030608,9,6,0,clean
0.007014,1.01,0.001929,0,1.45008,0.001195,1,0,0,0,0,0.034425,0,10,214,0,1,12,0,0,0,0.003167,6.1,0,0,0,2.04,0,0.016634,0.010398,0.013598,9,10,0.000188,clean
0,1.01,0,0,2.69351,0.00085,0,0,0,0,0,0.074234,0,2,5,0,1,0,0,0,0,0,1.02,0,0,0,0,0,0.000853,0.00831,0.001327,10,2,0.007087,clean
0.003198,0,0.003404,0,5.96254,0,0,1,0,0.001785,0,0.31309,0.023724,12,300,5,3,2,0.016071,1.01,3.05,0.015929,5.09,0,6,0,2.03,0.00165,0.023065,0.052052,0.044401,78,16,0.187653,buggy
0.005992,0,0.002879,0.003209,2.94062,0,0,15,0,0,1.01,0.084171,0,0,90,0,1,33,0.003762,0,0,0.002842,0,0,2,0,1.01,0,0,0.010398,0.002903,9,8,0.017857,clean
0,0,0,0,1.31187,0,3,0,0,0,0,0.028841,0,3,87,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.041644,0,27,2,0.000011,clean
0,0,0,0,1.35264,0,0,0,0,0,0,0.101164,0,1,1295,6,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0,35,1,0.099579,clean
0,0,0,0,2.35699,0,0,2,0,0,0,0.140911,0,3,63,0,2,2,0,0,0,0.014478,0,0,4,0,0,0,0,0,0.019225,13,9,0.148302,clean
0,0,0,0,1.18716,0,0,0,0,0,0,0.048688,0,8,270,9,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,54,8,0.041747,clean
0.001647,0,0,0.001173,6.64038,0,0,1,0,0.001546,1.08,0.285468,0,5,57,0,3,2,0.001521,1.01,0,0.030266,0,0,0,0,0,0.00406,0,0.013377,0.001035,17,5,0.113346,clean
0.001001,1.09,0,0,11.4214,0.000661,27,0,0,0,0,0.411395,0,3,21,0,1,7,0,0,0,0.000971,3.03,0,0,0,0,0,0.004644,0.010398,0.00327,9,3,0.139189,clean
0,0,0,0,1.26735,0,0,2,0,0,0,0.053919,0,0,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0.049062,clean
0,0,0,0,1.28083,0,0,0,0,0,0,0.03561,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00831,0,9,1,0.003692,clean
0,0,0,0,3.90708,0,2,0,0,0,0,0.215128,0,0,10,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0.010398,0,18,3,0.11138,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0.012366,0,21,1,0,clean
0,0,0,0,7.62066,0,0,0,0,0,0,0.303907,0,8,270,0,1,1,0,0,0,0,3.03,0,3,0,0,0,0.007292,0.010398,0,9,3,0.110328,clean
0,0,0,0,3.4997,0,0,0,0,0,0,0.177749,0,3,141,1,3,1,0,0,0,0.014478,1.01,0,7,0,0,0,0.020279,0.01201,0.019225,16,5,0.16716,clean
0.001001,0,0.002328,0,5.80413,0,0,0,0,0,0,0.263233,0,5,74,0,2,1,0,0,0,0.002828,0,0,4,0,2.03,0,0,0.013302,0.002692,20,12,0.112092,clean
0.002179,0,0.000658,0.000743,7.54956,0,0,1,0,0.000848,1.01,0.216299,0.003055,8,68,11,2,1,0.001839,0,3.07,0.005467,3.07,0,5,0,1.02,0,0.003737,0.01144,0.010545,33,3,0.040942,clean
0,0,0,0,0.60098,0,0,0,0,0,0,0.021936,0,1,21,0,1,6,0,0,0,0,0,0,4,0,0,0,0,0,0,18,6,0.014134,clean
0.075068,4.05,0.035706,0.028889,23.6331,0.000524,16,5,0,0.000803,2.02,0.797407,0.007058,27,1009,38,1,46,0.004056,0,2.02,0.039118,8.09,0,24,0,7.17,0,0.048602,0.010398,0.050082,9,42,0.298367,buggy
0.00639,0,0.001757,0,3.22194,0,0,0,0,0,0,0.071184,0,2,12,0,2,4,0,0,0,0.001616,2.02,0,0,0,1.01,0,0.005716,0.010398,0.004888,15,3,0.000036,clean
0,0,0,0,2.52346,0,0,0,0,0,0,0.180832,0,5,35,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.00831,0,9,4,0.109618,buggy
0,0,0,0,6.17458,0,0,0,0,0.000928,0,0.15911,0,10,88,0,1,0,0,0,0,0.000536,0,0,4,0,0,0,0,0.010398,0.000605,9,1,0.020553,clean
0,0,0,0,3.9126,0,0,0,0,0,0,0.210955,0,5,48,1,2,0,0,0,0,0,2.02,0,4,0,0,0,0.00542,0.010398,0,30,7,0.108084,clean
0,0,0,0,0,0,2,0,0,0,0,0,0,2,19,1,3,1,0,0,0,0,1.01,0,0,0,0,0,0.00273,0.024375,0.001985,16,2,0,clean
0.049714,0,0.004802,0.003281,11.2928,0,0,0,0,0,3.03,0.351652,0,12,132,0,1,37,0,0,0,0.004782,4.05,0,11,0,5.06,0,0.007095,0.00831,0.015349,9,18,0.114231,clean
0.03915,0,0,0,0.792859,0,0,0,0,0,0,0.042456,0,5,125,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,3,0.045793,clean
0,0,0,0,2.56045,0,0,0,0,0,0,0.057945,0,3,86,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.008406,0,24,7,0.000087,clean
0,0,0,0,3.95872,0,1,1,0,0,0,0.16897,0,6,26,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.00831,0,39,6,0.113967,buggy
0,0,0.015802,0,3.1498,0,0,0,0,0,0,0.072926,0,13,73,0,3,2,0,0,0,0.014478,0,0,2,0,1.01,0,0,0.021972,0.019225,46,12,0.000192,clean
0,0,0,0,2.60998,0,1,0,0,0,0,0.070158,0,4,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.010398,0,9,1,0.006189,clean
0,1.03,0,0,0,0.000661,8,0,0,0,0,0,0,1,54,0,1,5,0,0,0,0.000971,1.01,0,1,0,0,0,0.001313,0.010398,0.02026,9,7,0,clean
0.03915,0,0,0,0.792859,0,6,0,0,0,0,0.042456,0,7,116,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0.045793,buggy
0.001933,0,0.00391,0,0,0,0,0,0,0,0,0,0,1,6,0,1,1,0,0,0,0,1.01,0,3,0,2.02,0,0.001562,0.010398,0.001173,10,2,0,clean
0,0,0,0.003209,6.14206,0,0,0,0,0,1.01,0.23221,0,3,29,2,3,0,0,0,0,0.002842,0,0,1,0,0,0,0,0.010398,0,15,3,0.116134,clean
0,0,0,0.001972,5.74047,0,1,0,0,0,1.02,0.292707,0,4,32,0,1,1,0,0,0,0.007072,0,0,2,0,0,0,0,0.010398,0.009076,10,2,0.17923,clean
0,1.01,0,0.042728,28.939,0.020901,1,0,0,0.039909,8.19,0.956831,0,25,507,0,1,3,0,0,0,0.069687,7.08,0,16,0,0,0,0.042548,0.010398,0.070787,9,0,0.363135,buggy
0.03915,0,0,0,1.64243,0,0,2,0,0,0,0.041874,0,1,6,1,4,2,0.033026,0,0,0,0,0,0,0,0,0,0,0.012366,0,21,1,0.001163,clean
0,0,0,0,3.93677,0,0,0,0,0,0,0.227022,0,4,39,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0.00831,0.002454,31,5,0.126922,clean
0,0,0,0,2.58708,0,2,0,0,0,0,0.134433,0,6,43,0,2,1,0,0,0,0,1.01,0,0,0,0,0,0.004292,0,0,15,4,0.119674,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,clean
0,0,0,0,2.99495,0,1,0,0,0,0,0.074035,0,4,20,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.010398,0,10,2,0.001685,clean
0,0,0.015802,0,2.89247,0,0,0,0,0,0,0.134178,0,3,64,0,2,2,0,1.01,0,0.014478,0,0,0,0,1.02,0.006823,0,0.019885,0.019225,16,10,0.102147,clean
0,0,0,0,3.9126,0,0,4,0,0,0,0.210955,0,4,73,1,2,5,0,0,0,0,0,0,3,0,0,0,0,0.010398,0,30,9,0.108084,clean
0,0,0,0,4.06683,0,0,0,0,0,0,0.097162,0,6,25,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0.010398,0,44,5,0.001258,clean
0,0,0,0,2.36108,0,0,0,0,0,0,0.073295,0,5,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.005149,0,9,1,0.021456,clean
0.005321,2.03,0,0.0028,9.59891,0.00439,5,0,0,0.006424,1.03,0.273717,0,8,114,0,1,2,0,0,0,0.009315,3.05,0,11,0,0,0,0.004402,0.010398,0.009062,9,0,0.069735,clean
0,1.01,0.003231,0.002246,4.75056,0,1,0,0,0,1.01,0.147995,0,11,103,0,1,0,0,0,0,0.002933,2.04,0,1,0,1.02,0,0.003144,0.005149,0.002984,9,5,0.046923,clean
0,0,0,0,1.17973,0,4,0,0,0,0,0.034189,0,11,66,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,39,4,0.005584,clean
0,0,0,0,3.64568,0,0,1,0,0,0,0.120786,0,4,140,0,1,2,0,0,0,0,0,0,14,0,0,0,0,0.00831,0.001516,9,1,0.057021,clean
0,0,0,0,1.54522,0,10,0,0,0,0,0.089145,0,3,56,0,1,1,0,0,0,0.011247,0,0,2,0,0,0,0,0,0.011224,9,2,0.096226,clean
0,0,0,0,1.41194,0,7,0,0,0,0,0.094182,0,3,1504,39,1,1,0,0,0,0,0,0,2,0,0,0,0,0.010398,0,9,5,0.099295,clean
