@relation poi-2.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R12

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,6636,5,62,95,0.942356,0.72973,19,0.067187,0,26.844961,2.2171,1
1,0,0,6,1,1,2,0,0,1,0,0,1,0
2,0,25,3,3,9,0.8,0.5,0,0.431818,1,15.272727,1.1818,1
1,0,0,2,2,7,0.571429,1,1,0.25,0,51.75,3,1
1,0,595,184,2,32,2,0,0,0.2,0,9.828571,1.2,1
2,0,21,0,2,7,1,1,0,0.428571,1,2.571429,0.7143,1
1,0,1,5,0,2,2,0,0,0.75,0,0,1,0
2,0,49,2,3,9,0.933333,0.333333,0,0.522727,1,8.363636,0.8182,1
2,0,45,2,3,10,1.111111,0.333333,0,0.32,0,4.6,0.8,1
2,0,43,1,5,15,0.833333,0.666667,0,0.333333,1,13.866667,0.9333,0
3,0,10,2,1,4,1.25,0,0,0.5,1,4,0.4,1
2,0,0,3,5,26,0.731481,0.75,3,0.198413,1,7.321429,1.1786,1
2,0,0,10,3,11,0.642857,1,1,0.25641,1,19.307692,0.9231,0
2,0,33,1,3,11,0.9,0.75,0,0.327273,1,4.636364,0.8182,1
1,0,15,2,13,6,0.644444,1,0,0.17284,0,77,2,1
2,0,195,3,5,27,0.875,0.833333,0,0.265432,1,16.481481,1.037,1
2,0,221,5,4,21,0.727273,0.75,0,0.304348,1,14.043478,1.8261,1
2,0,1,8,4,12,0.692308,0.5,0,0.4,1,16.214286,1.2143,1
3,0,10,1,1,4,1.25,0,0,0.5,1,4,0.4,1
1,0,0,1,0,3,0,0,0,0.5,0,26.666667,0.6667,0
2,0,34,2,5,13,0.854167,0.5,0,0.323077,1,12.461538,0.9231,0
2,0,66,2,3,11,0.805556,0.666667,0,0.5,1,9.538462,0.8462,1
2,0,36,2,2,9,1.125,0,0,0.333333,0,5.666667,0.7778,1
1,16,60,25,35,12,1,0.25,0,0.283333,0,33.25,1.1667,1
1,0,9,2,5,7,0.833333,1,5,0.571429,0,22.857143,1,1
2,0,45,2,2,10,1.111111,0.333333,0,0.32,0,5,0.8,1
2,0,49,2,3,9,0.933333,0.333333,0,0.522727,1,8.454545,0.8182,1
2,0,1491,5,10,56,0.957966,0.487179,0,0.203629,1,19.129032,1.4194,1
1,0,6,3,0,4,2,0,0,0.75,0,0,1,0
2,0,109,1,4,17,0.81746,0.857143,1,0.368421,1,12.578947,0.8947,1
1,0,0,0,10,4,0,1,2,0.5625,0,121,2,1
2,0,30,3,7,6,0.75,1,1,0.407407,1,5,0.8889,0
4,0,0,140,0,1,2,0,0,1,0,4,0,0
1,0,1,0,6,2,2,0,0,0.5,0,13,0.5,1
2,0,9,2,2,7,0.944444,0.666667,0,0.428571,1,8.428571,1,1
2,0,43,1,6,15,0.833333,0.666667,0,0.333333,1,15.466667,1,0
