@relation poi-3.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R6

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
2,0,36,2,3,1.125,0,0,0.259259,0,5.666667,0.7778,1
2,0,45,1,3,1.111111,0.333333,0,0.25,0,4.4,0.8,0
1,0,0,1,1,1.3125,0.125,1,0.666667,0,10,3,1
2,0,0,0,3,0.5,1,0,0.5,1,26.2,4.8,0
2,1,246,1,7,0.929012,0.518519,6,0.252252,1,16.837838,0.973,1
2,0,740,1,14,0.835938,1,3,0.182692,2,19.44898,1.5102,1
1,0,0,1,1,2,0,0,1,0,0,1,0
1,0,0,13,0,2,0,0,1,0,0,1,0
2,0,0,6,4,0.35,1,0,0.363636,1,14.636364,1,1
1,0,1,22,1,2,0,0,1,0,0,1,1
2,0,35,1,5,0.8,0.5,0,0.309091,1,9.909091,0.9091,1
3,0,1485,1,6,1.018519,0,0,0.192208,0,7.8,1,1
2,0,39,2,4,0.833333,0.5,0,0.32,1,7.9,0.9,1
3,0,1,5,1,2,0,0,0.555556,0,6.333333,1.3333,1
1,0,0,1,0,0.388889,1,0,0.313333,1,24.28,2.6,0
2,0,35,3,4,0.8,0.5,0,0.257576,1,9.090909,1.0909,1
1,0,1,2,0,2,0,0,0.5,0,18.5,1.5,1
2,0,25,9,6,0.957143,0.142857,0,0.222222,1,31.636364,1.8182,1
1,0,158,1,1,0.75,0,1,0.175,0,11.9,1.1,1
2,1,89,4,9,0.721088,0.857143,2,0.198864,1,17.636364,1.1818,0
2,0,35,1,5,0.8,0.5,0,0.309091,1,9.909091,0.9091,1
2,0,610,1,7,0.957692,0.5,14,0.215457,1,17.42623,0.9836,1
2,0,6,1,15,0.75,1,2,0.55,1,34,1.2,1
2,0,140,1,7,0.800926,0.888889,2,0.253333,1,16.12,0.96,1
2,0,39,2,4,0.972222,0.25,0,0.32,1,7.9,0.9,1
1,0,2862,60,56,0.921695,1,6,0.136886,0,40.284091,2.3182,1
3,2,0,2,8,0,1,1,0.15,2,4.678571,0.9286,0
2,0,43,2,4,0.8,0.5,0,0.309091,1,8.090909,0.9091,1
1,0,0,5,35,0.925743,0.4375,3,0.135567,0,16.911765,1.7353,1
1,0,0,4,1,2,0,0,1,0,0,1,0
2,0,17,4,5,0.84,0.4,0,0.287879,1,108.454545,1.7273,1
2,0,155,2,17,0.854167,0.875,0,0.236842,1,26.526316,1.7368,1
1,0,0,3,2,0.65625,1,1,0.25,0,46.444444,2.3333,0
1,0,630,186,2,2,0,0,0.200617,0,10.055556,1.2222,1
2,0,21,0,3,1,1,0,0.314286,1,2.571429,0.7143,0
1,0,1,5,0,2,0,0,0.75,0,0,1,0
2,0,39,2,4,0.925926,0.333333,0,0.32,1,7.8,0.9,1
2,0,45,2,4,1.111111,0.333333,0,0.25,0,4.6,0.8,0
2,0,43,1,5,0.833333,0.666667,0,0.333333,1,13.866667,0.9333,1
1,0,0,2,1,0.5,1,1,0.7,0,28.4,1.2,1
2,0,35,1,7,0.761364,0.875,4,0.253623,1,14.304348,0.9565,1
2,0,39,3,4,0.833333,0.5,0,0.32,1,7.9,0.9,1
1,0,0,3,0,2,0,0,1,0,0,1,0
1,0,728,3,32,0.715584,0.642857,1,0.173737,0,35.017857,3.2857,1
2,0,0,1,7,0.6875,0.8,3,0.254902,1,12.058824,0.9412,1
2,0,120,1,5,0.955263,0.315789,0,0.304762,1,16.142857,0.9524,1
3,0,4,2,11,0.666667,1,1,0.5,1,37.5,3.75,1
1,0,1,1,4,2,0,0,0.5,0,40,0.5,0
2,0,22,1,4,0.885714,0.8,0,0.270833,1,10.125,0.625,0
1,0,0,4,0,0.611111,1,0,0.52381,0,9.285714,0.8571,1
1,2,42,18,0,0.818182,0,0,0.708333,0,3.833333,0.8333,0
1,0,0,0,3,0.333333,0,1,0.47619,0,29,2.1429,0
1,0,0,0,0,0.388889,1,0,0.313333,1,24.04,2.6,1
2,0,45,2,3,1.111111,0.5,0,0.25,0,4,0.8,0
1,0,1,2,7,2,0,0,0.5,0,11,0.5,1
2,0,35,3,4,0.8,0.5,0,0.257576,1,9.090909,1.0909,1
3,0,0,6,7,0.090909,0,1,0.316667,3,50,2.0833,1
1,0,0,4,0,0.509615,1,0,0.37037,1,24.148148,2.5556,1
3,0,124,3,34,1.045398,0.023697,2,0.161538,2,50.15,2.55,1
2,2,3,5,5,1.04,0.4,0,0.4,1,23.833333,0.8333,1
2,0,39,2,4,1,0.2,0,0.32,1,7.9,0.9,1
2,0,56,2,4,0.75,0.666667,0,0.307692,1,9.307692,0.9231,1
1,2,19,3,4,0.611111,1,2,0.325,0,5.9,1.3,0
2,0,36,1,3,1.125,0,0,0.259259,0,5.333333,0.7778,0
1,0,6,4,1,2,0,0,0.583333,0,0,1,0
2,0,35,4,4,0.8,0.5,0,0.257576,1,9,1.0909,1
2,4,3,6,7,2,0,0,0.666667,0,14.333333,2,1
2,0,305,1,7,0.867725,0.944444,8,0.251938,1,17.046512,0.9767,1
1,2,0,2,3,0.5,1,2,0.458333,0,16.5,1.1667,1
3,0,21,1,0,1.149123,0.052632,2,0.22449,1,36.571429,1,0
2,5,38,8,7,0.685714,0.857143,3,0.196429,1,13.809524,0.9048,1
2,0,33,2,4,0.777778,0,0,0.266667,1,15.4,1.2,1
4,2,0,2,1,0.5,1,0,0.5,0,5.333333,0.6667,0
