@relation data/M_multi_metrics_ML.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R61-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R48-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R28-weka.filters.unsupervised.attribute.Remove-R53-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R50-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R43-weka.filters.unsupervised.attribute.Remove-R34-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R43-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R30-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R12

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPublicAttributes numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute CvsLogEntropy numeric
@attribute WCHU_noc numeric
@attribute ck_oo_numberOfLinesOfCode numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute ck_oo_fanIn numeric
@attribute WCHU_dit numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute LDHH_dit numeric
@attribute LDHH_fanOut numeric
@attribute LDHH_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute class {buggy,clean}

@data
0,0,0.002125,0,0,1,0,0,0,9.20025,0,55,0,1,2,0,0,0,0,0,0.009791,9,6,clean
0,0,0,0,0,0,0,0,0,0,0,79,0,2,1,1.01,0,1,0.00092,0,0.008591,54,21,clean
4,0,0.00716,0.012529,0.012522,0,0,0,0.030978,0.121386,0,190,0,1,1,0,0,3,0,0.038692,0,0,7,clean
0,0,0.001419,0,0,1,0,0,0,9.14866,0,38,0,1,3,0,0,3,0,0,0.009791,9,6,clean
0,0,0.000341,0,0,0,0,0,0,0.121386,0,6,0,1,3,0,0,0,0,0,0,0,2,clean
0,1.01,0,0,0,23,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,clean
0,0,0,0,0,1,0,0,0,0,0,46,0,1,2,0,0,5,0,0,0.009791,9,12,clean
2,0,0.070505,0,0.015114,0,6,0,0,9.63668,0,270,0,1,17,0,0,9,0,0.049711,0,0,13,buggy
0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,clean
0,0,0.000682,0,0,0,0,0,0,0.121386,0,6,7,3,1,0,0,1,0,0,0.027723,39,2,clean
1,0,0,0,0,0,0,0,0,0,0,36,0,1,1,0,0,2,0,0,0,0,5,clean
1,0,0,0,0,0,0,0,0,0,0,9,0,1,2,0,0,2,0,0,0,9,1,clean
1,0,0.047571,0,0,0,0,0,0,0.083944,0,255,0,2,0,0,0,2,0,0.002623,0.009791,55,41,clean
2,0,0,0,0,0,0,0,0,0,0,32,0,1,1,0,0,2,0,0,0,0,4,clean
1,0,0.010668,0,0.002482,0,0,0,0.002532,9.47497,0,36,0,1,2,0,0,1,0,0.007107,0,0,5,clean
19,0,0.077994,0.006379,0.012679,0,0,0,0.008061,9.43015,0,359,0,1,3,0,0,13,0,0.019992,0.009791,10,6,clean
0,0,0.028946,0.001496,0,0,0,0,0,9.36684,0,15,0,1,2,3.04,0,1,0.002893,0.003237,0.004826,0,5,clean
0,0,0.009705,0,0,0,0,0,0,9.19857,0,74,0,1,1,0,0,2,0,0.012361,0,0,5,buggy
16,0,0.003997,0,0,0,0,0,0,9.28483,0,480,0,1,16,0,0,14,0,0.003794,0,0,24,clean
0,0,0.001138,0,0,0,0,0,0,9.09329,0,8,0,1,0,1.03,1.02,0,0.00316,0.005988,0.008829,0,1,clean
0,0,0,0,0,0,0,0,0,0,0,132,3,2,3,0,0,10,0,0,0,14,18,buggy
0,0,0.003862,0,0,0,0,0,0,9.26602,0,21,2,4,22,1.01,2.02,0,0.002921,0,0.030356,170,7,clean
0,0,0.002663,0,0,0,0,0,0,9.17116,0,0,0,1,0,0,0,0,0,0,0.009791,9,0,clean
3,0,0,0,0,0,0,0,0,0,0,197,4,3,1,0,0,15,0,0.009726,0,46,34,clean
0,0,0.004022,0,0,0,0,0,0,9.30588,0,31,0,1,6,0,0,0,0,0,0,0,2,clean
0,0,0.009474,0,0,0,3,1,0,9.22122,1.01,47,0,1,8,0,0,4,0,0.002623,0.009791,18,8,clean
0,0,0.005637,0,0,0,0,0,0,9.33613,0,64,0,1,1,0,0,0,0,0.01004,0.009791,9,2,clean
0,0,0.018519,0.003451,0.02038,0,0,0,0,9.26124,0,74,1,2,9,2.02,0,5,0.004493,0.014292,0.010996,11,9,clean
0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,clean
0,0,0.011587,0,0.010189,0,0,1,0,9.3062,0,26,0,1,1,0,0,1,0,0.001968,0,0,2,clean
0,0,0,0,0,0,0,0,0,0,0,8,0,2,1,0,0,0,0,0,0,12,4,clean
0,1.08,0,0,0,28,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,clean
0,0,0.002216,0,0,0,0,0,0,0.121386,0,30,4,3,1,0,0,4,0,0,0.027723,43,4,clean
3,0,0.044483,0.002991,0.00249,0,0,1,0.002741,9.64364,0,199,1,3,1,1.01,0,7,0.002921,0.031592,0.014863,21,9,buggy
0,0,0.001138,0,0,0,0,0,0,9.09329,0,27,1,2,3,0,0,1,0,0,0,6,3,clean
14,0,0.000949,0,0,0,0,0,0,9.09329,0,483,0,1,1,0,0,5,0,0.012361,0,0,3,clean
0,0,0.006878,0.018552,0,0,0,0,0.019848,9.35282,0,60,0,1,2,0,0,2,0,0.047727,0,0,4,clean
0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,1,0,0,0,26,1,clean
7,0,0.002218,0,0,0,0,0,0,9.19955,0,164,0,3,0,0,0,7,0,0,0,14,6,clean
0,0,0.001138,0,0,0,0,0,0,9.09329,0,57,0,1,1,0,0,3,0,0,0,0,3,clean
0,0,0.000949,0,0,0,0,0,0,9.09329,0,34,0,1,0,0,0,0,0,0,0.005924,10,7,clean
0,0,0.099696,0.001158,0,0,0,0,0,9.58758,0,59,0,1,0,0,0,1,0,0.016028,0.009791,11,4,buggy
0,0,0.010189,0,0,0,0,0,0,9.31926,0,57,0,1,11,0,0,7,0,0,0.009791,18,16,clean
0,0,0.006846,0,0.003108,0,0,0,0,9.07779,0,42,0,1,0,0,0,2,0,0.003258,0,9,1,clean
0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,14,0,clean
0,0,0.000949,0,0,0,1,0,0,9.09329,0,4,0,1,0,0,0,0,0,0,0,0,1,clean
1,0,0.012933,0.030681,0.025774,0,0,0,0.019848,9.07779,0,96,6,3,3,1.01,2.06,3,0.009752,0.045724,0.03839,57,3,clean
1,0,0.001386,0,0,0,1,0,0,9.19476,0,144,0,1,3,0,0,6,0,0,0,0,5,buggy
3,0,0.009788,0,0,0,3,0,0,9.26485,0,238,0,1,16,0,0,4,0,0.009083,0,0,6,buggy
0,0,0.00027,0,0,0,0,1,0,0.07156,0,11,0,1,0,0,0,1,0,0,0.005924,18,2,clean
0,0,0.001328,0,0,0,0,0,0,9.09329,0,13,1,2,0,0,0,2,0,0,0,15,1,clean
2,0,0.299901,0.02053,0.025005,0,0,3,0.015987,10.1712,0,170,0,1,2,0,0,7,0,0.053431,0,0,15,clean
0,0,0.010797,0,0,0,0,0,0,9.25225,0,10,0,2,2,0,0,1,0,0.017949,0.003725,7,1,clean
0,0,0,0,0,0,0,0,0,0,0,9,0,2,1,0,0,0,0,0,0,22,1,clean
0,0,0.027888,0,0,0,11,0,0,9.47343,1.01,78,0,1,18,0,0,0,0,0.00879,0.009791,9,4,clean
0,0,0,0,0,0,1,0,0,0,0,78,0,2,1,0,0,6,0,0.035034,0.009791,35,4,clean
0,0,0.002373,0,0,0,0,0,0,9.16273,0,64,0,2,0,0,1.03,1,0,0.008081,0.031562,32,2,clean
0,0,0.021409,0.009533,0.002734,0,5,0,0,9.35739,5.05,194,0,1,57,0,0,1,0,0.019565,0.005924,9,32,clean
0,0,0.007559,0,0,0,0,0,0,9.27294,0,21,0,1,1,0,0,0,0,0.005988,0,0,3,clean
0,0,0.003644,0,0.010189,0,0,0,0,9.33773,0,12,0,1,1,0,0,1,0,0,0,0,2,clean
1,0,0.036347,0,0.010189,0,0,0,0,9.33124,0,55,0,1,1,0,0,1,0,0.006183,0,0,3,clean
0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,1,0,0,0,26,1,clean
0,0,0.002106,0,0,0,0,0,0,9.26259,0,23,0,1,0,0,0,2,0,0,0,0,1,clean
0,0,0,0,0,42,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,clean
0,0,0.056074,0.000375,0,0,0,1,0,9.53611,0,78,0,1,2,0,0,1,0,0.008025,0.009791,9,4,clean
0,0,0.007706,0,0,0,0,1,0,9.22122,0,38,0,3,0,0,0,3,0,0.002623,0.009791,52,6,clean
0,0,0.008403,0,0,0,0,1,0,9.51268,0,20,0,1,2,0,0,1,0,0,0,0,1,clean
0,0,0,0,0,0,0,0,0,0,0,40,0,1,0,0,0,4,0,0,0,0,1,clean
0,0,0.003613,0,0,0,2,0,0,9.22957,0,64,2,2,1,0,0,0,0,0.005988,0.005924,25,7,clean
1,0,0.019177,0.002991,0,0,0,0,0,9.57412,0,110,6,3,0,1.01,0,1,0.002921,0.008353,0.014863,38,11,clean
0,0,0.000949,0,0,0,0,0,0,9.09329,0,64,0,1,5,0,0,4,0,0,0.009791,9,14,clean
3,0,0.091709,0,0,0,0,1,0.0009,9.73828,0,226,0,1,5,0,0,10,0,0.022251,0,0,6,clean
0,0,0.000266,0,0,0,0,0,0,0.059885,0,43,0,1,0,0,0,3,0,0.009592,0,0,4,clean
0,2.03,0,0,0,61,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,buggy
1,0,0.095462,0.009875,0.011279,0,0,0,0.002667,9.44305,0,233,0,1,20,0,0,17,0,0.013456,0.005924,9,31,clean
0,0,0.022246,0,0,0,0,0,0,9.27268,0,30,0,1,0,0,0,1,0,0,0,0,4,clean
0,0,0.17594,0,0,0,0,0,0,0.163019,0,105,0,1,0,0,0,0,0,0.004661,0.009791,9,11,clean
0,0,0.001508,0,0,0,0,0,0,9.16485,0,21,0,2,1,0,0,0,0,0,0.005924,11,3,clean
8,0,0.010809,0,0,0,0,0,0,9.21823,0,419,0,1,9,0,0,19,0,0,0,0,9,clean
0,0,0.004944,0,0,0,3,0,0,0.121386,0,60,4,4,2,0,0,3,0,0,0.027723,45,4,clean
0,0,0.001518,0,0,1,0,0,0,9.09329,0,12,0,2,1,0,0,0,0,0,0.005924,54,5,clean
0,0,0.001279,0,0,0,0,0,0,9.15904,0,18,0,1,0,0,0,1,0,0.016473,0.005924,9,6,clean
0,0,0.00733,0,0,0,1,0,0,0.121386,1.01,50,0,1,2,0,0,0,0,0.012361,0,9,2,clean
0,0,0.000949,0,0,0,0,0,0,9.09329,0,27,0,1,1,0,0,2,0,0,0,0,1,clean
12,0,0.02373,0.052858,0.009795,0,0,0,0.014422,9.45418,1.01,347,0,2,7,0,2.05,16,0,0.027229,0.041678,32,20,buggy
0,0,0,0,0,0,1,0,0,0,0,0,0,3,6,0,0,0,0,0,0,58,15,clean
7,1.01,0.30528,0.060424,0.017964,0,0,3,0.020419,10.0819,0,464,0,1,13,0,0,9,0,0.121461,0.003867,0,23,buggy
0,0,0.002868,0,0,0,0,0,0,9.16273,0,19,0,1,2,0,0,2,0,0.012361,0.005924,9,6,clean
2,0,0.029559,0.006799,0.006142,0,4,2,0.00318,9.38388,2.04,294,0,3,110,0,1.01,26,0,0.006651,0.011322,101,67,clean
2,0,0.05299,0,0,0,0,0,0,0.132501,0,122,0,1,0,0,0,2,0,0.007619,0.009791,9,2,clean
3,2.02,0.097004,0.002701,0.047915,0,0,1,0.032263,9.52571,0,117,0,1,11,3.04,0,9,0.004202,0.089289,0.007549,0,6,clean
0,0,0,0,0,1,0,0,0,0,0,38,0,1,0,0,0,3,0,0,0,0,2,clean
2,0,0,0,0,0,0,0,0,0,0,64,0,1,2,0,0,1,0,0,0,0,5,clean
1,0,0.02004,0,0,0,3,0,0,0.166755,0,219,0,1,3,0,0,4,0,0,0.009791,22,17,clean
1,0,0.399081,0,0.001076,0,0,0,0,9.49066,0,111,0,1,0,0,0,5,0,0.027506,0,0,7,clean
1,0,0.006455,0,0,0,0,0,0,9.07779,0,51,0,1,0,0,0,0,0,0.006771,0,0,1,buggy
0,0,0.005715,0.002991,0.002734,0,0,0,0,9.2369,0,191,0,1,10,0,0,17,0,0.014181,0.009791,18,34,clean
1,0,0,0,0,0,0,0,0,0,0,101,0,2,0,0,0,3,0,0,0,31,10,buggy
0,1.01,0.007869,0,0,6,0,0,0,9.13881,0,14,0,1,1,0,0,0,0,0,0.009791,9,2,clean
9,0,0.110154,0,0,0,0,0,0,0.073931,0,246,0,1,5,0,0,10,0,0.004111,0,0,11,clean
0,0,0.016366,0,0,0,0,0,0,0.121386,0,75,0,1,1,0,0,2,0,0,0,9,1,buggy
0,0,0.009763,0,0,0,0,1,0,9.39617,0,18,0,2,0,0,0,0,0,0.003519,0.009791,17,0,clean
0,0,0,0,0,0,6,0,0,0,0,0,0,1,3,0,0,0,0,0,0,9,1,clean
3,0,0.000949,0,0,0,0,0,0,9.09329,0,186,0,1,8,0,0,11,0,0.016473,0.005924,9,18,clean
0,0,0.057119,0,0.001616,0,0,1,0,9.63416,0,90,0,1,0,0,0,2,0,0.029845,0.009791,9,4,clean
0,0,0.003704,0,0,0,0,0,0,9.07779,0,58,0,1,4,0,0,3,0,0,0,0,7,clean
1,0,0.02529,0.007542,0.004164,0,0,0,0.002667,9.56773,0,105,0,2,2,0,2.05,2,0,0.012402,0.042969,32,6,buggy
0,0,0.001791,0,0,0,0,1,0,9.14037,0,156,0,1,1,0,0,14,0,0.002623,0.009791,18,28,clean
0,0,0.049957,0,0,0,0,0,0,9.42658,0,3,8,3,0,0,3.03,0,0,0.002072,0.055964,29,1,clean
0,0,0,0,0,7,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,clean
0,0,0.002193,0.003194,0.010189,0,1,0,0,9.19476,1.01,41,0,1,5,0,0,1,0,0,0,0,4,clean
0,0,0.012648,0,0,0,0,1,0,9.35788,0,45,0,1,9,0,0,5,0,0,0.009791,18,12,clean
5,0,0,0,0,1,1,0,0,0,0,565,0,1,1,0,0,0,0,0,0,0,3,clean
3,0,0.042681,0.001158,0,1,0,0,0,9.46786,0,218,0,1,31,0,0,5,0,0.029016,0.011897,21,21,clean
0,0,0.00119,0,0,0,1,0,0,9.13106,0,3,0,1,1,0,0,0,0,0,0,0,2,clean
1,0,0,0,0,0,0,0,0,0,0,9,0,1,2,0,0,2,0,0,0,9,1,buggy
0,0,0,0,0,0,0,1,0,0,0,12,0,1,2,0,0,1,0,0,0,9,1,clean
0,0,0.002626,0,0,0,0,0,0,9.17814,0,4,0,1,2,0,0,0,0,0,0.009791,9,2,clean
0,0,0,0,0,0,0,0,0,0,0,14,0,1,1,0,0,1,0,0,0,9,5,clean
6,0,0.163063,0,0,0,0,0,0,9.63577,0,248,3,2,14,0,0,9,0,0.025472,0.009791,17,8,clean
1,0,0.002488,0,0,0,0,0,0,9.14037,0,30,0,1,2,0,0,2,0,0.018159,0.009791,9,6,clean
0,0,0.024954,0.00445,0.001734,0,0,0,0,9.35383,0,33,0,1,2,0,0,4,0,0,0.009791,9,8,clean
6,1.01,0.084845,0.038658,0.051235,1,0,3,0.02314,9.45239,0,685,0,1,217,0,0,41,0,0.088948,0,0,59,buggy
1,0,0.058519,0.004624,0,0,0,0,0,9.56692,2.02,88,0,1,24,0,0,4,0,0.012809,0.009791,9,17,clean
1,0,0.071954,0.001581,0.001359,0,0,0,0.001861,9.23881,0,49,0,1,2,0,0,4,0,0.002663,0.009791,9,3,clean
0,0,0.049344,0.000846,0.002346,0,0,0,0.003546,9.58881,0,122,0,1,1,0,0,5,0,0.009702,0,0,14,clean
1,0,0.001328,0,0,0,0,0,0,9.09329,0,9,0,1,0,0,0,0,0,0,0,0,0,clean
0,0,0.009247,0,0,0,0,0,0,0.085882,0,41,0,1,0,0,0,8,0,0,0.009791,9,6,clean
0,0,0.011961,0,0,0,0,0,0,9.16485,0,23,7,1,1,0,0,3,0,0,0.005924,34,7,clean
0,0,0.002825,0,0,0,0,0,0,9.22447,0,6,0,1,2,0,0,1,0,0,0.005924,9,2,clean
0,0,0.004234,0,0,0,0,0,0,9.16485,0,25,5,3,1,0,0,2,0,0,0.005924,32,6,clean
0,1.01,0.00563,0,0,1,0,0,0,0.125748,0,131,0,3,5,0,0,2,0,0.021607,0,44,17,clean
0,0,0.003288,0,0,0,0,0,0,9.3836,0,81,0,1,0,0,0,2,0,0.005795,0,0,6,clean
0,0,0.050244,0.018552,0.032855,0,0,0,0,9.66451,0,45,0,1,6,0,0,1,0,0.04357,0,0,4,clean
1,0,0,0,0,0,0,0,0,0,0,26,0,1,1,0,0,3,0,0,0,0,4,clean
2,0,0,0.022517,0,0,0,0,0,0,0,681,0,1,8,0,0,3,0,0.024511,0,9,40,buggy
2,0,0.004798,0,0,0,0,0,0,9.16485,0,101,0,1,2,0,0,5,0,0.022163,0.005924,9,12,clean
0,0,0.001708,0,0,3,0,0,0,9.09329,0,15,1,1,1,0,0,0,0,0,0.005924,14,6,clean
0,0,0.026776,0,0,0,0,0,0,9.35271,0,43,0,1,14,0,0,13,0,0,0.012459,14,13,clean
1,0,0.023139,0.010717,0.001734,0,0,1,0.001676,9.46936,0,194,0,1,26,0,0,2,0,0.011392,0.009791,9,27,clean
2,0,0.003607,0,0,0,0,0,0,9.35194,0,49,0,1,0,0,0,2,0,0.003409,0,0,3,buggy
0,2.03,0,0,0,14,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,clean
0,0,0.012781,0,0,0,0,0,0,9.45671,0,19,0,1,1,0,0,1,0,0.003434,0,0,2,clean
0,0,0.001534,0,0,0,0,0,0,0.121386,0,40,4,3,1,0,0,3,0,0,0.027723,43,4,clean
0,0,0.004118,0,0,0,5,0,0,9.23975,2.02,15,0,1,0,0,0,0,0,0,0.009791,9,4,clean
0,0,0.036161,0,0,0,2,0,0,9.54493,0,190,0,1,3,0,0,0,0,0.026949,0,0,7,clean
1,0,0,0,0,0,0,0,0,0,0,54,0,1,9,0,0,1,0,0,0,0,8,buggy
0,0,0.001705,0.018552,0.017874,0,0,0,0,0.121386,0,88,4,3,1,0,0,4,0,0,0.027723,43,6,clean
1,0,0.139041,0.006542,0.011447,0,2,0,0.00318,9.32269,1.01,191,1,2,5,0,0,7,0,0.02129,0.007771,19,8,buggy
3,0,0.007178,0,0,0,0,0,0,9.22338,0,83,0,1,1,0,0,3,0,0.003794,0.005924,9,2,clean
0,0,0.017712,0,0,0,0,0,0,9.16485,0,42,0,1,1,0,0,6,0,0,0.005924,9,9,buggy
8,0,0,0,0,0,0,0,0,0,0,301,0,1,1,0,0,9,0,0,0,0,11,buggy
0,0,0.002965,0,0,0,0,0,0,0.13617,0,43,0,1,0,0,0,2,0,0.018867,0.005924,9,3,clean
3,0,0.017196,0.003006,0.031487,0,1,2,0.023845,9.31996,1.01,166,16,3,2,1.01,1.01,2,0.008626,0.031162,0.013691,48,2,buggy
0,0,0.00781,0,0,0,0,1,0,9.22122,0,38,0,4,0,0,0,3,0,0.002623,0.009791,71,6,clean
0,0,0.002044,0,0,0,0,0,0,9.18368,0,19,0,1,2,0,0,1,0,0,0,0,6,clean
6,0,0.010193,0,0,0,0,0,0,9.45138,0,166,0,1,2,0,0,8,0,0.009507,0.009791,16,12,clean
2,0,0,0,0,0,0,0,0,0,0,87,0,1,0,0,0,0,0,0,0,9,3,clean
9,0,0.00287,0,0,1,0,0,0,9.25013,0,144,0,1,1,0,0,3,0,0.020267,0,0,4,clean
1,0,0.028498,0,0,0,0,0,0,9.38983,0,41,0,1,0,0,0,0,0,0,0,0,4,clean
1,0,0.019793,0,0,0,0,0,0,9.39275,0,115,0,2,0,0,0,0,0,0.032585,0.009791,16,7,clean
0,0,0.000692,0,0,1,0,0,0,9.15394,0,54,0,1,9,0,0,0,0,0.004111,0.005924,9,7,clean
0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,clean
0,0,0.006841,0,0,0,0,0,0,9.1842,0,27,0,1,2,0,0,1,0,0.012361,0,0,7,clean
0,0,0.001328,0,0,10,0,0,0,9.09329,0,0,0,1,2,0,0,1,0,0,0.005924,18,1,clean
0,0,0.043265,0.000323,0,0,0,0,0,9.56557,0,19,0,1,1,0,0,1,0,0.00135,0,0,4,clean
3,0,0.009043,0.002319,0,0,0,0,0,9.29688,0,149,0,1,9,0,0,9,0,0.022497,0,0,9,clean
1,0,0,0,0,0,0,0,0,0,0,9,0,1,2,0,0,2,0,0,0,9,1,buggy
0,3.36,0,0,0,119,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,buggy
3,0,0,0,0,0,0,0,0,0,0,124,1,2,1,0,0,7,0,0.012361,0,19,3,buggy
0,0,0.002728,0,0,0,0,0,0,0.121386,0,12,0,2,1,0,0,0,0,0,0.027723,22,1,clean
3,0,0,0,0,0,0,0,0,0,0,260,0,1,5,0,0,8,0,0,0,0,12,clean
1,0,0,0,0,0,0,0,0,0,0,83,1,2,0,0,0,3,0,0,0,19,4,buggy
0,0,0.048073,0,0,0,0,0,0,9.36669,0,3,8,3,0,0,3.03,0,0,0.002072,0.054526,29,1,clean
5,0,0.019672,0,0.001461,0,0,0,0,9.30105,0,124,0,1,3,0,0,4,0,0,0,0,2,clean
0,0,0.001023,0,0,0,0,0,0,0.121386,0,11,0,2,5,0,0,0,0,0,0.027723,22,1,clean
0,0,0.023128,0,0.002878,0,0,0,0,9.51024,0,26,1,2,1,0,0,0,0,0.005921,0.009791,11,2,clean
1,0,0.00375,0,0,0,0,0,0,0.121386,0,47,0,1,28,0,0,2,0,0.013771,0,9,7,clean
0,0,0,0,0,0,0,0,0,0,0,6,1,4,1,0,0,0,0,0,0,29,1,clean
0,0,0.073454,0,0,0,0,0,0,0.209384,0,168,0,2,8,0,0,16,0,0.002623,0.009791,37,32,clean
3,0,0.012121,0.004374,0.004791,0,0,1,0.004366,9.09329,0,117,1,2,15,0,1.01,5,0,0.037015,0.011369,23,11,clean
0,0,0.019592,0,0,0,5,0,0,9.23327,0,50,8,2,1,0,1.01,1,0,0,0.053259,25,3,clean
0,0,0.013754,0.006542,0.00249,0,0,0,0.003114,9.2653,0,55,1,2,2,0,0,3,0,0.004111,0.008655,26,11,clean
0,0,0.003867,0,0.002878,0,0,0,0,9.19476,0,41,1,2,0,0,1.01,1,0,0.003794,0.001915,2,0,clean
0,0,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,clean
2,0,0.17691,0.018552,0,0,0,0,0.022444,9.93732,0,173,0,1,2,0,0,2,0,0.080794,0,0,4,clean
1,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0,0,2,0,0,0,9,1,clean
6,0,0.006499,0,0,0,0,0,0,9.22122,0,114,0,1,1,0,0,2,0,0,0.009791,9,6,clean
0,0,0,0,0,0,0,0,0,0,0,6,0,1,2,0,0,1,0,0,0,0,2,clean
1,0,0.007419,0,0,0,0,0,0,9.32416,0,39,1,3,1,0,0,1,0,0.008022,0.009791,19,3,clean
0,0,0,0,0,0,0,0,0,0,0,28,0,4,1,0,0,1,0,0,0,21,8,clean
0,0,0.001476,0,0,0,0,0,0,9.15318,0,55,0,1,4,0,0,6,0,0,0.009791,9,15,clean
0,0,0.001968,0,0,0,0,0,0,9.18381,0,3,4,2,0,0,1.01,0,0,0,0.012545,17,0,clean
0,0,0.076862,0,0,0,0,0,0,0.209384,0,171,0,2,10,0,0,17,0,0.002623,0.009791,37,34,clean
2,0,0.00109,0.000846,0,2,0,0,0.000594,0.06795,0,206,1,1,1,0,1.01,15,0,0.001686,0.010674,10,42,clean
0,0,0,0,0,0,0,0,0,0,0,41,4,3,1,0,0,1,0,0,0.027723,43,4,clean
5,0,0.011965,0,0,0,0,0,0,9.41879,0,161,0,1,6,0,0,5,0,0.013108,0.009791,9,7,clean
1,0,0.328118,0.012523,0.008071,0,0,2,0.002667,10.0612,0,452,0,2,18,2.02,2.05,9,0.002921,0.022253,0.026458,36,41,buggy
1,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0,0,2,0,0,0,9,1,buggy
0,0,0.000136,0,0,0,0,0,0,0.040996,0,16,0,1,1,0,0,0,0,0.001686,0.010674,31,2,clean
1,0,0.012043,0.002319,0,0,10,0,0.002324,9.22532,1.01,12,0,1,0,0,0,0,0,0,0,0,1,buggy
0,0,0.020248,0.006184,0.002878,0,0,0,0.002774,9.44205,0,71,0,1,5,0,0,5,0,0.014572,0.009791,9,6,clean
0,0,0.000949,0,0,0,0,0,0,9.09329,0,14,0,2,1,0,0,0,0,0,0.005924,11,3,clean
0,0,0.001756,0,0,0,0,0,0,9.17814,0,34,1,2,1,0,0,3,0,0,0.012186,28,9,clean
0,0,0,0,0,30,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,buggy
0,0,0.062674,0.004094,0.003273,0,0,0,0.007642,9.62892,0,57,0,3,1,1.01,1.03,7,0.002921,0.006802,0.002341,14,6,clean
0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,2,clean
0,0,0.002539,0,0,0,0,0,0,9.17116,0,14,0,1,5,0,0,2,0,0,0.009791,18,3,clean
1,0,0.033924,0.030681,0.025779,0,1,0,0,0.121386,2.05,191,0,1,61,0,0,6,0,0.023497,0.027723,18,19,clean
0,0,0.000949,0,0,0,0,0,0,9.09329,0,18,0,2,0,0,0,0,0,0.008081,0.008591,31,6,clean
2,0,0.007359,0,0,0,0,0,0,9.31915,0,193,0,2,0,0,0,25,0,0.009977,0.001058,2,10,clean
1,0,0,0.005405,0.0033,0,0,0,0,0,0,78,0,1,2,0,0,0,0,0.012361,0,9,3,clean
3,0,0.009412,0.002107,0,0,0,0,0,9.42768,0,75,0,1,2,0,0,1,0,0.01004,0.009791,9,3,clean
