@relation data/M_multi_metrics_JDT.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R50-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R59-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R56-weka.filters.unsupervised.attribute.Remove-R47-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R53-weka.filters.unsupervised.attribute.Remove-R25-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Remove-R30-weka.filters.unsupervised.attribute.Remove-R48-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R42-weka.filters.unsupervised.attribute.Remove-R42-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R39-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R33-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R3

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute LDHH_fanIn numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute CvsLogEntropy numeric
@attribute WCHU_noc numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute LDHH_noc numeric
@attribute ck_oo_lcom numeric
@attribute WCHU_lcom numeric
@attribute ck_oo_numberOfAttributes numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute LDHH_dit numeric
@attribute WCHU_numberOfMethodsInherited numeric
@attribute LDHH_fanOut numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute class {buggy,clean}

@data
0,0,0.008101,0,0,0,1,0,8.12236,1.01,52,0.01184,55,0,0,1,0,0,9.16,0,127,clean
0,0,0,0,0,0,0,0,8.1394,0,95,0,91,0,5,0,3,0,2.02,0,68,clean
0,0,0,0,0,0,0,0,0.097153,0,0,0,1,0,0,0,0,0,1.01,0,8,clean
37,0,0.00149,0.000936,0,2,0,0,0.695483,0,0,0,2080,9.89,12,1,9,0,1.01,0.004238,13,buggy
1,0.000422,0.001029,0,0,0,0,0,0.194169,0,0,0,6,1.09,3,1,0,0,1.01,0,8,clean
0,0,0.000844,0,0.000689,0,0,0,0.1256,0,7,0,0,1.06,0,0,0,0,4.07,0,28,clean
1,0,0,0.001522,0.003988,1,1,0,8.60706,0,387,0,45,0,1,1,0,0.001409,8.1,0,101,buggy
0,0,0,0,0,0,0,0,0.188793,0,384,0,6,0,0,0,0,0.001409,2.02,0.001102,41,clean
13,0.011272,0.001776,0.000572,0.001371,2,0,6,9.09051,0,262,0,325,3.76,2,1,0,0.001409,7.07,0.003258,80,buggy
0,0,0,0,0,0,0,0,8.20424,0,95,0,78,1.12,3,0,2,0,3.05,0,73,clean
0,0,0.011451,0.001639,0,0,0,0,8.20887,0,5,0,231,4.79,8,0,8,0,5.05,0.00097,27,clean
0,0.002476,0.006558,0.001075,0.000689,4,0,1,0.491817,0,61,0,105,4.5,6,0,1,0.001409,25.5,0.00193,207,clean
1,0.014496,0.012242,0.011228,0,5,0,0,0.193852,0,119,0,171,1.66,15,2,1,0,1.05,0,16,clean
1,0.001483,0,0,0,3,0,1,0.097153,0,0,0,6,0,3,1,0,0,1.01,0,8,clean
0,0,0,0,0,3,0,0,0.038272,0,413,0,6,0,3,1,0,0,4.05,0,67,clean
1,0.042597,0.01841,0.007221,0.001774,0,0,1,8.61679,0,12,0,171,7.3,6,1,2,0,1.01,0.021478,8,buggy
0,0,0,0.018394,0,0,0,0,0.153793,0,15,0,91,0,4,1,4,0,0,0,70,clean
0,0,0.005736,0,0.006873,13,0,1,8.50193,0,118,0,136,2.58,13,2,0,0.001409,3.05,0.000798,33,clean
3,0,0,0,0,2,0,0,0.197202,0,0,0,36,0,3,0,1,0,1.01,0,11,clean
0,0,0.012242,0,0,5,0,0,0.094512,0,388,0,6,1.03,5,1,0,0,0,0.012709,33,clean
1,0.019441,0.001601,0,0,4,0,0,0.198222,0,0,0,55,1.1,4,0,0,0,1.02,0,16,clean
0,0,0,0,0,0,0,0,8.1394,0,95,0,66,0,3,0,2,0,3.05,0,73,clean
0,0,0,0,0,0,0,0,8.05657,0,0,0,6,0,2,0,2,0,1.01,0.001844,8,clean
0,0.010167,0,0,0.003973,6,0,1,0.391872,0,381,0,28,0,7,1,0,0.001409,3.04,0.003317,46,clean
0,0,0.001164,0,0.000875,3,0,1,8.4842,0,19,0,6,5,3,2,0,0,5.09,0.001104,67,buggy
0,0,0,0,0,0,0,0,8.13472,0,61,0,36,0,4,0,0,0,10.15,0,49,buggy
0,0.00118,0.002984,0.002795,0,0,0,0,0.34434,0,563,0,190,3.7,12,0,11,0.000461,3.05,0.000865,24,clean
0,0.000838,0.001029,0,0,0,0,0,0.162444,0,69,0,10,1.04,1,0,1,0,14.4,0,243,clean
0,0.014496,0.017978,0,0.007509,20,0,0,8.30487,0,119,0,231,2.95,20,1,0,0,3.05,0.005297,40,clean
0,0,0,0,0,0,0,0,0.097153,0,0,0,0,0,2,0,1,0,2.03,0,23,clean
0,0.001999,0.004281,0,0,0,0,0,0.156359,0,0,0,45,3.31,0,0,0,0,0,0,8,clean
2,0,0,0,0,3,0,0,0.038272,0,0,0,36,0,3,0,0,0,0,0,16,clean
0,0,0,0,0,2,0,0,0.434154,0,426,0,6,0,2,1,0,0.001409,5.07,0.004333,94,buggy
0,0,0,0,0,2,0,0,0.168035,0,387,0,6,0,2,0,0,0.001409,8.1,0,101,clean
0,0,0.008101,0,0,1,0,0,8.16479,0,11,0,6,1.03,1,0,0,0,2.03,0,22,clean
0,0.000838,0,0,0,0,0,0,8.1394,0,95,0,105,0,5,0,3,0,3.05,0,73,clean
0,0,0,0,0,7,0,0,0.097153,0,0,0,10,0,7,0,0,0,1.01,0,8,clean
3,0.014496,0.005213,0,0,0,0,1,0.148766,0,0,0,66,1.21,5,1,5,0,0,0.006522,8,buggy
0,0,0,0,0,0,0,0,8.08655,0,74,0,0,0,2,0,0,0,10.15,0,56,buggy
1,0,0,0,0,1,0,0,0.128391,0,0,0,3,0,2,0,0,0,3.03,0,13,clean
0,0.000838,0,0,0,0,0,1,0.177191,0,384,0,21,0,1,0,0,0.001409,5.06,0,79,clean
3,0,0,0,0,0,0,1,0.59501,0,17,0,36,0,4,0,0,0,2.02,0.002864,19,clean
0,0,0,0,0,0,0,0,0.097153,0,393,0,3,0,0,0,0,0.001409,2.02,0,61,clean
1,0.001348,0,0,0,3,0,0,0.097153,0,0,0,15,0,3,0,0,0,1.01,0,8,clean
0,0,0,0,0,0,0,0,0.123602,0,386,0,6,0,0,0,0,0.001409,5.06,0,85,clean
1,0.000902,0,0,0,0,0,0,0.151433,0,7,0,6,0,0,0,0,0,2.04,0.001096,17,clean
0,0.000582,0,0,0,0,1,0,0.097153,0,2,0,28,0,2,0,2,0,1.01,0,11,buggy
0,0.008103,0,0,0,2,2,0,8.07051,0,385,0,15,0,2,0,0,0.001409,8.1,0,95,clean
2,0.001429,0,0.000251,0,0,0,1,8.4173,0,0,0,91,0,3,1,3,0,1.01,0.003095,8,buggy
0,0,0,0,0,5,0,0,0.096569,0,0,0,78,0,11,0,0,0,1.01,0,8,clean
0,0,0.001756,0,0,0,0,0,0.14368,0,61,0,10,1.04,0,0,0,0.001409,25.5,0.003379,207,clean
0,0,0,0,0,0,0,0,0.123602,0,387,0,1,0,0,0,0,0.001409,2.02,0,32,clean
0,0,0,0,0,0,3,0,0.203937,0,384,0,91,0,0,0,0,0.001409,4.05,0,77,clean
0,0.002267,0,0,0,0,0,0,8.14429,0,95,0,153,0,8,0,5,0,2.02,0,68,clean
1,0.014864,0.001765,0,0,1,1,2,8.39314,0,64,0,528,5.22,3,2,0,0,7.19,0.004192,162,clean
0,0,0,0,0,0,0,0,0.251793,0,397,0,3,0,0,0,0,0.001409,5.07,0,94,clean
2,0,0,0,0,0,0,0,0.097153,0,0,0,10,0,2,0,2,0,5.08,0,22,buggy
0,0.000582,0,0,0,0,0,0,8.1394,0,95,0,36,0,1,0,1,0,2.02,0,75,clean
0,0,0.001648,0,0,2,0,0,0.123538,0,8,0,496,4.86,2,0,0,0,4.16,0,46,clean
0,0,0,0,0,0,0,0,0.217711,0,388,0,3,0,0,0,0,0.001409,8.1,0.000687,109,clean
0,0.002047,0,0,0,3,0,1,0.124448,0,380,0,45,0,3,1,0,0.001409,2.02,0.001375,38,clean
7,0,0.000978,0,0,0,0,0,8.21627,0,0,0,55,1.19,1,0,1,0,1.01,0.001072,8,buggy
35,0,0.012242,0,0.001692,3,0,0,1.11559,0,0,0,780,2.77,9,3,5,0,1.01,0.003379,11,buggy
1,0,0,0,0,1,0,0,0.121597,0,0,0,15,0,1,0,0,0,3.03,0,13,clean
0,0,0,0,0,0,2,0,0.097153,0,0,0,10,0,5,0,0,0,1.01,0,8,clean
0,0,0,0,0,2,2,0,0.321334,0,413,0,36,0,2,0,0,0.001409,6.08,0,84,clean
0,0,0,0,0,0,0,0,0.094053,0,415,0,15,0,0,0,0,0.001409,6.08,0,93,clean
1,0,0,0,0,2,0,0,0.191561,0,0,0,6,0,2,0,0,0,1.01,0,8,clean
1,0.001049,0,0,0.002662,3,1,0,8.48332,1.01,397,0.001203,15,0,3,1,0,0.001409,5.07,0.004801,94,clean
0,0.000798,0,0,0.002702,1,0,0,8.04965,0,6,0,1,0,1,0,0,0,2.04,0,25,clean
0,0,0,0,0,0,0,0,0.097153,0,1,0,3,0,3,0,3,0,1.01,0,31,clean
0,0,0,0,0,0,0,0,8.1394,0,95,0,55,0,3,0,2,0,3.05,0,73,clean
1,0,0,0,0,3,0,0,0,0,0,0,45,0,3,0,0,0,0,0,8,clean
1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,8,clean
0,0.001034,0,0.001356,0,0,0,0,8.17295,0,0,0,36,1.08,4,1,1,0,1.01,0.003784,8,clean
16,0.029889,0.043532,0.003798,0,1,1,5,9.10871,0,4,0,81003,269.6,5,1,4,0,2.02,0.007957,13,buggy
1,0,0,0,0,4,0,0,0.094053,0,0,0,36,0,5,0,0,0,1.02,0,16,clean
1,0,0,0,0,1,0,0,0.10563,0,388,0,6,1.03,1,0,0,0.001409,4.04,0.000909,33,clean
0,0,0,0,0,0,1,0,8.18146,0,0,0,45,4.44,11,2,0,0,1.01,0.009162,8,buggy
0,0.013898,0.003141,0.000465,0,1,0,0,8.46243,0,95,0,666,5.6,16,1,12,0,2.02,0.001119,68,clean
0,0,0.003315,0,0,0,1,2,0.280853,0,69,0,78,3.42,0,0,0,0,14.36,0.003592,216,clean
0,0.000838,0,0,0,0,0,0,8.1394,0,95,0,66,0,3,0,2,0,3.05,0,73,clean
0,0,0,0,0,4,0,0,0.185241,0,8,0,3,0,4,0,0,0,2.03,0,19,clean
0,0.00301,0,0,0,0,3,0,0.097153,0,95,0,21,0,1,0,1,0,2.02,0,68,clean
0,0,0,0,0,0,0,0,0.097153,0,0,0,10,0,4,0,4,0,1.01,0,22,clean
18,0,0,0,0.002746,9,0,0,8.18128,0,0,0,210,1.43,9,1,0,0,1.01,0.000957,8,clean
0,0,0,0,0,0,0,0,0.107598,0,23,0,1,0,1,0,1,0,2.04,0.002449,28,clean
11,0,0,0.018394,0,1,0,0,0.227298,0,0,0,91,1.13,18,1,17,0,0,0.012709,8,buggy
1,0.012564,0.004148,0,0,0,4,0,8.28197,0,52,0,45,2.17,1,1,0,0,11.24,0.003931,161,clean
2,0,0,0,0,2,0,0,0.193382,0,19,0,21,0,3,0,0,0,1.01,0,15,clean
0,0,0,0,0,0,0,0,0.097153,0,400,0,1,0,0,0,0,0.001409,4.04,0,65,clean
2,0,0,0.001127,0,1,0,1,8.18353,0,0,0,6,0,6,1,5,0,0,0.001149,9,clean
0,0,0.000905,0,0,2,0,0,8.3382,0,384,0,55,1.1,2,0,0,0.001409,4.05,0,77,clean
0,0.00143,0.001198,0,0.001768,5,4,1,0.369907,0,125,0,351,1.26,16,0,0,0,1.01,0.001989,8,buggy
0,0,0,0,0,0,0,0,0.121597,0,0,0,820,0,1,0,1,0,1.01,0,8,clean
0,0,0,0,0,0,0,0,0.055192,0,1,0,6,0,5,0,5,0,0,0,31,clean
0,0.007238,0.001642,0,0,0,0,0,0.128392,0,0,0,15,1.09,2,0,0,0,1.01,0.001237,10,clean
0,0,0,0,0,0,0,0,0.097153,0,0,0,45,0,1,0,0,0,1.01,0,15,clean
0,0.001605,0.000905,0,0,2,1,0,0.151433,0,0,0,15,1.09,3,0,0,0,1.01,0,8,clean
0,0.001016,0.001692,0,0,2,1,1,8.5986,0,384,0,105,2.3,2,0,0,0.001409,5.06,0.00478,69,clean
0,0,0,0,0,0,0,0,0.069509,0,6,0,190,0,2,0,2,0,0,0.001955,30,clean
0,0,0,0,0.000608,6,0,0,0.067924,0,0,0,15,0,9,0,1,0,0,0.001961,8,clean
0,0,0,0,0,0,3,0,0.097153,0,384,0,3,0,0,0,0,0.001409,5.06,0,76,clean
1,0,0,0,0,2,0,0,8.38432,0,384,0,15,0,2,0,0,0.001409,5.06,0.003849,69,clean
0,0,0,0,0,0,0,0,0.094968,0,12,0,10,0,1,0,1,0,2.06,0,45,clean
0,0.001644,0,0.001356,0,0,0,0,0.168806,0,10,0,6,1.03,1,0,1,0,4.06,0,59,clean
2,0.001034,0.009297,0,0,3,0,0,8.88345,0,384,0,210,2.57,3,0,0,0.001409,5.06,0.004757,69,buggy
0,0.009051,0.000862,0,0,0,1,0,8.18775,1.01,52,0.01184,55,3.41,2,0,0,0,9.16,0.007502,127,clean
0,0,0,0,0,1,0,0,0.061787,0,0,0,6,0,1,1,0,0,1.01,0,11,clean
1,0.000855,0,0,0,1,0,0,0.097153,0,1,0,1,0,1,0,0,0,2.02,0,18,clean
0,0.012802,0,0,0,0,0,0,0.134373,0,62,0,78,1.12,1,1,0,0,1.01,0.006522,202,clean
7,0.001845,0.000978,0,0,0,0,0,8.5032,0,0,0,325,2.72,4,1,4,0,1.01,0.002733,8,buggy
0,0,0,0,0,0,0,0,0.097153,0,0,0,15,0,5,0,5,0,1.01,0,24,clean
0,0,0.011451,0,0,1,0,0,8.23097,0,19,0,231,5.12,1,0,0,0,5.05,0,27,clean
0,0,0,0,0,0,0,0,0.097153,0,0,0,28,0,7,0,7,0,1.01,0,26,clean
0,0.011005,0.001029,0,0,0,1,0,8.14107,1.01,69,0.01184,15,1.05,1,1,1,0,10.33,0,298,clean
0,0,0,0,0,2,0,0,0.097153,0,397,0,6,0,3,0,1,0.001409,3.03,0.000909,72,clean
0,0,0,0,0,0,0,0,0.097153,0,219,0,1,0,0,0,0,0,6.09,0,55,buggy
0,0,0,0,0,1,0,0,8.16645,0,0,0,28,0,1,0,0,0,1.01,0,8,clean
0,0,0,0,0,0,0,0,8.13527,0,204,0,0,0,1,0,0,0,1.01,0,8,buggy
0,0,0.002351,0.00057,0,1,0,0,8.14963,0,2,0,136,3.58,15,0,1,0,6.08,0,41,clean
0,0,0,0,0.001692,0,1,1,0.37431,0,385,0,21,0,1,0,0,0.001409,5.06,0.000996,79,clean
2,0.000838,0,0,0,3,0,1,8.3084,0,0,0,10,0,3,2,0,0,1.01,0.009162,8,buggy
1,0.005554,0.000919,0,0,0,3,0,8.29536,0,53,0,91,3.58,0,2,0,0,13.26,0.009426,170,buggy
2,0,0.001815,0,0,0,0,3,0.481707,0,415,0,91,1.25,0,0,0,0.001409,7.1,0.000996,117,clean
1,0.003782,0.012404,0.01004,0.003092,14,0,4,8.61032,0,0,0,231,8.02,21,3,7,0,1.01,0.013789,8,buggy
0,0,0,0,0,0,0,0,0,0,384,0,1,0,0,0,0,0.001409,2.02,0,31,clean
0,0.00158,0,0,0.002035,2,0,3,8.42302,0,380,0,21,0,2,1,0,0.001409,2.02,0.00355,38,clean
0,0,0,0,0,0,0,0,8.10942,0,385,0,10,0,0,0,0,0.001409,8.1,0.012709,95,clean
0,0,0,0,0,0,0,0,0.123602,0,0,0,10,0,1,0,1,0,1.01,0,8,clean
0,0,0,0,0,0,0,0,0.058891,0,0,0,6,0,0,0,0,0,1.01,0,8,clean
0,0.004735,0,0,0.000501,5,1,0,0.137409,1.01,1,0.000547,15,0,5,0,0,0,1.01,0.002117,12,clean
0,0,0,0,0,0,0,0,0,0,54,0,1,0,1,1,1,0,0,0,138,clean
0,0.002396,0.001307,0,0,0,0,0,8.1599,0,95,0,171,1.18,10,0,6,0,3.05,0,73,clean
0,0,0,0.003665,0,0,0,0,8.09127,0,0,0,3,0,18,1,18,0,1.01,0.00073,8,clean
0,0,0,0,0,0,0,1,0.125004,0,18,0,6,0,0,1,0,0,4.04,0.010258,62,clean
0,0,0,0,0,1,0,0,8.2043,0,67,0,3,0,1,1,0,0,10.15,0.001465,47,clean
0,0,0.003812,0,0,0,1,0,0.178617,0,0,0,45,2.3,2,0,0,0,1.01,0,8,clean
0,0,0,0,0,0,0,0,8.07898,0,96,0,78,0,4,0,2,0,4.06,0,88,clean
1,0,0,0,0,0,0,0,8.11095,0,28,0,28,1.07,0,0,0,0,4.1,0,91,clean
2,0,0,0,0.000689,3,0,1,0.498183,0,427,0,1176,4.87,8,1,0,0.001409,10.17,0.001601,96,buggy
1,0,0,0,0,3,0,0,0.097153,0,0,0,6,0,3,0,0,0,1.01,0,8,clean
0,0,0,0,0,0,0,0,8.02862,0,0,0,946,0,20,0,20,0,1.01,0,28,clean
0,0.000731,0.002219,0,0.000389,5,0,2,8.39701,0,55,0,45,3.29,5,0,0,0.001409,19.37,0.011659,171,clean
0,0.001348,0,0,0,2,1,0,8.37081,0,0,0,120,0,10,0,2,0,1.02,0.004327,16,clean
0,0.00099,0,0,0,1,0,0,0.157424,0,37,0,1,0,2,0,1,0.001409,7.13,0,72,clean
3,0.001999,0,0,0,0,0,0,8.33843,0,0,0,10,0,4,2,4,0,1.01,0.005272,8,clean
1,0,0,0,0,0,0,2,0.440872,0,133,0,153,1.17,2,1,2,0,6.13,0.001567,46,buggy
1,0,0,0,0,1,0,0,8.1664,0,0,0,15,0,1,0,0,0,1.01,0.00225,8,clean
38,0.032155,0.030021,0.028741,0.019454,31,0,8,9.25656,0,0,0,7381,77.6,97,8,35,0,1.01,0.025768,8,buggy
0,0,0,0,0,0,0,0,8.10896,0,95,0,78,0,6,0,4,0,2.02,0,73,clean
0,0,0.001307,0,0,0,0,0,8.1599,0,95,0,171,1.18,10,0,6,0,3.05,0,73,clean
0,0.008412,0.001069,0.000699,0.000882,1,0,0,8.19167,0,388,0,10,1.04,2,0,1,0.001409,7.09,0,78,clean
0,0,0,0,0,0,0,0,0.086247,0,0,0,3,1.07,2,1,2,0,0,0.006522,8,clean
0,0,0,0,0,3,0,0,0.097153,0,219,0,3,0,3,0,0,0,6.09,0,55,clean
13,0.000731,0,0.00022,0,4,0,0,0.270568,0,0,0,903,3.37,12,1,5,0,1.01,0.00069,8,clean
0,0,0,0,0,0,0,0,0.168035,0,0,0,6,0,5,0,0,0,1.01,0,8,clean
0,0,0,0.018394,0,0,0,0,0.153793,0,69,0,21,0,4,1,4,0,0,0,234,clean
0,0,0,0,0,0,0,0,8.1394,0,95,0,36,0,1,0,1,0,3.05,0,73,clean
0,0.00099,0.000971,0,0.002095,15,1,0,8.39042,0,61,0,66,3.45,22,0,0,0,10.15,0.001885,45,buggy
0,0.010167,0,0,0,5,0,2,0.314168,0,380,0,15,0,7,0,2,0.001409,2.02,0,38,clean
0,0,0,0,0,1,0,0,8.10942,0,0,0,6,0,3,0,2,0,1.01,0,15,clean
0,0,0,0,0,0,0,1,0.228743,0,18,0,10,0,2,0,0,0,4.04,0.003095,62,clean
1,0,0.002056,0.001282,0,0,1,0,0.094713,1.01,6,0,171,2.35,6,0,3,0,1.01,0.001177,24,clean
0,0.001049,0,0,0.002662,4,1,0,8.45349,1.01,394,0.001203,15,0,4,1,0,0.001409,7.09,0.012545,107,buggy
0,0,0.000862,0,0,0,0,0,0.162632,0,419,0,15,1.05,1,0,1,0.001409,6.08,0.000909,118,clean
2,0.001786,0.002666,0,0,1,0,1,8.88507,0,0,0,190,6.08,5,1,4,0,1.01,0.015521,8,buggy
0,0,0.000862,0,0,0,0,0,0.18908,0,387,0,10,1.04,2,0,2,0.001409,3.03,0,35,clean
0,0.005722,0.001945,0,0,0,1,0,8.27325,0,0,0,595,8.95,0,0,0,0,1.01,0,8,clean
0,0,0.000862,0,0.000695,1,0,0,0.162632,0,385,0,21,1.06,2,0,1,0.001409,9.11,0.000909,98,clean
0,0,0,0,0,1,0,0,0.028815,0,32,0,3,0,1,0,0,0.001409,2.02,0,21,clean
0,0,0,0,0,3,1,0,8.11153,0,0,0,10,2.1,3,0,0,0,1.01,0.00266,8,buggy
0,0.001277,0,0,0,0,0,0,0.058891,0,9,0,15,0,5,0,5,0,1.01,0,23,clean
0,0,0,0,0,4,0,0,0.097153,0,0,0,45,0,4,0,0,0,1.01,0,8,clean
0,0,0,0,0,0,0,0,0,0,69,0,6,0,1,0,1,0,6.06,0,54,buggy
5,0.004257,0.003114,0.002331,0,0,2,1,0.463041,1.02,3,0.000828,435,5.25,12,1,2,0.001409,3.08,0.001119,30,clean
0,0,0,0,0,0,0,0,7.91776,0,58,0,10,0,0,0,0,0,1.01,0,179,clean
0,0,0,0,0,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,19,clean
0,0.001694,0.001756,0.001522,0,0,1,0,0.162436,1.01,0,0.002037,28,1.17,0,0,0,0,0,0.001787,8,clean
0,0,0,0,0,0,1,0,0.096569,0,6,0,0,0,1,0,1,0,2.03,0,26,clean
0,0,0,0.000622,0.00052,0,0,0,0.149798,0,0,0,28,0,2,0,2,0,1.01,0.00073,8,clean
1,0,0.007332,0.001127,0,0,0,0,8.84711,0,6,0,465,11.28,14,1,14,0,8.12,0.025259,39,clean
0,0,0,0,0,3,0,0,0.191221,0,398,0,55,0,3,0,0,0.001409,4.05,0,99,clean
1,0.000528,0.002291,0.000451,0,1,0,0,0.112806,0,219,0,136,2.31,9,0,7,0,2.05,0,55,clean
0,0,0,0,0,0,0,0,0.096569,0,0,0,10,0,34,0,5,0,2.03,0,22,clean
0,0,0,0,0,0,0,0,0.193456,0,50,0,105,0,1,0,0,0,1.03,0.00073,118,clean
0,0.001839,0,0,0,0,19,1,0.294949,0,380,0,55,0,0,1,0,0.001409,2.02,0,27,clean
0,0.000731,0,0,0,0,0,0,0.130415,0,0,0,1,0,0,1,0,0,1.01,0,8,clean
0,0,0,0,0,0,0,0,0.097153,0,397,0,6,0,0,0,0,0.001409,3.03,0,72,clean
0,0,0.000757,0,0.000965,1,2,1,0.260407,0,380,0,28,1.13,1,0,0,0.001409,2.02,0.000837,38,clean
0,0,0,0,0,0,0,0,0.097153,0,387,0,1,0,0,0,0,0.001409,2.02,0,32,clean
0,0,0,0,0,0,0,0,0.097153,0,388,0,3,0,0,0,0,0.001409,8.1,0,110,clean
0,0,0,0,0,0,0,0,0.256506,0,1,0,66,0,14,0,14,0,1.01,0.001667,40,buggy
0,0,0,0,0,0,0,0,0.208869,0,3,0,3,0,2,1,2,0.008262,4.13,0.006321,38,buggy
0,0,0,0,0,0,2,0,0.085017,0,0,0,55,0,7,0,7,0,1.03,0,28,clean
0,0,0.000787,0.00077,0,0,0,0,0.132369,0,0,0,55,1.11,9,0,8,0,1.01,0.000893,8,clean
0,0.010964,0,0,0,4,0,0,8.06834,0,0,0,66,0,4,0,0,0,1.01,0,8,clean
0,0,0,0.001185,0.010975,43,5,8,1.32835,0,282,0,0,0,129,7,9,0.001409,1.01,0,8,buggy
0,0,0.000847,0,0,2,0,0,0.037167,0,408,0,28,1.13,2,0,0,0,6.08,0,101,clean
0,0,0,0,0,0,0,0,0.11164,0,17,0,66,0,1,0,1,0,0,0.001764,0,clean
1,0.002785,0.001601,0,0,3,0,0,0.070905,0,0,0,45,1.09,3,0,0,0,0,0,16,clean
0,0.008775,0.000978,0,0,0,1,0,0.362124,0,0,0,1,1.01,9,2,0,0,1.01,0,8,clean
1,0.000731,0.003664,0.003884,0,1,0,0,0.349752,0,2,0,300,5.64,13,0,8,0,6.08,0.000869,41,clean
0,0.040346,0.011508,0,0,9,4,3,8.76815,0,28,0,1540,10.86,9,0,0,0.001409,2.02,0.008086,16,buggy
0,0,0,0,0,1,0,0,0.172037,0,1,0,1,0,1,0,0,0,2.02,0,18,clean
1,0,0,0,0,0,0,1,8.31077,0,408,0,55,0,2,1,2,0.001409,2.02,0.001497,58,buggy
1,0,0,0,0,0,0,0,0.097153,0,0,0,10,0,3,0,3,0,1.01,0,22,clean
0,0,0,0,0,0,3,0,0.097153,1.01,2,0.0038,10,1.05,2,0,0,0,2.04,0,14,clean
0,0,0,0,0,0,0,0,0.128392,0,0,0,10,0,3,0,3,0,1.01,0,8,clean
0,0,0,0,0,2,0,0,0.097153,0,386,0,10,0,3,0,1,0.001409,5.06,0,85,clean
0,0,0,0,0,3,0,0,0.259327,0,135,0,36,0,3,0,0,0,8.18,0,67,clean
0,0,0,0,0,5,2,0,0.158491,0,0,0,21,0,5,0,0,0,1.01,0,8,clean
0,0,0.005736,0,0.006873,9,0,0,8.25875,0,119,0,105,1.5,9,1,0,0,3.05,0.005297,40,clean
1,0,0,0,0,4,0,0,0.094053,0,0,0,21,0,4,0,0,0,1.01,0,8,clean
0,0.021853,0,0,0,0,0,0,8.20567,0,97,0,105,1.14,4,0,3,0,3.05,0,79,clean
0,0,0,0,0,3,0,0,0.154739,0,28,0,1,0,3,0,0,0,7.09,0,25,clean
0,0,0.000862,0,0.000529,5,0,0,0.251687,0,0,0,45,2.2,5,0,0,0,2.02,0.002836,18,clean
0,0.000838,0.000757,0,0,0,0,1,0.221303,0,384,0,28,1.07,1,0,0,0.001409,5.06,0,79,clean
0,0,0,0,0,0,0,0,0.094053,0,415,0,10,0,0,0,0,0.001409,6.08,0,93,clean
0,0.012802,0,0,0.008512,7,0,0,0.073505,0,0,0,3,0,7,0,0,0,0,0,8,clean
0,0,0,0,0.001136,10,0,0,8.20489,0,61,0,28,0,15,0,0,0,10.15,0,45,buggy
0,0.004829,0,0,0,0,3,0,0.097153,0,384,0,21,0,0,0,0,0.001409,5.06,0,69,clean
0,0.00099,0.006707,0,0.00084,1,0,0,8.10379,0,52,0,28,3.18,2,0,0,0,6.07,0.000993,27,buggy
7,0,0,0,0,0,0,0,0.070602,0,0,0,36,0,5,1,5,0,0,0,11,clean
9,0.002976,0.010658,0,0,5,0,1,8.55626,0,47,0,741,8.76,11,3,6,0,1.02,0.012739,32,buggy
