@relation mydataframe
@attribute nm numeric
@attribute nf numeric
@attribute la numeric
@attribute lt numeric
@attribute fix numeric
@attribute npt numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute bug {'1','0'}
@data
1,5,0.019864,765.2,0,1,206,199,'0'
1,7,0.009309,721.285714,1,0.857143,66,66,'0'
1,4,0.058115,580.75,1,1,31,31,'0'
1,4,0.034337,531.5,1,1,23,23,'0'
1,1,0.005,200,0,1,111,111,'0'
1,8,0.02345,687.625,0,0.875,109,109,'0'
1,5,0.026011,638.2,0,1,100,100,'0'
1,1,0.005263,190,1,1,89,89,'0'
1,1,0,0,1,1,25,21,'0'
1,1,1.132948,173,0,1,25,21,'0'
1,3,0.001488,672,1,1,95,90,'1'
1,3,0.002664,625.666667,1,1,62,47,'1'
1,1,0,406,1,1,1,1,'1'
1,1,0.00315,635,1,1,963,998,'0'
1,1,0.017657,623,1,1,55.429834,204,'0'
1,1,0.00161,621,1,1,963.666667,940,'0'
5,10,0.043395,836.5,1,0.7,32,45,'1'
2,2,0.030303,363,1,1,219,208,'1'
1,1,0.001727,579,1,1,84,38,'0'
1,1,0.001718,582,1,1,793.166667,704,'0'
1,1,0.005155,582,1,1,793.5,679,'0'
2,2,0.017143,350,1,1,757.5,968,'0'
1,1,0.00519,578,1,1,838,629,'0'
1,1,0.008651,578,1,1,851.5,608,'0'
1,1,0.01209,579,1,1,842,601,'0'
1,1,0.029668,573,1,1,837,596,'1'
1,1,0.005245,572,1,1,801,564,'0'
1,1,0.001751,571,1,1,753,531,'0'
2,2,0.009328,804,1,1,730,748,'1'
2,8,0.024237,577.625,1,0.875,607.5,619,'1'
1,1,0.009025,554,1,1,241.709524,767,'0'
1,1,0.001855,539,1,1,520,351,'1'
1,1,0.011152,538,1,1,471,315,'0'
3,27,0.007298,446.592593,1,0.037037,224.040476,910,'1'
3,27,0.007298,446.592593,1,0.740741,554,541,'1'
2,2,0.009728,771,1,1,4,4,'1'
1,2,0.019417,309,1,0.5,466,236,'0'
2,2,0.009288,323,1,1,163,156,'0'
1,1,0.001876,533,1,1,146,102,'0'
1,7,0.00288,893,1,0.857143,141,99,'1'
1,1,0.00188,532,1,1,117,79,'0'
1,1,0.00188,532,1,1,62,46,'0'
1,1,0.082707,532,1,1,49,37,'1'
1,1,0.051625,523,1,1,60.644048,174,'1'
1,2,0.001277,391.5,1,1,205,153,'1'
1,1,0.001931,518,1,1,234.383333,726,'0'
1,1,0.001934,517,1,1,45,29,'0'
2,2,0.008219,730,1,1,173,167,'1'
1,1,0.215953,514,1,1,122,87,'1'
2,2,0.077241,725,1,1,45,45,'1'
2,2,0.05814,301,1,1,34,34,'1'
1,1,0.00994,503,1,1,130.132936,430,'0'
1,2,0.03662,355,1,1,30.733333,76,'1'
1,1,0.002,500,1,1,107.5,121,'0'
1,1,0.038076,499,1,1,107.5,120,'1'
1,1,0.01626,492,1,1,25,14,'1'
1,1,0.010225,489,1,1,17,11,'0'
1,1,0.022634,486,1,1,34.583333,37,'0'
1,1,0.026971,482,1,1,90.583333,89,'1'
1,2,0.009658,673,1,1,202.95,623,'1'
1,1,0.043659,481,1,1,187.461111,997,'0'
1,1,0.008493,471,1,1,72.55,162,'0'
2,2,0.081197,585,1,1,71.55,203,'1'
1,1,0.017582,455,1,1,142.809524,402,'0'
1,1,0.002212,452,1,1,217.616667,584,'0'
1,1,0.018391,435,1,1,145.976191,399,'0'
1,1,0.016241,431,1,1,43,35,'0'
1,1,0.016432,426,1,1,67.55,155,'0'
2,5,0.065934,145.6,1,1,20,21,'1'
1,1,0.002347,426,1,1,21,20,'0'
1,1,0.023148,432,1,1,148.016667,378,'1'
1,1,0.002326,430,1,1,13,12,'1'
1,1,0.01171,427,1,1,77.016667,150,'0'
3,4,0.01684,311.75,1,1,13,16,'1'
1,1,0.007042,426,1,1,2.5,3,'1'
1,1,0.002347,426,0,1,8.5,9,'1'
1,1,0.016432,426,1,1,7.5,8,'0'
2,2,0.018182,247.5,1,0.5,132,131,'0'
3,50,0.024708,284.12,1,0.34,130,129,'1'
1,1,0.002392,418,1,1,7,7,'1'
1,1,0,418,1,1,242.116667,348,'0'
1,1,0.083333,432,1,1,241.116667,347,'1'
1,1,0.016787,417,1,1,2,2,'1'
1,1,0.002404,416,1,1,102.333333,138,'1'
1,4,0.014839,825.5,1,1,238.583333,464,'1'
1,1,0.004808,416,1,1,369,413,'1'
1,1,0.002404,416,1,1,241.416667,459,'0'
1,3,0.028445,527.333333,1,1,398,396,'1'
1,1,0.02445,409,1,1,619,550,'0'
1,1,0.051724,406,1,1,618,549,'1'
1,1,0.037221,403,1,1,362.5,365,'0'
2,3,0.041748,511,1,1,360.5,399,'1'
2,3,0.01108,361,1,1,3,3,'1'
1,1,0.005208,384,1,1,241.333333,447,'0'
1,1,0.002618,382,1,1,603,540,'0'
1,1,0,382,1,1,347.5,352,'0'
1,2,0.005654,619,1,0.5,586,524,'1'
1,1,0.007732,388,1,1,578,516,'1'
1,1,0.015424,389,1,1,71,99,'1'
1,1,0.005181,386,1,1,226.583333,248,'1'
2,2,0.023026,456,1,1,197.583333,228,'1'
1,1,0.001117,895,1,1,195.583333,218,'0'
1,1,0.001117,895,1,1,194.583333,217,'0'
1,4,0.01678,774.75,1,1,180.083333,202,'1'
1,1,0.015385,910,1,1,175.083333,196,'0'
1,1,0.024499,898,1,1,8,8,'1'
1,3,0,557.333333,1,0.666667,209,202,'0'
1,1,0.001133,883,1,1,168.75,189,'0'
1,1,0.011325,883,1,1,183,176,'1'
1,1,0.003421,877,1,1,129,122,'0'
1,1,0.006834,878,1,1,124,117,'0'
1,1,0.001139,878,1,1,63,81,'0'
1,1,0.001139,878,1,1,163.333333,183,'1'
1,1,0.001139,878,1,1,58.5,75,'1'
1,1,0.001139,878,1,1,56.5,73,'0'
1,1,0.001152,868,1,1,103,97,'0'
1,1,0.002307,867,1,1,60.5,71,'0'
1,1,0.006889,871,1,1,86,81,'0'
1,1,0.029851,871,1,1,85,80,'1'
1,1,0.00814,860,1,1,84,79,'1'
1,1,0.05711,858,1,1,80,76,'0'
1,1,0.001182,846,1,1,78,74,'0'
1,1,0.003546,846,1,1,71,67,'1'
1,1,0.021371,1123,1,1,269.5,297,'0'
1,1,0.002708,1108,1,1,280,279,'0'
1,1,0.007227,1107,1,1,33,31,'0'
1,1,0.013514,1110,1,1,25,24,'0'
1,1,0.020928,1099,1,1,25.5,33,'1'
1,20,0.038242,570.05,1,0.75,182,181,'1'
1,8,0.007593,428,1,0.875,162,161,'1'
1,2,0.005602,892.5,1,1,23,22,'1'
1,1,0.002768,1084,1,1,15.5,23,'0'
1,1,0.01845,1084,1,1,76,71,'0'
1,1,0.000928,1078,1,1,68,67,'0'
1,1,0.009276,1078,1,1,14,13,'0'
1,2,0.005972,921,1,1,138,131,'0'
1,1,0.001887,1060,1,1,45,44,'0'
1,1,0.001887,1060,1,1,111,106,'0'
1,1,0.000943,1060,1,1,109,104,'0'
1,1,0.043437,1059,1,1,107,102,'0'
1,1,0.000973,1028,1,1,76,72,'0'
1,1,0.005842,1027,1,1,75,71,'0'
1,1,0.000989,1011,1,1,6,6,'0'
1,1,0.002964,1012,0,1,36.833333,73,'1'
1,1,0.104331,1016,1,1,33.833333,70,'1'
1,1,0.008973,1003,1,1,90,103,'0'
1,1,0.003003,999,1,1,26.5,37,'0'
1,2,0.007366,814.5,1,1,79,90,'0'
1,1,0.021106,995,1,1,33,36,'0'
1,1,0.01608,995,1,1,32,35,'1'
1,1,0.001015,985,1,1,84,68,'0'
1,1,0.007078,989,1,1,82,66,'0'
1,1,0,985,0,1,64,49,'0'
1,1,0.001015,985,1,1,13,13,'0'
1,1,0.001015,985,1,1,10,10,'0'
1,3,0.003704,540,1,1,7,7,'1'
1,1,0.001027,974,0,1,353.666667,488,'0'
1,3,0.00561,713,0,1,352.666667,487,'0'
1,1,0.001026,975,1,1,42,33,'0'
1,1,0.002053,974,0,1,386.666667,481,'0'
1,1,0.007187,974,1,1,8,8,'1'
1,1,0.010277,973,1,1,7,7,'1'
1,1,0.018614,967,0,1,418,478,'0'
1,1,0.010384,963,0,1,419,477,'0'
1,1,0.001043,959,1,1,65,63,'0'
1,1,0,959,0,1,60,58,'0'
1,1,0.001042,960,0,1,429,476,'0'
1,1,0.014614,958,1,1,417,457,'1'
1,1,0.002112,947,0,1,398.5,435,'0'
1,1,0.001059,944,1,1,387.5,424,'0'
1,2,0.007037,710.5,1,1,379,411,'0'
1,2,0.00254,590.5,1,0.5,367,399,'0'
1,1,0.001067,937,1,1,343,373,'0'
1,2,0.049456,505.5,1,1,338.5,368,'1'
1,1,0.002176,919,0,1,335.5,365,'0'
1,2,0.019839,806.5,0,1,332,361,'1'
1,1,0.001114,898,1,1,329,357,'0'
1,1,0.004454,898,0,1,328,356,'0'
1,2,0.025932,617,1,0.5,319,347,'1'
1,2,0.04523,608,1,1,306,334,'1'
1,5,0.094014,497.8,0,1,298,326,'1'
1,1,0.001475,678,1,1,290,318,'0'
1,2,0.028881,554,1,1,287,315,'1'
1,1,0.002994,668,0,1,278,306,'0'
1,1,0.008982,668,0,1,276,304,'0'
1,5,0.093023,430,1,0.6,257,284,'1'
1,2,0.008108,555,0,1,251,278,'0'
1,1,0.001597,626,1,1,230,257,'1'
1,2,0.062874,334,0,1,183,210,'1'
1,1,0.006734,594,1,1,175,202,'1'
1,1,0.003384,591,0,1,169,196,'0'
1,1,0.003384,591,0,1,167,194,'0'
1,8,0.067294,358.5,1,0.875,166,193,'1'
1,1,0.00531,565,1,1,156,183,'0'
1,1,0.005329,563,1,1,164,161,'0'
1,1,0.001783,561,0,1,149,146,'0'
1,1,0,561,1,1,135,132,'0'
1,1,0.005338,562,0,1,134,131,'1'
1,1,0.003565,561,0,1,133,130,'0'
1,1,0.001783,561,1,1,128,125,'1'
1,2,0.041451,482.5,0,1,127,124,'0'
1,1,0.003676,544,1,1,125,122,'0'
1,1,0.001838,544,0,1,124,121,'0'
1,3,0.014729,430,1,0.666667,105,102,'1'
1,1,0.001845,542,0,1,88,88,'0'
1,1,0.001845,542,1,1,67,67,'0'
1,1,0.001845,542,1,1,66,66,'1'
1,1,0.001845,542,1,1,65,65,'0'
1,1,0.097606,543,1,1,19,19,'1'
1,1,0.021898,548,0,1,60,60,'0'
1,4,0.012346,324,1,1,15,15,'1'
1,1,0.00365,548,0,1,59,59,'0'
1,1,0.001835,545,0,1,16,16,'0'
1,2,0.010959,365,0,1,11,11,'1'
1,1,0.018416,543,0,1,6,6,'1'
1,1,0.001901,526,0,1,194.5,240,'0'
1,1,0.004202,476,1,1,171,185,'0'
1,1,0.004211,475,0,1,170,184,'0'
1,1,0.002101,476,0,1,175,175,'1'
1,1,0.004211,475,1,1,167,167,'0'
1,1,0.006667,450,0,1,150,150,'0'
1,1,0.008929,448,0,1,149,149,'0'
1,2,0.004405,340.5,0,1,148,148,'0'
1,2,0.011844,295.5,0,1,139,139,'1'
1,1,0.002439,410,1,1,137,137,'0'
1,1,0.002439,410,1,1,136,136,'0'
1,1,0.012195,410,1,1,135,135,'0'
1,1,0.058824,408,0,1,78,78,'1'
1,1,0.009975,401,1,1,77,77,'0'
1,2,0.010889,275.5,1,1,42,42,'0'
1,1,0.002558,391,1,1,35,35,'0'
1,1,0.043478,391,1,1,29,29,'0'
1,4,0.054863,200.5,1,1,23,23,'0'
1,1,0.028986,414,0,1,16,16,'1'
1,1,0.788571,700,0,1,25,21,'0'
1,1,0.001837,1089,1,1,200,193,'0'
1,1,0.015611,1089,1,1,70,70,'0'
1,1,0.022305,1076,1,1,268.5,296,'0'
1,1,0.00754,1061,1,1,275,274,'0'
1,8,0.008572,670.75,1,0.875,9,9,'0'
1,6,0.084229,682.666667,0,0.833333,85,80,'0'
1,12,0.022902,531.25,0,0.666667,567.25,634,'0'
1,7,0.027104,801.142857,0,0.857143,457.25,528,'0'
1,2,0.04883,983,1,1,224.25,306,'0'
1,7,0.007224,613,1,0.857143,105.75,192,'0'
2,7,0.036831,283.142857,1,0.857143,766.65,918,'0'
1,3,0.069234,900.333333,1,0.666667,463.25,534,'0'
1,2,0.01382,1013,0,0.5,460.25,531,'0'
1,3,0.008935,970,1,0.333333,48.166667,134,'0'
1,1,0.004499,889,1,1,203.95,624,'0'
1,1,0.004515,886,1,1,196.583333,545,'0'
1,1,0.00113,885,1,1,169.75,190,'0'
1,1,0.011299,885,1,1,184,177,'0'
1,22,0.007131,312.318182,1,0.636364,182,175,'0'
1,1,0.003413,879,1,1,130,123,'0'
1,1,0.006818,880,1,1,123,116,'0'
1,1,0.007955,880,1,1,65,83,'0'
1,1,0.001139,878,1,1,64,82,'0'
1,1,0.001139,878,1,1,162.333333,182,'0'
1,1,0.001139,878,1,1,59.5,76,'0'
1,1,0.001139,878,1,1,57.5,74,'0'
1,1,0.002597,385,0,1,521,464,'0'
1,2,0.000429,1165.5,0,1,503,449,'0'
2,4,0.005714,612.5,0,1,494,480,'0'
2,2,0.006356,472,0,1,484,470,'0'
2,2,0.011653,472,0,1,481,467,'0'
2,2,0.010616,471,1,1,479,465,'0'
2,5,0.01495,481.6,1,1,572,551,'0'
2,2,0.011783,636.5,1,1,8,8,'0'
3,5,0.0625,208,1,1,179,172,'0'
2,2,0.059222,295.5,1,1,32,32,'0'
1,1,0.010163,492,1,1,131.132936,431,'0'
1,1,0.016393,488,1,1,26,15,'0'
1,1,0.010309,485,1,1,18,12,'0'
1,1,0.02268,485,1,1,33.583333,36,'0'
2,2,0.016369,336,1,1,759.5,970,'0'
1,1,0.005425,553,1,1,839,630,'0'
1,1,0.007233,553,1,1,852.5,609,'0'
1,1,0.012635,554,1,1,843,602,'0'
1,1,0.001828,547,1,1,754,532,'0'
1,1,0.038391,547,1,1,601.5,406,'0'
2,5,0.013703,656.8,1,1,567,546,'0'
2,2,0.009817,764,1,1,6,6,'0'
1,1,0.0189,582,1,1,56.429834,205,'0'
1,1,0.001724,580,1,1,964.666667,941,'0'
1,1,0.001724,580,1,1,85,39,'0'
1,1,0.00271,369,1,1,389.5,426,'0'
1,1,0.001215,823,1,1,24.5,10,'0'
1,1,0.004975,804,1,1,856,318,'1'
2,8,0.031987,519.75,1,0.75,376,453,'1'
1,1,0,292,1,1,13.5,21,'1'
1,19,0.108258,399.631579,0,0.842105,46,42,'0'
1,1,0,0,1,1,261.083333,284,'0'
1,1,0.026786,112,0,1,268,295,'0'
1,1,0.01087,92,0,1,76,76,'0'
1,4,0.037215,208.25,1,0.75,72,72,'1'
1,3,0.014528,137.666667,0,1,18,18,'1'
1,1,0.012658,79,0,1,28,28,'0'
1,1,0,44,0,1,85,85,'0'
1,1,0.071429,14,0,1,46,42,'0'
2,6,0.005169,709.333333,1,0.666667,453.5,625,'1'
1,1,0.039474,152,1,1,124.358333,416,'0'
1,1,0.013158,152,1,1,193.95,615,'1'
2,2,0.342105,152,1,1,150.15,415,'1'
1,1,0.006494,154,1,1,174.366667,364,'0'
1,2,0.027933,179,1,1,392,202,'0'
1,1,0.039474,152,1,1,32,20,'0'
4,4,0.140212,472.5,1,1,555,542,'1'
3,3,0.056325,722,1,1,493,477,'0'
2,2,0.2751,249,1,1,481,465,'1'
2,4,0.012108,351,1,1,421,409,'1'
6,10,0.020177,599.7,1,0.7,410,409,'1'
3,3,0.064998,825.666667,1,0.666667,335,324,'1'
2,3,0.219315,866.333333,1,0.666667,331,320,'1'
2,2,0.010779,603,1,1,328,317,'0'
2,2,0.005599,1161,1,1,321,310,'0'
2,2,0.017059,1231,1,1,316,305,'0'
1,1,0.006648,2106,1,1,314,157,'0'
1,1,0.021438,2239,1,1,6,4,'0'
3,4,0.043922,956.25,1,1,292,281,'1'
1,1,0.008903,2471,1,1,288,146,'1'
1,1,0.013303,2631,1,1,282,144,'0'
1,1,0.006857,2625,1,1,281,143,'1'
1,1,0.004564,2629,1,1,280,142,'1'
1,1,0.065449,2628,1,1,279,141,'1'
2,2,0.016801,1428.5,1,1,249,238,'1'
1,1,0.000759,2636,1,1,245,125,'0'
2,2,0.023363,1412.5,1,0.5,244,233,'1'
2,2,0.007153,1398,1,1,242,231,'1'
1,1,0,2633,1,1,228,115,'0'
3,6,0.00748,958.166667,1,1,950.666667,1418,'1'
1,1,0.001144,2622,1,1,221,114,'0'
1,1,0.000368,2717,0,1,942,915,'0'
1,1,0.000736,2717,1,1,192,91,'0'
3,9,0.010982,495.777778,1,0.777778,72,70,'1'
1,1,0.00074,2704,1,1,62,19,'0'
1,1,0.002219,2704,1,1,54,16,'1'
1,1,0.060606,2706,1,1,53,15,'1'
1,1,0.00037,2704,1,1,23,20,'0'
1,1,0.00037,2704,1,1,21,18,'0'
1,1,0.00037,2704,1,1,20,17,'0'
1,1,0.00037,2704,1,1,19,16,'0'
1,1,0.00037,2704,1,1,17,14,'0'
1,1,0.00074,2704,1,1,15,12,'0'
1,1,0.00074,2704,1,1,13,10,'0'
1,1,0.00037,2704,1,1,11,8,'0'
2,4,0.015509,741.5,1,1,795.666667,1222,'1'
1,1,0.000742,2697,1,1,3,2,'0'
1,1,0.000371,2697,1,1,121.05,259,'0'
1,1,0.000742,2696,1,1,45,13,'0'
2,2,0.010973,2050.5,1,1,10,8,'0'
1,1,0.002268,2646,1,1,759.833333,752,'1'
3,17,0.004221,613.235294,1,0.823529,373,695,'1'
1,1,0.000379,2636,1,1,356.166667,329,'0'
2,4,0.008701,890.75,1,1,113.65,323,'1'
1,1,0.001139,2633,1,1,779.5,662,'0'
1,1,0.00457,2626,1,1,407,318,'0'
2,3,0.343571,1161.333333,1,1,859,624,'1'
2,4,0.005501,1136.25,1,0.75,25,25,'1'
2,12,0.053783,556.25,1,0.916667,71.503968,256,'1'
4,4,0.004151,1084,1,1,854.5,924,'0'
1,1,0.001151,2607,1,1,850.5,617,'0'
1,2,0.04723,1408,1,1,23,17,'1'
3,3,0.024993,1253.666667,1,1,441,644,'1'
1,1,0.019291,2540,1,1,436.5,314,'1'
1,1,0.030255,2545,1,1,852.5,606,'1'
1,1,0.001181,2540,1,1,429.5,312,'1'
1,1,0.000787,2541,1,1,11,6,'0'
1,1,0.003545,2539,1,1,826.5,582,'0'
1,1,0.001974,2533,1,1,811,570,'1'
1,1,0.000394,2539,1,1,439.5,311,'0'
1,1,0.000788,2539,1,1,804,567,'0'
2,2,0.008812,1418.5,1,1,7,5,'1'
1,1,0.006688,2542,1,1,9,6,'1'
2,2,0.01683,1782.5,1,1,796,827,'0'
1,1,0.000802,2494,1,1,795,559,'0'
2,2,0.00178,1966.5,1,1,759,786,'0'
2,3,0.007129,1215.666667,1,1,754.5,778,'1'
3,5,0.009919,1129.2,1,0.6,711,729,'1'
4,5,0.009717,988,1,1,267.971429,968,'1'
1,1,0.002421,2478,1,1,250.114286,774,'0'
1,1,0.00647,2473,1,1,638.5,435,'0'
2,2,0.000921,1629,1,1,459,608,'0'
2,2,0.00432,1389,1,1,241.861905,940,'0'
1,1,0.002438,2461,1,1,463.5,297,'0'
3,3,0.003727,1341.666667,1,1,462.5,596,'0'
1,1,0.001221,2458,1,1,573,380,'1'
2,8,0.007345,850.875,1,0.75,550,530,'1'
5,7,0.011591,936.714286,1,1,234.564286,944,'1'
1,1,0.004098,2440,1,1,535,293,'0'
1,1,0.012295,2440,1,1,552,291,'0'
2,4,0.00483,1087,1,1,461,446,'1'
2,2,0.002076,1926.5,1,1,558.5,578,'1'
2,3,0.045148,989.333333,1,1,551.5,571,'1'
2,4,0.008895,1011.75,1,1,424,409,'1'
1,1,0.001652,2421,1,1,225.040476,747,'1'
2,2,0.000804,1244.5,1,1,42,50,'0'
3,5,0.010142,690.2,1,0.8,242,238,'1'
3,9,0.01133,608,1,0.888889,505,492,'1'
2,2,0.000369,1356,1,1,494,483,'1'
2,2,0.002884,1907,1,1,218.6,881,'1'
1,1,0.000418,2393,1,1,200,139,'0'
1,1,0.000838,2386,1,1,24.09881,104,'1'
1,3,0.025812,1149.333333,1,1,159,112,'1'
2,2,0.001842,1900.5,1,1,441,434,'0'
5,20,0.002292,545.35,1,0.95,439,432,'0'
1,1,0.002098,2383,1,1,131,91,'0'
2,2,0.007258,1240,1,0.5,419,412,'0'
2,2,0.003169,1893.5,1,1,86,84,'0'
2,2,0.006197,1291,1,1,381,374,'1'
2,2,0.001068,1873.5,1,0.5,379,372,'0'
1,1,0.000433,2309,1,1,355,190,'1'
2,2,0.031653,1279.5,1,1,341,334,'1'
1,1,0.020931,2341,1,1,66,49,'1'
1,1,0.002563,2341,1,1,337,185,'0'
1,2,0.001651,1514.5,1,1,336,184,'1'
1,1,0.000855,2339,1,1,57.022619,175,'0'
1,1,0.000426,2346,1,1,331,180,'0'
3,4,0.071067,1185.5,1,0.75,330,323,'1'
2,2,0.003147,1271,1,1,129.425397,492,'1'
1,2,0.005145,1360.5,1,1,308,160,'0'
1,1,0.008489,2356,1,1,306,158,'0'
1,1,0.000428,2339,1,1,127.670238,438,'0'
1,1,0.012587,2304,1,1,298,156,'0'
2,2,0.005364,1771,1,1,12,12,'1'
1,1,0.001738,2301,1,1,297,155,'0'
2,4,0.003753,932.5,1,1,284,277,'1'
1,1,0.006542,2293,1,1,220,124,'0'
4,7,0.004595,870.428571,1,1,219,218,'1'
1,1,0.005677,2290,1,1,212,119,'0'
1,1,0.080821,2289,1,1,211,118,'1'
1,1,0.000876,2284,1,1,250,182,'1'
2,4,0.008359,897.25,1,1,249,240,'1'
5,7,0.02677,720.428571,1,0.857143,245,243,'1'
1,1,0.007895,2280,1,1,203,113,'1'
1,2,0.006203,1854,1,1,223,163,'1'
1,1,0.011261,2664,1,1,159,97,'1'
3,5,0.019744,861,1,0.6,139,134,'1'
2,2,0.135907,1593,1,1,134,129,'1'
2,2,0.007546,1524,1,1,131,126,'0'
1,1,0.000364,2751,1,1,236.383333,729,'0'
2,2,0.007386,1557,1,1,120,115,'1'
1,1,0.207726,2744,1,1,195,143,'1'
1,1,0.004498,2668,1,1,194,142,'0'
2,5,0.026276,928.6,1,1,233.383333,870,'1'
1,1,0.00452,2655,1,1,70,47,'0'
1,1,0.002646,2646,1,1,8,6,'0'
1,1,0.000375,2664,1,1,21,11,'1'
1,1,0.003006,2661,1,1,1,1,'0'
1,1,0.00451,2661,1,1,235.783333,722,'0'
1,1,0.00227,2643,1,1,162,117,'0'
1,1,0.000759,2636,1,1,113,82,'1'
1,1,0.01101,2634,1,1,67,51,'1'
2,2,0.003201,1406,1,1,47,47,'0'
1,1,0.003823,2616,1,1,256,248,'1'
1,1,0.003063,2612,1,1,12.433333,28,'0'
1,1,0.003066,2609,1,1,37,27,'0'
1,1,0.000383,2608,1,1,30,22,'0'
1,1,0.010349,2609,1,1,206.5,215,'0'
1,1,0.000772,2590,1,1,198.5,207,'1'
1,1,0.001558,2568,1,1,186.833333,198,'1'
1,1,0.005062,2568,1,1,181.833333,193,'1'
1,1,0.000777,2574,1,1,176.333333,188,'0'
1,1,0.003497,2574,1,1,173.333333,185,'1'
1,1,0.018677,2570,1,1,172.333333,184,'1'
1,1,0.00197,2538,1,1,111.440873,417,'1'
1,1,0.007087,2540,1,1,161.833333,173,'1'
1,1,0.000395,2533,1,1,117.166667,135,'0'
1,1,0.020134,2533,1,1,65.488095,171,'1'
1,1,0.003599,2501,1,1,109,129,'0'
1,1,4e-04,2498,1,1,110.5,126,'0'
1,1,0.004003,2498,1,1,108.5,122,'1'
1,1,4e-04,2498,1,1,1,1,'0'
1,1,0.000801,2498,1,1,88.583333,107,'0'
1,1,0.000801,2496,1,1,30,18,'0'
1,1,0.004407,2496,1,1,28,16,'1'
2,2,0.002361,1694.5,1,1,54.959524,206,'1'
1,1,0.000401,2495,1,1,112,115,'0'
3,5,0.016454,814.4,1,0.8,332.3,833,'1'
1,1,0.000414,2415,1,1,314.35,693,'1'
2,8,0.040582,566.75,1,0.375,258.7,755,'1'
1,1,0.000416,2402,1,1,14,10,'0'
1,1,0.000833,2402,1,1,90.75,87,'0'
2,2,0.001972,1268,1,1,199.95,691,'0'
1,1,0.002498,2402,1,1,187.461111,997,'1'
1,1,0.003753,2398,1,1,5,4,'0'
1,1,0.000417,2398,1,1,14.083333,23,'1'
2,5,0.030333,811,1,1,190.583333,680,'1'
2,2,0.012195,1558,1,0.5,187.083333,675,'1'
2,3,0.007458,1072.666667,1,1,185.416667,673,'1'
1,1,0.000422,2369,1,1,89.5,83,'0'
1,1,0.000422,2369,1,1,87.5,82,'1'
1,1,0.002111,2369,1,1,12.416667,21,'0'
1,1,0.001266,2369,1,1,92.5,77,'0'
1,1,0,2369,1,1,90.5,75,'0'
1,1,0.004218,2371,1,1,89.5,74,'1'
1,1,0.000422,2369,1,1,87.5,72,'0'
1,1,0.002111,2369,1,1,84.5,69,'0'
1,1,0.001262,2377,1,1,82,68,'1'
1,1,0.001263,2376,1,1,216.830952,583,'1'
1,1,0.000421,2376,1,1,66,52,'0'
1,1,0.034933,2376,1,1,178.166667,598,'0'
1,1,0.02064,2374,1,1,58,48,'1'
1,1,0.059149,2350,1,1,57,47,'1'
1,2,0.000639,1565,1,1,38,30,'0'
1,1,0.003447,2321,1,1,191.083333,559,'0'
1,1,0.000431,2318,1,1,31,26,'0'
1,1,0.003884,2317,1,1,147.821429,390,'1'
1,1,0.006477,2316,1,1,147.988095,389,'1'
1,2,0.005832,1286,1,1,147.038095,388,'1'
1,1,0.003474,2303,1,1,9.333333,18,'0'
1,3,0.002301,1304,1,0.666667,154.15,385,'1'
3,23,0.027913,411.217391,1,0.913043,138,202,'1'
1,1,0.000435,2298,1,1,3.5,4,'1'
1,2,0.000793,1260.5,1,1,13,13,'0'
3,5,0.024343,829.8,1,1,81.683333,184,'1'
1,1,0.000437,2288,1,1,160.066667,367,'0'
1,1,0.000437,2288,1,1,159.55,366,'0'
1,1,0.000874,2288,1,1,58.566667,103,'0'
1,1,0.008741,2288,1,1,8,7,'1'
1,1,0.00088,2272,1,1,162.5,121,'0'
1,1,0.021145,2270,1,1,7,6,'0'
1,1,0.001785,2241,1,1,27,40,'0'
1,1,0.000446,2240,1,1,25,38,'0'
1,1,0.000446,2240,1,1,90.25,101,'0'
1,1,0.000446,2240,1,1,207.366667,504,'0'
1,7,0.062921,699.285714,1,0.714286,169.366667,363,'1'
1,1,0.000922,2170,1,1,223.033333,503,'0'
1,1,0.000462,2166,1,1,72,50,'0'
1,2,0.003671,1362,1,1,67,45,'1'
1,4,0.015043,980.5,1,1,221.45,499,'1'
1,1,0.000462,2165,1,1,207.283333,485,'0'
1,1,0.000924,2165,1,1,206.45,484,'1'
1,1,0.000463,2161,1,1,212.333333,480,'0'
1,1,0.000463,2161,1,1,30,21,'0'
1,1,0.000925,2161,1,1,206.333333,475,'0'
1,5,0.002757,798,1,0.8,204.5,472,'0'
1,1,0.000925,2161,1,1,3,3,'0'
1,1,0.000929,2153,1,1,371,415,'1'
1,1,0.000464,2153,1,1,670,595,'0'
1,1,0.011147,2153,1,1,665,590,'1'
1,1,0.000468,2135,1,1,664,589,'1'
1,1,0.007459,2145,1,1,661,586,'1'
1,5,0.006975,831.6,1,1,387,411,'1'
1,1,0.015435,2138,1,1,660,585,'1'
1,1,0.004677,2138,1,1,235.583333,452,'0'
1,2,0.019293,1244,1,1,99.833333,128,'0'
1,1,0.000482,2073,1,1,259.666667,330,'0'
1,1,0.008201,2073,1,1,259.666667,329,'1'
1,1,0.00097,2062,1,1,351.5,354,'0'
1,1,0.010721,2052,1,1,265.083333,446,'0'
1,1,0.003444,1742,1,1,487,437,'0'
2,4,0.002219,901.25,1,1,44.5,79,'0'
1,1,0.001722,1742,0,1,267.666667,442,'0'
1,1,0.002874,1740,1,1,360.5,349,'1'
1,1,0.025244,1743,1,1,456,415,'1'
1,1,0.001157,1729,1,1,452,412,'0'
