@relation mydataframe
@attribute ev.g. numeric
@attribute iv.g. numeric
@attribute l numeric
@attribute d numeric
@attribute i numeric
@attribute t numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute locCodeAndComment numeric
@attribute bug {'1','0'}
@data
1,2,0.07,15.24,36.57,471.69,11,9,0,'1'
9,4,0.02,51.47,72.67,10695.18,96,46,0,'1'
3,3,0.08,13.19,56.52,546.69,12,1,0,'1'
1,18,0.03,29.58,171.78,8350.32,62,10,0,'1'
30,41,0.02,43.41,293.68,30751.03,339,42,0,'1'
3,12,0.04,23.26,164.09,4933.44,29,16,0,'1'
9,10,0.02,51.6,83,12276.66,65,12,0,'1'
4,6,0.07,13.73,89.42,936.6,78,2,0,'1'
1,7,0.03,29.27,45.05,2143.79,7,6,0,'1'
1,5,0.07,13.6,98.6,1013.91,4,3,0,'1'
5,1,0.03,33.52,30.99,1934.26,6,9,0,'1'
1,3,0.05,18.67,44.75,866.23,11,40,0,'1'
1,3,0.14,7.33,22.4,66.91,0,0,0,'1'
1,7,0.05,21.94,90.85,2428.97,39,25,0,'1'
1,2,0.06,15.43,37.27,492.91,19,27,0,'1'
5,3,0.08,12.55,35.13,307.3,17,9,0,'1'
1,7,0.05,22.14,104.75,2851.38,23,32,0,'1'
1,1,0.08,12,46.76,374.05,3,10,0,'1'
9,19,0.02,47.6,54.69,6884.14,62,30,0,'1'
1,4,0.05,18.57,34.91,668.73,24,13,0,'1'
11,9,0.03,36.74,61.92,4643.41,28,31,0,'1'
1,4,0.04,22.75,25.24,725.61,4,17,0,'1'
9,10,0.02,64.92,51.85,12140.27,73,51,0,'1'
1,1,0.18,5.63,21.8,38.32,0,0,0,'1'
1,1,0.1,9.64,45.57,235.42,22,12,0,'1'
1,3,0.11,9.47,31.39,156.4,34,14,0,'1'
1,3,0.09,11.08,39.66,270.63,11,10,0,'1'
1,3,0.1,10.5,31.51,193.01,19,8,0,'1'
1,1,0.2,5,20.75,28.81,7,7,0,'1'
4,7,0.08,13.06,74.36,704.77,31,10,0,'1'
7,16,0.05,21.41,195.05,4967.36,18,4,0,'1'
1,3,0.04,28,55.85,2432.55,13,2,0,'1'
3,3,0.05,19.13,30.72,624.53,7,4,0,'1'
3,10,0.02,44.71,70.59,7838.01,59,35,0,'1'
1,1,0.15,6.5,23.14,54.32,12,4,0,'1'
5,5,0.06,16.09,35.08,504.35,7,0,0,'1'
