@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {'1','0'}
@data
4,3,53,1649,25,49,1344,0.916667,2,0.155107,19,20.483871,1.9516,'1'
3,0,5,0,5,1,60,0.5,0,0.5,7,13.5,1,'0'
4,0,2,21,2,7,39,0,0,0.428571,0,4.571429,0.8571,'0'
2,0,15,0,14,24,2556,0.647059,3,0.188889,4,80.903226,1.2581,'0'
1,0,0,3,0,2,25,0,0,0.333333,0,7.333333,0.6667,'0'
1,0,0,231,0,22,22,0,0,0.75,0,0,1,'0'
4,0,3,6,3,4,32,1,1,0.583333,0,6.75,1,'0'
1,0,0,6,0,4,4,0,0,1,0,0,1,'0'
1,0,0,3,0,3,3,0,0,0.666667,0,0,1,'1'
4,0,17,0,1,8,64,1,0,0.4375,0,6.75,0.5,'0'
1,0,0,120,0,16,16,0,0,0.375,0,0,1,'0'
1,3,25,1829,9,36,1123,0.833333,1,0.11655,0,15.742424,2.2727,'1'
3,0,6,0,6,1,75,0.5,0,0.5,8,17.25,1.25,'0'
4,1,3,3,2,3,13,0,0,0.555556,4,3,0.6667,'0'
4,0,2,3,2,3,17,0,0,0.666667,0,4.666667,0.6667,'0'
1,0,0,28,0,8,8,0,0,0.354167,0,0,1,'0'
3,0,5,0,5,1,59,0.5,0,0.555556,3,18,0.6667,'0'
1,0,0,1,0,2,2,0,0,1,0,0,1,'0'
1,0,2,1,1,2,2,0,0,0.75,0,0,1,'0'
2,0,7,58,6,8,1337,1,3,0.2,0,100.230769,1.0769,'1'
1,0,0,6,0,4,4,0,0,0.5,0,0,1,'0'
3,1,3,3,2,3,13,0,0,0.555556,4,3,0.6667,'0'
4,0,4,0,4,1,44,0.5,0,0.555556,12,13,1,'0'
4,0,3,253,3,23,127,0,0,0.521739,6,4.521739,0.9565,'0'
4,0,3,78,3,13,73,0,0,0.403846,6,4.615385,0.9231,'0'
3,0,0,8,0,5,34,1,0,0.6,0,5.6,0.2,'1'
1,0,0,28,0,8,8,0,0,0.75,0,0,1,'0'
4,0,2,351,2,27,151,0,0,0.388889,0,4.592593,0.963,'0'
1,0,0,127,0,20,161,0,3,0.15035,0,6.181818,0.9545,'0'
1,0,6,1,0,0,42,0,0,0.5,0,11.666667,0.6667,'0'
1,0,0,0,0,0,0,0,0,0,0,0,0,'1'
3,0,5,0,5,0,1583,1,0,0.366667,3,173.666667,0.8889,'0'
4,0,3,465,2,31,259,0,0,0.309677,0,7.354839,1.3871,'0'
1,0,2,1,1,2,2,0,0,0.75,0,0,1,'0'
1,0,5,15,2,6,6,0,0,0.375,0,0,1,'0'
1,0,5,3,0,3,3,0,0,0.583333,0,0,1,'0'
2,0,10,277,9,2,804,1,0,0.184211,12,19.461538,1.5641,'0'
1,0,0,3,0,3,3,0,0,1,0,0,1,'0'
1,0,1,0,0,5,574,0,0,0.520833,0,70.375,5.625,'0'
1,0,2,28,1,8,8,0,0,0.75,0,0,1,'0'
3,35,39,55,4,7,93,0,0,0.436364,3,7.454545,1.2727,'0'
2,0,7,50,6,7,728,1,3,0.208333,0,58.333333,0.8333,'0'
1,0,2,1,1,2,2,0,0,0.75,0,0,1,'0'
1,0,1,0,0,0,28,1,0,0.625,0,5.75,1,'0'
2,0,4,1,3,1,76,0,0,0.625,2,37,5.5,'0'
1,0,0,4,0,11,238,0.8,2,0.375,0,16.923077,1.4615,'0'
1,0,0,10,0,5,5,0,0,0.4,0,0,1,'1'
1,1,3,22,3,6,108,0.5,0,0.285714,0,12.25,0.75,'0'
1,0,36,6,0,4,4,0,0,0.75,0,0,1,'0'
2,0,8,17,7,6,207,0.8,3,0.333333,0,27.857143,0.7143,'0'
1,0,10,0,5,2,167,1,2,0.5,0,53.666667,0.3333,'0'
1,0,0,15,0,6,6,0,0,0.375,0,0,1,'0'
1,0,2,8,2,9,374,1,4,0.307692,0,27.153846,4.1538,'1'
4,0,3,78,3,13,72,0,0,0.538462,4,4.538462,0.9231,'0'
3,0,4,0,4,1,40,0.5,0,0.555556,7,11.666667,0.6667,'0'
1,0,0,3,0,3,3,0,0,0.666667,0,0,1,'0'
4,0,3,105,3,15,84,0,0,0.4,4,4.6,0.9333,'0'
2,2,16,0,14,20,3041,1,2,0.174479,3,90.848485,1.0606,'1'
