@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
4,3,0,3,16,5,0.25,149,2,0.969697,14,28.4,4,'0'
2,0,190,17,39,19,2,288,0,0.634615,2,13.4,4,'0'
2,0,15,3,4,6,2,58,0,0.863636,3,8.666667,1,'0'
3,0,607,1,29,6,0.9,1852,2,0.357143,0,47.473684,15,'0'
1,0,15,1,6,4,0.833333,189,0,0,0,25.714286,2,'0'
5,0,32,4,17,7,1.025,272,1,0.967611,7,28.666667,5,'1'
4,0,1,0,1,2,0.5,499,0,0.97619,0,165,1,'0'
4,0,0,1,1,1,2,4,0,1,0,3,0,'0'
2,29,3056,91,17,75,0.913655,1279,3,0.567708,12,14.083333,9,'1'
2,0,45,5,1,10,2,143,0,0.666667,14,13.3,2,'1'
1,0,91,4,0,14,2,14,0,0,0,0,1,'0'
1,0,714,4,4,60,0.629167,1450,0,0,0,22.639344,9,'0'
1,1,2497,86,23,59,0.933784,3247,9,0,0,41.893333,13,'1'
1,0,309,4,44,12,0.84755,2953,6,0,0,96.8,40,'0'
1,1,0,4,0,18,0.382353,458,0,0,0,24.222222,4,'1'
1,0,10,0,2,5,2,198,0,0,0,38.6,4,'1'
2,1,2,1,0,3,0.666667,378,0,0.942857,3,93,6,'1'
4,0,0,1,37,3,0.083333,562,4,0.969697,7,138.5,12,'1'
2,7,819,133,15,40,0.95393,465,0,0.428571,8,9.857143,4,'0'
1,0,6,12,2,4,2,295,0,0,0,72.75,6,'1'
1,2,0,5,1,5,0.6,419,1,0,0,81.8,8,'0'
4,0,1,0,5,2,2,15,0,0.979592,6,6.5,1,'0'
1,0,0,2,0,4,0.666667,28,0,0,0,5.25,1,'0'
4,0,6,0,8,3,0.65,253,0,0.941176,7,48.6,4,'0'
1,0,0,0,4,3,0.333333,240,0,0,0,58,12,'0'
1,0,1,0,0,1,2,7,0,0,0,2.5,1,'0'
4,0,4,0,20,5,0.25,126,2,0.96,14,23.8,1,'0'
1,28,55,38,2,12,0.807692,140,0,0,0,8.571429,3,'0'
1,1,440,6,4,0,0.79321,804,3,0,0,20.243243,15,'1'
3,2,6,11,6,4,2,7,0,0.959459,4,0.75,1,'0'
1,0,4,1,3,0,1.095238,360,3,0,0,87.25,7,'0'
2,0,0,2,2,8,0,47,1,0.740741,1,4.75,1,'0'
4,0,3,0,14,3,2,75,0,0.979592,13,24,3,'0'
1,0,66,2,9,6,0.952899,1997,7,0,0,150.846154,14,'1'
1,0,3,3,2,3,0.86,292,1,0,0,46,1,'0'
1,0,0,1,0,1,2,12,0,0,0,9,0,'0'
5,0,1069,51,25,34,0.939909,990,11,0.853659,6,18.44,10,'0'
3,0,6,1,5,4,2,39,0,0.959459,12,8.75,1,'0'
2,0,0,1,7,4,0,37,0,0.8,0,8,3,'0'
1,0,4,0,0,3,0.625,157,0,0,0,30,6,'0'
1,0,36,0,1,9,2,69,0,0,0,6.666667,2,'0'
2,0,19,4,6,6,0.833333,39,1,0.444444,0,4.428571,1,'0'
3,0,1,1,9,2,2,39,0,0.978261,1,18.5,1,'0'
4,0,16,6,7,8,0.571429,97,1,0.966507,4,11,3,'0'
3,1,79,6,21,17,0.735294,492,1,0.920188,6,26.111111,4,'1'
3,0,0,0,9,5,0.76,505,0,0.615385,6,82.333333,8,'1'
1,0,2145,74,3,66,1.015385,81,0,0,0,0,1,'0'
1,0,0,2,3,17,0.710938,375,2,0,0,20.588235,6,'1'
1,3,26,9,4,5,0.942857,91,0,0,0,9.75,1,'1'
1,0,0,1,0,6,0.65,57,0,0,0,7.833333,1,'0'
1,0,1,5,0,2,2,17,0,0,0,0,1,'0'
4,1,1,1,5,2,2,11,0,1,0,4.5,0,'0'
1,0,0,3,4,0,2,80,3,0,0,71,0,'0'
1,0,0,8,0,1,2,1,0,0,0,0,1,'0'
1,0,21,0,4,7,2,158,0,0,0,21.571429,6,'0'
1,0,1,0,0,2,1,47,0,0,0,18,1,'0'
5,0,28,1,16,6,2,543,0,0.888889,8,66.875,1,'1'
4,1,0,8,1,15,0.392857,357,0,0.62963,2,22.666667,8,'0'
1,0,0,2,6,6,0.5,146,1,0,0,23,1,'1'
1,0,0,1,0,11,0.45,286,0,0,0,24.636364,4,'0'
4,0,0,0,17,3,0,62,1,0.979592,13,19.333333,1,'0'
3,0,55,1,2,11,2,79,0,0.804348,0,6.181818,1,'0'
3,0,4,0,31,4,0.5,253,1,0.933333,6,49.4,4,'0'
5,0,6,0,7,5,0.916667,41,0,0.971831,2,6.6,1,'0'
1,0,0,0,1,1,2,1,0,0,0,0,1,'0'
3,0,0,0,14,6,0,101,1,0.934211,8,15.666667,1,'0'
1,0,0,3,0,17,0.4875,305,0,0,0,16.647059,4,'0'
3,0,4,2,22,4,1,496,1,0.9375,6,97.6,17,'0'
2,0,0,1,3,8,0.428571,105,1,0.588235,5,11.875,3,'0'
5,0,3,0,11,3,2,37,0,0.99,5,11.333333,1,'0'
2,0,5,2,0,6,0.8,47,0,0.642857,0,6,1,'0'
4,1,30,2,13,9,0.583333,388,2,0.943925,6,28.692308,8,'0'
5,0,1,0,5,2,2,10,0,0.982143,7,4,1,'0'
1,0,6,2,4,3,2,157,0,0,0,38.25,1,'0'
1,0,0,3,1,6,0.25,432,1,0,0,60.142857,3,'0'
2,0,173,2,8,15,0.857143,2190,4,0.775281,30,98.181818,3,'0'
1,0,219,1,0,5,0.972789,2261,0,0,0,101.136364,8,'0'
1,0,0,10,1,0,2,0,0,0,0,0,0,'0'
1,1,4474,51,14,72,0.941667,2010,14,0,0,19.463918,12,'0'
6,0,0,1,15,11,0.730769,163,2,0.914286,8,10.357143,3,'0'
6,0,10,1,15,4,2,186,0,0.941176,8,36.2,1,'0'
5,0,0,1,7,5,0.883142,1073,1,0.954545,8,100.5,11,'1'
1,0,0,0,0,1,2,1,0,0,0,0,1,'0'
5,0,300,1,2,21,0.879252,782,1,0.942149,5,25.241379,10,'0'
1,0,6,0,8,2,2,1490,0,0,0,371.5,86,'1'
2,0,1,0,7,2,2,39,0,1,0,18.5,0,'0'
1,1,315,12,5,23,0.884444,1119,6,0,0,41.692308,40,'0'
1,0,0,0,0,1,2,2,0,0,0,0,1,'0'
4,0,0,1,1,3,0,48,0,1,0,14.666667,0,'0'
4,0,1,1,4,3,1,25,0,0.975904,0,6.666667,1,'0'
4,0,1,0,8,2,2,13,0,0.989691,4,5.5,1,'0'
4,0,1,0,12,2,2,31,0,0.989691,5,14.5,1,'0'
3,0,0,1,13,6,0.5,118,1,0.903226,5,15.571429,5,'0'
3,0,3,0,4,3,2,9,0,0.95,6,2,1,'0'
5,0,1,0,5,2,2,42,0,0.982143,8,20,1,'0'
4,0,1,0,6,2,2,23,0,0.979592,6,10.5,1,'0'
1,0,903,0,4,36,1.02381,1326,0,0,0,29.651163,5,'1'
3,0,29,5,4,11,0.825,114,0,0.951456,5,9,2,'0'
2,0,0,0,3,10,0.666667,121,1,0.526316,5,10.7,4,'0'
4,1,15,2,9,3,0.333333,282,0,0.972222,1,39.142857,1,'0'
4,0,0,2,22,11,0.64,380,3,0.879518,7,33.090909,35,'0'
1,0,0,4,9,41,0.887195,572,2,0,0,12.428571,3,'1'
1,0,3,4,3,2,1,69,0,0,0,21.666667,4,'0'
1,0,0,3,0,1,2,1,0,0,0,0,1,'0'
3,3,155,20,24,19,0.828571,383,2,0.907407,15,16.181818,4,'1'
1,0,0,2,0,1,2,20,0,0,0,15,0,'0'
3,0,6,0,19,3,2,92,0,0.949153,3,22,1,'0'
3,0,0,1,12,5,0.2,49,0,0.918033,3,7,2,'0'
4,0,1,0,1,2,0.5,595,0,0.97619,0,197,1,'0'
1,0,45,1,5,10,2,116,0,0,0,10.6,1,'0'
1,0,214,88,10,24,0.891667,494,1,0,0,18.36,5,'0'
1,0,0,2,1,3,0.5,64,0,0,0,19.666667,1,'0'
1,0,69,90,2,13,0.836735,442,0,0,0,28,7,'0'
1,1,276,1,3,24,2,52,0,0,0,1.166667,1,'0'
1,0,335,6,5,39,0.667917,875,1,0,0,19.52381,6,'0'
3,0,15,2,20,10,0.825,168,2,0.951456,9,13.909091,3,'0'
3,0,0,0,20,9,0.62963,362,2,0.898734,9,34.6,8,'0'
1,0,243,1,7,25,0.693333,205,2,0,0,6.769231,1,'1'
3,15,0,25,8,10,0.3,113,1,0.791667,4,9.181818,6,'0'
2,0,932,24,40,15,0.568182,1193,1,0.328125,0,25.4,12,'1'
1,0,0,4,0,18,0.513889,256,0,0,0,12.263158,3,'1'
1,0,508,6,5,59,0.7375,2306,12,0,0,34.169231,18,'0'
2,0,0,0,3,4,0,66,1,0.966667,0,15.25,1,'0'
1,0,0,0,1,10,0.472222,180,1,0,0,16.6,3,'0'
1,0,27,1,8,10,0.596154,755,0,0,0,51.5,9,'0'
4,0,3,1,21,3,2,152,0,0.974359,3,49.666667,8,'0'
3,0,17,1,24,5,0.888889,237,1,0.903226,4,32.428571,6,'0'
6,1,8,2,9,7,0.428571,214,1,0.901408,22,25.625,7,'1'
1,0,0,3,0,0,2,111,0,0,0,88,0,'0'
7,0,6,0,10,3,2,81,0,0.96,8,19.25,1,'0'
2,0,0,1,4,5,0,82,1,0.966667,0,15.2,1,'0'
4,0,3,0,11,2,2,169,0,0.96,6,55.333333,8,'0'
5,0,18,2,10,8,0.78125,392,6,0.954286,20,41.666667,10,'0'
1,0,1,2,0,2,1,67,0,0,0,19,1,'0'
3,2,2539,38,17,70,0.966051,1136,4,0.728625,19,14.040541,16,'0'
1,0,3,0,15,3,1.5,329,0,0,0,108.333333,1,'1'
3,2,1,7,5,1,2,44,0,0.986111,0,21,3,'0'
3,0,0,0,5,3,0,59,1,0.909091,7,18.333333,3,'0'
3,0,0,2,19,4,0.25,84,1,0.933333,4,15.4,1,'0'
4,0,0,1,8,13,0.076923,174,1,0.941704,3,11.357143,1,'0'
3,0,0,2,23,5,0.5,289,3,0.934211,8,46.5,7,'0'
1,0,0,2,8,2,0,104,0,0,0,50.5,1,'0'
4,0,15,8,32,5,2,369,0,0.938272,15,60.5,7,'0'
1,0,0,1,3,33,0.75,469,2,0,1,13.030303,6,'0'
1,1,5671,2,1,107,2,648,0,0,0,5.056075,1,'0'
1,0,0,3,2,1,2,1,0,0,0,0,1,'0'
5,0,3,1,5,1,2,30,0,0.990698,2,9,1,'0'
4,0,2,2,4,3,0.666667,29,0,0.975904,0,5.75,1,'0'
1,0,1275,11,25,40,1.02,2159,0,0,0,40.823529,18,'1'
1,0,1,6,1,2,2,2,0,0,0,0,1,'0'
1,0,0,0,5,3,0,32,1,0,0,9.333333,1,'0'
1,5,942,87,36,10,0.911765,942,6,0,0,16.884615,6,'0'
3,0,351,14,36,26,2,504,0,0.57377,3,17.666667,8,'0'
3,0,3,1,5,3,2,42,0,0.953488,6,13,1,'0'
4,0,3,27,0,3,2,16,0,1,0,4.333333,0,'0'
1,0,1,21,2,14,0.553571,483,1,0,0,30.933333,6,'0'
1,0,0,4,10,5,0.679426,3479,2,0,0,58.793103,6,'1'
1,0,3,0,0,3,2,3,0,0,0,0,1,'0'
2,0,878,20,22,58,0.820513,1706,5,0.088235,1,25.453125,6,'1'
1,0,1009,2,1,45,0.966667,245,0,0,0,4.195652,1,'0'
1,0,10,8,0,5,2,85,0,0,0,16,5,'0'
1,1,0,3,3,7,0.333333,437,1,0,0,42.4,1,'0'
2,1,0,1,6,4,0.333333,162,1,0.823529,4,39.25,11,'0'
1,0,1,4,4,2,1,118,2,0,0,57,1,'0'
1,0,36,0,0,9,1.125,19,0,0,0,0,1,'0'
1,0,8,3,1,5,1,108,0,0,0,20.2,12,'0'
4,0,21,6,38,14,0.588235,900,0,0.811111,9,48.777778,20,'1'
4,0,0,0,17,5,0.625,153,4,0.926829,4,20.285714,6,'0'
3,0,1,1,3,2,2,13,0,0.97619,1,5.5,1,'0'
2,0,3,1,2,0,2,22,0,0.5,0,6.333333,2,'0'
2,0,6589,67,56,115,0.939696,3260,18,0.097015,2,25.162602,5,'1'
1,0,0,1,1,13,0.694444,168,1,0,0,11.692308,6,'0'
1,0,10,1,4,5,2,30,0,0,0,5,1,'0'
1,0,0,2,2,7,0.166667,119,0,0,0,15.714286,2,'0'
1,0,36,0,3,9,2,204,0,0,0,21.666667,4,'0'
2,21,115,79,24,17,0.838235,238,3,0.760563,2,12,6,'0'
2,1,2,1,5,4,0.625,107,1,0.823529,4,20,9,'0'
1,0,54,0,5,12,0.454545,139,1,0,0,10.5,1,'0'
3,0,3,2,30,5,0.6,314,2,0.918033,5,51,9,'0'
2,1,53,10,3,11,0.8,125,0,0.705882,5,10.272727,4,'0'
5,0,26,1,7,4,0.571429,200,1,0.936364,8,23.875,4,'1'
4,0,0,0,25,3,0,191,4,0.979592,13,61.333333,3,'0'
5,0,1,0,5,2,2,35,0,0.982143,7,16.5,1,'0'
1,0,0,2,2,4,0.166667,76,1,0,0,17.5,2,'0'
3,2,3,3,1,2,2,6,0,0.972603,0,1,1,'0'
1,0,3,4,0,3,2,3,0,0,0,0,1,'1'
5,0,6,0,0,4,2,20,0,0.963855,0,4,1,'0'
3,0,6,1,8,3,1,30,0,0.952381,4,6,1,'0'
1,0,181,2,0,22,0.979798,3198,0,0,0,137.652174,17,'0'
2,0,11,0,15,5,0.911111,555,0,0.545455,0,76.142857,2,'1'
3,0,0,1,9,21,0.559524,460,1,0.6875,2,19.363636,1,'0'
3,0,0,4,3,25,0.520833,161,1,0.890909,1,5.36,2,'0'
1,0,0,1,13,0,0.066667,283,6,0,0,133,4,'1'
1,1,58,10,3,13,0.666667,260,0,0,0,18.923077,11,'0'
2,0,211,14,35,20,0.619048,452,0,0.622642,4,19.5,7,'0'
4,0,4,1,4,11,0.484848,148,0,0.921875,15,11.083333,2,'0'
3,4,27,119,6,9,0.888889,87,2,0.898734,0,6.9,1,'0'
1,0,3,0,1,3,1.5,124,0,0,0,40,6,'0'
6,0,0,0,1,1,2,6,0,1,0,5,0,'0'
6,5,3,7,7,4,0.4,65,1,0.969697,4,9.666667,2,'1'
2,1,0,4,2,8,0.214286,105,0,0.666667,6,11.875,4,'0'
3,0,22,37,5,12,0.416667,307,0,0.865854,22,22.538462,11,'1'
8,0,1,2,2,1,2,12,0,1,0,5,0,'1'
5,0,0,2,3,3,0.333333,23,0,0.986486,0,4.5,1,'0'
3,0,351,8,42,26,2,393,0,0.57377,3,13.555556,8,'0'
2,0,210,15,32,19,2,450,0,0.622642,4,20.428571,7,'1'
2,0,0,1,3,2,0,25,1,0.966667,0,11,1,'0'
4,0,1,0,1,2,0.5,599,0,0.97619,0,198.333333,1,'0'
4,0,1,0,1,2,0.5,595,0,0.97619,0,197,1,'0'
5,0,1,0,6,2,2,36,0,0.982456,6,17,1,'0'
2,0,0,8,2,14,0.269231,332,1,0.785714,1,22.571429,6,'0'
1,0,0,19,1,21,0.62963,1676,1,0,0,58.285714,11,'1'
5,0,1,0,6,2,2,34,0,0.982456,6,16,1,'0'
3,0,547,12,8,37,0.918293,1046,0,0.837607,0,23.428571,13,'1'
3,0,3,2,5,3,2,23,0,0.952381,1,6.666667,1,'0'
1,0,375,1,2,29,0.780488,2042,0,0,0,47.333333,33,'1'
3,0,3,2,5,3,2,25,0,0.953488,1,7.333333,1,'0'
5,2,21,3,10,2,2,163,0,0.976563,4,22.285714,11,'0'
3,0,0,1,23,4,0.375,177,1,0.933333,5,34,4,'0'
1,0,0,5,0,0,2,0,0,0,0,0,0,'0'
1,0,1,1,0,2,2,145,0,0,0,71.5,8,'0'
4,0,3,2,9,2,2,107,0,0.990566,1,34.666667,1,'0'
1,0,38,8,4,12,0.944444,265,2,0,0,18.923077,9,'0'
1,0,0,1,2,1,2,1,0,0,0,0,1,'0'
1,0,0,1,3,3,0.5,242,0,0,0,58.5,6,'0'
3,0,0,0,3,2,0,18,1,0.964286,1,7.5,1,'0'
1,0,0,27,14,13,0.333333,293,1,0,0,21.384615,4,'1'
5,0,14,1,10,7,0.839286,100,0,0.958333,2,10.5,1,'0'
4,0,1,0,1,2,0.5,583,0,0.97619,0,193,1,'0'
1,0,17,56,0,10,0.777778,106,0,0,1,9.1,2,'0'
3,11,101,17,6,10,0.821429,280,2,0.933333,0,17.533333,1,'0'
3,0,8,0,10,8,0.428571,164,1,0.965517,5,19.375,16,'0'
2,1,1,24,29,2,2,213,0,0.98913,0,105.5,5,'0'
3,0,4,0,14,4,0.5,233,1,0.9375,5,45.4,10,'0'
1,1,0,7,0,30,0.422414,933,0,0,0,29.966667,5,'0'
1,0,0,14,1,1,2,4,0,0,0,0,1,'0'
1,0,0,3,1,1,2,1,0,0,0,0,1,'0'
1,0,221,1,1,20,0.964286,327,1,0,0,13.681818,2,'1'
2,0,0,2,5,10,0.111111,58,1,0.689655,1,4.7,1,'0'
1,0,3,5,3,3,2,3,0,0,0,0,1,'0'
4,0,1,0,1,2,0.5,314,0,0.97619,0,103.333333,1,'0'
3,3,0,10,9,7,0.416667,146,2,0.934211,4,19.571429,3,'0'
4,1,40,1,15,13,0.638889,352,3,0.946903,11,25.846154,2,'0'
3,0,1,1,3,2,2,13,0,0.97619,1,5.5,1,'0'
1,0,8,0,12,4,0.74026,683,1,0,0,83,18,'0'
2,0,0,1,4,4,0,34,0,0.75,0,5.6,1,'0'
1,2,470,7,5,23,0.956012,371,2,0,0,10.25,5,'1'
4,0,0,0,18,3,0,108,2,0.979592,14,34.333333,1,'0'
3,0,6,3,25,7,0.809524,279,3,0.895522,5,33.125,7,'0'
2,0,0,1,6,2,0,23,1,0.923077,0,10,2,'0'
3,0,0,2,0,4,0.333333,40,0,0.944444,1,8.75,2,'0'
3,0,3,1,25,2,2,245,0,0.965517,4,80.666667,15,'0'
1,0,21,2,2,7,2,7,0,0,0,0,1,'0'
7,0,5,0,26,6,0.6,289,0,0.95935,8,46.833333,4,'0'
1,2,71,4,5,20,0.706349,827,4,0,1,36.045455,16,'0'
3,0,1,1,3,2,2,13,0,0.97619,1,5.5,1,'0'
1,0,1,3,0,2,2,10,0,0,0,0,1,'0'
3,0,8,3,8,7,0.714286,137,0,0.844444,8,15.625,3,'1'
4,0,1,0,8,2,2,44,0,0.979592,6,21,1,'0'
2,0,0,1,2,13,0.083333,369,1,0.5,0,27.307692,2,'0'
4,0,1,0,12,2,2,26,0,0.989691,4,12,1,'0'
3,0,16,6,6,9,0.75,79,3,0.960784,2,7.444444,1,'0'
4,0,1,0,1,2,0.5,499,0,0.97619,0,165,1,'0'
1,0,2129,6,44,72,0.868056,3012,5,0,0,35.536585,4,'0'
6,0,1,0,7,2,2,70,0,0.984615,6,34,1,'0'
2,2,3,4,1,3,2,10,0,0.942857,0,2.333333,1,'0'
4,0,2,2,7,4,0.333333,151,1,0.981308,2,28.6,1,'0'
1,0,12,5,2,8,0.625,453,0,0,0,49,7,'0'
1,0,0,4,1,3,0.5,133,0,0,0,42,1,'0'
5,0,1,1,7,2,2,57,0,0.995327,1,27.5,1,'0'
4,8,6,9,5,3,2,94,0,0.985915,1,22.5,1,'0'
1,0,57,1,3,16,0.784722,395,0,0,0,19.368421,3,'1'
4,0,10,3,7,5,2,62,0,0.9819,7,11.4,3,'1'
4,0,0,35,0,3,0,22,0,0.944444,0,6,1,'0'
4,0,15,7,11,6,1,80,0,0.9819,8,12.166667,1,'0'
4,0,0,3,12,6,0.166667,156,1,0.931034,17,21.142857,2,'0'
2,0,6,0,6,11,0.602273,245,4,0.5,5,18.75,3,'0'
4,0,1,0,6,2,2,73,0,0.979592,6,35.5,1,'0'
4,0,1,0,6,2,2,30,0,0.979592,6,14,1,'0'
5,0,20,1,21,9,0.6875,586,1,0.965812,10,63.888889,1,'1'
2,0,0,1,5,8,0.607143,369,2,0.555556,6,39.222222,6,'1'
4,0,581,1,19,28,0.869779,1628,1,0.717557,18,41.552632,42,'1'
1,0,5191,0,13,96,0.943807,1853,8,0,0,15.627273,10,'0'
3,0,0,1,39,11,0.333333,836,2,0.865854,8,68.416667,18,'0'
1,0,0,5,0,0,2,14,0,0,0,0,0,'0'
4,0,0,0,0,1,2,11,0,1,0,7,0,'0'
3,0,1,1,3,2,2,16,0,0.97619,1,7,1,'0'
4,0,0,0,0,1,2,4,0,1,0,3,0,'0'
5,0,19,5,18,16,0.75,244,2,0.858333,14,12.333333,3,'0'
3,0,4,1,14,4,0.5,319,1,0.9375,5,62.6,13,'0'
2,0,2163,25,25,33,0.941327,1340,6,0.197674,1,17.478873,7,'1'
1,0,0,1,0,5,0.5,41,0,0,0,6.8,1,'0'
2,0,0,3,5,1,2,10,0,0,0,9,0,'0'
2,0,190,18,30,19,2,353,0,0.634615,4,16.65,8,'1'
2,0,3,1,2,0,2,24,0,0.5,0,7,2,'0'
4,0,4,1,14,4,0.5,38,0,0.947368,8,6.4,1,'0'
4,0,1,2,20,2,2,137,0,0.987013,3,67.5,9,'0'
5,0,0,1,6,7,0,115,0,0.978417,14,15.285714,1,'0'
2,0,28,1,14,7,2,82,0,0.825,3,9.25,2,'0'
5,0,1,0,4,2,2,12,0,0.982143,7,5,1,'0'
2,0,0,4,10,8,0.125,212,1,0.789474,7,22.444444,7,'0'
1,0,2,1,9,4,0.5,68,1,0,0,12.2,1,'1'
5,0,3,0,12,3,2,50,0,0.99,5,15.666667,1,'0'
3,2,0,3,0,1,2,5,0,1,0,4,0,'0'
1,3,91,5,4,7,0.811688,824,3,0,0,52.466667,14,'0'
4,0,1,0,10,2,2,87,0,0.979592,7,42.5,1,'0'
1,2,196,36,8,17,0.975,299,1,0,0,12.761905,10,'1'
1,0,1,0,0,2,0.5,44,0,0,0,12.666667,2,'0'
4,0,0,3,3,2,0,25,0,0.987342,3,11,2,'0'
1,0,0,1,1,1,2,1,0,0,0,0,1,'0'
5,0,1,0,7,2,2,21,0,0.982456,6,9.5,1,'0'
4,2,0,2,13,66,0.920622,2509,2,0.5,25,25.273684,11,'1'
3,0,1,1,4,2,2,9,0,0.97561,1,3.5,1,'0'
3,0,68,6,64,20,0.765,1066,4,0.78022,8,49.285714,12,'0'
1,0,0,2,1,3,0.75,100,1,0,0,31.666667,4,'0'
1,0,4,4,2,3,0.75,44,1,0,0,7.4,1,'0'
2,0,4,1,5,5,0.5,22,0,0.555556,0,3.2,1,'0'
3,0,201,5,10,24,0.783654,697,0,0.444444,2,24.518519,3,'1'
1,0,3,13,0,11,0.294118,860,0,0,0,46.388889,8,'0'
1,0,0,0,0,1,2,1,0,0,0,0,1,'0'
4,0,0,1,1,1,2,5,0,1,0,4,0,'0'
4,0,10,0,19,5,2,85,0,0.96,12,16,2,'0'
1,0,10,41,0,5,2,5,0,0,0,0,1,'0'
4,8,1030,28,22,45,0.851307,658,4,0.616,9,11.423077,10,'1'
1,0,134,1,1,21,0.716667,292,0,0,0,12.761905,7,'1'
6,0,0,1,30,8,0.285714,253,2,0.933962,5,30.375,8,'0'
2,0,153,18,30,17,2,268,0,0.66,4,13.888889,4,'0'
1,0,6,4,2,4,2,4,0,0,0,0,1,'0'
1,0,1,1,0,2,2,9,0,0,0,3.5,1,'0'
4,6,287,121,15,26,0.978462,414,1,0.795082,2,13.923077,4,'0'
1,0,0,0,1,1,2,1,0,0,0,0,1,'0'
4,0,0,0,19,4,0.666667,84,2,0.969697,8,19.5,2,'0'
2,0,0,1,4,9,0.625,106,2,0.555556,5,10.444444,3,'0'
5,3,0,6,1,0,2,4,0,1,0,3,0,'0'
4,2,257,8,15,23,0.807692,451,4,0.747573,4,15.407407,5,'1'
