@relation mydataframe
@attribute ck_oo_numberOfPrivateMethods numeric
@attribute LDHH_lcom numeric
@attribute LDHH_fanIn numeric
@attribute WCHU_numberOfAttributes numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute CvsEntropy numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute WCHU_numberOfPrivateMethods numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil. numeric
@attribute ck_oo_wmc numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPrivateAttributes numeric
@attribute CvsLogEntropy numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_fanOut numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute ck_oo_fanIn numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute ck_oo_lcom numeric
@attribute ck_oo_rfc numeric
@attribute LDHH_wmc numeric
@attribute WCHU_fanOut numeric
@attribute WCHU_lcom numeric
@attribute ck_oo_numberOfAttributes numeric
@attribute numberOfHighPriorityBugsFoundUntil. numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute numberOfMajorBugsFoundUntil. numeric
@attribute WCHU_numberOfPublicMethods numeric
@attribute LDHH_dit numeric
@attribute WCHU_numberOfMethodsInherited numeric
@attribute LDHH_fanOut numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute bug {'1','0'}
@data
0,0.000558,0,0,0.021588,0,0,19.5164,0,1.01,0,0,4,3,0.000531,0,0.470371,0,0,4,0,1,0,0,0,0,25,0.000681,0,1.01,0,0,0,4,0,0,0,0,0,1,'0'
0,0,0,1.01,0.009892,0,0.001798,12.0518,0,0,0,0,2,94,0,1.01,0.290484,0,0,11,50,4,4,0,0,703,162,0.001098,1.01,0,14,0,0,2,0,0,1.04,0.00073,185,20,'0'
0,0,0.003082,0,0.002544,0,0,5.99114,0,0,0,0,0,1,0,0,0.161093,0,0,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,1.01,0,8,2,'0'
0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,0,0,0,0.004782,3,14,1,0,0,0,10,8,0,0,0,3,1,0,0,0,0,0,0,11,5,'0'
0,0.000779,0,0,0.118675,0.000905,0,20.8651,0,0,9,0,4,141,0,0,0.502158,0,0.043647,13,412,5,0,0,1.02,36,142,0.007009,0,1.08,9,0,0,4,1.01,0.001409,5.06,0,94,9,'0'
0,0,0,1.01,0.005117,0,0.018394,2.35255,0,0,0,0,0,16,0,1.01,0.210663,0,0,8,69,8,5,0,0,66,31,0,1.01,0,4,1,4,0,0,0,0,0.006522,304,11,'0'
0,0,0,2.02,0.002678,0,0,3.83244,0,0,0,1,0,0,0,0,0.088394,0,0,0,0,1,0,0,0,1,2,0,0,0,5,0,0,0,0,0,1.01,0,8,2,'0'
0,0.000845,0,0,0.00068,0.000847,0,1.5732,0,0,1,0,0,18,0,0,0.037167,0,0.035941,1,396,7,1,0,0,28,26,0.000895,0,1.07,1,0,0,0,1.01,0,8.1,0,102,8,'0'
0,0.004093,0.001726,1.02,0.031635,0.005861,0,12.3914,0.000516,0,2,0,0,8,0,0,0.333686,0,0,0,0,1,4,0,0,28,8,0.005082,0,3.27,2,0,0,0,3.06,0,1.01,0,8,8,'1'
1,0.001008,0,1.03,0.006385,0.001642,0.001003,5.12326,0.000522,1.01,0,0,0,7,0.001485,1.01,0.124861,0,0,2,0,1,1,0,0,1,16,0.001592,1.02,1.02,0,0,0,0,1.02,0,1.01,0.001237,8,1,'0'
0,0,0,0,0.012972,0,0,6.65039,0,0,0,0,0,1,0,0,8.07985,0,0.006779,0,3,4,1,0,1.02,0,1,0,1.01,0,0,1,0,0,0,0.008262,4.13,0.006321,38,1,'1'
0,0,0,0,0.002208,0,0,4.07501,0,0,4,0,0,23,0,0,0.097153,0,0,3,0,1,2,0,0,55,24,0,0,0,5,0,0,0,0,0,1.01,0,8,11,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,0,0,0,1,0,0,0.097153,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,1,0,0,0,2.03,0,23,1,'0'
4,0.000586,0.002281,1.01,0.012385,0,0,7.49694,0,0,0,0,0,29,0,0,0.178442,0,0.016601,18,15,3,2,0,0,28,77,0.001225,1.01,1.08,2,0,0,0,0,0,2.04,0.001336,17,0,'1'
0,0.002187,0,1.02,0.012496,0.001421,0.000634,8.43242,0,0,0,0,0,36,0,1.01,8.14429,0,0.001421,8,97,3,1,0,0,210,78,0.002646,1.01,3.87,9,0,4,0,2.02,0,3.03,0.000893,84,8,'0'
2,0.002852,0.018756,3.03,0.135188,0.003116,0,14.8368,0.001805,0,12,0,1,110,0,0,0.367434,0,0.015435,15,274,3,44,0,1.02,105,93,0.00559,0,1.14,12,1,0,3,1.01,0.001409,9.09,0,103,11,'1'
0,0,0,0,0.002208,0,0,4.07501,0,0,0,0,0,11,0,0,0.097153,0,0.048429,4,394,6,1,0,1.02,3,17,0,0,0,0,0,0,0,0,0.001409,5.06,0,102,3,'0'
8,0.002236,0,1.02,0.231448,0,0.002621,23.0053,0,3.08,0,0,0,162,0.005907,1.02,8.50601,0,0.012734,29,39,1,1,0,0,136,215,0.010391,6.16,1.7,2,0,2,1,0,0,1.01,0.005572,8,3,'1'
0,0,0,0,0.001941,0,0,5.52652,0,0,2,0,0,1,0,0,0.128104,0,0.037916,2,43,4,1,0,1.02,0,5,0,0,0,2,0,0,0,0,0.001409,4.06,0,33,1,'0'
0,0.000537,0,1.01,0.001999,0,0.000741,3.97098,0,0,3,0,0,17,0,1.01,0.093454,0,0.002997,2,3,2,1,0,1.01,21,32,0.000773,0,1.07,10,1,7,0,0,0.001409,2.05,0,21,6,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,0,0,0,204,0,0,0.097153,0,0,0,0,1,0,0,0,20706,204,0,0,0,0,0,0,0,0,0,1.01,0,212,204,'1'
0,0,0,0,0.001369,0.001945,0,2.95593,0,0,1,1,0,15,0,0,0.081809,0,0,2,0,1,2,0,0,15,10,0,0,0,1,0,0,0,1.01,0,0,0,8,1,'0'
0,0.000617,0,1.03,0.014525,0.000844,0.000634,5.59671,0,0,0,0,0,31,0,1.02,8.07898,0,0.001421,4,95,2,3,0,0,136,60,0.000839,0,1.45,8,0,5,0,1.02,0,2.02,0,68,7,'0'
4,0.014952,0.001588,0,0.051928,0.001069,0,20.8131,0,3.03,1,1,0,38,0.014529,0,8.43925,0,0.012208,13,48,1,4,0,0,66,54,0.024617,2.05,4.39,6,0,0,2,1.01,0,1.01,0.001965,11,5,'1'
0,0.005628,0,0,0.041441,0.008311,0,21.1753,0,0,3,2,1,17,0,0,8.45532,1.02,0.043647,7,385,6,2,0.001203,1.02,10,29,0.009128,4.04,1.05,3,1,0,3,1.01,0.001409,8.1,0.013031,95,2,'0'
2,0.000828,0,1.01,0,0,0,0,0.000358,0,3,0,1,138,0,0,0,0,0.039883,24,402,2,1,0,1.02,1711,308,0.00523,0,3.71,11,0,8,1,0,0.001409,1.01,0,8,15,'0'
0,0,0,0,0.004082,0,0,8.43242,0,0,0,0,0,23,0,0,8.14429,0,0.001421,6,95,2,1,0,0,105,50,0,0,0,5,0,3,0,0,0,2.02,0,68,5,'0'
0,0.000617,0.001863,1.02,0.007074,0.000844,0,8.12446,0,0,0,2,0,9,0,0,8.09027,0,0.004526,2,8,5,5,0,1.01,45,13,0.000839,1.01,1.46,3,1,0,0,1.02,0.004395,3.06,0.000893,37,7,'0'
0,0.001159,0.000496,1.01,0.016369,0.001501,0,14.1927,0.000513,0,8,0,1,34,0,0,0.345974,0,0,9,0,2,2,0,0,45,51,0.001541,0,2.17,8,0,0,1,2.02,0,2.02,0,18,9,'0'
0,0,0,1.07,0.063283,0,0.000572,15.5832,0,0,2,0,1,3,0,1.07,0.375188,0,0,7,0,1,0,0,0,1,28,0,0,0,10,1,8,1,0,0,0,0,0,1,'0'
0,0.015528,0,3.06,0.049255,0,0,21.8696,0,0,3,2,2,283,0,0,8.49381,0,0.039883,9,402,2,3,0,1.02,3828,340,0.017703,0,22.01,25,2,0,2,0,0.001409,1.01,0,8,24,'0'
1,0.001617,0,1.02,0.068647,0.002399,0,13.8528,0,1.01,1,0,0,15,0.001081,0,8.23988,1.02,0.01461,2,61,5,1,0.001421,1.01,10,10,0.003356,1.03,1.04,2,0,0,0,1.01,0,11.19,0.001961,49,1,'1'
0,0,0.001278,0,0.019735,0,0,12.5452,0,0,2,0,0,18,0,0,8.22094,0,0.039372,6,49,4,6,0,1.02,15,18,0.011528,2.02,0,2,0,0,2,0,0.001409,24.4,0.009261,148,2,'0'
0,0.000845,0,0,0.00189,0.000847,0,3.58431,0,0,2,0,0,22,0,0,0.085172,0,0.035941,3,406,7,1,0,0,36,31,0.000895,0,1.15,2,0,0,0,1.02,0,7.09,0,115,8,'0'
0,0,0.002782,1.01,0.003351,0,0,6.78585,0.000535,0,1,0,0,27,0,0,8.10751,0,0.001421,4,95,3,4,0,0,91,53,0,0,0,6,0,3,0,0,0,2.02,0,76,5,'0'
0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,5,0,2,1,0,0,78,32,0,0,0,3,1,1,0,0,0,0,0,5,12,'0'
0,0,0,0,0.000678,0,0,1.06049,0,0,0,1,0,13,0,0,0.031629,0,0.001101,3,13,3,3,0,0,10,12,0,0,0,1,0,0,0,0,0,2.06,0,55,1,'0'
0,0,0.000838,0,0.003978,0,0,7.95479,0,0,0,0,0,33,0,0,8.1394,0,0.001421,3,95,3,1,0,0,136,62,0,0,0,7,0,4,0,0,0,3.05,0,73,7,'0'
0,0,0.001803,2.03,0.033741,0,0.005029,16.1076,0,0,3,0,2,53,0,2.02,0.415625,0,0,6,0,1,19,0,0,78,52,0.008592,1.01,0,7,1,0,4,0,0,1.01,0.00073,8,13,'1'
0,0,0.001137,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,1,3,0,0,1,18,0,0,0,1,0,1,0,0,0,0,0,8,2,'1'
0,0.000829,0.000857,1.03,0.008144,0.001022,0.000583,2.64277,0,0,0,0,0,7,0,1.03,0.062975,0,0,3,1,3,1,0,0,6,9,0.001011,1.01,1.05,5,0,5,0,1.02,0,2.06,0.000938,31,4,'0'
3,0.006462,0.000725,9.28,0.453537,0.00383,0.002253,24.6219,0.006846,6.09,44,0,1,1169,0.005552,4.1,8.49782,0,0.001092,9,114,1,0,0,0,1225,374,0.037936,6.06,16.7,107,1,2,3,4.07,0,1.01,0.008359,20,41,'0'
0,0,0,1.01,0.006556,0,0,14.5866,0.000882,0,2,0,0,9,0,0,8.2573,0,0.043647,3,397,7,1,0,1.02,3,20,0.009993,0,0,2,0,0,0,0,0.001409,6.09,0,124,3,'0'
10,0.005339,0.004423,4.15,0.402768,0.00378,0.002144,27.2818,0.000741,7.21,8,0,1,396,0.006664,4.08,8.63408,0,0,27,5,1,21,0,0,946,567,0.021495,7.15,15.31,43,2,8,4,5.09,0,5.1,0.017114,21,28,'1'
0,0,0,0,0.001519,0,0,2.50744,0,0,0,0,0,12,0,0,0.056104,0,0,4,18,2,4,0,0,10,15,0,0,0,1,0,0,0,0,0,4.04,0,62,4,'0'
11,0.014811,0.018328,32.47,1.45113,0.014344,0.00159,45.5046,0.001623,4.12,0,0,6,217,0.00392,1.01,9.15563,0,0,40,0,1,25,0,0,2080,413,0.078402,12.2,22.31,182,7,2,17,9.13,0,0,0.0422,0,54,'1'
3,0.005628,0,1.01,0.012422,0.008311,0,14.2157,0.000397,0,6,1,0,45,0,0,8.24891,0,0.044263,6,153,2,11,0,1.02,136,54,0.008624,1.01,1.31,6,0,0,1,1.01,0.001409,2.02,0.000508,16,7,'1'
0,0,0,0,0.002908,0,0,5.11213,0,0,0,0,0,4,0,0,0.124162,0,0.01888,1,61,4,1,0,0,3,7,0,0,0,1,0,0,0,0,0,10.15,0,45,1,'1'
0,0,0,0,0.053422,0,0,8.29601,0,0,0,0,1,89,0,0,0.198308,0,0.006257,11,45,2,4,0,0,91,120,0.003525,1.01,0,6,1,0,3,0,0,0,0.000909,4,12,'0'
1,0,0,0,0.002208,0,0,4.07501,0,0,1,0,0,8,0,0,0.097153,0,0,2,3,3,1,0,0,3,7,0,0,0,1,0,0,0,0,0,2.04,0,17,1,'0'
0,0.001881,0.001542,2.02,0.053829,0.000627,0.012497,13.1836,0,2.02,0,0,0,40,0.001358,3.03,8.27278,0,0.015088,11,5,3,2,0,0,36,60,0.013828,1.05,3.26,1,0,1,1,1.01,0,4.08,0.012709,21,9,'0'
0,0.004874,0,1.04,0.029343,0.005736,0,10.4389,0.006873,0,8,1,0,56,0,0,8.14818,0,0,7,4,2,1,0,0,55,36,0.00937,1.01,1.1,8,2,0,0,1.01,0,3.05,0.005297,33,11,'0'
4,0.002533,0.004257,1.01,0.062498,0.003114,0.000741,17.9172,0,1.01,0,1,1,86,0.000822,1.1,8.31555,1.01,0.004831,20,3,2,4,0.000828,1.01,276,135,0.002847,1.03,2.66,9,1,0,1,2.03,0.001409,3.06,0.001119,25,17,'0'
0,0,0,1.02,0.026094,0,0,1.29357,0.01,0,3,0,0,39,0,0,0.153793,0,0,9,4,2,7,0,0,78,36,0.020305,1.02,0,10,1,4,1,0,0,0,0.012545,33,13,'0'
0,0,0,0,0.003941,0,0,6.84846,0,0,0,0,0,30,0,0,8.10896,0,0.001421,7,99,4,2,0,0,171,63,0,0,0,9,0,3,0,0,0,3.03,0,100,3,'0'
0,0,0.014496,1.01,0.006711,0.012242,0,1.15638,0.004634,0,0,0,0,3,0,0,0.094512,0,0.014899,1,84,2,2,0,0,3,5,0,0,0,0,1,0,1,1.01,0,1.05,0,16,1,'0'
0,0,0,0,0.001556,0,0,4.08525,0,0,0,0,0,1,0,0,0.096569,0,0.001441,0,6,4,5,0,0,0,1,0,0,0,1,0,1,0,0,0,2.03,0,27,1,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,2,0,0,5,0,0,0.097153,0,0,2,14,1,1,0,0,6,9,0,0,0,2,0,0,0,0,0,1.01,0,11,4,'0'
1,0,0.001008,0,0.020318,0,0,6.34778,0,0,4,0,0,36,0,0,0.14946,0,0,1,0,1,1,0,0,36,23,0.001767,0,0,4,0,0,0,0,0,1.01,0,8,8,'0'
10,0.002339,0,2.05,0.185896,0.000844,0.000634,32.2544,0.000882,2.02,11,0,0,229,0.001243,1.04,8.78565,0,0.002306,46,13,2,3,0,0,120,265,0.027029,6.1,5.13,22,3,11,2,1.03,0,8.1,0.00905,19,6,'1'
3,0.001092,0.002385,1.01,0.190234,0.00073,0.000774,31.4543,0.001476,2.05,5,0,5,105,0.001463,1.01,8.7335,0,0.041456,13,38,4,2,0,1.02,66,81,0.031324,5.05,2.45,7,0,2,12,1.01,0.001409,6.12,0.006797,80,9,'0'
0,0,0,0,0.002497,0,0,5.41657,0,0,1,0,0,2,0,0,0.127553,0,0.041456,0,37,3,1,0,1.02,1,2,0,0,0,1,0,0,0,0,0.001409,7.13,0,72,2,'1'
0,0,0,0,0.002208,0,0,4.07501,0,0,1,0,0,8,0,0,0.097153,0,0,2,8,2,1,0,0,3,8,0,1.01,0,1,0,0,0,0,0,2.03,0.000909,19,3,'0'
0,0.00596,0.018039,0,0.203669,0.00896,0,27.3456,0,0,6,1,1,117,0,0,0.68651,1.01,0.039372,9,49,4,20,0.000295,1.02,253,101,0.025445,5.06,6.75,6,0,0,7,5.06,0.001409,24.4,0.010454,148,22,'1'
5,0.007199,0.000798,3.05,0.238687,0,0.008944,24.2091,0,2.09,0,0,1,51,0.005679,3.04,8.55521,0,0.009493,16,3,2,5,0,2.03,15,57,0.014475,4.14,2.86,13,4,5,2,0,0.009671,2.05,0.012159,12,1,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,0,0,0,3,0,0,0.097153,0,0,2,1,3,1,0,0,3,5,0,0,0,2,0,2,0,0,0,1.01,0,31,2,'0'
0,0,0.00319,0,0.001905,0,0,2.96868,0,0,0,6,0,8,0,0,0.066709,0,0.001421,1,95,2,6,0,0,28,10,0,0,0,0,0,0,0,0,0,2.02,0,68,7,'0'
0,0.00113,0,3.03,0.075681,0,0,10.0703,0,0,0,1,0,34,0,0,0.235473,0,0,5,0,1,3,0,0,136,31,0.003882,1.01,3.58,21,0,1,1,1.01,0,1.01,0.000938,8,1,'1'
0,0.012248,0.001903,2.02,0.069739,0.015395,0.001798,29.2704,0,0,0,1,2,177,0,1.01,8.66042,0,0.021127,43,81,7,10,0,0,1540,367,0.02036,8.1,17.25,5,3,4,5,11.12,0,14.4,0.009986,263,51,'1'
0,0,0.000704,0,0.004139,0,0,7.95479,0,0,0,0,0,19,0,0,8.1394,0,0.001421,2,95,2,4,0,0,105,40,0,0,0,24,0,3,1,0,0,2.02,0,68,5,'0'
0,0,0,0,0.003932,0,0,6.84846,0,0,0,0,0,26,0,0,8.10896,0,0.001421,6,95,3,12,0,0,91,49,0,0,0,7,0,5,0,0,0,2.02,0,75,4,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,0,0,0,1,0,0,0.097153,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,0,2.03,0,23,1,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,0,0,0,5,0,0,0.097153,0,0,2,1,3,1,0,0,3,6,0,0,0,3,0,3,0,0,0,1.01,0,31,3,'0'
2,0,0.002352,0,0.025133,0,0,10.0996,0,0,0,1,1,30,0,0,8.20471,0,0,9,3,3,4,0,0,45,37,0.016925,3.05,0,3,1,0,2,0,0,2.04,0.022066,17,2,'0'
0,0,0,0,0.006202,0,0,9.08309,0,0,1,0,0,12,0,0,8.1338,0,0,7,0,2,3,0,0,28,25,0.007663,0,0,1,0,0,0,0,0,2.02,0,18,8,'0'
0,0,0.002688,0,0.023114,0.001729,0,16.4146,0,0,0,0,0,33,0,0,8.29439,0,0,18,0,1,2,0,0,28,78,0.000694,3.03,0,10,0,10,3,1.02,0,1.01,0.002753,8,8,'0'
0,0,0.001448,0,0.002208,0,0,4.07501,0,0,0,17,0,5,0,0,0.097153,2.02,0,3,0,2,4,0.000828,0,6,10,0,0,0,4,0,3,0,0,0,1.01,0,22,4,'0'
0,0,0,0,0.002307,0,0,5.19438,0,0,0,0,0,4,0,0,0.123602,0,0.043647,1,387,3,1,0,1.02,1,7,0,0,0,0,0,0,0,0,0.001409,2.02,0,32,2,'0'
0,0,0.001269,0,0.004789,0,0,6.61079,0,0,1,4,0,73,0,0,0.165248,0,0.043647,1,411,4,4,0,1.02,300,63,0,0,0,1,0,0,0,0,0.001409,5.06,0,69,25,'0'
0,0,0,0,0.056683,0,0,18.3087,0,0,0,0,0,1,0,0,8.3227,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1.01,0,8,0,'0'
0,0,0,0,0.009607,0,0,1.28741,0,0,0,0,0,9,0,0,0.036648,0,0,2,2,3,1,0,0,21,13,0,0,0,1,0,1,0,0,0,1.03,0,17,7,'0'
0,0,0,0,0.016439,0,0,7.70736,0,0,0,0,0,3,0,0,8.13295,0,0,0,0,1,2,0,0,3,3,0,0,0,5,0,2,0,0,0,1.02,0,16,3,'0'
0,0.002002,0,0,0.385448,0.002091,0,34.4998,0,0,10,3,5,331,0,0,8.8816,0,0.043647,22,387,6,2,0,1.02,435,334,0.049078,5.05,4.1,10,0,0,7,3.04,0.001409,4.05,0.011574,94,25,'1'
0,0,0,0,0.004318,0,0,9.21692,0,0,0,0,1,22,0,0,8.16785,0,0.001421,5,95,3,1,0,0,91,48,0,0,0,5,0,3,1,0,0,2.02,0,73,4,'0'
0,0,0,0,0.004508,0.008101,0,9.21502,0,0,0,1,0,22,0,0,8.12236,1.01,0.004526,11,52,4,1,0.01184,0,55,34,0.008703,0,0,0,1,0,0,1.01,0,9.16,0,127,6,'0'
0,0,0,0,0.003978,0,0,7.95479,0,0,0,0,0,27,0,0,8.1394,0,0.001421,4,95,2,1,0,0,91,53,0,0,0,5,0,3,0,0,0,2.02,0,68,5,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,0,0,0,1,0,0,0.097153,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1.01,0,8,2,'0'
37,0.003922,0,3.03,0.173283,0.00149,0.000936,27.8882,0,4.05,2,0,0,218,0.002847,2.02,0.695483,0,0,32,0,2,4,0,0,2080,547,0.012166,5.06,9.89,12,1,9,2,1.02,0,1.01,0.004238,13,6,'1'
1,0.000794,0.000422,0,0.006889,0.001029,0,7.70056,0,0,0,0,0,22,0,0,0.194169,0,0,2,0,1,0,0,0,6,16,0.001061,0,1.09,3,1,0,0,1.02,0,1.01,0,8,3,'0'
0,0.000617,0,1.02,0.003827,0.000844,0,5.33714,0.000689,0,0,0,0,0,0,0,0.1256,0,0,0,7,4,1,0,0,0,1,0.000839,0,1.06,0,0,0,0,1.03,0,4.07,0,28,1,'0'
1,0,0,1.01,0.056038,0,0.001522,26.4203,0.003988,0,1,1,0,61,0,1.01,8.60706,0,0.043647,12,387,7,2,0,1.02,45,91,0.024073,0,0,1,1,0,4,0,0.001409,8.1,0,101,8,'1'
0,0,0,0,0.012036,0,0,7.32455,0,0,0,0,0,16,0,0,0.188793,0,0.044275,9,384,4,0,0,1.02,6,28,0.001073,1.02,0,0,0,0,0,0,0.001409,2.02,0.001102,41,4,'0'
13,0.001856,0.011272,3.03,0.252129,0.001776,0.000572,41.9795,0.001371,3.04,2,0,6,310,0.013913,2.02,9.09051,0,0.015435,25,262,2,17,0,1.02,325,362,0.054813,2.02,3.76,2,1,0,18,3.03,0.001409,7.07,0.003258,80,6,'1'
0,0.000558,0,0,0.005267,0,0,10.8068,0,0,0,0,0,20,0,0,8.20424,0,0.001421,4,95,3,1,0,0,78,42,0.000681,0,1.12,3,0,2,0,0,0,3.05,0,73,3,'0'
0,0.007457,0,2.02,0.0185,0.011451,0.001639,12.7841,0,0,0,0,0,44,0,2.02,8.20887,0,0.001073,6,5,3,0,0,0,231,61,0.012079,1.01,4.79,8,0,8,2,4.04,0,5.05,0.00097,27,22,'0'
0,0.003969,0.002476,2.02,0.074792,0.006558,0.001075,19.5989,0.000689,0,4,0,1,49,0,2.02,0.491817,0,0.042401,12,61,6,9,0,1.02,105,100,0.008513,3.05,4.5,6,0,1,1,4.04,0.001409,25.5,0.00193,207,14,'0'
1,0.009224,0.014496,1.03,0.037675,0.012242,0.011228,1.84991,0,0,5,0,0,86,0,1.01,0.193852,0,0.014899,4,119,2,4,0,0,171,62,0.031085,0,1.66,15,2,1,2,1.02,0,1.05,0,16,11,'0'
1,0,0.001483,0,0.002453,0,0,4.07501,0,0,3,0,1,14,0,0,0.097153,0,0,1,0,1,1,0,0,6,11,0,0,0,3,1,0,1,0,0,1.01,0,8,3,'0'
0,0,0,0,0.001628,0,0,1.29561,0,0,3,0,0,5,0,0,0.038272,0,0.03768,0,413,4,1,0,0,6,4,0.001824,0,0,3,1,0,0,0,0,4.05,0,67,1,'0'
1,0.014522,0.042597,5.07,0.159701,0.01841,0.007221,25.9159,0.001774,1.01,0,0,1,120,0.008771,2.02,8.61679,0,0.016601,17,12,1,44,0,0,171,143,0.020653,3.07,7.3,6,1,2,2,6.08,0,1.01,0.021478,8,18,'1'
0,0,0,1.01,0.003174,0,0.018394,1.29357,0,0,0,0,0,43,0,1.01,0.153793,0,0,13,15,3,2,0,0,91,46,0,0,0,4,1,4,0,0,0,0,0,70,1,'0'
0,0.005719,0,1.08,0.087499,0.005736,0,19.1826,0.006873,0,13,0,1,102,0,0,8.50193,0,0.005043,12,118,2,2,0,1.01,136,74,0.02135,1.01,2.58,13,2,0,1,1.04,0.001409,3.05,0.000798,33,17,'0'
3,0,0,0,0.031907,0,0,7.58317,0,0,2,0,0,11,0,0,0.197202,0,0,1,0,2,1,0,0,36,21,0,0,0,3,0,1,0,0,0,1.01,0,11,5,'0'
0,0.009224,0,0,0.003356,0.012242,0,1.15638,0,0,5,0,0,8,0,0,0.094512,0,0,2,388,3,2,0,0,6,8,0.010781,1.02,1.03,5,1,0,1,1.01,0,0,0.012709,33,4,'0'
1,0.001372,0.019441,0,0.007107,0.001601,0,8.23039,0,0,4,0,0,45,0,0,0.198222,0,0,2,0,1,23,0,0,55,31,0.002412,0,1.1,4,0,0,1,1.01,0,1.02,0,16,10,'0'
0,0,0,0,0.003978,0,0,7.95479,0,0,0,0,0,16,0,0,8.1394,0,0.001421,1,95,3,1,0,0,66,33,0,0,0,3,0,2,0,0,0,3.05,0,73,3,'0'
0,0,0,0,0.010994,0,0,6.63337,0,0,0,0,0,9,0,0,8.05657,0,0,7,0,1,1,0,0,6,20,0.002427,1.01,0,2,0,2,0,0,0,1.01,0.001844,8,4,'0'
0,0,0.010167,2.03,0.044342,0,0,15.2779,0.003973,0,6,0,1,25,0,0,0.391872,0,0.042633,12,381,4,1,0,1.02,28,70,0.004726,3.03,0,7,1,0,1,0,0.001409,3.04,0.003317,46,8,'0'
0,0.00239,0,2.12,0.125401,0.001164,0,21.493,0.000875,1.02,3,0,1,9,0.001233,0,8.4842,0,0.000546,7,19,3,0,0,1.01,6,21,0.004935,1.13,5,3,2,0,4,1.01,0,5.09,0.001104,67,3,'1'
0,0,0,0,0.005726,0,0,9.78677,0,0,0,0,0,12,0,0,8.13472,0,0.01888,1,61,5,0,0,0,36,14,0,0,0,4,0,0,0,0,0,10.15,0,49,5,'1'
0,0.002241,0.00118,4.05,0.04487,0.002984,0.002795,14.0643,0,0,0,0,0,58,0,3.04,0.34434,0,0.040557,2,563,2,2,0,1.01,190,31,0.007375,1.01,3.7,12,0,11,0,3.04,0.000461,3.05,0.000865,24,20,'0'
0,0.000794,0.000838,0,0.004743,0.001029,0,6.94335,0,0,0,0,0,6,0,0,0.162444,0,0.004526,1,69,8,3,0,0,10,8,0.001929,0,1.04,1,0,1,0,1.01,0,14.4,0,243,4,'0'
0,0.014098,0.014496,2.1,0.077729,0.017978,0,13.767,0.007509,0,20,0,0,139,0,0,8.30487,0,0.003806,10,119,3,5,0,0,231,81,0.022525,1.01,2.95,20,1,0,1,2.05,0,3.05,0.005297,40,22,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,0,0,0,1,0,0,0.097153,0,0,0,0,1,2,0,0,0,1,0,0,0,2,0,1,0,0,0,2.03,0,23,1,'0'
0,0.002989,0.001999,0,0.023224,0.004281,0,5.54249,0,0,0,0,0,0,0,0,0.156359,0,0,0,0,1,3,0,0,45,10,0,0,3.31,0,0,0,0,3.04,0,0,0,8,10,'0'
2,0,0,0,0.06931,0,0,1.29561,0,0,3,0,0,31,0,0,0.038272,0,0,4,0,1,1,0,0,36,30,0,0,0,3,0,0,0,0,0,0,0,16,7,'0'
0,0,0,0,0.02318,0,0,16.9073,0,0,2,0,0,83,0,0,0.434154,0,0.044485,15,426,5,1,0,1.02,6,118,0.002712,4.04,0,2,1,0,0,0,0.001409,5.07,0.004333,94,4,'1'
0,0,0,0,0.004967,0,0,6.60309,0,0,2,0,0,4,0,0,0.168035,0,0.043647,2,387,7,1,0,1.02,6,12,0,0,0,2,0,0,0,0,0.001409,8.1,0,101,2,'0'
0,0.007208,0,0,0.006544,0.008101,0,10.199,0,0,1,0,0,9,0,0,8.16479,0,0,3,11,2,1,0,0,6,10,0.007863,0,1.03,1,0,0,0,1.01,0,2.03,0,22,4,'0'
