@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
3,0,15,50,14,9,0.318182,156,0.333333,1,1,11.833333,4,'0'
5,0,4,4,4,3,0.333333,37,0.4,1,1,8,1,'0'
6,0,3,7,2,5,0.8,80,0.416667,0,0,11.666667,3,'0'
2,0,5,7,5,2,0.7,59,0.36,1,1,8.5,2,'1'
1,0,2,10,2,4,2,81,0.333333,0,0,15.2,1,'0'
5,2,6,3,1,3,1.5,17,0.777778,0,0,4.333333,0,'0'
1,0,52,630,34,33,2,342,0.138889,0,0,8.5,12,'1'
2,0,15,25,12,14,0.615385,109,0.27381,0,0,6.642857,3,'0'
1,0,5,0,1,1,2,1,1,0,0,0,1,'0'
1,0,16,1,4,1,2,23,0.5,0,0,10.5,1,'0'
1,0,4,0,2,2,0.5,33,0.666667,0,0,9,2,'0'
1,0,7,44,6,12,0.636364,239,0.240741,0,0,18.75,1,'0'
0,0,15,39,15,12,0.807692,157,0.230769,0,0,9.785714,8,'0'
0,0,8,1,7,2,0.5,41,0.75,0,0,12.333333,1,'0'
2,0,10,3,6,2,2,106,0.666667,1,3,34.333333,11,'1'
4,0,11,21,7,7,2,45,0.392857,3,4,5.428571,1,'0'
1,0,2,6,2,3,2,37,0.5625,0,0,8.25,2,'0'
0,0,3,1,3,2,2,14,0.666667,0,0,6,1,'0'
1,0,9,4,8,2,0.666667,113,0.666667,0,0,27,5,'0'
2,1,15,28,13,11,0.611111,120,0.241758,0,0,8,1,'0'
5,0,5,0,3,3,0.5,21,0.5,0,0,5.333333,1,'0'
2,0,7,1,7,2,2,48,0.6,1,1,23,4,'1'
1,0,5,6,5,4,2,18,0.75,0,0,3.5,1,'0'
2,0,21,73,20,10,0.755102,243,0.214286,1,1,14.733333,6,'0'
1,0,7,4,6,2,0.333333,68,0.5,0,0,15.75,1,'1'
3,0,31,99,31,10,0.814815,501,0.212963,1,1,24.894737,9,'0'
3,0,17,250,8,19,0.881988,238,0.223602,0,0,8.625,3,'0'
2,2,9,116,7,12,0.888889,180,0.178571,1,1,7.142857,4,'1'
4,0,3,1,3,1,2,12,0.666667,1,1,5,1,'0'
4,0,3,0,3,1,0,13,1,0,0,5,0,'0'
3,0,4,1,4,1,2,9,0.75,1,1,3.5,1,'1'
1,0,22,1,1,2,2,2,0.7,0,0,0,1,'0'
5,0,3,0,1,2,1,22,0.666667,0,0,9,1,'0'
1,0,8,2,7,2,0.5,131,0.777778,0,0,31.25,3,'1'
1,0,8,64,8,6,0.75,322,0.333333,0,0,23.538462,5,'0'
3,0,12,0,12,1,0.666667,108,0.291667,1,1,13.714286,1,'0'
2,0,3,3,1,3,2,12,0.666667,1,2,3,1,'0'
1,0,2,1,1,1,2,7,0.75,0,0,2.5,1,'0'
2,2,29,2017,26,53,0.882576,1285,0.096801,0,0,17.880597,6,'1'
1,0,22,47,20,9,0.75641,519,0.358974,0,0,35.642857,17,'1'
3,0,9,11,9,9,0.35,132,0.257576,1,2,10.818182,1,'0'
4,0,7,10,7,5,2,41,0.466667,2,3,7.2,1,'0'
3,0,3,3,3,2,2,30,0.666667,0,0,9,1,'0'
5,0,16,0,16,2,0.5,744,0.25,3,6,56,1,'0'
2,0,7,24,7,9,0.6875,78,0.407407,0,0,7.444444,1,'0'
1,0,34,0,3,1,2,1,1,0,0,0,1,'1'
2,0,2,4,1,4,0.333333,24,0.75,1,2,4.75,1,'0'
1,0,11,143,9,19,0.923611,135,0.169591,0,0,5.684211,3,'1'
3,0,6,347,6,29,0.868339,349,0.166667,1,5,10.266667,2,'0'
1,0,4,1,3,2,2,2,0.833333,0,0,0,1,'0'
1,0,5,1,1,2,2,2,0.75,0,0,0,1,'0'
3,0,5,0,4,3,0.333333,21,0.5,1,1,4,1,'0'
1,0,2,0,0,4,0.333333,92,0.75,0,0,21.25,4,'0'
3,0,1,0,1,1,2,4,1,0,0,3,0,'0'
1,14,28,809,12,33,0.909756,498,0.118467,0,0,10.619048,4,'1'
1,0,2,10,1,5,2,13,0.8,0,0,1.6,1,'0'
1,0,12,9,12,7,0.791667,80,0.357143,0,0,9.857143,1,'0'
1,0,0,0,0,0,2,0,0,0,0,0,0,'0'
5,0,4,0,3,3,0.5,32,0.555556,0,0,9,1,'0'
1,0,3,6,0,3,2,133,0.3,0,0,32.25,7,'1'
3,0,1,0,1,1,2,5,1,0,0,4,0,'1'
0,2,5,6,3,1,2,93,0.4,0,0,22.25,4,'0'
4,2,14,334,12,24,0.934066,262,0.187739,0,0,7.586207,9,'0'
3,0,4,1,4,1,2,9,0.75,1,1,3.5,1,'1'
4,0,2,0,1,1,2,5,1,0,0,4,0,'0'
1,0,41,626,38,36,0.571429,288,0.116667,0,0,6.944444,1,'0'
5,0,2,3,1,3,2,16,0.777778,0,0,4.333333,0,'0'
1,0,1,0,0,1,2,1,1,0,0,0,1,'0'
3,0,18,191,16,18,0.850649,312,0.20202,1,5,12.26087,2,'1'
1,0,10,26,9,2,0.714286,194,0.452381,0,0,23.125,8,'1'
2,0,9,23,7,3,0.777778,182,0.242857,1,5,17.1,3,'0'
2,0,7,6,6,5,0.75,35,0.333333,0,0,5.6,1,'0'
2,0,1,3,1,3,2,12,0.666667,1,2,3,1,'0'
3,4,14,6,0,4,2,20,0.666667,0,0,4,0,'0'
0,0,4,1,4,2,2,18,1,0,0,8,1,'0'
4,0,4,3,4,2,2,24,0.444444,1,1,7,1,'0'
1,0,1,0,1,1,2,1,1,0,0,0,1,'0'
2,0,1,0,1,4,0.333333,22,0.583333,0,0,4.25,1,'0'
0,2,9,10,7,1,2,145,0.5,0,0,28,4,'0'
1,0,6,0,5,2,0,22,0.6,0,0,9.5,1,'1'
1,0,27,148,19,14,0.802632,728,0.210526,0,0,35.2,10,'0'
1,0,15,1263,5,50,0.924,731,0.104444,0,0,13.235294,2,'1'
1,0,6,4,5,4,0.333333,23,0.5,0,0,4.5,1,'0'
5,2,6,1,2,2,2,13,0.875,0,0,5.5,0,'0'
4,0,9,22,7,8,0.714286,59,0.3,2,3,6.25,1,'0'
1,0,0,3,0,3,2,12,0.833333,0,0,3,1,'0'
1,0,5,1,5,2,2,15,0.625,0,0,6.5,1,'0'
1,0,14,0,0,1,2,1,1,0,0,0,1,'0'
3,0,6,62,6,11,0.590909,100,0.354167,1,3,7.166667,3,'0'
1,0,30,136,9,15,2,289,0.344538,0,0,16,4,'1'
3,0,3,8,2,4,0,50,0.533333,1,2,8.8,2,'0'
3,0,24,18,24,4,0.9375,442,0.35,0,0,47.444444,8,'0'
3,0,6,13,6,4,0.4,54,0.444444,1,1,7.833333,1,'0'
2,0,6,30,5,8,0.625,59,0.518519,1,4,5.333333,2,'1'
5,0,3,2,1,4,0.333333,47,0.666667,0,0,10.25,1,'0'
2,6,11,7,5,5,0.6,49,0.375,0,0,6.833333,2,'1'
2,1,8,27,6,12,0.673077,185,0.323077,1,5,11.928571,7,'1'
4,0,5,23,4,8,0.444444,121,0.35,1,2,10.9,3,'0'
1,0,13,347,12,27,0.668966,380,0.114286,0,0,11.5,3,'0'
3,0,6,51,4,14,0.564103,129,0.3,1,3,8,1,'0'
1,0,6,0,1,1,2,1,1,0,0,0,1,'0'
1,0,4,0,3,1,2,1,1,0,0,0,1,'0'
1,2,6,6,4,1,2,96,0.45,0,0,23,3,'0'
1,0,11,23,10,11,0.972527,400,0.192857,0,0,26.571429,2,'1'
1,0,8,8,5,5,0.25,39,0.7,0,0,6.6,1,'0'
2,0,14,0,7,6,0.571429,69,0.3,1,1,7.375,2,'0'
2,0,13,125,13,17,0.870588,170,0.179012,1,1,8.166667,3,'0'
2,1,2,9,1,7,0.666667,40,0.642857,0,0,4.428571,2,'0'
1,1,14,34,13,3,0.80303,215,0.261364,0,0,16.416667,4,'0'
1,3,32,1214,29,45,0.793226,766,0.107843,0,0,13.519231,7,'0'
2,0,1,0,1,1,2,6,1,0,0,3,0,'0'
1,0,4,9,4,5,0.2,41,0.416667,0,0,5.666667,2,'0'
3,0,6,4,6,3,0.666667,60,0.4,1,3,13.75,1,'0'
1,0,3,8,3,3,0.75,56,0.25,0,0,10,2,'0'
1,0,2,1,0,2,2,2,1,0,0,0,1,'0'
1,0,4,0,3,13,0,70,0.326923,0,0,4.307692,1,'0'
3,0,15,93,15,8,0.821429,226,0.261905,2,3,13.8,2,'0'
3,0,10,4,9,4,2,105,0.583333,0,0,25.25,7,'1'
5,0,2,0,1,2,1,21,0.75,0,0,8.5,1,'1'
2,1,7,0,6,7,0.25,66,0.388889,1,1,6.222222,1,'1'
3,0,4,10,4,4,1,35,0.44,0,0,5.8,1,'0'
2,14,118,13617,76,157,0.893603,2077,0.056277,0,0,11.457831,6,'1'
4,0,8,4,7,2,0.5,63,0.4,2,4,11.4,1,'1'
2,0,11,22,10,8,0.666667,58,0.3,1,20,5.875,1,'0'
2,0,7,2,6,3,0.625,60,0.44,1,2,10.6,1,'0'
2,0,7,0,4,15,0.638655,317,0.263889,1,1,16.222222,3,'0'
3,0,9,0,4,4,0,41,0.4375,0,0,9,1,'1'
1,0,3,0,1,8,0.142857,125,0.375,1,1,14.375,8,'0'
4,0,6,0,5,3,0.25,49,0.466667,1,2,14.666667,1,'0'
1,0,3,30,2,8,0.375,79,0.355556,0,0,7.666667,1,'1'
5,0,11,125,9,15,0.858824,160,0.287037,1,1,7.611111,2,'0'
0,0,14,29,14,11,0.82,105,0.340909,0,0,8.090909,1,'0'
1,0,3,0,1,1,2,1,1,0,0,0,1,'0'
1,0,8,43,4,11,1.014286,163,0.4,0,0,13.181818,4,'0'
1,0,2,3,2,1,2,228,0.333333,0,0,75,1,'0'
1,0,5,12,2,7,0.625,100,0.4375,0,0,9.777778,4,'0'
1,0,7,21,6,7,2,78,0.464286,0,0,10.142857,2,'0'
2,0,3,2,1,5,0.666667,36,0.4,0,0,5.6,1,'0'
1,0,0,0,0,1,2,1,1,0,0,0,1,'0'
4,0,11,0,11,4,0.25,303,0.36,1,1,59,1,'0'
3,0,9,6,8,4,1,44,0.541667,0,0,9.75,1,'1'
3,0,8,0,7,4,0.625,61,0.5,0,0,10.8,1,'1'
1,0,30,1,2,2,2,2,1,0,0,0,1,'0'
2,6,13,22,7,3,0.571429,89,0.333333,0,0,10,2,'0'
1,0,4,0,1,1,2,1,1,0,0,0,1,'0'
1,0,29,0,28,11,0.454545,395,0.25,0,0,31.5,9,'1'
1,0,4,1,0,2,2,2,1,0,0,0,1,'0'
2,0,10,126,8,14,0.879795,597,0.193237,1,1,23.166667,8,'1'
2,0,2,1,1,2,2,10,0.75,0,0,4,0,'0'
1,0,12,10,4,5,2,5,0.366667,0,0,0,1,'0'
5,0,6,2,2,4,0.333333,40,0.5625,0,0,8.5,1,'0'
2,0,1,3,1,3,2,12,0.666667,1,2,3,1,'0'
2,0,17,4,1,2,0.958333,100,0.444444,1,1,22,1,'0'
2,0,10,14,10,4,0.714286,120,0.291667,0,0,13.625,1,'0'
2,0,21,590,19,36,0.96381,261,0.160494,1,2,5.833333,2,'0'
1,0,8,1,2,2,2,2,0.666667,0,0,0,1,'0'
3,0,2,0,1,1,2,5,1,0,0,4,0,'1'
1,0,14,108,12,4,0.733333,559,0.1875,0,0,33.875,4,'0'
1,0,6,0,1,1,2,1,1,0,0,0,1,'0'
1,0,0,0,0,0,2,0,0,0,0,0,0,'0'
3,0,4,1,4,1,2,11,0.666667,1,1,4.5,1,'0'
3,0,6,21,5,4,2,63,0.309524,0,0,8,2,'1'
1,0,26,7,26,5,0.6,373,0.4,0,0,60.833333,14,'0'
1,0,12,30,11,1,0.625,186,0.416667,1,4,19.555556,9,'0'
1,0,7,0,2,1,2,1,1,0,0,0,1,'0'
3,0,9,129,8,13,0.833333,203,0.223684,1,1,9.315789,3,'0'
1,0,51,6,5,4,2,4,0.5,0,0,0,1,'0'
3,0,5,51,4,11,0.85,77,0.484848,1,3,5.636364,1,'0'
1,6,8,6,2,3,2,37,0.5625,0,0,8.25,2,'0'
1,0,6,9,5,6,0.6,25,0.375,0,0,3,1,'0'
2,0,6,6,1,3,0.9,75,0.416667,1,1,13,1,'0'
1,0,17,3,14,2,1.041667,491,0.666667,0,0,158.666667,4,'0'
6,0,4,3,3,3,2,23,1,1,1,6.666667,1,'0'
3,0,4,30,4,9,0.25,50,0.555556,2,5,4.444444,1,'0'
1,0,8,0,1,1,2,1,1,0,0,0,1,'0'
1,0,0,1,0,2,2,2,1,0,0,0,1,'0'
1,0,4,1,4,2,2,10,0.666667,0,0,4,1,'0'
1,0,3,0,1,4,0,22,0.625,0,0,4.25,1,'0'
4,0,14,106,7,14,0.866667,142,0.241071,1,4,7.5625,5,'0'
2,0,19,217,18,23,0.636364,247,0.241546,1,2,9.608696,2,'0'
1,0,2,3,2,3,2,13,0.833333,0,0,3.333333,1,'0'
2,0,22,97,21,13,0.75,124,0.192593,0,0,7.133333,2,'0'
1,0,9,0,1,1,2,1,1,0,0,0,1,'0'
1,0,8,105,1,14,2,214,0.2,0,0,13.266667,4,'1'
1,0,56,0,0,1,2,1,1,0,0,0,1,'1'
3,1,15,193,14,16,0.849206,318,0.295455,1,3,13.181818,4,'0'
1,0,4,3,4,3,2,18,0.833333,0,0,5,1,'0'
3,0,7,4,7,4,0.5,57,0.533333,0,0,10.2,1,'0'
1,0,4,55,3,10,2,86,0.181818,0,0,6.818182,1,'1'
3,0,16,19,12,7,2,105,0.371429,0,0,14,4,'1'
2,0,9,91,6,11,2,71,0.339286,1,3,4.071429,1,'0'
5,0,5,1,4,3,0,38,0.666667,0,0,11.333333,1,'1'
3,0,7,59,6,12,0.815385,131,0.338462,1,2,8,4,'0'
1,0,1,6,1,4,2,36,0.875,0,0,8,2,'0'
1,9,9,1,0,3,0.5,14,0.666667,0,0,3.333333,1,'0'
3,0,8,19,7,5,0.5,59,0.464286,1,1,7.285714,2,'0'
1,0,8,13,7,6,0.4,54,0.433333,0,0,7.833333,2,'0'
1,0,3,0,0,1,2,1,1,0,0,0,1,'0'
1,0,3,9,2,7,0,59,0.5,0,0,7.285714,1,'0'
1,0,15,4,14,3,0.25,148,0.5,0,0,28.4,1,'0'
1,0,0,0,0,1,2,1,1,0,0,0,1,'0'
1,0,13,3,2,3,2,3,0.833333,0,0,0,1,'0'
1,0,12,1,1,2,2,2,0.75,0,0,0,1,'0'
0,0,8,48,8,12,0.840909,126,0.388889,0,0,9.166667,5,'0'
1,0,5,21,5,6,2,44,0.857143,0,0,5.285714,1,'0'
2,0,1,3,1,3,2,12,0.666667,1,2,3,1,'0'
1,0,0,0,0,0,2,0,0,0,0,0,0,'0'
4,0,2,0,1,2,0,20,0.75,0,0,8.5,1,'0'
3,0,8,27,6,7,0.633333,98,0.283333,1,4,7.636364,3,'0'
4,0,6,0,5,4,0.4,85,0.4,1,2,12.833333,1,'1'
3,0,12,7,11,4,0.666667,90,0.44,0,0,13.5,1,'0'
0,0,1,3,0,2,2,106,0.777778,0,0,34.333333,9,'0'
1,0,3,1,2,1,0.5,60,0.5,0,0,18.666667,3,'0'
4,0,7,3,3,3,2,12,0.666667,1,2,3,1,'1'
2,1,6,0,1,13,0.291667,201,0.384615,0,0,14.307692,1,'0'
3,3,11,62,8,13,0.638889,95,0.346154,1,3,6.076923,3,'0'
1,0,5,0,4,3,0,24,1,0,0,6.666667,1,'0'
1,0,172,595,14,35,2,35,0.147619,0,0,0,1,'1'
4,1,23,205,18,23,0.840909,185,0.152174,1,1,6.782609,3,'0'
3,0,28,296,24,13,0.914835,713,0.167582,1,1,23.137931,12,'1'
5,1,5,0,2,3,0.75,33,0.583333,0,0,9.333333,1,'1'
0,1,9,0,6,3,0,73,0.5,0,0,13.4,1,'0'
1,0,2,9,0,7,0.333333,47,0.47619,0,0,5.428571,1,'0'
1,0,2,0,0,1,2,1,1,0,0,0,1,'0'
1,0,0,0,0,1,2,1,1,0,0,0,1,'0'
5,0,5,0,1,3,0,44,0.666667,0,0,13.333333,1,'1'
5,0,4,0,3,3,0.5,37,0.5,0,0,10.666667,1,'0'
3,0,5,14,5,9,0.75,94,0.333333,1,3,9.111111,4,'0'
3,0,2,0,1,1,2,5,1,0,0,4,0,'1'
3,0,31,779,19,39,0.868902,427,0.093915,1,3,8.97619,4,'0'
1,0,13,131,6,16,0.882353,144,0.235294,0,0,6.666667,2,'0'
3,0,8,19,8,7,0.5,118,0.342857,0,0,15.714286,4,'0'
0,1,16,73,14,5,0.833333,352,0.232143,0,0,23.714286,5,'0'
2,0,13,878,8,45,0.5,351,0.261111,1,2,6.755556,1,'1'
1,0,8,1,8,1,2,152,0.5,0,0,75,17,'1'
1,0,6,0,4,2,0.333333,121,0.555556,0,0,29,1,'0'
3,3,9,6,6,3,2,116,0.5625,0,0,28,4,'0'
1,1,1,0,0,4,0,27,1,0,0,5.5,1,'0'
0,0,9,21,8,1,2,141,0.5,0,0,19.142857,10,'0'
3,1,11,8,8,7,0.458333,127,0.375,0,0,12.777778,2,'0'
3,0,12,0,12,2,0.633333,227,0.333333,1,1,30.714286,3,'0'
3,1,30,1929,28,57,0.788306,692,0.084485,2,4,9.857143,5,'0'
2,0,6,3,5,6,0.2,58,0.5,0,0,8.5,2,'0'
0,0,8,0,7,1,0.7,100,0.366667,0,0,15,4,'0'
3,0,9,26,9,6,0.84375,81,0.325,1,1,7.555556,2,'0'
1,0,4,0,3,3,0,31,0.583333,0,0,9,1,'0'
1,0,10,28,10,7,0.8125,61,0.232143,0,0,5.555556,1,'1'
3,2,14,5,12,0,0.5,187,0.357143,1,1,25.428571,10,'0'
5,0,3,0,2,2,0,21,0.666667,0,0,9,1,'0'
2,19,29,17,9,7,0.777778,99,0.28,1,1,8.5,2,'1'
2,0,8,39,7,10,0.740741,62,0.3,1,20,4.9,1,'0'
3,0,7,3,7,5,0.2,82,0.3,1,1,12.5,1,'0'
1,0,0,0,0,1,2,1,1,0,0,0,1,'0'
3,0,13,34,13,5,0.875,95,0.333333,1,2,9.333333,2,'0'
1,0,6,35,4,11,0.7,82,0.327273,0,0,6.181818,3,'0'
1,0,8,19,5,2,0.888889,185,0.253968,0,0,25,3,'1'
3,0,8,49,6,13,0.461538,122,0.321429,2,8,7.642857,2,'0'
1,0,4,43,3,10,0.1,124,0.363636,0,0,10.181818,3,'0'
2,0,2,9,1,6,0.2,45,0.416667,0,0,6.333333,2,'0'
1,0,6,6,4,3,2,77,0.5,0,0,18.25,4,'1'
1,0,13,475,9,30,0.911765,537,0.271429,0,0,13.942857,14,'0'
1,0,0,0,0,0,2,24,1,0,0,3,0,'0'
5,1,10,37,4,11,0.5,117,0.363636,1,3,9.454545,3,'0'
1,0,7,6,5,4,2,18,0.5,0,0,3.5,1,'0'
3,0,18,3,18,3,0.65,146,0.333333,1,1,22.666667,2,'0'
3,0,3,1,3,2,2,11,0.833333,0,0,4.5,0,'0'
5,0,2,1,2,1,2,15,0.625,1,1,6.5,1,'0'
1,0,3,0,2,3,0.5,29,0.666667,0,0,8,1,'0'
1,0,4,15,4,5,2,29,0.25,0,0,3.833333,1,'0'
0,0,5,1,4,2,2,50,0.75,0,0,24,1,'0'
1,0,16,386,5,26,0.821429,403,0.100649,0,0,12.827586,3,'1'
1,0,0,0,0,0,2,0,0,0,0,0,0,'0'
4,0,19,160,19,13,0.8625,287,0.166667,1,2,12.285714,5,'0'
2,0,1,3,1,3,2,12,0.666667,1,2,3,1,'0'
1,0,4,0,2,5,0,43,0.6,0,0,7.4,1,'0'
2,0,6,4,5,3,0.666667,52,0.466667,0,0,11.75,1,'0'
1,13,45,561,43,34,2,361,0.196078,0,0,9.617647,5,'0'
1,0,0,1,0,1,2,15,0.5,0,0,6,1,'0'
2,0,1,3,1,3,2,12,0.666667,1,2,3,1,'0'
1,0,46,0,1,0,2,0,0,0,0,0,0,'0'
1,0,80,190,10,20,2,20,0.16,0,0,0,1,'1'
3,0,8,60,8,9,0.363636,101,0.354167,1,1,7.333333,3,'0'
2,0,11,36,10,1,2,440,0.320988,1,1,47.888889,8,'0'
6,0,2,0,1,2,0,25,0.666667,0,0,11,1,'0'
0,0,9,10,8,2,2,97,0.45,0,0,18.4,2,'0'
1,0,9,815,7,35,0.833333,792,0.261905,0,0,17.186047,1,'0'
1,0,0,0,0,1,2,1,1,0,0,0,1,'0'
1,0,2,149,0,18,0.558824,114,0.183333,0,0,5.222222,2,'0'
3,0,41,40,41,5,0.909091,330,0.290909,1,1,25.916667,5,'0'
1,0,8,0,6,8,0.46875,149,0.333333,0,0,15.111111,3,'1'
2,0,6,17,2,7,0.75,46,0.428571,0,0,5.285714,1,'0'
3,0,6,36,6,10,0.181818,98,0.416667,2,6,7.083333,2,'0'
1,6,11,15,4,5,2,52,0.541667,0,0,7.666667,2,'0'
4,0,12,146,9,19,0.810526,199,0.221429,2,3,8.7,4,'0'
4,0,12,21,12,6,1,47,0.4,0,0,5.571429,1,'0'
2,13,20,181,5,17,0.714286,206,0.272727,1,2,8.272727,4,'1'
1,0,22,77,21,7,0.846154,198,0.32967,0,0,12.857143,3,'0'
2,0,11,581,4,36,0.872973,406,0.252252,0,0,9.421053,8,'1'
1,0,12,2,10,3,0.583333,154,0.5,1,1,29.2,1,'0'
3,0,15,3,15,3,0.4,96,0.5,1,2,14.833333,3,'0'
2,0,16,9,12,4,0.583333,101,0.464286,1,1,13.142857,2,'0'
3,0,9,4,9,2,0.803571,218,0.325,2,2,22.444444,1,'0'
2,0,1,0,1,1,2,7,1,0,0,3,0,'0'
1,0,16,188,16,19,0.052632,184,0.172222,0,0,8.1,4,'1'
3,0,8,0,8,2,0,37,0.666667,0,0,17,1,'0'
4,0,6,19,5,7,0.333333,46,0.47619,1,2,5.428571,1,'0'
4,0,15,62,12,12,0.722222,264,0.192308,1,2,19.076923,11,'1'
3,2,19,106,11,12,0.633333,118,0.215278,1,1,6.25,2,'0'
1,0,3,1,2,2,2,10,0.666667,0,0,4,1,'0'
1,0,6,36,6,8,2,49,0.142857,0,0,4.444444,1,'0'
2,0,4,4,1,2,0.916667,56,0.444444,1,1,12,1,'0'
5,0,13,0,13,2,0.515152,788,0.260417,3,6,64.416667,1,'0'
2,0,7,6,6,4,2,27,0.4375,1,1,5.75,1,'0'
1,0,0,66,0,11,2,109,0.166667,0,0,8.083333,3,'0'
2,0,4,0,2,3,0.333333,45,0.625,1,1,10,1,'0'
4,0,2,0,1,7,0.583333,108,0.571429,0,0,14.142857,3,'0'
0,0,4,1,4,2,2,18,1,0,0,8,1,'0'
2,0,7,0,5,4,0,63,0.45,1,1,11.4,1,'0'
3,0,11,1,11,4,0.6,107,0.466667,1,1,16.5,1,'0'
1,0,45,231,16,21,2,371,0.333333,0,0,15.863636,5,'1'
1,0,9,2,7,3,0.666667,52,0.4,0,0,11.25,1,'0'
1,0,5,0,0,1,2,1,1,0,0,0,1,'0'
1,0,5,87,4,13,0.694118,317,0.317647,0,0,16.333333,5,'0'
1,0,2,3,0,2,2,22,0.444444,0,0,6.333333,1,'1'
1,0,5,0,4,3,0,31,0.555556,0,0,9,1,'0'
5,0,8,0,1,2,1,23,0.75,0,0,9.5,1,'1'
5,0,2,0,1,1,2,14,1,0,0,12,0,'0'
3,0,11,0,11,3,0.333333,126,0.583333,0,0,30,4,'0'
1,0,5,2,2,1,0.555556,226,0.333333,0,0,54.75,6,'0'
1,0,2,0,1,1,2,1,1,0,0,0,1,'0'
6,0,4,0,4,2,0,27,0.666667,0,0,12,1,'1'
2,0,11,27,10,11,0.809524,145,0.183333,1,1,8.266667,1,'1'
2,0,9,4,8,5,0.5,53,0.342857,0,0,9.2,1,'0'
1,0,0,0,0,0,2,0,0,0,0,0,0,'0'
1,0,7,43,4,10,0.111111,63,0.32,0,0,5.2,1,'0'
4,0,4,5,4,1,0.5,102,0.6,2,2,15.666667,2,'0'
1,0,5,0,2,1,2,1,1,0,0,0,1,'0'
1,0,10,0,1,1,2,1,1,0,0,0,1,'1'
1,5,8,0,3,4,0,48,0.4,0,0,8.4,2,'1'
3,2,5,3,3,2,2,28,0.777778,1,1,8.333333,1,'0'
1,0,5,1,4,1,2,23,0.5,0,0,10.5,3,'0'
2,2,32,453,26,32,0.772727,334,0.121849,1,1,8.647059,3,'0'
3,0,6,3,6,2,1,21,0.666667,0,0,5.333333,1,'0'
1,0,6,0,5,2,0,44,0.666667,0,0,20.5,1,'1'
1,0,2,0,0,4,0.333333,21,0.75,0,0,4,1,'0'
1,0,19,15,15,5,0.333333,227,0.4,0,0,31.285714,5,'0'
4,0,9,34,8,9,0.25,75,0.355556,2,3,7.222222,1,'0'
1,21,41,354,12,21,0.851852,281,0.157143,1,1,8.857143,5,'1'
1,0,0,0,0,0,2,0,0,0,0,0,0,'0'
1,0,7,0,6,2,0,27,0.666667,0,0,11.5,1,'0'
2,0,18,66,15,8,0.541667,231,0.34375,1,1,16.615385,2,'1'
2,1,24,684,20,28,0.905357,669,0.122727,1,1,14.97561,4,'0'
0,0,24,37,23,7,0.777778,264,0.433333,0,0,25.2,2,'0'
1,0,1,0,0,0,2,0,0,0,0,0,0,'0'
1,0,5,1,3,3,0,31,0.5,0,0,9,1,'0'
3,0,2,1,1,3,0.5,15,0.666667,0,0,3.666667,1,'1'
1,0,1,6,0,5,0.75,24,0.7,0,0,3.4,1,'0'
1,0,22,81,20,14,0.867347,218,0.1875,0,0,13.066667,2,'0'
2,0,7,15,6,7,0.666667,43,0.428571,1,20,4.714286,1,'0'
1,2,3,11,1,7,0.777778,37,0.357143,0,0,3.857143,1,'0'
1,0,1,0,0,0,2,0,0,0,0,0,0,'0'
2,0,5,0,4,1,0,42,0.6,0,0,19.5,3,'0'
1,0,3,4,1,4,0.333333,39,0.625,0,0,8.5,2,'0'
1,0,4,3,1,6,0.75,41,0.366667,0,0,5.166667,1,'0'
3,0,8,3,8,4,0.666667,150,0.305556,1,1,23.5,1,'0'
1,0,6,1,4,2,2,2,0.666667,0,0,0,1,'0'
1,0,5,3,4,4,0.633333,283,0.233333,0,0,38,4,'0'
1,0,0,0,0,1,2,1,1,0,0,0,1,'0'
1,0,3,0,0,1,2,1,1,0,0,0,1,'0'
1,0,0,0,0,1,2,4,1,0,0,3,0,'0'
2,0,17,9,17,6,0.666667,120,0.5,0,0,18.5,3,'0'
2,0,11,18,11,5,0.877551,90,0.3125,0,0,9.375,1,'0'
2,0,7,46,7,11,0.795455,83,0.266667,0,0,5.583333,2,'0'
1,0,4,4,3,2,0.333333,39,0.5,0,0,8.5,1,'0'
1,0,5,1,0,2,2,2,1,0,0,0,1,'0'
3,0,4,26,3,8,0.708333,91,0.311111,1,2,8.777778,5,'1'
2,0,9,6,9,4,2,191,0.875,1,3,46.75,3,'0'
2,0,8,0,7,2,0.5,83,0.44,1,2,15,3,'0'
2,0,17,13,6,5,0.2,108,0.433333,1,1,16.833333,4,'0'
1,0,5,1,4,5,0.666667,167,0.36,0,0,26.333333,16,'0'
1,0,4,10,1,5,2,5,0.55,0,0,0,1,'0'
3,4,10,0,6,3,0.5,52,0.5,0,0,11.5,2,'0'
3,0,9,32,9,8,0.555556,262,0.305556,2,3,18.923077,3,'0'
1,0,2,4,2,4,0.5,25,0.6,0,0,3.8,1,'0'
1,0,7,132,6,18,0.881579,363,0.3875,0,0,16.75,30,'1'
1,0,2,0,1,0,2,0,0,0,0,0,0,'0'
2,0,4,0,3,2,0,27,0.666667,1,1,7.666667,1,'0'
4,0,13,21,6,7,2,45,0.392857,3,4,5.428571,1,'0'
1,0,7,3,1,3,2,3,0.666667,0,0,0,1,'1'
