@relation mydataframe
@attribute v.g. numeric
@attribute ev.g. numeric
@attribute iv.g. numeric
@attribute l numeric
@attribute d numeric
@attribute i numeric
@attribute e numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute locCodeAndComment numeric
@attribute uniq_Opnd numeric
@attribute total_Opnd numeric
@attribute bug {'1','0'}
@data
23,18,15,0.01,100.59,23.67,239472.44,0,30,0,17,171,'0'
34,26,1,0.01,112.13,14.38,180743.31,16,29,0,8,138,'0'
6,5,2,0.06,17.11,15.07,4411.98,0,4,0,9,22,'0'
9,8,1,0.03,39,13.3,20226.62,0,8,0,7,42,'0'
4,1,4,0.1,9.82,21.13,2036.81,3,3,0,11,24,'0'
14,1,1,0.04,26.67,23.9,16994.93,0,1,0,9,32,'0'
2,1,1,0.1,10.21,14.81,1545.09,0,1,0,7,11,'0'
5,3,3,0.1,9.75,15.32,1456.05,0,2,0,8,12,'0'
2,1,2,0,0,0,0,0,0,0,0,0,'0'
8,4,5,0,0,0,0,0,0,0,0,0,'0'
33,19,14,0,0,0,0,0,0,0,0,0,'0'
1,1,1,0.33,3,8,72,0,0,0,2,2,'0'
12,8,2,0,0,0,0,0,0,0,0,0,'0'
3,3,2,0.11,8.86,18.62,1463.02,0,4,0,11,15,'0'
33,31,33,0.09,10.89,93.46,11090,13,0,0,28,61,'0'
1,1,1,0.67,1.5,5.33,12,0,1,0,1,1,'0'
1,1,1,0.1,10,11.26,1125.88,0,4,0,6,10,'0'
2,1,1,0.07,15,16.1,3622.21,4,5,0,10,20,'0'
2,1,1,0.08,12.5,17.24,2693.67,0,5,0,9,15,'0'
3,1,1,0.12,8.33,12.48,866.67,0,2,0,6,10,'0'
2,1,2,0.13,7.58,43.13,2477.56,6,4,0,19,32,'0'
7,3,7,0.06,16.2,45.99,12070.13,0,9,0,25,54,'0'
1,1,1,0.1,10,14.71,1471.49,2,5,0,7,14,'0'
4,1,1,0.06,16.36,22.01,5893.69,1,7,0,11,36,'0'
2,1,2,0.04,22.32,201.19,100260.48,6,2,0,85,253,'0'
1,1,1,0.4,2.5,7.86,49.13,0,1,0,2,2,'0'
25,4,12,0.02,48.15,102.18,236892.84,3,20,3,70,321,'0'
4,3,2,0.08,11.79,11.68,1621.8,0,2,0,7,15,'0'
1,1,1,0.13,7.88,10.54,653.83,2,2,0,4,9,'0'
1,1,1,0.24,4.2,14,247,0,1,0,5,7,'0'
4,4,4,0,0,0,0,0,0,0,0,0,'0'
4,4,4,0,0,0,0,0,0,0,0,0,'0'
4,4,4,0,0,0,0,0,0,0,0,0,'0'
4,1,4,0.06,17.5,17.66,5408.68,6,2,0,12,28,'0'
2,1,2,0.24,4.08,31.21,520.37,0,2,0,12,14,'0'
2,1,1,0.11,9.35,17.38,1519.52,2,4,0,10,17,'0'
1,1,1,0.44,2.29,24.22,126.52,0,3,0,7,8,'0'
3,1,3,0.14,7.03,38.31,1893.82,0,2,3,16,25,'0'
2,1,2,0.12,8.46,98.81,7067.17,0,7,0,35,74,'0'
60,57,54,0.03,39.73,116.09,183235.05,0,5,2,74,280,'0'
2,1,2,0.14,7.26,40.24,2123,0,1,0,19,23,'0'
54,51,53,0.02,40.25,98.68,159904.89,1,3,0,59,250,'0'
4,4,3,0.09,11.56,38.85,5194.56,0,5,0,24,37,'0'
1,1,1,0.34,2.92,18.98,161.44,0,1,0,6,7,'0'
3,1,3,0,0,0,0,0,0,0,0,0,'0'
2,1,2,0,0,0,0,0,0,0,0,0,'0'
5,5,3,0,0,0,0,0,0,0,0,0,'0'
4,4,3,0.06,17.33,30.61,9189.14,0,5,0,20,33,'0'
8,4,3,0.03,31.17,15.99,15528.69,0,7,0,9,33,'0'
2,1,2,0.25,4,18.08,289.36,0,0,0,7,8,'0'
13,9,2,0,0,0,0,0,0,0,0,0,'0'
1,1,1,0.5,2,10.34,41.36,0,1,0,2,2,'0'
1,1,1,0.33,3,25.9,233.13,0,1,0,7,7,'0'
5,1,5,0.05,19.5,24.16,9185.7,4,3,0,15,39,'0'
26,20,1,0.03,38,32.99,47639.35,24,3,0,22,88,'0'
5,3,3,0.1,10.32,30.42,3242.01,0,6,0,17,27,'0'
1,1,1,0,0,0,0,0,0,0,0,0,'0'
5,3,3,0.07,13.74,32.99,6225.85,0,5,0,19,29,'0'
4,4,2,0.06,15.55,20.63,4984.29,0,6,0,11,19,'0'
8,1,3,0,0,0,0,0,0,0,0,0,'0'
2,1,1,0.05,18.69,13.4,4678.64,2,5,0,8,23,'0'
38,28,20,0.03,37.42,58.79,82331.93,25,12,1,52,139,'0'
6,4,5,0.08,12.98,42.92,7232.7,5,5,0,26,45,'0'
2,1,1,0.08,12.25,14.93,2239.75,3,4,0,8,14,'0'
4,1,3,0.06,16.9,16.32,4663.34,4,2,0,10,26,'0'
5,4,4,0.08,12.66,28.18,4514.51,0,4,0,16,27,'0'
3,1,3,0.11,8.75,14.3,1094.61,2,2,0,8,14,'0'
7,1,1,0.02,44.12,65.22,126970.96,0,5,0,33,224,'0'
6,1,6,0.06,17.16,52.31,15395.56,0,9,6,32,61,'0'
5,1,3,0.05,18.21,18.5,6136.13,0,1,1,14,30,'0'
2,1,2,0.07,14.12,33.29,6635.29,0,4,0,17,32,'0'
8,1,8,0.02,52.98,116.17,326055.63,12,36,0,94,332,'0'
3,1,3,0.13,7.5,20.02,1125.88,0,1,0,9,15,'0'
15,10,5,0.03,40,27.84,44548.96,20,9,1,22,80,'0'
2,1,1,0.21,4.67,14.69,319.82,0,3,0,6,7,'0'
5,3,4,0.05,18.9,16.5,5892.59,4,2,0,10,27,'0'
3,1,3,0.05,20.13,38.33,15525.34,5,9,0,24,69,'0'
1,1,1,0.4,2.5,13.95,87.17,0,1,0,4,4,'0'
2,1,1,0.25,4,15.63,250.04,0,0,0,7,7,'0'
2,1,1,0.25,4,15.63,250.04,0,0,0,7,7,'0'
1,1,1,0.5,2,17.43,69.74,0,0,0,5,5,'0'
2,1,1,0,0,0,0,0,0,0,0,0,'0'
2,1,1,0,0,0,0,0,0,0,0,0,'0'
2,1,1,0,0,0,0,0,0,0,0,0,'0'
1,1,1,0,0,0,0,0,0,0,0,0,'0'
2,1,1,0,0,0,0,0,0,0,0,0,'0'
2,1,1,0,0,0,0,0,0,0,0,0,'0'
2,1,1,0,0,0,0,0,0,0,0,0,'0'
1,1,1,0,0,0,0,0,0,0,0,0,'0'
7,5,4,0.04,25.11,20.49,12918.33,2,3,1,14,37,'0'
5,3,3,0.05,18.21,21.76,7218.97,10,2,0,14,30,'0'
7,5,4,0.04,25.11,20.49,12918.33,2,3,1,14,37,'0'
6,3,3,0.05,20.4,20.03,8335.36,0,2,0,15,34,'0'
6,3,3,0.05,20.4,20.03,8335.36,0,2,0,15,34,'0'
5,4,4,0.05,20.25,19.39,7949.16,3,3,0,12,27,'0'
6,5,4,0.06,15.5,24.38,5856.37,0,3,0,15,31,'0'
9,1,7,0.03,30,22.06,19852.51,0,3,0,18,60,'0'
7,1,7,0.04,26.47,20.73,14527.94,0,3,0,17,50,'0'
7,1,7,0.04,25.5,22.1,14369.81,0,3,0,18,51,'0'
9,1,3,0.05,18.35,25.84,8702.47,0,5,1,17,39,'0'
2,1,1,0.16,6.25,10.97,428.33,0,0,0,4,5,'0'
3,1,2,0.14,7.14,13.73,700.71,0,1,0,7,10,'0'
4,1,3,0.13,7.78,17.48,1057.26,0,1,0,9,14,'0'
3,1,2,0.12,8.25,22.89,1558.17,0,1,0,10,15,'0'
15,15,7,0.02,41.37,22.97,39298.33,0,10,4,15,73,'0'
6,1,5,0.08,12.07,26.78,3903.08,7,3,1,14,26,'0'
1,1,1,0.25,4,36.49,583.79,0,0,0,12,16,'0'
1,1,1,0.67,1.5,5.33,12,0,0,0,1,1,'0'
1,1,1,0.25,4,36.49,583.79,0,0,0,12,16,'0'
6,5,3,0.04,22.5,30.07,15224.23,0,1,0,16,40,'0'
1,1,1,0.33,3,14.99,134.92,0,0,0,5,5,'0'
2,1,1,0.18,5.63,11.84,374.67,0,0,0,4,5,'0'
2,1,1,0.18,5.63,11.84,374.67,0,0,0,4,5,'0'
13,13,11,0.08,12.8,46.61,7635.77,1,1,0,30,48,'0'
7,1,5,0.07,14.17,31.69,6360.14,0,1,0,18,34,'0'
2,1,1,0.18,5.63,11.84,374.67,0,1,0,4,5,'0'
2,1,1,0.18,5.63,11.84,374.67,0,1,0,4,5,'0'
2,1,1,0.18,5.63,11.84,374.67,0,1,0,4,5,'0'
7,6,6,0,0,0,0,0,0,0,0,0,'0'
2,1,1,0.18,5.63,11.84,374.67,0,0,0,4,5,'0'
3,3,1,0.16,6.42,14.01,577.01,0,1,0,6,7,'0'
1,1,1,0.2,5,13.32,333.04,0,0,0,3,3,'0'
1,1,1,0.22,4.5,13.54,274.25,0,0,0,3,3,'0'
3,3,2,0,0,0,0,0,0,0,0,0,'0'
3,3,2,0.16,6.43,15.56,642.86,0,1,0,7,10,'0'
1,1,1,0.22,4.5,12.75,258.12,0,0,0,3,3,'0'
1,1,1,0,0,0,0,0,0,0,0,0,'0'
2,1,1,0.09,10.61,24.95,2807.71,0,3,0,14,27,'0'
2,1,2,0.23,4.38,24.11,461.5,0,0,0,8,10,'0'
2,1,1,0.2,5,10.75,268.87,0,0,0,4,5,'0'
7,6,5,0,0,0,0,0,0,0,0,0,'0'
1,1,1,0.67,1.5,5.33,12,0,0,0,1,1,'0'
1,1,1,0.21,4.75,38.84,876.27,0,0,0,14,19,'0'
5,5,4,0.09,11.5,26.98,3567.63,0,1,1,13,23,'0'
3,1,3,0.04,24.11,25.59,14873.23,2,8,1,14,45,'0'
2,1,1,0.06,15.58,13.9,3375.9,0,4,0,6,17,'0'
8,1,7,0.06,18.06,39.15,12773.74,4,8,5,24,51,'0'
3,1,2,0.19,5.33,24.52,697.59,0,0,0,9,12,'0'
16,7,4,0.03,37.5,31.3,44016.67,14,9,0,22,75,'0'
7,5,7,0.05,21.64,36.89,17267.89,13,9,0,22,56,'0'
1,1,1,0.33,3,26.05,234.41,5,3,0,9,9,'0'
5,4,5,0.06,17.82,36.52,11595.06,9,5,0,22,49,'0'
7,5,4,0.07,13.59,27.34,5048.91,0,1,0,17,33,'0'
1,1,1,0.33,3,9.51,85.59,0,0,0,3,3,'0'
8,1,6,0.04,28.15,40.03,31717.52,2,1,0,27,80,'0'
4,1,3,0.06,16.58,28.6,7857.55,0,3,1,20,39,'0'
2,1,2,0.13,7.7,21.11,1251.37,0,2,0,10,14,'0'
1,1,1,0.44,2.29,24.22,126.52,0,1,0,7,8,'0'
3,1,2,0.11,9.5,26.54,2395.64,0,2,0,12,19,'0'
6,6,4,0.06,17.6,36.42,11282.84,0,4,0,20,44,'0'
1,1,1,0.25,4,13.88,222.03,0,1,0,5,5,'0'
13,9,4,0.02,48.26,33.84,78824.75,6,9,3,23,111,'0'
6,3,3,0.07,15.17,19.21,4419.98,0,1,0,12,26,'0'
4,1,4,0.11,9,44.84,3631.96,2,3,0,22,36,'0'
2,1,2,0.24,4.08,18.12,302.2,1,1,0,6,7,'0'
1,1,1,0.67,1.5,10.84,24.38,0,0,0,2,2,'0'
8,3,3,0.04,24.06,40.04,23181.19,0,3,0,32,77,'0'
2,1,2,0.29,3.5,14.34,175.66,1,1,0,5,5,'0'
1,1,1,0.33,3,17.92,161.32,0,1,0,6,6,'0'
6,1,6,0.14,7.13,33.91,1721.24,3,2,0,12,19,'0'
5,5,2,0.09,10.91,24.16,2874.97,0,4,0,11,24,'0'
1,1,1,0.67,1.5,5.33,12,0,0,0,1,1,'0'
3,1,2,0.11,9.29,14.97,1290.47,0,2,0,7,13,'0'
1,1,1,0.5,2,7.75,31.02,0,0,0,2,2,'0'
1,1,1,0.5,2,7.75,31.02,0,0,0,2,2,'0'
1,1,1,0.33,3,10.57,95.1,0,0,0,3,3,'0'
1,1,1,0.33,3,16.14,145.3,1,1,0,5,5,'0'
1,1,1,0.5,2,7.75,31.02,0,0,0,2,2,'0'
1,1,1,0.5,2,7.75,31.02,0,0,0,2,2,'0'
1,1,1,0.5,2,7.75,31.02,0,0,0,2,2,'0'
1,1,1,0.5,2,7.75,31.02,0,0,0,2,2,'0'
2,1,2,0.29,3.5,17.97,220.18,1,1,0,6,6,'0'
1,1,1,0.33,3,10.57,95.1,0,0,0,3,3,'0'
1,1,1,0.33,3,10.57,95.1,0,0,0,3,3,'0'
1,1,1,0.33,3,16.14,145.3,1,1,0,5,5,'0'
15,1,8,0.02,42.69,48.84,88998.14,10,23,0,35,166,'0'
2,1,1,0,0,0,0,0,0,0,0,0,'0'
4,1,4,0.07,14.61,37.8,8066.95,3,4,0,23,48,'0'
1,1,1,0,0,0,0,0,0,0,0,0,'0'
1,1,1,0,0,0,0,0,0,0,0,0,'0'
2,1,2,0.08,11.78,27.22,3777.38,1,4,0,16,29,'0'
7,7,5,0.06,17.91,48.83,15670.39,2,3,0,35,66,'0'
2,1,2,0.11,9.06,30.63,2513.23,0,4,0,17,22,'0'
2,1,2,0.19,5.32,24.38,689.54,1,1,0,11,13,'0'
3,1,1,0.08,12,23.69,3411.21,0,3,0,12,24,'0'
2,1,2,0.09,11.45,20.93,2746.21,0,3,0,11,21,'0'
2,1,2,0.14,7.25,40.47,2127.42,1,4,0,16,29,'0'
3,3,2,0.16,6.42,13.38,550.79,0,1,0,6,7,'0'
11,5,4,0,0,0,0,0,0,0,0,0,'0'
18,5,5,0,0,0,0,0,0,0,0,0,'0'
7,5,2,0,0,0,0,0,0,0,0,0,'0'
10,9,5,0,0,0,0,0,0,0,0,0,'0'
6,3,3,0.04,27.65,22.05,16851.05,4,12,0,17,47,'0'
3,1,3,0.07,14.63,29.58,6327.68,2,2,0,16,39,'0'
2,1,1,0.08,12.46,23.11,3586.99,0,4,0,12,23,'0'
2,1,1,0.08,12.46,22.74,3529.14,0,3,0,12,23,'0'
2,1,2,0,0,0,0,0,0,0,0,0,'0'
13,10,6,0,0,0,0,0,0,0,0,0,'0'
31,20,5,0.02,57.19,66.1,216201.81,25,16,0,47,256,'0'
3,1,3,0.1,10.08,28.71,2919.21,3,16,1,12,22,'0'
2,1,2,0.19,5.32,24.38,689.54,1,1,0,11,13,'0'
10,1,1,0.03,29.17,34.59,29428.52,3,7,0,27,63,'0'
2,1,1,0.05,18.24,39.81,13244.14,5,8,1,25,48,'0'
2,1,1,0.07,13.7,44.5,8347.58,3,4,0,23,45,'0'
4,3,2,0.05,20.42,21.41,8924.96,0,2,0,12,35,'0'
4,3,1,0.06,17.5,7.61,2332,2,2,0,4,14,'0'
10,4,4,0.02,40,26.65,42641.9,0,1,0,23,80,'0'
5,1,4,0.04,25.5,21.18,13770,17,15,0,15,45,'0'
6,4,2,0.04,24.73,14.61,8935.73,6,4,0,11,34,'0'
3,1,3,0.15,6.67,13.14,583.79,0,1,0,6,10,'0'
2,1,2,0.19,5.32,24.38,689.54,1,1,0,11,13,'0'
6,3,2,0.05,19.83,27.16,10681.73,2,4,3,18,42,'0'
3,1,3,0.06,16.92,50.34,14418.23,5,11,1,26,55,'0'
1,1,1,0.11,9.5,25.35,2287.69,0,1,0,11,19,'0'
18,5,13,0.03,39.24,95.89,147640.36,20,17,1,63,206,'0'
2,1,1,0.07,14.13,47.93,9569.98,3,7,0,23,50,'0'
1,1,1,0.2,4.96,67.94,1670.39,7,3,0,24,34,'0'
2,1,2,0.1,10,20.45,2044.6,0,1,0,12,16,'0'
1,1,1,0.27,3.75,6.74,94.75,0,0,0,2,3,'0'
2,1,2,0.17,5.73,25.66,841.6,0,1,1,11,14,'0'
3,1,1,0.05,18.85,24.98,8871.52,0,4,0,13,35,'0'
2,1,2,0.19,5.33,16.42,467.04,0,2,0,6,8,'0'
8,5,4,0.05,19.6,31.66,12163.36,0,5,0,25,49,'0'
2,1,2,0.13,7.5,11.17,628.21,0,1,0,4,6,'0'
4,4,1,0.05,19.43,20.14,7603.98,0,3,0,14,32,'0'
6,1,6,0.07,13.47,102.57,18610.99,0,4,0,67,95,'0'
9,6,7,0.04,22.71,64.48,33274.12,7,11,2,49,106,'0'
2,1,2,0.07,13.36,19.11,3413.23,1,0,0,11,21,'0'
3,3,3,0.04,25.78,29.79,19797.43,24,7,0,16,55,'0'
3,1,3,0.11,9.16,37.87,3175.9,0,4,0,19,29,'0'
9,7,4,0.03,36.62,54.09,72522.48,4,10,0,30,169,'0'
4,1,4,0.05,19,26.84,9690,8,3,0,16,38,'0'
3,1,3,0.11,9.1,19.39,1605.41,3,3,0,10,14,'0'
17,1,15,0.02,55.25,56.35,172016.99,9,22,0,60,195,'0'
2,1,2,0,0,0,0,0,0,0,0,0,'0'
2,1,1,0.07,15.22,44.85,10384.93,3,7,0,23,50,'0'
3,1,1,0.07,13.78,54.84,10413.57,5,7,0,25,53,'0'
5,3,2,0.04,23.13,20.15,10775.76,10,4,0,12,37,'0'
1,1,1,0.07,14.55,32.42,6858.47,0,5,0,11,40,'0'
3,1,1,0.1,10.42,26.11,2833.6,3,4,0,12,25,'0'
6,3,1,0,0,0,0,0,0,0,0,0,'0'
2,1,2,0.16,6.36,23.47,950.34,1,1,0,11,14,'0'
2,1,2,0.17,5.73,25.66,841.6,0,1,1,11,14,'0'
6,1,6,0.05,18.33,18.51,6220.27,0,5,0,9,22,'0'
4,4,4,0.08,12.19,14.42,2141.25,2,1,0,8,15,'0'
2,1,2,0.13,7.5,17.79,1000.78,0,0,0,8,12,'0'
4,1,4,0.06,18.03,57.6,18723.92,2,8,6,33,70,'0'
6,6,3,0,0,0,0,0,0,0,0,0,'0'
3,3,2,0,0,0,0,0,0,0,0,0,'0'
3,3,2,0,0,0,0,0,0,0,0,0,'0'
3,1,3,0.1,10.38,31.35,3380.59,2,5,0,13,30,'0'
3,1,3,0.16,6.22,24.31,941.02,0,2,0,9,14,'0'
2,1,2,0.08,13.22,35.92,6280.56,9,9,0,18,34,'0'
2,1,2,0.15,6.75,23.28,1060.92,0,0,0,10,15,'0'
2,1,2,0.09,11.38,23.27,3010.96,0,1,0,12,21,'0'
3,1,3,0.12,8.18,24.69,1653.11,0,0,0,11,18,'0'
2,1,1,0,0,0,0,0,0,0,0,0,'0'
3,1,2,0.06,17.68,28.42,8889.32,0,2,1,19,42,'0'
3,1,1,0,0,0,0,0,0,0,0,0,'0'
4,1,2,0.04,24.94,39.05,24282.8,0,1,1,32,76,'0'
3,1,2,0.06,17.26,30.9,9208.95,3,3,1,19,41,'0'
9,7,3,0.03,29.69,21.25,18729.9,0,2,0,16,50,'0'
3,1,2,0.03,28.88,17.76,14808.1,0,1,3,8,33,'0'
3,1,3,0.12,8.08,30.8,2009.51,0,1,0,13,21,'0'
5,3,3,0.03,29.29,16.85,14452.03,3,3,0,14,41,'0'
1,1,1,0.1,10,16.68,1667.97,3,3,0,8,16,'0'
6,5,1,0,0,0,0,0,0,0,0,0,'0'
12,1,6,0.01,70,45.95,225142.24,1,18,1,43,215,'0'
10,6,1,0,0,0,0,0,0,0,0,0,'0'
3,1,2,0.11,8.73,18.14,1381.74,0,2,1,11,16,'0'
8,4,1,0.03,37.13,17.73,24431.28,0,4,0,8,66,'0'
10,1,7,0.04,28.35,30.05,24149.97,5,9,0,20,54,'0'
5,3,3,0.06,17.85,28.6,9112.9,2,3,0,21,44,'0'
4,1,4,0.06,16.26,32.61,8619.36,0,5,0,30,42,'0'
1,1,1,0.4,2.5,26.64,166.52,0,0,0,8,8,'0'
1,1,1,0.67,1.5,5.33,12,0,0,0,1,1,'0'
10,1,10,0.04,25.3,40.98,26232.62,0,11,0,36,78,'0'
1,1,1,0.4,2.5,26.64,166.52,0,0,0,8,8,'0'
4,1,4,0.07,14.03,40.98,8059.98,3,3,0,20,51,'0'
4,1,4,0.07,14.03,40.98,8059.98,6,2,0,20,51,'0'
4,1,4,0.07,14.03,40.98,8059.98,3,5,0,20,51,'0'
1,1,1,0.4,2.5,26.64,166.52,0,0,0,8,8,'0'
8,8,5,0.05,20.86,46.85,20382.4,4,3,0,28,73,'0'
1,1,1,0.67,1.5,5.33,12,0,0,0,1,1,'0'
1,1,1,0.4,2.5,26.64,166.52,0,0,0,8,8,'0'
10,10,5,0.03,30,32.28,29055.71,5,2,0,18,72,'0'
2,1,2,0.33,3,22.2,199.82,0,0,0,7,7,'0'
3,1,3,0,0,0,0,0,0,0,0,0,'0'
2,1,2,0.14,7.33,25.91,1393.26,0,0,0,12,16,'0'
6,6,2,0.06,17.94,14.67,4723.42,0,5,0,9,19,'0'
2,1,2,0.33,3,22.2,199.82,0,0,0,7,7,'0'
2,1,1,0.18,5.71,13.67,446.5,0,1,0,7,10,'0'
4,1,4,0.06,16.32,43.28,11528.34,0,9,0,25,48,'0'
4,1,4,0.06,16.75,57.02,15996.73,0,8,0,32,67,'0'
4,1,4,0.06,17.14,50,14693.67,0,9,0,28,60,'0'
2,1,2,0.14,7.2,33.11,1716.61,0,1,0,15,24,'0'
11,8,1,0,0,0,0,0,0,0,0,0,'0'
6,1,3,0.11,9.5,30.04,2711.33,0,2,0,11,19,'0'
7,6,4,0,0,0,0,0,0,0,0,0,'0'
6,3,2,0.07,15.3,38.96,9119.66,24,4,0,25,51,'0'
4,1,3,0.07,14.32,16.41,3365.09,2,4,0,11,21,'0'
1,1,1,0.44,2.29,25.73,134.42,0,1,0,7,8,'0'
4,3,2,0.09,10.83,15.68,1840.77,0,2,0,6,10,'0'
3,1,2,0.14,7.33,17.84,959.19,0,0,0,6,8,'0'
4,3,2,0.09,11.67,13.34,1815.21,0,1,0,6,10,'0'
5,1,1,0.07,14,18.8,3685.14,2,5,0,12,24,'0'
2,1,1,0.19,5.25,6.64,183.06,0,0,0,2,3,'0'
3,3,2,0.1,9.75,16.21,1541.7,0,1,0,8,12,'0'
11,11,2,0.04,23.75,22.2,12524.14,1,5,0,16,38,'0'
18,8,13,0.04,28.23,115.83,92277.37,7,18,0,93,210,'0'
1,1,1,0.33,3,6.55,58.95,0,0,0,1,1,'0'
12,9,6,0,0,0,0,0,0,0,0,0,'0'
2,1,2,0.33,3,15.5,139.52,0,1,0,4,4,'0'
1,1,1,0.29,3.5,9.49,116.27,0,0,0,3,3,'0'
13,10,5,0,0,0,0,0,0,0,0,0,'0'
14,11,4,0,0,0,0,0,0,0,0,0,'0'
4,4,4,0,0,0,0,0,0,0,0,0,'0'
1,1,1,0.11,8.9,121.56,9629.08,8,13,0,45,89,'0'
1,1,1,0.05,20,172.46,68982.62,51,32,0,78,240,'0'
6,3,4,0.03,30.25,121.95,111594.06,33,34,0,88,242,'0'
1,1,1,0.04,27.96,113.93,89066.44,16,33,0,50,233,'0'
1,1,1,0.5,2,17.43,69.74,0,0,0,5,5,'0'
3,1,3,0.08,12.66,29.36,4702.62,8,8,0,16,27,'0'
1,1,1,0.33,3,14.4,129.56,0,1,0,4,4,'0'
10,1,1,0.06,16.62,20.57,5679.8,5,2,0,13,24,'0'
7,5,6,0.04,26.53,52.12,36670.54,14,15,0,38,96,'0'
2,1,1,0.05,20.23,77.31,31645.36,20,20,0,43,116,'0'
2,1,2,0.16,6.29,34.05,1345.47,7,4,0,14,22,'0'
4,3,2,0.08,12.52,35.08,5501.48,6,4,0,22,29,'0'
5,1,3,0.05,20.56,32.58,13777,7,6,0,24,47,'0'
1,1,1,0.5,2,17.43,69.74,0,0,0,5,5,'0'
10,8,9,0.05,20.86,73.15,31840.54,13,14,1,51,112,'0'
1,1,1,0.09,11.36,54.36,7011.26,4,7,0,28,53,'0'
20,16,16,0.03,34.76,69.87,84414.26,25,19,0,58,168,'0'
1,1,1,0.21,4.67,8.54,186.03,1,3,0,3,4,'0'
1,1,1,0.3,3.33,20.93,232.53,0,0,0,6,10,'0'
1,1,1,0.36,2.75,31.29,236.61,4,2,0,8,11,'0'
1,1,1,0.19,5.25,14.14,389.71,0,1,0,6,7,'0'
1,1,1,0.67,1.5,5.33,12,0,0,0,1,1,'0'
1,1,1,0.22,4.5,16.07,325.53,0,2,0,5,5,'0'
9,6,2,0,0,0,0,0,0,0,0,0,'0'
3,3,1,0.12,8.1,10.34,678.47,0,0,0,5,9,'0'
3,3,1,0.11,9,9.98,808.73,0,0,0,5,9,'0'
2,1,2,0.16,6.13,18.5,693.96,0,3,0,8,14,'0'
2,1,2,0.16,6.13,18.5,693.96,0,2,0,8,14,'0'
1,1,1,0.19,5.4,27.41,799.2,0,0,0,10,18,'0'
9,9,1,0.06,17.5,20.92,6407.21,1,1,0,12,28,'0'
1,1,1,0.19,5.4,27.41,799.2,0,0,0,10,18,'0'
8,8,1,0.06,17.05,19.03,5528.36,1,1,0,11,25,'0'
1,1,1,0.19,5.4,27.41,799.2,0,0,0,10,18,'0'
6,6,1,0.06,15.83,15.35,3847.55,1,1,0,9,19,'0'
1,1,1,0.19,5.4,27.41,799.2,0,0,0,10,18,'0'
5,5,1,0.07,15,13.57,3053.4,1,1,0,8,16,'0'
4,1,1,0.09,11.14,13.72,1704.03,0,2,0,7,13,'0'
5,1,3,0.05,20.45,29.79,12463.61,9,7,0,22,45,'0'
5,1,3,0.05,20.45,29.79,12463.61,9,7,0,22,45,'0'
2,1,2,0.16,6.13,18.5,693.96,3,3,0,8,14,'0'
8,1,5,0.03,28.8,36.23,30051.42,9,9,0,25,72,'0'
8,1,5,0.03,28.8,36.23,30051.42,9,10,0,25,72,'0'
3,1,3,0.09,11.25,8.8,1113.65,0,1,0,4,9,'0'
6,6,1,0,0,0,0,0,0,0,0,0,'0'
4,4,1,0,0,0,0,0,0,0,0,0,'0'
2,1,2,0.12,8.25,26.32,1791.33,1,2,0,12,18,'0'
2,1,2,0.09,11.14,30.37,3771.1,1,3,0,14,26,'0'
2,1,2,0.12,8.25,26.32,1791.33,1,2,0,12,18,'0'
3,1,2,0.08,12.13,28.03,4126.05,0,3,0,15,26,'0'
4,1,2,0.07,14,19.65,3851.37,0,3,0,10,20,'0'
2,1,2,0.12,8.25,26.32,1791.33,1,2,0,12,18,'0'
4,1,3,0.02,44.25,19.52,38214.86,0,9,0,12,59,'0'
2,1,2,0.12,8.25,26.32,1791.33,1,2,0,12,18,'0'
6,1,3,0.06,17.05,18.75,5448.24,6,7,0,11,25,'0'
2,1,2,0.12,8.25,26.32,1791.33,1,2,0,12,18,'0'
4,1,3,0.14,7.2,24.78,1284.57,0,3,0,10,16,'0'
4,1,1,0.22,4.5,31.79,643.78,0,1,0,8,8,'0'
2,1,1,0.11,9.33,15.53,1352.83,3,4,0,9,14,'0'
2,1,1,0.09,11.25,13.83,1750.38,3,4,0,8,15,'0'
2,1,1,0.09,11.25,13.83,1750.38,3,4,0,8,15,'0'
3,1,1,0.07,14.14,13.56,2712.83,2,3,0,7,18,'0'
7,1,3,0.06,16.47,24.81,6729.82,1,5,1,17,35,'0'
4,1,3,0.07,13.5,19.82,3612.14,3,4,0,11,27,'0'
1,1,1,0.25,4,11.24,179.89,0,0,0,3,3,'0'
4,1,3,0.07,13.5,19.82,3612.14,3,4,0,11,27,'0'
2,1,1,0.1,9.9,10.51,1029.59,3,2,0,5,9,'0'
3,3,3,0.11,8.75,34.89,2670.92,3,6,0,20,25,'0'
6,5,3,0,0,0,0,0,0,0,0,0,'0'
1,1,1,0.4,2.5,15.95,99.66,0,0,0,5,5,'0'
8,8,8,0.05,20.86,57.35,24963.29,15,15,2,33,81,'0'
4,1,4,0.09,10.97,35.43,4262.88,4,7,0,16,27,'0'
3,1,3,0.1,10.5,48.83,5383.18,0,3,0,26,42,'0'
13,1,12,0.03,32.61,35.66,37910.19,0,11,0,28,83,'0'
3,1,1,0,0,0,0,0,0,0,0,0,'0'
3,1,3,0.09,10.94,27.37,3273.82,0,2,0,16,25,'0'
2,1,2,0.08,12.83,25.27,4162.24,0,4,0,12,22,'0'
3,1,3,0.05,18.59,74.98,25905.07,0,10,0,37,74,'0'
